word,kafka,notkafka,odds.ratio,odds.p,llr
sagte,816,33770,3.1268131142,1.40561400654164e-162,737.6172589178
aber,1215,75131,2.1033935069,1.68489468283505e-115,521.6855224119
nicht,1986,152075,1.7154841557,3.54276633840236e-105,474.0145427953
schloß,177,3371,6.7397344086,6.98895533096938e-82,367.0926013617
lehrer,106,911,14.924601741,2.67192739173287e-81,364.7989482766
nur,747,47376,2.0386035333,7.20330379947928e-67,298.1483618706
allerdings,99,1254,10.1233625221,1.74415710320798e-61,273.6509289981
dort,196,6414,3.9234160151,2.66021822381692e-54,240.2218274199
ist,1010,78422,1.6707272358,3.10482250287894e-50,221.718380927
vielleicht,230,9126,3.2371668202,8.68612675658172e-50,219.4194955853
wahrscheinlich,86,1301,8.475270579,5.92735391205762e-48,211.5075318435
auch,796,58919,1.7478216691,2.23645607531698e-46,204.3816874386
dann,391,22628,2.2240122243,8.30640689906257e-44,192.0804638299
hier,338,18325,2.3722782458,1.95994297157733e-43,190.4041725129
dorf,65,771,10.8091976697,1.37683953392832e-42,187.0352652989
arbeit,119,3109,4.9091184839,1.69817302258543e-42,186.2288521049
war,1126,96747,1.51202227,6.91904695528993e-38,165.2001007912
und,2928,489266,0.7958070056,6.06026926365611e-36,156.9533765353
schon,386,24245,2.049014793,6.25405410013344e-36,156.48834564
der,1966,339342,0.7608505059,1.33596263642009e-35,155.3787720574
offenbar,57,766,9.5389091326,6.93574979346762e-35,151.713214001
diener,73,1401,6.67948223,1.24233884728163e-34,150.3816391684
mein,53,25401,0.2674156467,5.81843585183021e-34,149.4975345524
wenig,181,8078,2.8762034193,1.98630141906219e-33,144.43067479
gar,233,12021,2.4897397331,2.23414195150896e-33,144.4040472334
deshalb,76,1615,6.0326939299,3.18883842172828e-33,143.8837213842
andern,3,10856,0.0353941659,4.07864432274172e-32,142.7772778263
anderen,108,3325,4.1656744578,7.54998516824342e-33,141.9807082981
doch,497,36008,1.7788640675,2.33178060073829e-31,135.417141175
freilich,119,4161,3.668501247,3.4078447364897e-31,134.3474277852
beispiel,57,955,7.6499838123,3.13913253208844e-30,130.3162670218
fragte,163,7569,2.7636675064,1.73601394078263e-28,121.8198001837
also,160,7419,2.7676185541,4.65880523814045e-28,119.8622625251
liebe,27,16370,0.2113157735,7.72921964251122e-27,116.8643426628
seele,1,8139,0.0157361179,3.46757873021923e-26,116.2660270857
herz,8,10841,0.0945213723,3.11284170574765e-26,114.9204114735
gott,2,8418,0.0304295586,1.46492071799879e-25,112.9518301944
sehr,308,20210,1.9594576293,4.12356164676446e-26,111.3393913243
gewiß,120,4974,3.0944666594,2.74384196826888e-25,107.2781792241
natürlich,76,2466,3.9509321308,2.4115134848869e-22,93.9857309743
werde,163,8750,2.3909218893,4.23880916982686e-22,93.3756103776
menschen,18,12077,0.1909325735,2.19419116841799e-21,92.3889528181
niemals,76,2518,3.8693582104,7.72764375763499e-22,91.669947068
welt,13,10616,0.1568630824,4.67571647177407e-21,91.0712663075
etwa,68,2124,4.1038149057,5.27303371009151e-21,87.9022466019
manchmal,62,1813,4.38333981,1.22846913689579e-20,86.2644499935
sondern,146,7765,2.4126214339,1.9335909840371e-20,85.1714238812
ward,0,5241,0,4.44158046624804e-18,81.5043686088
bett,54,1463,4.7304280697,1.44970290432491e-19,81.4252439326
fast,116,5737,2.5934018847,8.64819800424519e-19,77.6093074043
mir,334,66693,0.6441104014,9.77399382476577e-18,74.3169271661
völlig,56,1746,4.1106260383,1.26089936299904e-17,72.5331206
gleich,148,8572,2.2153537802,1.49130631485229e-17,72.2159907995
zwar,90,4017,2.8726763646,1.72704823672195e-17,71.7168725886
stadt,0,4579,0,8.44767932041962e-16,71.2116984774
selber,0,4552,0,7.77517680948392e-16,70.7918927389
boten,27,375,9.2248795114,4.74007870773233e-17,70.32556225
man,501,43199,1.4947395331,5.16915427325172e-17,70.1428420792
sogar,80,3379,3.0352307165,5.43390277715625e-17,69.486575893
schnee,34,660,6.6005284925,7.03182340508257e-17,69.3851929822
anderes,52,1588,4.1966246022,7.77703545623839e-17,68.9552071061
indem,5,6546,0.0978333159,4.06836051494648e-16,68.6209893699
freund,3,5696,0.0674578163,1.51886441086265e-15,66.4456547635
seine,156,36134,0.5540202722,6.4458392513436e-16,66.2744314802
geschehen,59,2077,3.6410991751,3.35152111565943e-16,65.9995593089
gang,42,1173,4.5879141177,3.75425904760014e-15,61.3633503877
nun,343,28084,1.5709827701,1.05236659829444e-14,59.7993372824
wegen,75,3349,2.8708465828,7.65178433028334e-15,59.7085138584
seines,12,7824,0.1964652617,5.06543451084442e-14,58.7696675012
welches,3,5102,0.0753116182,1.66615133484651e-13,57.8712848089
öfters,23,337,8.7433172303,2.70283759499128e-14,57.8003438622
geist,0,3641,0,9.24682319682821e-13,56.6266904059
welche,55,16838,0.4186444108,1.0562987571931e-13,56.5588278026
müde,38,1052,4.6284555778,5.66472485172496e-14,56.0291341208
herren,63,2624,3.0773308915,5.47877204313104e-14,55.8756881304
hab,0,3592,0,1.34049365876024e-12,55.8647504498
dem,650,110917,0.756744316,1.85512618961806e-13,54.6049960154
von,672,114202,0.7600652385,1.88855497017278e-13,54.5928363961
möglichkeit,29,623,5.9637995498,1.40462118669304e-13,54.3738193411
damals,70,3202,2.8022983625,1.72300912040337e-13,53.5719199563
meines,4,5104,0.1003775505,1.26247081422321e-12,53.0426393917
des,350,65029,0.6923776041,4.52610565049565e-13,53.0034227865
herzen,7,5977,0.1500098085,1.59336146518980e-12,52.4879217723
sei,236,18117,1.6733206632,4.02688155563711e-13,52.4602657815
seinem,53,15991,0.4247782581,7.56205941394714e-13,52.4051007229
warum,101,5686,2.2778603261,3.48624400383147e-13,52.3760500668
hat,327,27338,1.5382510937,4.31074623619268e-13,52.1685346547
hätte,211,15736,1.7218909661,6.21034177825302e-13,51.8147695222
ihr,333,61992,0.6908713893,1.14143052247833e-12,51.0813444937
dienst,32,819,5.0067657008,7.21326897294511e-13,51.0724416954
noch,581,54769,1.3686556765,8.51016830949551e-13,50.9304761063
allem,74,3637,2.6082792933,1.31470418207649e-12,50.0375422673
ich,1353,212752,0.8286161206,2.17822157181236e-12,49.6274699821
zimmer,108,6435,2.1524791864,1.98069466200074e-12,49.3812393112
meine,109,25613,0.5457899562,3.88847670926392e-12,48.9962997228
auge,3,4474,0.0858828966,1.04658771793603e-11,48.8949793406
sonne,1,3665,0.034945813,2.27867398219795e-11,48.3072305378
nie,25,9937,0.3223231396,9.27355850962909e-12,48.2049302672
himmel,6,5359,0.1434057937,1.47504481778901e-11,48.1200318429
graf,2,4045,0.0633266952,1.99532427205709e-11,47.9009188825
leben,51,15074,0.433603337,8.95316912243981e-12,47.6594601366
natur,5,4977,0.1286754643,2.45186473136976e-11,46.9675243608
habe,302,25424,1.5271129428,8.25293045597943e-12,46.6849009231
kann,239,19016,1.6145303196,8.567248309925e-12,46.5125898251
den,1032,164574,0.8137009075,1.32162322022341e-11,46.0111129757
hast,97,5728,2.1715980466,1.30522095735384e-11,45.2639798043
aufgenommen,25,559,5.7295535885,1.45121910003058e-11,45.2570489263
die,2448,370161,0.8739501848,2.56121172884853e-11,44.6252453607
seinen,79,19785,0.5119012298,4.18846142602752e-11,44.4974836944
sind,252,20589,1.5725402329,2.46854287354241e-11,44.1509043312
gehen,98,5879,2.1376068467,2.4336454602552e-11,44.0970193434
meinung,44,1685,3.3462095953,2.36602953622769e-11,44.0188137058
beim,73,3828,2.4446286242,2.72001724956551e-11,43.7275650018
alten,21,8646,0.3111634633,7.97969077078213e-11,43.6711430506
küche,27,686,5.0428990114,3.62729781742037e-11,43.3995464463
überhaupt,55,2482,2.8399829163,3.74254157880282e-11,43.030869871
tod,0,2756,0,1.20330450827818e-09,42.8645626105
holen,30,856,4.4906589611,4.66946330587657e-11,42.8457250737
übrigens,40,1463,3.5033300045,5.01588009758633e-11,42.5739749061
gegenüber,49,2075,3.0262032335,5.32615354472434e-11,42.3762813261
wirklichkeit,25,611,5.2427737973,8.69003508949317e-11,41.7110231459
sie,2122,241508,1.1562284136,1.33212663295137e-10,41.2686765263
auftrag,21,429,6.2709115244,1.24899005763606e-10,41.0921332382
ihn,509,48643,1.3488186348,1.60916068867934e-10,40.7818469381
gerade,84,4874,2.209535755,1.25501834297865e-10,40.7693614224
decke,25,631,5.0759083727,1.64887140652397e-10,40.4432407654
seite,14,6775,0.2647061684,4.57569729052623e-10,40.3222929216
alte,21,8297,0.3242521274,5.85001098875144e-10,39.9752105301
warten,33,1103,3.8334152787,2.65624926380963e-10,39.3657404927
kleid,25,649,4.9345653428,2.87457753791578e-10,39.3436507432
tochter,3,3793,0.101302496,1.40775872809637e-09,39.296496783
möchte,5,4336,0.1476979485,1.98403894900142e-09,38.3791264662
stellung,32,1069,3.8354305123,4.83457521207784e-10,38.1974647127
gelungen,19,378,6.4390473296,6.12207389353971e-10,38.002413754
wenigstens,70,3863,2.322792499,7.82557380809237e-10,37.835174029
bedeutung,23,573,5.1428365066,6.82302782379898e-10,37.6783792153
wenn,538,52507,1.3212373574,8.69881553708097e-10,37.5928964803
offen,34,1216,3.5821742518,7.67454517983522e-10,37.2597813702
andre,0,2393,0,1.52415459548752e-08,37.2194152195
meinem,22,8216,0.3430461405,2.45808290513011e-09,36.952096739
alles,276,23974,1.4795603555,1.22736873096268e-09,36.9015255699
daß,930,97930,1.2306873587,1.31499355732436e-09,36.7513555234
erreicht,25,699,4.5817253872,1.2255236675457e-09,36.4776857522
weib,0,2336,0,2.19328898568086e-08,36.3329690194
ähnlich,25,702,4.5619996111,1.3314608596229e-09,36.3139476995
wäre,154,11653,1.6958493628,1.68310988377845e-09,35.9120660184
damit,105,7024,1.9170971471,1.80582567336158e-09,35.8238733026
bisher,39,1594,3.1350474907,1.76740912251519e-09,35.5617853466
erde,5,4087,0.1566964866,1.05352610377152e-08,35.09851292
richtig,31,1082,3.6710599316,2.40688209706589e-09,35.0464081085
hätten,61,3269,2.3918886162,2.33565553205109e-09,34.9983606344
indessen,0,2228,0,7.38170262653002e-08,34.6533732745
derselben,0,2226,0,7.3204688433503e-08,34.6222694809
blumen,0,2221,0,7.18145999294534e-08,34.5445099788
erreichen,24,680,4.5221609694,3.31740845587378e-09,34.532031653
kind,18,7117,0.3239989172,9.98961690442699e-09,34.3256375368
oft,31,9732,0.4081313178,8.63944715492589e-09,34.1197855889
zugleich,1,2706,0.047330559,3.36367884148461e-08,34.0009706907
zuweilen,0,2183,0,1.08812937350285e-07,33.9535365091
sogleich,1,2696,0.0475061179,3.29410121462087e-08,33.8528622178
erkennen,32,1188,3.4511966597,5.5516261272883e-09,33.3874572495
gesellschaft,8,4745,0.2159559806,1.89504252928101e-08,33.3797231041
fall,38,1603,3.0374555915,6.36551438636679e-09,33.0515931714
nach,251,45479,0.7090895773,1.11286462139948e-08,33.0128088648
ihres,16,6561,0.3123969624,1.96634000570667e-08,33.0001843322
versetzte,0,2102,0,1.43561308403905e-07,32.6938226136
seiner,114,23933,0.6109344382,1.56771479552135e-08,32.5641421102
unsern,0,2069,0,2.15532640975395e-07,32.1806030028
meister,0,2049,0,2.07694588641777e-07,31.869560008
mit,850,132980,0.8275062196,1.86808799523898e-08,31.8661635567
handelt,15,278,6.9109451087,1.54425801862205e-08,31.7565205
tante,0,2037,0,3.32302279698562e-07,31.6829339223
sobald,0,2021,0,3.13641623207848e-07,31.4340988025
schlafen,28,985,3.6422424675,1.61722552035746e-08,31.3398787298
kaum,83,5348,1.9897738978,1.68774649011417e-08,31.3014407732
eigentlich,62,3535,2.2480340084,1.7586987884083e-08,31.2602928014
bekommen,31,1181,3.3631115994,1.672864726946e-08,31.2312008624
kleidern,16,330,6.2107859948,2.15531914566121e-08,31.0572009623
sohn,6,4016,0.1913628185,7.4218083131048e-08,30.6984907784
sprechen,67,3989,2.1530301157,2.59628092210259e-08,30.6623736641
mensch,11,5217,0.2700850926,8.64318994051782e-08,30.4788501708
doktor,0,1947,0,4.38076526762251e-07,30.2832313384
teufel,0,1947,0,4.38076526762251e-07,30.2832313384
oben,51,2698,2.4225703371,4.01506305483384e-08,30.0159636721
welcher,19,6902,0.3526569024,9.77035717229844e-08,29.9584728601
leider,34,1422,3.0634975544,3.14277588582123e-08,29.9572935208
schöne,8,4460,0.2297559585,1.27594564351754e-07,29.9386814499
langsam,45,2234,2.5812935045,3.1335490973077e-08,29.866918861
schönen,9,4694,0.2455934751,1.11249547565901e-07,29.8477892537
etwas,191,16083,1.5246313091,5.38066569616343e-08,29.34527356
dame,1,2387,0.0536558595,2.84493692470519e-07,29.2908895572
unsre,0,1878,0,9.701167210996e-07,29.2101177299
schatten,0,1877,0,9.67282386606698e-07,29.1945653036
erzählt,28,1042,3.4427420865,5.00719262357885e-08,29.1188800003
lieben,5,3598,0.1779930721,2.93522373263058e-07,28.7683339566
erwiderte,1,2336,0.054827288,4.08142438890108e-07,28.5409387502
brief,74,4732,2.0046692359,9.11411282407899e-08,28.4558517375
fürsten,0,1817,0,1.36990168639434e-06,28.2614170952
meiner,47,11996,0.5020896806,1.72077851198322e-07,28.2468929165
bedeutet,14,277,6.4741256655,9.88705643351323e-08,28.127287109
heiligen,0,1807,0,1.35306422714096e-06,28.1058918642
bloß,4,3264,0.1569633253,3.81609661310101e-07,28.0074087657
antwort,44,2237,2.5204365656,1.03688342374869e-07,27.9463383182
fühlte,11,4990,0.2823716135,2.76604546697595e-07,27.9272125632
dich,180,15143,1.5258043493,1.28458676657062e-07,27.7523687481
zunächst,18,478,4.8237850316,1.14795957402372e-07,27.6912656113
fragen,50,2731,2.3462285049,1.07656415096272e-07,27.5961609498
könig,0,1763,0,1.97731064124293e-06,27.4215790492
dagegen,36,1656,2.7854409168,1.21804071010584e-07,27.28256212
bereits,0,1748,0,3.15378660222957e-06,27.1882899257
mehr,281,25968,1.390790984,1.66477701741031e-07,27.1628810459
scheint,42,2125,2.5326613616,1.91070952642013e-07,26.9176192805
lebens,8,4199,0.2440371547,5.93279399966005e-07,26.8444163542
sache,68,4307,2.023775807,1.65260790293225e-07,26.7908013934
schrieb,0,1710,0,2.8656748815052e-06,26.5972892762
selbst,243,21952,1.422054969,2.54625885715876e-07,26.58491976
beinahe,0,1691,0,4.43656499621674e-06,26.3017881362
genau,34,1545,2.8196201829,2.04068568040592e-07,26.2928029178
gegend,0,1685,0,4.35188158041568e-06,26.2084718704
fuhr,15,5695,0.3374030807,7.1553115828567e-07,26.1588177549
schule,24,865,3.5542818476,2.4893165046471e-07,26.036414732
stets,0,1665,0,4.18365903203941e-06,25.8974172651
sterben,0,1651,0,6.66802218448346e-06,25.6796786794
fräulein,9,4331,0.2661778855,9.29315306133192e-07,25.651025235
einst,2,2484,0.1031227828,1.66233074433205e-06,25.5766873272
nichts,227,20406,1.4287759541,4.07549335600934e-07,25.4701473468
demselben,0,1626,0,6.17424099750849e-06,25.2908590453
obgleich,0,1622,0,6.13231430137716e-06,25.2286478158
jemand,35,1660,2.701489434,3.58183164172699e-07,25.1837235353
rasch,0,1612,0,6.06953349128372e-06,25.0731196361
bitte,47,2613,2.3050079131,3.97973060494519e-07,25.0026316921
verhalten,13,272,6.1220865219,5.11068791327138e-07,24.9294062417
tausend,1,2085,0.0614276211,3.84580122545532e-06,24.8646979699
dichter,0,1592,0,9.32759138402542e-06,24.7620628233
unserm,0,1592,0,9.32759138402542e-06,24.7620628233
auf,680,105836,0.8299940832,7.60574424738365e-07,24.725574198
damen,0,1589,0,9.24120934936865e-06,24.7154042492
musik,0,1584,0,9.1160883909828e-06,24.6376399288
allzu,16,426,4.8111037936,5.84728045662985e-07,24.5493167043
unter,93,19162,0.6223202729,1.10632162835517e-06,24.4569744227
könnte,82,5761,1.8249365235,6.71161772817271e-07,24.2629386031
tugend,0,1559,0,8.82589155666752e-06,24.2488177574
angelegenheit,16,434,4.7225196482,7.39004761250328e-07,24.0891972606
denn,327,31593,1.3311034398,9.23996704386158e-07,24.0816225775
rücksicht,18,547,4.2154742633,7.53194879827339e-07,23.9938961289
besonders,54,3262,2.1216382918,7.9364749782157e-07,23.8826863991
innern,0,1535,0,1.32545784072325e-05,23.8755475904
jahr,1,2002,0.0639743292,5.11341415070101e-06,23.6550922032
hoffnung,41,2205,2.3825031358,1.37678499257399e-06,23.3483244938
verstehen,32,1514,2.7080099571,1.04670778208336e-06,23.1214971201
bereit,24,953,3.226313828,1.29138722911488e-06,22.8150797632
wartet,12,257,5.9809210842,1.74513609873119e-06,22.556959987
trat,15,5332,0.3603734426,4.90583156682152e-06,22.4884720738
erfolg,15,409,4.6979405145,1.72044802876224e-06,22.4630262606
herzens,1,1898,0.0674797844,1.04565301385897e-05,22.1443162603
freunde,7,3556,0.2521405465,5.60504926205272e-06,22.1104801158
nachdem,6,3308,0.2323198705,6.35867016261176e-06,22.0146858203
schwester,5,3054,0.2096986909,6.98135579831003e-06,21.9470335475
familie,45,2606,2.2127633545,2.10747970304081e-06,21.917841796
solche,60,3923,1.9603074442,2.94483663992761e-06,21.7583298073
meinen,39,9724,0.5139202759,4.63426218691686e-06,21.6950206538
zuletzt,1,1864,0.0687106432,1.52011186081947e-05,21.6516764338
feuer,2,2195,0.1167002986,1.35817060551009e-05,21.5767801021
kunst,3,2491,0.1542518147,1.02151042796869e-05,21.5713344265
jetzt,237,22149,1.3745326466,3.6177412413071e-06,21.3921867848
geradezu,15,433,4.4377970067,3.35217088434939e-06,21.1554453555
bruder,7,3444,0.2603402984,1.4755695096947e-05,20.8164752512
tisch,44,2593,2.1745633263,5.73718219826688e-06,20.6042516137
nickte,19,687,3.5426704022,4.38165165148943e-06,20.5247295627
ins,96,7439,1.6547855955,5.02779573137913e-06,20.5225389316
sonst,91,6948,1.679345717,4.64495802112624e-06,20.5155043386
wir,361,36220,1.282331811,6.07971603401596e-06,20.3328186933
herrn,80,5925,1.7310163574,6.13953146759015e-06,20.0198596172
für,432,44451,1.2515099421,7.99171439099938e-06,19.9437754931
freude,17,5461,0.398785762,1.4000742282316e-05,19.8747202489
lärm,16,517,3.9644215491,6.35868552804757e-06,19.8728853979
wirklich,71,5082,1.7908674489,7.0983591946775e-06,19.8324995478
arme,17,5455,0.3992243912,1.39916485428681e-05,19.8187565758
ihre,172,30466,0.7246325939,1.16024884607314e-05,19.7319774908
keine,143,12324,1.4887387674,8.02884317583036e-06,19.7146361372
einen,245,41325,0.7616555037,1.15648018419755e-05,19.7135114744
geringste,15,469,4.0979306838,8.4017988917638e-06,19.3584803585
stelle,53,3465,1.9603135646,1.13268396692324e-05,19.2211064226
wisse,20,790,3.2431698831,8.75887841824835e-06,19.1546534808
eine,449,70707,0.8179192854,1.36025307579668e-05,19.1532393153
glaubst,15,477,4.0283106116,1.01817427610355e-05,18.9833847424
waren,190,17464,1.3967033041,1.34150039833289e-05,18.8336577654
erklären,21,869,3.0957621535,1.04277396971651e-05,18.7969393888
worden,73,5375,1.7410280133,1.29803031552342e-05,18.6222348298
