"all.collocates","Freq"
"sagte",621
"schon",460
"ging",420
"weg",418
"mehr",384
"immer",346
"sah",318
"konnte",306
"ganz",305
"sei",290
"weit",286
"kam",281
"gehen",276
"wohl",258
"machte",250
"fort",241
"muß",241
"hand",231
"rief",227
"führte",226
"zeit",225
"wurde",219
"zurück",217
"hätte",213
"recht",210
"nahm",205
"frau",202
"augen",200
"bald",200
"hause",198
"mußte",197
"sehen",194
"wäre",192
"gar",187
"allein",186
"herr",186
"lassen",186
"leben",180
"stand",177
"menschen",172
"gut",170
"nacht",168
"liebe",167
"vater",167
"endlich",166
"lange",166
"ließ",166
"mann",166
"kommen",165
"sagen",164
"trat",162
"geht",161
"mutter",158
"oft",154
"eben",152
"vielleicht",152
"weiß",151
"nie",150
"schien",147
"herz",141
"gleich",139
"      ",137
"finden",137
"alte",136
"fragte",136
"erst",135
"alten",128
"gerade",125
"zog",125
"stadt",124
"gemacht",122
"großen",122
"wagen",122
"fand",121
"kopf",120
"gab",119
"tag",119
"gott",118
"kaum",118
"welt",118
"wenig",117
"zwei",116
"morgen",115
"tage",114
"heute",113
"nehmen",113
"blieb",112
"ganze",111
"haus",111
"ganzen",109
"lag",109
"dahin",108
"fuhr",108
"hast",108
"wußte",108
"warf",107
"genug",106
"wer",106
"gingen",105
"darauf",104
"ersten",103
"kind",103
"schnell",103
"mädchen",102
"himmel",101
"nein",101
"legte",100
"lief",99
"führt",98
"müssen",98
"beiden",97
"macht",97
"sprach",96
"herzen",95
"plötzlich",95
"rechten",95
"gekommen",94
"seele",94
"guten",93
"her",93
"davon",92
"langen",92
"leute",92
"gute",91
"kleinen",90
"sonne",90
"wissen",90
"lieber",89
"geben",88
"kleine",88
"setzte",88
"hinaus",87
"schlug",87
"schritt",87
"führen",86
"arm",85
"straße",85
"stelle",83
"abend",82
"garten",82
"gesicht",82
"stunde",82
"fast",81
"große",81
"kamen",81
"lang",81
"leicht",81
"mensch",81
"paar",81
"hielt",80
"ach",79
"fenster",79
"darüber",78
"zusammen",78
"arme",77
"ende",77
"gedanken",77
"neben",77
"schönen",77
"wald",77
"ward",77
"wege",77
"dachte",76
"denken",76
"wohin",76
"beide",75
"denen",75
"schloß",75
"warum",75
"fiel",74
"weiten",74
"geworden",73
"selber",73
"augenblick",72
"auge",71
"freund",71
"glück",70
"suchen",70
"worden",70
"gegend",69
"kommt",69
"wort",69
"bleiben",68
"erde",68
"freilich",68
"gefunden",68
"herrn",68
"vorbei",68
"blick",67
"eilte",67
"junge",67
"schritte",67
"wirklich",67
"art",66
"jungen",66
"suchte",66
"wandte",66
