hypernym,hp,all,fish.odds,fish.p
communication,1062,211398,1.217339089,6.47728921086824e-10
instrumentality,995,209445,1.1505424164,1.64655476581435e-05
auditory_communication,420,66167,1.5374998291,2.18959831480095e-16
change,317,57544,1.3335343887,1.04391265403148e-06
writing,184,32523,1.3691570558,4.73369135813006e-05
music,155,19837,1.8913855193,6.41090510938356e-13
musical_composition,129,13630,2.290905613,1.14869712634233e-16
expressive_style,111,12090,2.2221240486,1.11063979866179e-13
speech,109,18021,1.4635302957,0.0001938391
geological_formation,119,44821,0.6418401409,2.79101668784424e-07
body_of_water,124,44010,0.6811853766,6.53965299534681e-06
quality,181,63093,0.6934326401,2.36021222472652e-07
time_period,442,130287,0.8198976782,1.97645076183592e-05
fundamental_quantity,452,134629,0.8113461921,5.10042520255293e-06
measure,1002,272008,0.8900565887,0.0002060884
attribute,2253,599227,0.907565858,4.13397753014751e-06
