year,exclam.year,quest.year,period.year,comma.year,semi.year,colon.year,total.year
1791,0.0023517012,0.0035255413,0.0422664336,0.0845731794,0.0122242124,0.0038474668,0.1522737553
1792,0.0058104946,0.0046323854,0.0433463537,0.0826068559,0.0137638736,0.001451127,0.1520516165
1793,0.0019927577,0.0020350048,0.0303960136,0.086308696,0.0168440037,0.0025124902,0.1416536156
1794,0.0045937551,0.0032412452,0.0357796071,0.0910974345,0.010906563,0.002433975,0.1485479335
1795,0.0040986195,0.0027170791,0.043380177,0.0823779746,0.0096638919,0.0032884542,0.1479180857
1796,0.0047895494,0.0042288746,0.0361409826,0.0919123949,0.0122238942,0.0038978401,0.1558802459
1797,0.006511493,0.0037669047,0.0430997015,0.0950387186,0.0150784137,0.0019243482,0.1661956036
1798,0.0032709764,0.0038039388,0.0389993805,0.0864668111,0.0136412633,0.0020693552,0.150652579
1799,0.0033381612,0.0037454267,0.0435000693,0.0838669954,0.0082417033,0.0034581066,0.146980793
1800,0.0031085442,0.0041869311,0.041035223,0.0892383442,0.0100997449,0.0029802913,0.1550433343
1801,0.0035075377,0.0033878751,0.04198477,0.0876636559,0.0110343492,0.0037445345,0.1539784003
1802,0.0039329924,0.0027288505,0.0361230834,0.080595768,0.0139712201,0.0036582762,0.1427182556
1803,0.0044220192,0.0030805204,0.0357964765,0.0825581244,0.0146251855,0.0048156793,0.1485112447
1804,0.0037665884,0.0034116892,0.0423966081,0.0902831682,0.0139356396,0.0039234731,0.1603017891
1805,0.0059443583,0.003426234,0.0335333443,0.0881500904,0.0125145259,0.0042790104,0.149009997
1806,0.0043703436,0.0025607711,0.0345421651,0.0834701429,0.0134252705,0.0044328398,0.1443020931
1807,0.0046538566,0.0031150954,0.0346119382,0.0891600221,0.0145087262,0.0045126907,0.1518559154
1808,0.0038755381,0.002694065,0.0365005165,0.0922017368,0.0135697223,0.0040769423,0.1551391823
1809,0.0030763825,0.0026654009,0.0333335552,0.089025838,0.0141485864,0.0036487815,0.1474637098
1810,0.0037453581,0.0026183025,0.0326135355,0.0890746217,0.0132900699,0.0030919971,0.1458167741
1811,0.004160417,0.0025408822,0.0331610546,0.0851466994,0.0128387785,0.0031511178,0.142942723
1812,0.0040899983,0.0035694775,0.0380929398,0.0875914019,0.015326018,0.0031435314,0.1530914759
1813,0.0043923217,0.0030249274,0.0328455667,0.088406965,0.0148707932,0.0030813875,0.1487949342
1814,0.0044938429,0.0031646131,0.0361227489,0.0919251217,0.0128873758,0.0026869568,0.1522538551
1815,0.0040964346,0.0028337315,0.03228559,0.0916901792,0.0144354362,0.0027661881,0.1491217797
1816,0.003999267,0.0043483222,0.0358985168,0.0914622345,0.0172847169,0.0028504196,0.1568696331
1817,0.0046379535,0.002777753,0.0347598088,0.0900733984,0.0133755439,0.0029468301,0.1495844027
1818,0.0040903434,0.0030181772,0.034124659,0.0870164682,0.0136357951,0.0024247389,0.1457661879
1819,0.0032114635,0.0027603354,0.0329528335,0.0927856072,0.01121348,0.0027369794,0.1472843178
1820,0.0043871375,0.0034652526,0.0309759363,0.0874631396,0.0117045649,0.0019240727,0.1413304296
1821,0.003426929,0.002791824,0.0321702241,0.0935313791,0.0137654884,0.0024658709,0.1494089856
1822,0.0045291046,0.0033135856,0.0310991864,0.0945639186,0.0126737,0.002442298,0.1498835764
1823,0.0044528056,0.0035799256,0.0340741195,0.0952295558,0.0134646572,0.0014144656,0.1531623606
1824,0.0041459154,0.0035349125,0.033675106,0.0909160376,0.0118616692,0.0018890221,0.1471191871
1825,0.0036970038,0.0029790298,0.0343877623,0.0951824869,0.0130193932,0.0026197176,0.1532438327
1826,0.0050063081,0.003148576,0.035120297,0.0915093589,0.0126281238,0.0021034344,0.1507083779
1827,0.0035269628,0.0029863088,0.033583089,0.0940894901,0.0119517572,0.0021081513,0.1498992356
