filenames,total.words,quest,exclam,period,comma,total
"DE_1771_La Roche,Sophievon_GeschichtedesFräuleinsvonSternheim_Novel.txt",99718,0.0037104635,0.0047734612,0.0321506649,0.0885497102,0.1487695301
"DE_1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel.txt",35291,0.0035986512,0.0137995523,0.0432971579,0.1144767788,0.1800459041
"DE_1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel.txt",107665,0.0043839688,0.005210607,0.0281614266,0.1104165699,0.1651325872
"DE_1776_Nicolai,Friedrich_SebaldusNothanker_Novel.txt",123009,0.0031054638,0.0034631612,0.0365908186,0.09846434,0.1515742751
"DE_1779_Campe,Joachim_Robinson_Novel.txt",100079,0.0073841665,0.0114909222,0.0470028677,0.0945852776,0.174941796
"DE_1779_Jacobi,Friedrich_Woldemar_Novel.txt",29153,0.0061743217,0.0130346791,0.039001132,0.0934723699,0.1795355538
"DE_1780_Wezel,Johann_HermannundUlrike_Novel.txt",259101,0.0055306618,0.0109957121,0.0312773783,0.0874369454,0.1571008989
"DE_1785_Moritz,KarlPhilipp_AntonReiser_Novel.txt",132727,0.000776029,0.0012582218,0.031252119,0.103905008,0.1433920755
"DE_1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel.txt",25028,0.0029167333,0.0041953013,0.0176202653,0.095852645,0.1283762186
"DE_1787_Heinse,Johann_Ardinghello_Novel.txt",103541,0.0025980047,0.0049642171,0.0369805198,0.08808105,0.1587100762
"DE_1788_Ehrmann,Marianne_Amalie.EinewahreGeschichteinBriefen_Novel.txt",118734,0.0059376421,0.016987552,0.0411508077,0.0893088753,0.163264103
"DE_1788_Ehrmann,Marianne_NinasBriefeanihrenGeliebten_Novel.txt",44222,0.0116684003,0.0283117001,0.0353443987,0.1063045543,0.1868526978
"DE_1788_Naubert,Benedikte_HermannvonUnna_Novel.txt",131172,0.0060759918,0.0090949288,0.0296176013,0.1164577806,0.166697161
"DE_1789_Schiller,Friedrich_DerGeisterseher_Novel.txt",42413,0.0099262019,0.0033008747,0.0449626294,0.0993563294,0.1636762313
"DE_1791_Klinger,Friedrich_FaustsLeben_Novel.txt",64420,0.0061005899,0.0058211735,0.0354703508,0.1017385905,0.1613318845
"DE_1791_Knigge,Adolph_BenjaminNoldmann_Novel.txt",93437,0.0016588718,0.002579278,0.0285968085,0.1081584383,0.1548208954
"DE_1791_Naubert,Benedikte_AlfvonDülmen_Novel.txt",100575,0.005110614,0.0079840915,0.0228088491,0.1259656972,0.1726969923
"DE_1791_Naubert,Benedikte_DieAmtmanninvonHohenweiler_Novel.txt",114583,0.0039098296,0.003543283,0.0281018999,0.122749448,0.1660630285
"DE_1792_Jacobi,Friedrich_EduardAllwill_Novel.txt",46263,0.0052093466,0.0091001448,0.0408966128,0.1099366665,0.1940859866
"DE_1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel.txt",196802,0.003180862,0.0045782055,0.035462038,0.1100090446,0.1656995356
"DE_1795_Paul,Jean_Hesperus_Novel.txt",247851,0.0022473179,0.0039701272,0.0277666824,0.0818758044,0.1356056663
"DE_1795_Wobeser,Karoline_Elisa_Novel.txt",74761,0.0056981581,0.0192613796,0.0459597919,0.11225104,0.2059228742
"DE_1796_Huber,Therese_FamilieSeldorf_Novel.txt",92497,0.0020973653,0.0047244776,0.0233953534,0.1098954561,0.1561996605
"DE_1796_Huber,Therese_Luise_Novel.txt",39307,0.0014755641,0.0024931946,0.0330475488,0.1095733584,0.1628208716
"DE_1796_Paul,Jean_QuintusFixlein_Novel.txt",77563,0.0015342367,0.0026945838,0.0278741152,0.0831066359,0.1344971185
"DE_1796_Tieck,Ludwig_WilliamLovell_Novel.txt",160280,0.004816571,0.0044422261,0.0332979785,0.1015160968,0.1560706264
"DE_1797_Paul,Jean_Siebenkäs_Novel.txt",177872,0.0022881623,0.0029684267,0.0291220653,0.0841504003,0.1368568409
"DE_1798_La Roche,Sophie von_ErscheinungenamSeeOneida_Novel.txt",102992,0.002466211,0.0045246233,0.0250116514,0.1134845425,0.1600027187
"DE_1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel.txt",102751,0.0049537231,0.0036204027,0.0336249769,0.1154538642,0.1675701453
"DE_1798_Unger,Friederike_JulchenGrünthal_Novel.txt",98127,0.0054215455,0.008815107,0.0406208281,0.1048131503,0.1793797833
"DE_1798_Wolzogen,Caroline_AgnesvonLilien_Novel.txt",80339,0.0025267927,0.0052527415,0.0455320579,0.0941759295,0.1554537647
DE_1799_Hölderlin_Hyperion_Novel.txt,76990,0.0065592934,0.0170671516,0.0361995064,0.1186128069,0.1864787635
"DE_1799_Schlegel,Friedrich_Lucinde_Novel.txt",30043,0.0039942749,0.0034284193,0.039743035,0.0740937989,0.1302133608
DE_1800_Novalis_HeinrichvonOfterdingen_Novel.txt,45969,0.0026757162,0.0011964585,0.0497074115,0.0869281472,0.1482303291
"DE_1801_Fischer,Caroline Auguste_VierzehnTageinParis_Novel.txt",13541,0.0065726313,0.0288014179,0.0601875785,0.0695665017,0.1734731556
"DE_1801_Fischer,CarolineAuguste_GustavsVerirrungen_Novel.txt",19884,0.0106618387,0.0322369745,0.0576342788,0.0666364917,0.1824582579
"DE_1801_Schlegel,Dorothea_Florentin_Novel.txt",56909,0.005060711,0.0070111933,0.037393031,0.1055193379,0.1685146462
"DE_1802_Arnim,Achimvon_HollinsLiebeleben_Novel.txt",26110,0.0022596706,0.0036001532,0.0347376484,0.1088088855,0.1557640751
"DE_1802_Brentano,Clemens_Godwi_Novel.txt",137122,0.0030702586,0.0032234069,0.033240472,0.1155540322,0.1672598124
"DE_1802_Fischer,CarolineAuguste_DieHonigmonathe_Novel.txt",34064,0.0131810709,0.0248062471,0.0690171442,0.0695455613,0.187734852
"DE_1803_Mereau,Sophie_AmandaundEduard_Novel.txt",50773,0.0045102712,0.0119354775,0.0326945424,0.128040494,0.186142241
"DE_1803_Paul,Jean_Titan_Novel.txt",266008,0.0032780969,0.0055223903,0.0310103456,0.0795239241,0.140461941
"DE_1804_Unger,FriederikeHelene_AlbertundAlbertine_Novel.txt",44981,0.0057579867,0.0133167337,0.0406171495,0.102487717,0.1793646206
"DE_1805_Klingemann,August_DieNachtwachendesBonaventura_Novel.txt",38852,0.0017244929,0.0066663235,0.0267682487,0.0926850613,0.1382425615
"DE_1805_Paul,Jean_Flegeljahre_Novel.txt",158780,0.0034576143,0.0035835748,0.0352437335,0.0904270059,0.1491119788
"DE_1806_Unger,FriederikeHelene_BekenntnisseeinerschönenSeele_Novel.txt",49503,0.0019190756,0.0006868271,0.0332909117,0.1060945801,0.1576672121
"DE_1809_Goethe,Johann_DieWahlverwandtschaften_Novel.txt",80197,0.0021322493,0.0026933676,0.0416100353,0.0962130753,0.1571629861
"DE_1810_Arnim,Achimvon_ArmutReichtumSchuldUndBusseDerGrafinDolores_Novel.txt",165885,0.0015613226,0.0015613226,0.0266389366,0.1002320885,0.151858215
"DE_1810_Fouqué,CarolinedelaMotte_DieFraudesFalkensteins_Novel.txt",66553,0.0044325575,0.0068667077,0.0430784488,0.1118657311,0.1741619461
"DE_1812_Fischer,CarolineAuguste_Margarethe_Novel.txt",37952,0.0114091484,0.0216589376,0.0488248314,0.0995994941,0.1933494941
"DE_1812_Fouqué,CarolinedelaMotte_MagiederNatur_Novel.txt",41983,0.0030250339,0.0098611343,0.0347283424,0.1262653931,0.1776433318
"DE_1814_Ahlefeld,Charlottevon_MarieMüller_Novel.txt",42764,0.0039753063,0.0064540268,0.0362688242,0.1247076981,0.1748667103
"DE_1815_Eichendorff,Josephvon_AhnungUndGegenwart_Novel.txt",98465,0.0017468136,0.0040014218,0.0449499822,0.0971004926,0.1528157213
"DE_1815_Hoffmann,E.T.A_DieElixiereDesTeufels_Novel.txt",147049,0.0032710185,0.0080789397,0.037021673,0.1151656931,0.1732823753
"DE_1817_Arnim,Achimvon_DieKronenwachterErsterBandBertholdsErstesUndZweitesLeben_Novel.txt",101431,0.0013506719,0.0012619416,0.0276049728,0.1121353432,0.147893642
