"title","id","collection"
"00000001.txt","pos","C20"
"00000037.txt","neg","C20"
"00000080.txt","neg","C20"
"00000083.txt","pos","C20"
"00000086.txt","pos","C20"
"00000107.txt","pos","C20"
"00000130.txt","pos","C20"
"00000183.txt","pos","C20"
"00000221.txt","neg","C20"
"00000241.txt","pos","C20"
"00000243.txt","pos","C20"
"00000244.txt","neg","C20"
"00000253.txt","pos","C20"
"00000309.txt","pos","C20"
"00000310.txt","neg","C20"
"00004763.txt","neg","C20"
"00000381.txt","neg","C20"
"00000401.txt","neg","C20"
"00000449.txt","neg","C20"
"00000450.txt","pos","C20"
"00000475.txt","neg","C20"
"00000515.txt","pos","C20"
"00000521.txt","neg","C20"
"00000524.txt","neg","C20"
"00000606.txt","neg","C20"
"00000671.txt","pos","C20"
"00000679.txt","pos","C20"
"00000698.txt","neg","C20"
"00000699.txt","neg","C20"
"00000711.txt","neg","C20"
"00000714.txt","neg","C20"
"00004764.txt","pos","C20"
"00000766.txt","pos","C20"
"00000790.txt","neg","C20"
"00000792.txt","pos","C20"
"00000822.txt","neg","C20"
"00000846.txt","neg","C20"
"00000877.txt","neg","C20"
"00000879.txt","pos","C20"
"00000902.txt","pos","C20"
"00000930.txt","pos","C20"
"00000980.txt","pos","C20"
"00000986.txt","neg","C20"
"00001085.txt","neg","C20"
"00001089.txt","neg","C20"
"00001130.txt","neg","C20"
"00001131.txt","pos","C20"
"00001161.txt","neg","C20"
"00001176.txt","neg","C20"
"00001177.txt","pos","C20"
"00001185.txt","pos","C20"
"00001186.txt","pos","C20"
"00001192.txt","pos","C20"
"00001196.txt","pos","C20"
"00001273.txt","pos","C20"
"00001291.txt","neg","C20"
"00001312.txt","pos","C20"
"00001315.txt","pos","C20"
"00001362.txt","pos","C20"
"00001366.txt","neg","C20"
"00001382.txt","neg","C20"
"00001384.txt","neg","C20"
"00001415.txt","pos","C20"
"00001437.txt","pos","C20"
"00001443.txt","neg","C20"
"00001457.txt","pos","C20"
"00001530.txt","pos","C20"
"00001601.txt","pos","C20"
"00001629.txt","neg","C20"
"00001666.txt","pos","C20"
"00001725.txt","neg","C20"
"00001729.txt","pos","C20"
"00001734.txt","neg","C20"
"00001752.txt","neg","C20"
"00001757.txt","pos","C20"
"00001785.txt","neg","C20"
"00001786.txt","neg","C20"
"00001828.txt","pos","C20"
"00001850.txt","pos","C20"
"00001884.txt","pos","C20"
"00002050.txt","pos","C20"
"00002076.txt","pos","C20"
"00002080.txt","pos","C20"
"00002092.txt","pos","C20"
"00002099.txt","neg","C20"
"00002152.txt","neg","C20"
"00002202.txt","pos","C20"
"00002217.txt","neg","C20"
"00002225.txt","neg","C20"
"00002234.txt","pos","C20"
"00002238.txt","pos","C20"
"00002256.txt","neg","C20"
"00002294.txt","pos","C20"
"00002304.txt","pos","C20"
"00002309.txt","neg","C20"
"00002310.txt","pos","C20"
"00002385.txt","neg","C20"
"00002419.txt","neg","C20"
"00002437.txt","neg","C20"
"00002475.txt","neg","C20"
"00002482.txt","pos","C20"
"00002499.txt","neg","C20"
"00002612.txt","pos","C20"
"00002615.txt","pos","C20"
"00002617.txt","pos","C20"
"00002619.txt","neg","C20"
"00002691.txt","neg","C20"
"00002753.txt","pos","C20"
"00002761.txt","pos","C20"
"00002762.txt","neg","C20"
"00002763.txt","neg","C20"
"00002767.txt","pos","C20"
"00002786.txt","pos","C20"
"00002837.txt","neg","C20"
"00002888.txt","neg","C20"
"00002889.txt","neg","C20"
"00002890.txt","pos","C20"
"00002943.txt","pos","C20"
"00002948.txt","pos","C20"
"00002988.txt","pos","C20"
"00003019.txt","pos","C20"
"00003054.txt","pos","C20"
"00003085.txt","neg","C20"
"00003255.txt","pos","C20"
"00003269.txt","pos","C20"
"00003270.txt","pos","C20"
"00003305.txt","neg","C20"
"00003352.txt","neg","C20"
"00003381.txt","neg","C20"
"00003382.txt","pos","C20"
"00003439.txt","pos","C20"
"00003462.txt","pos","C20"
"00003487.txt","pos","C20"
"00003504.txt","pos","C20"
"00003516.txt","neg","C20"
"00003517.txt","pos","C20"
"00003586.txt","neg","C20"
"00003629.txt","neg","C20"
"00003681.txt","neg","C20"
"00004849.txt","pos","C20"
"00003698.txt","neg","C20"
"00003699.txt","pos","C20"
"00003700.txt","pos","C20"
"00003713.txt","pos","C20"
"00003747.txt","pos","C20"
"00003750.txt","neg","C20"
"00003765.txt","neg","C20"
"00003785.txt","pos","C20"
"00003814.txt","pos","C20"
"00003863.txt","neg","C20"
"00004856.txt","pos","C20"
"00003950.txt","pos","C20"
"00003963.txt","pos","C20"
"00003980.txt","pos","C20"
"00003981.txt","pos","C20"
"00004019.txt","neg","C20"
"00004023.txt","pos","C20"
"00004054.txt","pos","C20"
"00004075.txt","neg","C20"
"00004099.txt","pos","C20"
"00004100.txt","pos","C20"
"00004138.txt","neg","C20"
"00004171.txt","pos","C20"
"00004187.txt","pos","C20"
"00004249.txt","neg","C20"
"00004280.txt","neg","C20"
"00004289.txt","pos","C20"
"00004338.txt","neg","C20"
"00004372.txt","pos","C20"
"00004381.txt","pos","C20"
"00004407.txt","neg","C20"
"00004408.txt","pos","C20"
"00004415.txt","neg","C20"
"00004431.txt","pos","C20"
"00004455.txt","neg","C20"
"00004464.txt","pos","C20"
"00004485.txt","pos","C20"
"00004506.txt","pos","C20"
"00004527.txt","pos","C20"
"00004538.txt","neg","C20"
"00004559.txt","pos","C20"
"00004593.txt","pos","C20"
"00004599.txt","neg","C20"
"00004620.txt","pos","C20"
"00004655.txt","neg","C20"
"00004657.txt","pos","C20"
"00004673.txt","pos","C20"
"00004690.txt","neg","C20"
