"","date","means","variable","date.adj"
"total.words","1866",290.421511627907,"total.words",1901
"no.lines","1866",40.4171511627907,"no.lines",1901
"quest","1866",0.00560565448357558,"quest",1901
"quest.line","1866",0.0409523361482558,"quest.line",1901
"exclam","1866",0.00903450141453488,"exclam",1901
"exclam.line","1866",0.0636702319011628,"exclam.line",1901
"period","1866",0.0368299898531977,"period",1901
"period.line","1866",0.257832622848837,"period.line",1901
"comma","1866",0.0918930334156977,"comma",1901
"comma.line","1866",0.666623019287791,"comma.line",1901
"total","1866",0.159961032703488,"total",1901
"total.line","1866",1.14469953241279,"total.line",1901
"total.words1","1867",261.129899216125,"total.words",1902
"no.lines1","1867",35.8230683090705,"no.lines",1902
"quest1","1867",0.00534999175946249,"quest",1902
"quest.line1","1867",0.0366089759820829,"quest.line",1902
"exclam1","1867",0.0115196286928331,"exclam",1902
"exclam.line1","1867",0.0776335244176932,"exclam.line",1902
"period1","1867",0.0334979386024636,"period",1902
"period.line1","1867",0.235738487368421,"period.line",1902
"comma1","1867",0.0846566295767077,"comma",1902
"comma.line1","1867",0.613559587458007,"comma.line",1902
"total1","1867",0.158940276338186,"total",1902
"total.line1","1867",1.1331794506159,"total.line",1902
"total.words2","1868",545.316129032258,"total.words",1903
"no.lines2","1868",76.3935483870968,"no.lines",1903
"quest2","1868",0.00657301631612903,"quest",1903
"quest.line2","1868",0.0428212798709677,"quest.line",1903
"exclam2","1868",0.0150571876,"exclam",1903
"exclam.line2","1868",0.099399314,"exclam.line",1903
"period2","1868",0.0308386250451613,"period",1903
"period.line2","1868",0.206986099096774,"period.line",1903
"comma2","1868",0.092389070516129,"comma",1903
"comma.line2","1868",0.625773515483871,"comma.line",1903
"total2","1868",0.168764586,"total",1903
"total.line2","1868",1.13461829548387,"total.line",1903
"total.words3","1869",769.723537604457,"total.words",1904
"no.lines3","1869",112.537256267409,"no.lines",1904
"quest3","1869",0.0054975700979805,"quest",1904
"quest.line3","1869",0.0386625387110028,"quest.line",1904
"exclam3","1869",0.00924751685188022,"exclam",1904
"exclam.line3","1869",0.0652962388064067,"exclam.line",1904
"period3","1869",0.0332177477465181,"period",1904
"period.line3","1869",0.233717069672702,"period.line",1904
"comma3","1869",0.0936416735306407,"comma",1904
"comma.line3","1869",0.662992205501393,"comma.line",1904
"total3","1869",0.161470421977716,"total",1904
"total.line3","1869",1.14588116420613,"total.line",1904
"total.words4","1870",480.019689119171,"total.words",1905
"no.lines4","1870",70.0663212435233,"no.lines",1905
"quest4","1870",0.00524971841720207,"quest",1905
"quest.line4","1870",0.0345159874642487,"quest.line",1905
"exclam4","1870",0.00999022301450777,"exclam",1905
"exclam.line4","1870",0.0608296002248705,"exclam.line",1905
"period4","1870",0.0317272515409326,"period",1905
"period.line4","1870",0.199028906476684,"period.line",1905
"comma4","1870",0.0924262480549223,"comma",1905
"comma.line4","1870",0.598481073948187,"comma.line",1905
"total4","1870",0.162506866818653,"total",1905
"total.line4","1870",1.04327158134715,"total.line",1905
"total.words5","1871",208.487951807229,"total.words",1906
"no.lines5","1871",29.9382530120482,"no.lines",1906
"quest5","1871",0.00641880148795181,"quest",1906
"quest.line5","1871",0.0477598793192771,"quest.line",1906
"exclam5","1871",0.00827786768433735,"exclam",1906
"exclam.line5","1871",0.0559500115195783,"exclam.line",1906
"period5","1871",0.0359761390346386,"period",1906
"period.line5","1871",0.249982985075301,"period.line",1906
"comma5","1871",0.0795855726912651,"comma",1906
"comma.line5","1871",0.564400834698795,"comma.line",1906
"total5","1871",0.150084140768072,"total",1906
"total.line5","1871",1.06137125768072,"total.line",1906
"total.words6","1872",220.258142340169,"total.words",1907
"no.lines6","1872",30.8317249698432,"no.lines",1907
"quest6","1872",0.00559658281737033,"quest",1907
"quest.line6","1872",0.0402881717599518,"quest.line",1907
