word,word1,word2,fish.odds,fish.p
die,1543,7267,4.6329739976,0
again,4215,20716,4.4813605565,0
home,2388,12398,4.214413203,0
sea,2990,16241,4.0361398352,0
away,3545,20035,3.8860588903,0
sleep,1707,10075,3.6972866568,0
alone,1609,9791,3.5849169422,0
gone,1662,10268,3.531474586,0
sky,2206,13884,3.4725311661,0
death,2268,15275,3.2449764786,0
air,2346,15820,3.2417313685,0
dead,2462,17730,3.0359301684,0
water,2134,16018,2.9094243623,0
day,3036,24294,2.7356382697,0
head,1782,14315,2.7151877135,1.89690467441625e-267
sun,2169,18175,2.6056446415,1.94171380016858e-302
night,3018,25714,2.5681494509,0
place,1543,13125,2.561931022,7.96594229357433e-210
him,5060,44750,2.4875831158,0
me,9070,81236,2.4833415161,0
face,2047,18352,2.433735076,6.1727422938939e-252
them,4480,40651,2.4201749802,0
hand,1747,15913,2.3933755065,1.34879962375918e-208
world,2632,24087,2.3876969787,6.20832070612977e-311
life,2602,24706,2.3008287322,3.26281510875993e-285
earth,1605,15314,2.2837295601,1.41448386605742e-174
light,2858,27546,2.267895037,1.14576332345199e-303
eyes,2887,28433,2.2193539721,9.03380998020077e-293
heart,1943,20037,2.1139932322,9.94944184197396e-178
time,2836,29647,2.0897811997,7.42212296097095e-251
god,1572,16621,2.0599596072,1.05568322612069e-135
us,3266,35691,2.0005019942,1.00944359829708e-258
here,2539,27954,1.9822753436,2.43353785789739e-197
way,1839,20236,1.9802521307,1.91016465120034e-143
nothing,1576,17469,1.9646498217,7.4454717950765e-121
said,2125,23973,1.9325434788,4.97622453678173e-155
love,2663,31936,1.8193047921,5.43131573718688e-163
back,2311,27979,1.8007586674,1.46044159381233e-137
go,1807,23052,1.7068394098,2.71520781800898e-91
man,2150,30305,1.5448335831,1.99660951165617e-74
down,2687,38967,1.5024615299,6.35904027307227e-82
know,1761,26193,1.4626427498,3.6532186025286e-48
it,9690,159853,1.3298342154,3.57633965747378e-145
more,1724,30806,1.2161352962,1.82305415542916e-14
there,3242,58978,1.1957531042,8.93488313685336e-22
now,2452,44812,1.1895174635,4.55723445733758e-16
out,2978,57471,1.1261843609,6.700470078498e-10
