language,k,filename,word.count,dissimilarity.change,dissimilarity.change.absolute,p,z,z.absolute
german,7,"1779_Campe,Joachim_Robinson_Novel_1.txt",99149,-0.1110176619,0.1110176619,1.567907664024E-008,-2.1278418107,1.5888711913
german,68,"1829_Goethe,Johann_WilhelmMeistersWanderjahre_Novel_1.txt",134417,-0.0943012937,0.0943012937,2.58973390133222E-011,-1.8455071694,1.1920636932
german,131,"1903_Frapan,Ilse_Arbeit_Novel_1.txt",75278,-0.0892717306,0.0892717306,1.37581285709432E-009,-1.7605592984,1.0726736248
german,137,"1910_Rilke,RainerMaria_MalteLauridsBrigge_Novel_1.txt",59228,-0.0860534125,0.0860534125,2.45239359160047E-008,-1.7062028323,0.9962782762
german,94,"1857_Stifter,Adalbert_DerNachsommer_Novel_1.txt",247970,-0.0859476737,0.0859476737,0.0051264138,-1.7044169356,0.9937682859
german,91,"1852_Alexis,Willibald_RuheistdieersteBürgerpflicht_Novel_1.txt",309607,-0.0812799452,0.0812799452,6.24334168471526E-009,-1.6255803466,0.8829673248
german,19,"1791_Naubert,Benedikte_AlfvonDülmen_Novel_1.txt",100348,-0.0783553875,0.0783553875,1.21943486862477E-007,-1.5761854096,0.8135451621
german,26,"1796_Huber,Therese_Luise_Novel_1.txt",39009,-0.0641176471,0.0641176471,2.74203825013929E-007,-1.3357140764,0.4755744914
german,71,"1835_Arnim,Bettinevon_Goethe'sBriefwechselMitEinemKinde_Novel_1.txt",130022,-0.0636503067,0.0636503067,0.000698856,-1.3278208332,0.4644809251
german,61,"1822_Bernhardi,Sophie_Evremont_Novel_1.txt",223004,-0.0621326616,0.0621326616,0.0102989679,-1.3021882445,0.4284555782
german,85,"1846_Gotthelf,Jeremias_WieUliderKnecht_Novel_1.txt",133531,-0.0614880098,0.0614880098,0.0149761397,-1.2913002616,0.4131530519
german,64,"1826_Eichendorff,Josephvon_AusDemLebenEinesTaugenichts_Novel_1.txt",37732,-0.0608938547,0.0608938547,1.43225765762586E-005,-1.2812651533,0.3990491992
