"","source","target","weight","type"
"1","dörr","lene",16,"undirected"
"4","botho","lene",25,"undirected"
"5","garten","lene",3,"undirected"
"7","balafré","lene",1,"undirected"
"8","käthe","lene",1,"undirected"
"9","isabeau","lene",1,"undirected"
"10","johanna","lene",1,"undirected"
"14","dörr","nimptsch",4,"undirected"
"15","lene","nimptsch",5,"undirected"
"17","botho","nimptsch",6,"undirected"
"27","dörr","schloß",1,"undirected"
"28","lene","schloß",3,"undirected"
"30","botho","schloß",2,"undirected"
"31","garten","schloß",1,"undirected"
"32","pitt","schloß",1,"undirected"
"34","käthe","schloß",1,"undirected"
"40","dörr","garten",1,"undirected"
"43","botho","garten",3,"undirected"
"56","botho","dörr",13,"undirected"
"66","dörr","pitt",2,"undirected"
"67","lene","pitt",3,"undirected"
"69","botho","pitt",3,"undirected"
"72","balafré","pitt",1,"undirected"
"73","käthe","pitt",1,"undirected"
"74","isabeau","pitt",1,"undirected"
"75","johanna","pitt",1,"undirected"
"76","margot","pitt",1,"undirected"
"79","dörr","serge",1,"undirected"
"80","lene","serge",2,"undirected"
"82","botho","serge",2,"undirected"
"84","pitt","serge",2,"undirected"
"85","balafré","serge",2,"undirected"
"87","isabeau","serge",2,"undirected"
"88","johanna","serge",1,"undirected"
"89","margot","serge",1,"undirected"
"92","dörr","käthe",1,"undirected"
"111","balafré","botho",1,"undirected"
"121","botho","isabeau",1,"undirected"
"124","balafré","isabeau",2,"undirected"
"134","botho","johanna",1,"undirected"
"137","balafré","johanna",1,"undirected"
"139","isabeau","johanna",1,"undirected"
"145","lene","margot",1,"undirected"
"147","botho","margot",1,"undirected"
"150","balafré","margot",1,"undirected"
"152","isabeau","margot",1,"undirected"
"153","johanna","margot",1,"undirected"
