X,segment,ttr,ant1,ant2,syn1,syn2,ant.syn1,ant.syn2
1,500,0.5879917184,0.0003152424,0.0742268041,0.0006304848,0.1711340206,0.5,0.4337349398
2,1000,0.525,0.0001896469,0.0405679513,0.0006431504,0.1582150101,0.2948717949,0.2564102564
3,1500,0.5641547862,0.0001042084,0.038,0.0006893788,0.144,0.1511627907,0.2638888889
4,2000,0.5654885655,7.15700073956e-05,0.0258964143,0.0008667923,0.1673306773,0.0825688073,0.1547619048
5,2500,0.5435684647,0.0002109431,0.0422535211,0.0007220744,0.1911468813,0.2921348315,0.2210526316
6,3000,0.6144329897,0.0001904194,0.0569105691,0.0006871657,0.1849593496,0.2771084337,0.3076923077
7,3500,0.5473251029,0.0001866035,0.0442655936,0.000624716,0.1589537223,0.2987012987,0.2784810127
8,4000,0.4947368421,0.0001009863,0.0348360656,0.0010856027,0.1987704918,0.0930232558,0.175257732
9,4500,0.5062240664,9.735834361e-05,0.0261569416,0.0007788667,0.2052313883,0.125,0.1274509804
10,5000,0.5382978723,5.26301939423e-05,0.0209205021,0.0011227775,0.230125523,0.046875,0.0909090909
11,5500,0.5243128964,0.0001811579,0.0414937759,0.0010351878,0.1970954357,0.175,0.2105263158
12,6000,0.5855670103,8.67809018902e-05,0.0238095238,0.0009309224,0.2162698413,0.093220339,0.1100917431
13,6500,0.5269709544,7.39092230498e-05,0.0303643725,0.0009361835,0.2105263158,0.0789473684,0.1442307692
14,7000,0.6160164271,0.0002012056,0.0440881764,0.0006519062,0.1583166333,0.3086419753,0.2784810127
15,7500,0.5529661017,0.0002183768,0.0542797495,0.0008036268,0.1711899791,0.2717391304,0.3170731707
16,8000,0.55625,0.0002197041,0.0698151951,0.0004901091,0.1642710472,0.4482758621,0.425
17,8500,0.5562632696,0.000113556,0.0313152401,0.0007512164,0.1691022965,0.1511627907,0.1851851852
18,9000,0.5610766046,7.5739724644e-05,0.0245901639,0.0006227488,0.1680327869,0.1216216216,0.1463414634
