filenames,synonymy,total.words,ttr
00000011_1.txt,0.2862823062,504,0.4464285714
00000011_14000.txt,0.1790123457,494,0.5344129555
00000011_18500.txt,0.2186234818,495,0.5353535354
00000011_23000.txt,0.1711340206,487,0.5215605749
00000011_27500.txt,0.2435897436,468,0.5363247863
00000011_32000.txt,0.2658486708,493,0.5050709939
00000011_36500.txt,0.174796748,498,0.5542168675
00000011_41000.txt,0.1872427984,494,0.5222672065
00000011_45500.txt,0.2090163934,493,0.5314401623
00000011_5000.txt,0.1961620469,472,0.5423728814
00000011_54500.txt,0.2206185567,485,0.4659793814
00000011_59000.txt,0.1622176591,496,0.4758064516
00000011_63500.txt,0.1673640167,484,0.5351239669
00000011_68000.txt,0.1922290389,490,0.5163265306
00000016_12000.txt,0.2105263158,478,0.5083682008
00000016_16500.txt,0.2468619247,481,0.5301455301
00000016_21000.txt,0.2556701031,487,0.5400410678
00000016_25500.txt,0.2073921971,489,0.5930470348
00000016_30000.txt,0.2202020202,500,0.542
00000016_3500.txt,0.2,491,0.5743380855
00000016_39500.txt,0.248447205,484,0.5041322314
00000016_44000.txt,0.1762295082,489,0.4539877301
00000016_48500.txt,0.185106383,472,0.5127118644
00000016_52500.txt,0.1793814433,492,0.5508130081
00000016_57000.txt,0.1913580247,495,0.604040404
00000016_7000.txt,0.2276422764,501,0.5628742515
00000017_100500.txt,0.236,501,0.5169660679
00000017_105000.txt,0.2073170732,493,0.5456389452
00000017_137000.txt,0.1947261663,496,0.5080645161
00000017_141500.txt,0.2641509434,477,0.4716981132
00000017_146000.txt,0.2237903226,499,0.4689378758
00000017_150000.txt,0.2566191446,493,0.5152129817
00000017_15500.txt,0.1898989899,498,0.5060240964
00000017_159500.txt,0.1663244353,492,0.5386178862
00000017_164000.txt,0.2320328542,490,0.5020408163
00000017_168500.txt,0.0797413793,469,0.5714285714
00000017_20500.txt,0.2289156627,498,0.5321285141
00000017_25000.txt,0.1652542373,473,0.5052854123
00000017_3000.txt,0.0291005291,379,0.5751978892
00000017_34500.txt,0.2172131148,490,0.4918367347
00000017_39000.txt,0.1097560976,496,0.5403225806
00000017_43500.txt,0.2418032787,492,0.5203252033
00000017_7500.txt,0.2231237323,502,0.4900398406
00000017_79500.txt,0.1491935484,500,0.546
00000017_84000.txt,0.1740890688,497,0.5452716298
00000017_88500.txt,0.2292089249,494,0.5263157895
00000017_93000.txt,0.2096436059,479,0.496868476
00000017_97500.txt,0.2332657201,493,0.5131845842
00000019_11500.txt,0.2199592668,491,0.5315682281
00000019_16000.txt,0.2912423625,497,0.4889336016
00000019_20500.txt,0.2012195122,496,0.5544354839
00000019_25000.txt,0.2052845528,495,0.5515151515
00000019_3000.txt,0.2137096774,499,0.5310621242
00000019_34500.txt,0.2688391039,492,0.5
00000019_39000.txt,0.2340862423,488,0.5081967213
00000019_43500.txt,0.2233606557,489,0.5357873211
00000038_13000.txt,0.2837301587,513,0.514619883
00000038_3500.txt,0.3692307692,528,0.4299242424
00000038_8000.txt,0.2806324111,512,0.486328125
00000046_101500.txt,0.2572614108,483,0.5155279503
00000046_106000.txt,0.2091097308,482,0.520746888
00000046_15500.txt,0.2614107884,484,0.4834710744
00000046_20000.txt,0.1775510204,494,0.5728744939
00000046_2500.txt,0.1659919028,496,0.5443548387
00000046_29500.txt,0.266802444,499,0.5450901804
00000046_34000.txt,0.2380952381,485,0.5422680412
00000046_38500.txt,0.1744680851,476,0.487394958
00000046_43000.txt,0.2555780933,495,0.5212121212
00000046_47500.txt,0.3152400835,484,0.5061983471
00000046_79000.txt,0.2175732218,478,0.4832635983
00000046_83500.txt,0.2118644068,472,0.5148305085
00000046_88000.txt,0.2908704883,473,0.5285412262
00000046_92500.txt,0.2208333333,483,0.5010351967
00000046_97000.txt,0.2606837607,470,0.4914893617
00000062_11000.txt,0.2426035503,513,0.5107212476
00000062_15500.txt,0.245508982,503,0.5208747515
00000062_20000.txt,0.2310756972,515,0.359223301
00000062_500.txt,0.2658730159,521,0.5527831094
00000062_9500.txt,0.2023809524,514,0.5875486381
00000083_13500.txt,0.198019802,507,0.5285996055
00000083_18000.txt,0.2222222222,506,0.5197628458
00000083_22500.txt,0.2093023256,520,0.5403846154
00000083_27000.txt,0.1952191235,508,0.5472440945
00000083_58500.txt,0.257367387,510,0.5058823529
00000086_10000.txt,0.2448979592,543,0.4198895028
00000086_104500.txt,0.2138728324,524,0.4885496183
00000086_109000.txt,0.2759924386,532,0.4379699248
00000086_113500.txt,0.1850393701,518,0.4826254826
00000086_118000.txt,0.1798418972,506,0.5296442688
00000086_15500.txt,0.1414342629,506,0.5019762846
00000086_20000.txt,0.251497006,503,0.5248508946
00000086_2500.txt,0.2366863905,510,0.5176470588
00000086_29500.txt,0.1952662722,516,0.503875969
00000086_34000.txt,0.2230623819,531,0.4369114878
00000086_38500.txt,0.1740812379,523,0.4894837476
00000086_43000.txt,0.220754717,535,0.4280373832
00000086_74500.txt,0.2742857143,528,0.4185606061
00000086_79000.txt,0.2441860465,520,0.5307692308
00000086_83500.txt,0.217221135,517,0.5164410058
00000086_88000.txt,0.2705223881,546,0.467032967
00000086_92500.txt,0.148,515,0.5650485437
00000086_97000.txt,0.2291666667,533,0.4502814259
00000091_100500.txt,0.1326530612,493,0.5963488844
00000091_105000.txt,0.1535353535,499,0.5390781563
00000091_11000.txt,0.2064777328,500,0.578
00000091_114500.txt,0.1892430279,503,0.5685884692
00000091_119000.txt,0.2515463918,485,0.5525773196
00000091_123500.txt,0.1731160896,492,0.5182926829
00000091_128000.txt,0.1926229508,490,0.5591836735
00000091_132500.txt,0.212,500,0.528
00000091_33000.txt,0.2158415842,505,0.4851485149
00000091_37500.txt,0.2419354839,498,0.578313253
00000091_42000.txt,0.200408998,490,0.5346938776
00000091_46500.txt,0.1875,501,0.5708582834
00000091_50500.txt,0.2505175983,484,0.5516528926
00000091_55000.txt,0.1871227364,497,0.5150905433
00000091_6000.txt,0.2119341564,487,0.5605749487
00000091_64500.txt,0.2458677686,486,0.5164609053
00000091_69000.txt,0.2454361055,494,0.5607287449
00000091_73500.txt,0.2138492872,493,0.5476673428
00000091_78000.txt,0.2474012474,482,0.531120332
00000091_82500.txt,0.2197580645,496,0.5544354839
00000091_87000.txt,0.1619433198,496,0.5322580645
00000091_91500.txt,0.1901840491,489,0.5603271984
00000101_122500.txt,0.2741617357,515,0.4951456311
00000101_127000.txt,0.256916996,519,0.4682080925
00000101_131500.txt,0.2660194175,521,0.5028790787
00000101_136000.txt,0.2727272727,518,0.4691119691
00000101_140500.txt,0.2664092664,522,0.4444444444
00000101_145000.txt,0.2809430255,513,0.4619883041
00000101_1500.txt,0.192,502,0.5219123506
00000101_154000.txt,0.2475247525,508,0.4921259843
00000101_158500.txt,0.236328125,516,0.488372093
00000101_163000.txt,0.2121807466,511,0.5322896282
00000101_167500.txt,0.2653465347,507,0.5187376726
00000101_172000.txt,0.2327416174,509,0.5304518664
00000101_176500.txt,0.2675438596,456,0.5723684211
00000101_20500.txt,0.2310679612,525,0.5466666667
00000101_52000.txt,0.2076923077,524,0.5
00000101_56500.txt,0.1992337165,531,0.5009416196
00000101_61000.txt,0.1924603175,508,0.5433070866
00000101_65500.txt,0.2182539683,507,0.5542406312
00000101_70000.txt,0.254473161,509,0.5481335953
00000101_7500.txt,0.2574257426,513,0.4990253411
00000101_79500.txt,0.2601941748,520,0.5076923077
00000101_84000.txt,0.203960396,507,0.5246548323
00000101_88500.txt,0.2255489022,507,0.5226824458
00000101_93000.txt,0.1789264414,508,0.5570866142
00000101_97500.txt,0.2316831683,515,0.4932038835
00000104_11500.txt,0.1757575758,496,0.5463709677
00000104_16000.txt,0.2468879668,484,0.5103305785
00000104_20500.txt,0.2108433735,499,0.5330661323
00000104_52000.txt,0.1803278689,490,0.5755102041
00000104_56500.txt,0.1223628692,480,0.5541666667
00000104_61000.txt,0.1572580645,517,0.586073501
00000104_65500.txt,0.1868583162,489,0.5132924335
00000104_70000.txt,0.1796407186,501,0.5469061876
00000107_1000.txt,0.2599206349,512,0.51171875
00000107_14500.txt,0.2046783626,518,0.5077220077
00000107_19000.txt,0.2297029703,513,0.5380116959
00000107_23500.txt,0.2215568862,513,0.5419103314
00000107_28000.txt,0.1504950495,514,0.5311284047
00000107_32500.txt,0.251984127,513,0.4756335283
00000107_37000.txt,0.1956087824,510,0.5019607843
00000107_41500.txt,0.2149901381,511,0.4892367906
00000107_46000.txt,0.2204408818,505,0.5326732673
00000112_12500.txt,0.2119341564,488,0.5430327869
00000112_17000.txt,0.1848739496,476,0.531512605
00000112_21500.txt,0.2224576271,472,0.5296610169
00000112_26000.txt,0.2012448133,484,0.555785124
00000112_30500.txt,0.2701030928,485,0.5649484536
00000112_35000.txt,0.2372188139,494,0.5384615385
00000112_4000.txt,0.193814433,489,0.5746421268
00000112_44500.txt,0.2317327766,479,0.5448851775
00000112_49000.txt,0.2721518987,475,0.5157894737
00000112_53000.txt,0.2024793388,488,0.5102459016
00000112_57500.txt,0.1987704918,490,0.5775510204
00000112_62000.txt,0.2536382536,482,0.5788381743
00000112_66500.txt,0.2219959267,495,0.5535353535
00000112_71000.txt,0.2877263581,501,0.5469061876
00000117_18500.txt,0.253493014,506,0.5652173913
00000117_23000.txt,0.197696737,528,0.5037878788
00000117_27500.txt,0.2147001934,527,0.5180265655
00000117_32000.txt,0.21875,518,0.5347490347
00000117_36500.txt,0.215648855,533,0.5028142589
00000117_41000.txt,0.2524271845,526,0.5323193916
00000117_45500.txt,0.2301886792,538,0.4832713755
00000117_5000.txt,0.185770751,512,0.56640625
00000117_54500.txt,0.162745098,516,0.5406976744
00000117_59000.txt,0.1744186047,524,0.4751908397
00000117_63500.txt,0.2226640159,506,0.4723320158
00000117_68000.txt,0.2594059406,512,0.55078125
