"word","half2","half1","fish.odds","fish.p","diff"
"reis",634,342,2.06633829412583,8.0739928127429e-28,292
"freund",94,31,3.32314233391844,6.9673568378822e-10,63
"philipp",73,13,6.15184809897264,9.55364775671395e-13,60
"gedank",143,91,1.72152255618005,4.39224607965559e-05,52
"stadt",68,27,2.75612260970565,4.05471322899701e-06,41
"mensch",130,90,1.58118007322041,0.000872905148379848,40
"schon",236,198,1.30538567166923,0.00668979810521326,38
"leb",143,106,1.47661305875796,0.00269564931357423,37
"beifall",47,11,4.67346216659162,2.36669806386123e-07,36
"einsam",57,23,2.71078837173778,2.59524236783007e-05,34
"still",42,9,5.10339609688177,6.56900908136153e-07,33
"wunsch",62,29,2.33847196987232,0.000127841485947447,33
"nacht",61,29,2.30060853623149,0.000182157175102204,32
"dicht",43,12,3.91894790300446,4.90573707837273e-06,31
"dasein",44,14,3.43680582286008,1.68653567481259e-05,30
"ganz",231,201,1.25802854111504,0.0198638419955461,30
"ide",59,29,2.22489630462358,0.000365098663997341,30
"schicksal",73,43,1.85669137986135,0.0014400070720938,30
"gleichsam",74,47,1.72165379511517,0.00344697581215152,27
"aussicht",45,19,2.58925816588009,0.000372950139140554,26
"lag",70,44,1.73949068012671,0.00462823201133653,26
"leid",41,17,2.63627478284396,0.000529826485068948,24
"hoffnung",49,26,2.06001969955637,0.00250607439393958,23
"zustand",68,45,1.65193327868775,0.010555117055779,23
"blieb",44,22,2.18598077953132,0.00279509348129353,22
"neu",83,61,1.48749836355469,0.0191695822299119,22
"spaziergang",34,12,3.09659194189926,0.000525074209386367,22
"w",51,29,1.9222088132281,0.00486707909994159,22
"fuhlt",63,42,1.63954945841652,0.0141540681216659,21
"gesellschaft",35,14,2.7321506750215,0.00091274870800346,21
"fremd",30,10,3.27834138135566,0.000683091452808698,20
"selb",65,45,1.57875221031652,0.0213744506306268,20
"auss",56,37,1.65406189010396,0.0169212164912901,19
"wenig",79,61,1.41545106928088,0.0421026599599283,18
"gerad",60,43,1.52478330144501,0.0377776748719844,17
"schritt",29,12,2.64037501662103,0.00430230003852257,17
"tor",31,14,2.41929999183012,0.00652376836570905,17
"wohnung",26,9,3.1562442861112,0.001951125876279,17
"reg",22,6,4.00517198880245,0.00108575813558873,16
"beid",41,26,1.72281173480777,0.0366493754881042,15
"geb",28,13,2.35295274802332,0.0114449211909323,15
"lebt",25,10,2.73104020228276,0.00613751263437662,15
"red",37,23,1.75738130852221,0.037867580850643,14
"betracht",22,10,2.40286969247741,0.0207157278213954,12
"erreicht",19,7,2.96450508141194,0.0105426115817891,12
"fern",27,15,1.96602471488626,0.0433002558900766,12
"gespielt",17,5,3.71368298822961,0.00875247923277081,12
"diesmal",21,10,2.29350606436722,0.0304541380953353,11
"anzahl",19,9,2.30548023725668,0.0376463864845359,10
"unterhielt",15,5,3.27615709138857,0.0227153109505313,10
"wiederum",20,10,2.18415656354701,0.0442719009758568,10
"erweckt",15,6,2.72993115247754,0.0466295976803316,9
"unbedeut",17,8,2.32048594474408,0.0467633462751502,9
"musik",6,17,0.384975322883002,0.0385495713272667,-11
"z",6,18,0.36356859374427,0.0386651481022651,-12
"roman",8,21,0.415480783860503,0.0391340066324072,-13
"word",11,25,0.479850192605812,0.0445941447476832,-14
"zwei",8,22,0.396574312993198,0.0267335798610032,-14
"durft",9,24,0.40894390016853,0.0223046340740443,-15
"gehort",10,25,0.436205423180711,0.0268687718029145,-15
"geles",10,25,0.436205423180711,0.0268687718029145,-15
"furcht",13,29,0.488822078500531,0.030571849228145,-16
"gegeb",8,24,0.363487159294112,0.0121121464482183,-16
"halt",12,28,0.467335933773114,0.0263537801804225,-16
"soll",15,31,0.527626065441263,0.0396176418785281,-16
"grosst",12,29,0.451196674098168,0.0186843704448362,-17
"tran",15,32,0.51110809105578,0.0396500078992681,-17
"beim",13,31,0.457235858972685,0.0156484871343446,-18
"dergleich",18,36,0.545157777911923,0.0400837325318603,-18
"empfand",17,35,0.529579405689905,0.036267592225552,-18
"ja",10,28,0.389406169889353,0.0087638644215638,-18
"verstand",11,29,0.413575372875442,0.0108419834840892,-18
"bess",9,28,0.350446748935154,0.00460516341450342,-19
"tun",8,27,0.323045583686238,0.00346460206105557,-19
"woch",15,34,0.481002021585248,0.0210847707954324,-19
"arbeit",15,36,0.45423006641883,0.0108580314347695,-21
"hort",30,52,0.628917679319528,0.0461228277179608,-22
"stimm",7,29,0.26311779835869,0.000634704919484405,-22
"s",30,54,0.605553921749891,0.0285303325904336,-24
"etwa",15,40,0.408716886695927,0.00264416807559771,-25
"nie",37,62,0.650466383181449,0.0434554854680052,-25
"hand",31,57,0.592739185351244,0.0186737485631991,-26
"irgend",34,60,0.617604997510589,0.0293799958596664,-26
"pflegt",13,41,0.345523225399532,0.000526418581765666,-28
"mann",45,74,0.662691520515156,0.0340758772650356,-29
"mien",11,42,0.285349111956346,7.95047808866238e-05,-31
"allein",56,88,0.693399763414471,0.0363056190403635,-32
"aufmerksam",18,50,0.392215043166081,0.000374615688967191,-32
"frau",12,46,0.284172542066758,2.96168159573525e-05,-34
"les",16,50,0.348595039115081,0.000104944253808333,-34
"stund",45,79,0.620567623787821,0.0114237845532087,-34
"zuweil",26,61,0.464298265026326,0.000792293491830558,-35
"b",11,47,0.25491525891789,8.0280057555882e-06,-36
"herz",42,78,0.586544683952158,0.00580468318229872,-36
"gewiss",28,66,0.462057320421769,0.000409461200406792,-38
"zeit",48,86,0.607926738796025,0.0054714272131567,-38
"andr",16,56,0.311136248649023,8.85080576293789e-06,-40
"elt",17,57,0.324785702327343,1.22920646952487e-05,-40
"bald",31,76,0.444079004038339,8.97592454524655e-05,-45
"jahr",53,104,0.554664705018396,0.000401355664670357,-51
"gott",26,78,0.36275332256065,2.60145834516979e-06,-52
"schul",17,72,0.256889304212058,2.48148915881372e-08,-55
"buch",14,70,0.217581379216361,3.8181193554183e-09,-56
"haus",78,136,0.624049742509356,0.000941423406208538,-58
"lehr",9,68,0.1439563669852,1.86299605818716e-11,-59
"musst",83,146,0.618403242687854,0.00042063245412736,-63
"vat",23,106,0.235692274837504,1.24933860437152e-12,-83
"pastor",9,122,0.0799658409649906,1.85480424066152e-24,-113
"oft",103,228,0.489664985317338,6.11908634934201e-10,-125
"anton",40,271,0.15893889602874,1.34938126983844e-39,-231
