"","word","half2","half1","fish.odds","fish.p","diff"
"people","people",87,67,1.43664554259912,0.0283044619605048,20
"liked","liked",29,12,2.67016392757406,0.00422252494417097,17
"minister","minister",18,3,6.62588298498965,0.000589071102886054,15
"papers","papers",14,0,Inf,0.0000302270594293451,14
"used","used",23,9,2.82214928263921,0.00712412604637583,14
"meant","meant",19,6,3.4963957574783,0.00465459867693507,13
"poor","poor",26,13,2.2084681507602,0.0233689482982541,13
"done","done",21,9,2.57594708646276,0.0165407108581232,12
"ladies","ladies",15,3,5.51886554892872,0.00328754402465583,12
"thing","thing",31,19,1.80152021766983,0.0467364933699413,12
"corner","corner",12,1,13.2378737670739,0.00120090592974528,11
"talk","talk",19,8,2.62149109570777,0.0201747141391691,11
"ask","ask",14,4,3.86269068555231,0.0157304058985265,10
"beginning","beginning",14,4,3.86269068555231,0.0157304058985265,10
"clock","clock",12,2,6.62057154217248,0.00546457020814338,10
"family","family",14,4,3.86269068555231,0.0157304058985265,10
"friends","friends",17,7,2.6801567124739,0.0246957735103522,10
"god","god",13,3,4.78140717820678,0.00997470632380233,10
"hair","hair",14,4,3.86269068555231,0.0157304058985265,10
"true","true",15,5,3.31067857721173,0.0225463947085118,10
"proportion","proportion",11,2,6.06786061254948,0.00989882842889541,9
"small","small",12,3,4.41284320644505,0.0171338633326844,9
"wait","wait",10,1,11.0320730525129,0.00451718418505436,9
"write","write",11,2,6.06786061254948,0.00989882842889541,9
"youth","youth",10,1,11.0320730525129,0.00451718418505436,9
"curtains","curtains",7,0,Inf,0.00550903765092745,7
"everybody","everybody",8,1,8.82322494690644,0.0165945060959476,7
"short","short",10,3,3.67687722511411,0.04882134440548,7
"watching","watching",8,1,8.82322494690644,0.0165945060959476,7
"curtain","curtain",6,0,Inf,0.0115847488821799,6
"naturally","naturally",6,0,Inf,0.0115847488821799,6
"painful","painful",6,0,Inf,0.0115847488821799,6
"success","success",6,0,Inf,0.0115847488821799,6
"thread","thread",7,1,7.71908566192007,0.0314278079310803,6
"built","built",5,0,Inf,0.0243591252246624,5
"coffee","coffee",5,0,Inf,0.0243591252246624,5
"laughter","laughter",5,0,Inf,0.0243591252246624,5
"offering","offering",5,0,Inf,0.0243591252246624,5
"setting","setting",5,0,Inf,0.0243591252246624,5
"spite","spite",5,0,Inf,0.0243591252246624,5
"crime","crime",0,6,0,0.0323172497461585,-6
"elderly","elderly",0,6,0,0.0323172497461585,-6
"future","future",0,6,0,0.0323172497461585,-6
"rising","rising",0,6,0,0.0323172497461585,-6
"branches","branches",1,8,0.137608181016384,0.0409841734858381,-7
"horses","horses",0,7,0,0.0163730541844378,-7
"road","road",1,8,0.137608181016384,0.0409841734858381,-7
"sang","sang",0,7,0,0.0163730541844378,-7
"shape","shape",1,8,0.137608181016384,0.0409841734858381,-7
"longer","longer",1,9,0.12230107962251,0.022887889623426,-8
"staring","staring",1,9,0.12230107962251,0.022887889623426,-8
"utterly","utterly",0,8,0,0.00831201946025775,-8
"early","early",2,11,0.200103420402762,0.0243742569617484,-9
"exquisite","exquisite",2,11,0.200103420402762,0.0243742569617484,-9
"kill","kill",1,10,0.110071171019801,0.0127009070207105,-9
"raised","raised",3,12,0.275149810081592,0.0381971689934029,-9
"walk","walk",1,10,0.110071171019801,0.0127009070207105,-9
"awful","awful",3,13,0.25394704883867,0.0235566597358596,-10
"leaves","leaves",3,13,0.25394704883867,0.0235566597358596,-10
"moments","moments",1,11,0.10006430387585,0.00701212950623754,-10
"tree","tree",3,13,0.25394704883867,0.0235566597358596,-10
"bed","bed",7,19,0.405326497445251,0.0475032899892294,-12
"falling","falling",6,18,0.366723838690559,0.038601565464993,-12
"green","green",6,19,0.347375130912684,0.0255244929261121,-13
"smoke","smoke",2,16,0.137472636629722,0.00159356184618634,-14
"marry","marry",3,18,0.183273317144523,0.00186104439412382,-15
"side","side",8,23,0.382513148895692,0.0181967799701307,-15
"morning","morning",14,33,0.466308121814514,0.0183483783442341,-19
"away","away",22,42,0.57570369306886,0.0438974240666232,-20
"moment","moment",18,38,0.520586251343718,0.0223671452181313,-20
"park","park",8,29,0.303116887485843,0.0014810297234841,-21
"nothing","nothing",28,52,0.591516751944374,0.0247832375344409,-24
"thought","thought",95,154,0.674863947579528,0.00259315114368454,-59
