"","word","half2","half1","fish.odds","fish.p","diff"
"love","love",138,74,1.86063828709979,0.0000127870188237587,64
"god","god",104,46,2.2554211549881,0.00000241966637389469,58
"faith","faith",66,16,4.11336450791819,0.0000000221730886597014,50
"work","work",139,91,1.52315737134029,0.00184976090151281,48
"street","street",56,9,6.20427872274766,0.00000000202150393727035,47
"religious","religious",65,25,2.59208331197901,0.0000293683995123219,40
"began","began",82,46,1.77682653094757,0.00184696801418116,36
"human","human",85,49,1.729067297535,0.00235201666593157,36
"truth","truth",43,9,4.7617270751517,0.00000202332244169468,34
"hands","hands",109,77,1.41079757765382,0.0226103091813346,32
"heart","heart",137,105,1.30034923460662,0.0457358821829664,32
"change","change",57,27,2.10382185344967,0.00139648788790767,30
"often","often",65,35,1.85073081362263,0.00349732490712233,30
"done","done",77,49,1.56589534221272,0.0157362569240543,28
"silence","silence",67,39,1.71189837056101,0.00837411144297419,28
"months","months",58,31,1.86431264108644,0.00551898768129542,27
"sunday","sunday",42,16,2.61572765016201,0.000858146979735869,26
"tonight","tonight",35,9,3.87463025443293,0.000105604665546627,26
"present","present",57,32,1.77479055141272,0.010504182428253,25
"friend","friend",57,33,1.7209493416141,0.0148109246856436,24
"position","position",30,6,4.98148452849847,0.0000693575982356631,24
"week","week",57,34,1.67027535855409,0.0205127364493294,23
"seems","seems",38,16,2.36628978941541,0.00382659828125217,22
"true","true",44,22,1.99253774603856,0.00918200153105388,22
"effort","effort",45,24,1.86793939011855,0.0153883952091411,21
"husband","husband",54,33,1.63020338607923,0.0313264415938909,21
"streets","streets",23,2,11.4526933195746,0.0000193797696851244,21
"tried","tried",43,22,1.94718497184365,0.0124671891157759,21
"force","force",49,29,1.68323509137759,0.030705477864853,20
"social","social",44,24,1.82636614530708,0.0204737366716659,20
"bear","bear",32,13,2.45224936679644,0.00659389621021595,19
"followed","followed",50,31,1.60671963490496,0.0447207297873918,19
"intellectual","intellectual",39,20,1.94252109322694,0.0182945806844942,19
"mere","mere",45,26,1.72413245306528,0.0318516160761442,19
"outside","outside",45,26,1.72413245306528,0.0318516160761442,19
"within","within",48,29,1.64882626651131,0.0394450576444457,19
"ago","ago",29,11,2.62631781078184,0.00641362963112781,18
"crowd","crowd",23,5,4.58196198620949,0.000910446415449975,18
"fact","fact",39,21,1.84995601258476,0.0272827769530284,18
"letters","letters",29,11,2.62631781078184,0.00641362963112781,18
"misery","misery",21,3,6.97277093288391,0.00027662375666526,18
"loved","loved",39,22,1.76580614483326,0.0395421673515468,17
"understand","understand",38,21,1.80245872035758,0.0362747958001762,17
"circle","circle",19,3,6.30822803568362,0.000854138874502224,16
"meeting","meeting",29,13,2.2219800617387,0.0194889425780673,16
"religion","religion",36,20,1.79290967737747,0.0439729911277512,16
"sake","sake",29,13,2.2219800617387,0.0194889425780673,16
"image","image",20,5,3.98382041721122,0.00407177724538061,15
"merely","merely",26,11,2.35439366921544,0.0200455634868457,15
"reality","reality",29,14,2.06319557264679,0.0314943000305003,15
"wrote","wrote",30,15,1.99205115169287,0.0356463712595208,15
"eternal","eternal",19,5,3.78446646801501,0.00660293401775102,14
"science","science",23,9,2.54546409915155,0.020037212313962,14
"square","square",20,6,3.31963276700985,0.00934416359422344,14
"trust","trust",23,9,2.54546409915155,0.020037212313962,14
"bitter","bitter",21,8,2.61454166605245,0.0240943741400345,13
"east","east",21,8,2.61454166605245,0.0240943741400345,13
"heaven","heaven",24,11,2.17299447668376,0.0409158972120284,13
"painful","painful",19,6,3.15411969259149,0.0146182637969239,13
"witness","witness",18,6,2.9879559089662,0.0226359985397695,12
"introduced","introduced",18,7,2.56100612288303,0.043253030735658,11
"pointed","pointed",7,17,0.409760238444207,0.042792802519794,-10
"cottage","cottage",6,17,0.35121184462172,0.0223407417157223,-11
"countenance","countenance",6,17,0.35121184462172,0.0223407417157223,-11
"duty","duty",7,18,0.386983295095123,0.0285821656737167,-11
"land","land",6,17,0.35121184462172,0.0223407417157223,-11
"path","path",9,20,0.447815378403843,0.0422777252978157,-11
"eager","eager",10,22,0.452326645246216,0.0346428246287833,-12
"excited","excited",7,19,0.366603210872527,0.0188751202362654,-12
"gentle","gentle",6,18,0.331686819292648,0.0144035656710304,-12
"houses","houses",8,20,0.398025447316649,0.0237844801446919,-12
"twenty","twenty",8,20,0.398025447316649,0.0237844801446919,-12
"younger","younger",8,20,0.398025447316649,0.0237844801446919,-12
"gently","gently",11,24,0.456079897245147,0.0284291518365311,-13
"green","green",15,28,0.533079400290809,0.0482056266361475,-13
"somehow","somehow",5,18,0.276437708487885,0.0064866650563233,-13
"stone","stone",8,21,0.379059209854457,0.015873560507417,-13
"stream","stream",7,20,0.348260464599824,0.0123341115436016,-13
"wished","wished",8,21,0.379059209854457,0.015873560507417,-13
"character","character",18,32,0.559713038030857,0.0483016281926371,-14
"golden","golden",5,19,0.261876691364017,0.00399271059701727,-14
"imagination","imagination",7,21,0.331663476881049,0.00798119952814577,-14
"impression","impression",13,27,0.479097087016175,0.0271522264172265,-14
"order","order",16,30,0.530691425725118,0.0394881729338251,-14
"exclaimed","exclaimed",8,23,0.346072907783441,0.00686652649615854,-15
"sigh","sigh",12,27,0.442200142975233,0.0163244426456698,-15
"studying","studying",5,20,0.248772016296857,0.00243712585817219,-15
"country","country",22,38,0.576037717406473,0.0391041124030916,-16
"watched","watched",14,30,0.464322975464053,0.0158319051360927,-16
"clouds","clouds",7,24,0.290221289140131,0.00205186404629295,-17
"wind","wind",19,36,0.525107749788527,0.0218999609646722,-17
"cant","cant",28,46,0.605592646192619,0.0364479753535249,-18
"play","play",25,43,0.578432334885901,0.0290641328683949,-18
"shut","shut",16,34,0.468191719377343,0.0107730862838615,-18
"youth","youth",31,49,0.62942702880052,0.0442456499821642,-18
"pretty","pretty",19,38,0.497435734887199,0.0117106126269445,-19
"road","road",31,50,0.616817072881664,0.0347420650921202,-19
"tea","tea",14,33,0.4220423729144,0.00539863741537515,-19
"boy","boy",13,34,0.380345574094899,0.00203508916435415,-21
"high","high",40,61,0.652323377858108,0.0365264568841169,-21
"son","son",8,29,0.274453629926414,0.000457458472251703,-21
"along","along",31,53,0.581842137364489,0.0162130605979,-22
"cheek","cheek",12,34,0.351075857464118,0.00105789867069221,-22
"daughter","daughter",5,27,0.184223441615746,0.0000636806104910244,-22
"fathers","fathers",9,31,0.288832788173643,0.000417283590478166,-22
"sister","sister",43,65,0.658070228574124,0.034091054347269,-22
"family","family",19,43,0.439489883723355,0.00216919664547772,-24
"happy","happy",13,37,0.349469767120466,0.00060181384385059,-24
"river","river",17,41,0.412411934131613,0.00150452192703704,-24
"strong","strong",42,66,0.632983579975442,0.0207139823733631,-24
"books","books",37,62,0.593584920389084,0.0117907838507907,-25
"table","table",21,46,0.454084649655786,0.00212804242958289,-25
"kept","kept",22,48,0.455870432407428,0.00176999732362334,-26
"rain","rain",12,38,0.314068544908938,0.000190917887464068,-26
"side","side",58,85,0.678653483096353,0.023670902182095,-27
"people","people",70,98,0.710385379522798,0.0303983635564098,-28
"school","school",14,42,0.331500035323439,0.000148078506979823,-28
"head","head",94,123,0.760022410583203,0.0484521858483278,-29
"house","house",78,111,0.698741686476934,0.0160701200931168,-33
"mothers","mothers",8,42,0.189407393202925,0.00000064567075667518,-34
"years","years",68,102,0.662887821348921,0.00889483336915,-34
"garden","garden",17,52,0.325042573658743,0.0000182626446641969,-35
"music","music",14,51,0.272954190619424,0.00000266165138657625,-37
"fell","fell",50,89,0.558518987267339,0.000880059798685468,-39
"valley","valley",15,54,0.276184756864486,0.00000155349479512953,-39
"girls","girls",29,72,0.400351367346414,0.0000146644793859854,-43
"cried","cried",52,98,0.52738547354491,0.000154822137128209,-46
"just","just",136,186,0.726614938479864,0.00512838455768133,-50
"young","young",128,178,0.714610429011373,0.00408970980423101,-50
"oh","oh",106,159,0.6624380396707,0.00106695425782739,-53
