"","word","half2","half1","fish.odds","fish.p","diff"
"happiness","happiness",39,10,3.80744116105394,0.0000404529750026212,29
"miserable","miserable",46,19,2.36334758519372,0.00114015575301047,27
"heart","heart",51,25,1.99097614036485,0.00543446943037202,26
"sun","sun",34,11,3.01586645932186,0.000851184630260177,23
"ever","ever",50,30,1.62544951211004,0.042983299753867,20
"feelings","feelings",48,28,1.67189814763778,0.0377884953498352,20
"moment","moment",28,9,3.03416626006495,0.00262061359735277,19
"sunk","sunk",20,1,19.5050140345352,0.0000214341470305246,19
"revenge","revenge",20,2,9.74948618048594,0.00012347261152862,18
"rage","rage",21,4,5.11835500574691,0.000926467509604768,17
"return","return",33,16,2.01084068867068,0.0216898489621791,17
"scene","scene",31,14,2.15883099838495,0.0163907615232457,17
"alone","alone",30,14,2.08894680334887,0.0229994901129079,16
"feel","feel",33,17,1.89233138609488,0.0333849907243703,16
"despair","despair",32,17,1.83477345756411,0.045036513811195,15
"idea","idea",24,9,2.59947629962309,0.0137211301718967,15
"journey","journey",26,11,2.30375944015217,0.020359309848855,15
"monster","monster",23,8,2.80256770028754,0.0108229175198557,15
"vengeance","vengeance",18,3,5.84821995235748,0.00150977261347743,15
"wind","wind",21,6,3.41127394554981,0.00600631713684048,15
"enemy","enemy",18,4,4.38555521954134,0.00439494342611199,14
"spot","spot",17,3,5.52265309318239,0.00260710677450572,14
"endured","endured",18,5,3.50793310976181,0.0107312656591183,13
"existence","existence",22,9,2.3823005841672,0.0297619554096775,13
"sea","sea",23,10,2.24122584776063,0.0354571635328528,13
"shore","shore",14,1,13.645625756298,0.000986255388632642,13
"unfortunate","unfortunate",14,1,13.645625756298,0.000986255388632642,13
"agony","agony",19,7,2.64497289761551,0.029217683018931,12
"die","die",17,5,3.31263277209592,0.0170486109702736,12
"dreadful","dreadful",12,0,Inf,0.000492343837610763,12
"followed","followed",17,5,3.31263277209592,0.0170486109702736,12
"promise","promise",17,5,3.31263277209592,0.0170486109702736,12
"departed","departed",13,2,6.33261119125265,0.00743778977668563,11
"greater","greater",18,7,2.50547227939453,0.0436106033014854,11
"live","live",18,7,2.50547227939453,0.0436106033014854,11
"oh","oh",18,7,2.50547227939453,0.0436106033014854,11
"prison","prison",11,0,Inf,0.000983335205503805,11
"reflect","reflect",14,3,4.54639939233467,0.0128174388614818,11
"task","task",15,4,3.65326343015315,0.0193506942883047,11
"society","society",13,3,4.22113000734284,0.0213968773173565,10
"union","union",13,3,4.22113000734284,0.0213968773173565,10
"waves","waves",12,2,5.84478272148822,0.0130151219182806,10
"quit","quit",13,4,3.16535775318953,0.0492800522989491,9
"virtue","virtue",11,2,5.35706481025665,0.0225666545425766,9
"aid","aid",9,1,8.76517335971292,0.0215620059968516,8
"burning","burning",9,1,8.76517335971292,0.0215620059968516,8
"clouds","clouds",10,2,4.86945659084961,0.0387165543285796,8
"companions","companions",10,2,4.86945659084961,0.0387165543285796,8
"fears","fears",9,1,8.76517335971292,0.0215620059968516,8
"gain","gain",8,0,Inf,0.0078400997887377,8
"meet","meet",10,2,4.86945659084961,0.0387165543285796,8
"plan","plan",10,2,4.86945659084961,0.0387165543285796,8
"answered","answered",7,0,Inf,0.0156664055432732,7
"arose","arose",8,1,7.79034520733703,0.0391689804371096,7
"curse","curse",8,1,7.79034520733703,0.0391689804371096,7
"enjoy","enjoy",8,1,7.79034520733703,0.0391689804371096,7
"fearful","fearful",8,1,7.79034520733703,0.0391689804371096,7
"lives","lives",8,1,7.79034520733703,0.0391689804371096,7
"character","character",1,7,0.138925594761911,0.0365878534033978,-6
"performed","performed",1,7,0.138925594761911,0.0365878534033978,-6
"worked","worked",1,7,0.138925594761911,0.0365878534033978,-6
