"","word","half2","half1","fish.odds","fish.p","diff"
"moment","moment",183,125,1.43815305382448,0.00197073540382224,58
"done","done",96,42,2.2449504671467,7.3294798523628e-06,54
"husband","husband",90,39,2.26655483003174,1.23560271733097e-05,51
"wished","wished",80,31,2.53442424552015,5.77698024835062e-06,49
"looked","looked",131,86,1.49555684957498,0.00415969950613855,45
"marriage","marriage",53,9,5.78168565412679,1.13102755293195e-08,44
"thought","thought",171,127,1.32187691364946,0.0199274651152331,44
"felt","felt",108,65,1.63120611178608,0.0017379089152249,43
"told","told",125,82,1.49654475271862,0.00520203623695477,43
"eyes","eyes",133,91,1.43476997672214,0.00885393549012287,42
"love","love",90,51,1.73220524544877,0.00171549802694838,39
"added","added",89,51,1.71288425159719,0.00220639510108083,38
"seemed","seemed",148,110,1.32056493957798,0.0287863064370239,38
"back","back",121,85,1.39709920081282,0.0209694637231599,36
"kind","kind",87,51,1.67424735440519,0.00360925387860166,36
"married","married",49,13,3.69913997147561,5.06526960430081e-06,36
"stood","stood",80,44,1.78447214268442,0.00210888812797816,36
"ever","ever",92,57,1.58402873927856,0.00661808034515332,35
"today","today",46,11,4.10394392757608,3.47245865508975e-06,35
"wife","wife",57,22,2.54297351951345,0.000107646322157135,35
"look","look",87,54,1.58102526769017,0.00873253721321489,33
"simply","simply",72,39,1.81169570520309,0.00304288362605185,33
"afraid","afraid",95,64,1.45652047992245,0.0210792432100784,31
"away","away",98,67,1.43523618916305,0.0236028215261797,31
"hand","hand",71,40,1.74171804087518,0.00560860663803565,31
"face","face",91,61,1.46374895220421,0.0227200709013522,30
"room","room",69,41,1.65115610236875,0.0127078820957665,28
"sat","sat",65,37,1.72359632208921,0.00961159464942291,28
"wanted","wanted",48,21,2.24235278207611,0.00159609896157366,27
"thing","thing",85,59,1.41334273777219,0.0449284879928487,26
"speak","speak",61,36,1.66224580679849,0.0147675180816347,25
"head","head",66,42,1.54149577383198,0.0335654025792098,24
"husbands","husbands",35,11,3.12153962256947,0.000547835404929306,24
"leave","leave",74,50,1.45180177589906,0.0474981673160981,24
"angry","angry",24,2,11.7742328655429,1.06863488914485e-05,22
"believed","believed",36,15,2.35418382623019,0.00468316844375312,21
"strange","strange",43,22,1.91708798823103,0.0127298712340777,21
"couldnt","couldnt",52,32,1.59378115701871,0.0381700797215616,20
"dying","dying",24,4,5.88465949551642,0.000182783538654982,20
"evening","evening",37,17,2.13467351195127,0.00922109255304183,20
"sudden","sudden",23,3,7.5193627303811,8.93357120348047e-05,20
"fire","fire",24,6,3.92260544056563,0.00144902258672939,18
"changed","changed",30,13,2.2629413314098,0.013878470495199,17
"dance","dance",19,2,9.31610133844169,0.000223696731812275,17
"loved","loved",18,1,17.6539270148012,7.71319795684507e-05,17
"near","near",36,19,1.85810784899653,0.0303891799681788,17
"spoken","spoken",31,14,2.17148427036067,0.0162832697054373,17
"trouble","trouble",33,16,2.02263062121877,0.02154629537207,17
"dropped","dropped",27,11,2.40717083643762,0.0139953438656132,16
"journey","journey",24,8,2.94211234425919,0.00707116503533283,16
"lips","lips",21,5,4.11840843752205,0.00251871195128117,16
"proper","proper",24,8,2.94211234425919,0.00707116503533283,16
"raised","raised",25,9,2.72416540475161,0.00913312590144176,16
"comfort","comfort",22,7,3.08210937163968,0.00820196569853686,15
"guessed","guessed",18,3,5.88338602387785,0.00150247305430935,15
"hardly","hardly",31,16,1.89988328454305,0.0403583568555389,15
"hell","hell",30,15,1.96117065179187,0.03602842756622,15
"morning","morning",25,10,2.45164200643793,0.0168240249148995,15
"pity","pity",27,12,2.20618935898077,0.0239186545341485,15
"winter","winter",23,8,2.8193946194805,0.0107688323045566,15
"waited","waited",28,14,1.96108706598391,0.0439098929621432,14
"form","form",23,10,2.25501377464006,0.0353208922409879,13
"gently","gently",23,10,2.25501377464006,0.0353208922409879,13
"movement","movement",20,7,2.80164126082138,0.0192848198434188,13
"business","business",21,9,2.28791063991964,0.0430211569376257,12
"disappointment","disappointment",14,2,6.86310734975281,0.0042035544507294,12
"occurred","occurred",21,9,2.28791063991964,0.0430211569376257,12
"pain","pain",20,8,2.45132692078645,0.0359027251678825,12
"desired","desired",15,4,3.67629714634022,0.0192998790629027,11
"pretended","pretended",14,3,4.57508042970695,0.0127841635871035,11
"sofa","sofa",14,3,4.57508042970695,0.0127841635871035,11
"staircase","staircase",14,3,4.57508042970695,0.0127841635871035,11
"started","started",15,4,3.67629714634022,0.0192998790629027,11
"wifes","wifes",15,4,3.67629714634022,0.0192998790629027,11
"absence","absence",15,5,2.94135391856571,0.0415497855754037,10
"exquisite","exquisite",13,3,4.24806856661852,0.0213510483900283,10
"flowers","flowers",14,4,3.43102562948922,0.0310019186213901,10
"hate","hate",15,5,2.94135391856571,0.0415497855754037,10
"hurt","hurt",15,5,2.94135391856571,0.0415497855754037,10
"news","news",14,4,3.43102562948922,0.0310019186213901,10
"entered","entered",13,4,3.18639672160478,0.049193423999534,9
"instantly","instantly",13,4,3.18639672160478,0.049193423999534,9
"soul","soul",13,4,3.18639672160478,0.049193423999534,9
"threw","threw",13,4,3.18639672160478,0.049193423999534,9
"tomorrow","tomorrow",13,4,3.18639672160478,0.049193423999534,9
"considerable","considerable",5,14,0.349844528267067,0.0395149829472225,-9
"formed","formed",4,13,0.301391917619028,0.029335938399128,-9
"number","number",5,14,0.349844528267067,0.0395149829472225,-9
"proposed","proposed",4,13,0.301391917619028,0.029335938399128,-9
"speech","speech",4,13,0.301391917619028,0.029335938399128,-9
"host","host",5,15,0.326503374485629,0.0252209830830254,-10
"rejoined","rejoined",5,15,0.326503374485629,0.0252209830830254,-10
"superior","superior",7,17,0.403329392893899,0.0413893498899327,-10
"elder","elder",3,14,0.209909036152982,0.00699718025130227,-11
"instance","instance",5,16,0.30607568034015,0.0159065575026768,-11
"lives","lives",4,15,0.261228867393444,0.0110540509425827,-11
"settled","settled",4,15,0.261228867393444,0.0110540509425827,-11
"lawn","lawn",4,16,0.244888425875027,0.00667870918720395,-12
"object","object",10,22,0.445209498212811,0.0334832082612429,-12
"regard","regard",7,19,0.360843701823011,0.0180854603148896,-12
"charm","charm",3,16,0.18365142714957,0.00235106383857185,-13
"curiosity","curiosity",4,17,0.230470755271643,0.00399789653044301,-13
"foreign","foreign",3,16,0.18365142714957,0.00235106383857185,-13
"romantic","romantic",4,17,0.230470755271643,0.00399789653044301,-13
"speaking","speaking",13,26,0.489711357710618,0.0368275358810029,-13
"acquaintance","acquaintance",11,25,0.430905478896404,0.0190074776684524,-14
"offered","offered",15,29,0.506574362034449,0.0341628285639619,-14
"pictures","pictures",9,23,0.383220964327793,0.0127196876487453,-14
"sent","sent",6,20,0.293788525459583,0.00548679124011442,-14
"social","social",9,23,0.383220964327793,0.0127196876487453,-14
"square","square",4,18,0.217655362051568,0.00237296667809909,-14
"street","street",5,19,0.257756534423696,0.00375113972020057,-14
"whats","whats",10,24,0.408057106285517,0.0157342639199461,-14
"chance","chance",17,32,0.5202698670796,0.0314209099030576,-15
"girls","girls",18,33,0.534180134921799,0.0349763104312301,-15
"places","places",6,21,0.279841639608258,0.00341887969441225,-15
"remain","remain",9,24,0.367237775908689,0.00844617002086728,-15
"agreeable","agreeable",6,22,0.267107350267185,0.0021127314116186,-16
"french","french",6,22,0.267107350267185,0.0021127314116186,-16
"return","return",16,32,0.489644826991027,0.0202390054914595,-16
"society","society",15,31,0.473850419093303,0.0176566186528141,-16
"tea","tea",8,24,0.326415762453458,0.00420353575252838,-16
"natural","natural",25,42,0.582878228501816,0.037020477475876,-17
"persons","persons",11,28,0.384689777506086,0.00598100300135444,-17
"pleasant","pleasant",14,31,0.442237535078591,0.0106779489949902,-17
"points","points",2,19,0.103081873055885,0.000105245778309817,-17
"pretty","pretty",23,40,0.563061808755606,0.0314441174034181,-17
"fine","fine",27,45,0.587513977907204,0.0331135667213003,-18
"note","note",9,27,0.326386553493837,0.00234817023317262,-18
"sometimes","sometimes",17,35,0.475612452709016,0.011952069026705,-18
"keep","keep",25,44,0.556334880411613,0.0214755363651562,-19
"ladies","ladies",20,39,0.502130965057539,0.0127713210405614,-19
"lovely","lovely",1,20,0.0489550319343304,9.19259755373321e-06,-19
"whatever","whatever",24,43,0.546502660931746,0.0195909132173758,-19
"strong","strong",8,28,0.279779148355767,0.000676055405794672,-20
"used","used",21,41,0.501495888617881,0.0105284197858152,-20
"usually","usually",14,34,0.403148198885499,0.00351922256637858,-20
"best","best",41,62,0.64743241721922,0.0302386168052482,-21
"certainly","certainly",47,68,0.676687463588979,0.0401079727006256,-21
"sisters","sisters",12,34,0.345527468563928,0.000987238102667981,-22
"ask","ask",50,73,0.670512136911908,0.0302105238325564,-23
"home","home",23,46,0.489489521155734,0.00523570870099206,-23
"gentleman","gentleman",27,51,0.518257722553819,0.00617833839859365,-24
