"","word","half2","half1","fish.odds","fish.p","diff"
"tout","tout",179,110,1.47191388291131,0.00160371634511274,69
"ni","ni",65,28,2.09445134921243,0.00080565104896691,37
"pauvre","pauvre",64,32,1.8034670460781,0.0073861604674822,32
"coeur","coeur",70,41,1.5389019761399,0.0284038460872415,29
"fois","fois",36,15,2.16196087453006,0.011089794170059,21
"jour","jour",45,24,1.68892728500786,0.0398652764365177,21
"main","main",41,20,1.84663912175861,0.0282272909246839,21
"monde","monde",36,15,2.16196087453006,0.011089794170059,21
"nuit","nuit",36,17,1.9072329076165,0.0274768616354518,19
"peur","peur",25,6,3.75289165381612,0.00179707433149802,19
"ah","ah",29,11,2.37420104054742,0.0163167788724166,18
"être","être",26,8,2.92682412974075,0.00551431887660805,18
"pays","pays",28,10,2.52157464560259,0.00920902067684952,18
"prière","prière",19,1,17.11393864197,0.0000579839002355047,18
"bruit","bruit",28,11,2.29209933499211,0.0233469570976032,17
"coup","coup",24,7,3.08735776345423,0.00624801972225663,17
"pouvais","pouvais",17,0,Inf,0.0000212683759339319,17
"semblait","semblait",21,4,4.72780288390609,0.00195876909467789,17
"aller","aller",20,6,3.00066916917401,0.01684466359401,14
"déjà","déjà",18,4,4.0510801225158,0.0087003424029332,14
"disais","disais",19,5,3.42083496626974,0.0124595191788971,14
"mieux","mieux",22,8,2.47555611362914,0.0272354256454372,14
"questce","questce",18,4,4.0510801225158,0.0087003424029332,14
"dêtre","dêtre",14,1,12.6048256642277,0.00119438462282263,13
"oh","oh",19,6,2.85035942667287,0.0256933984724422,13
"sac","sac",14,1,12.6048256642277,0.00119438462282263,13
"longtemps","longtemps",15,3,4.50031828652825,0.00898278867740999,12
"navais","navais",13,1,11.7036668916612,0.00217569965733073,12
"voulait","voulait",12,0,Inf,0.000579292916613177,12
"ditelle","ditelle",10,0,Inf,0.00219956878837837,10
"garçon","garçon",13,3,3.89941802792438,0.0240633366612685,10
"pensais","pensais",10,0,Inf,0.00219956878837837,10
"dedans","dedans",10,1,8.99670817229237,0.0129185023239395,9
"faisais","faisais",10,1,8.99670817229237,0.0129185023239395,9
"force","force",9,0,Inf,0.00429939751185908,9
"larmes","larmes",9,0,Inf,0.00429939751185908,9
"six","six",11,2,4.94884569542415,0.0247974722377355,9
"tellement","tellement",10,1,8.99670817229237,0.0129185023239395,9
"voulu","voulu",10,1,8.99670817229237,0.0129185023239395,9
"adieu","adieu",8,0,Inf,0.00842251510902286,8
"revenir","revenir",9,1,8.09737648841704,0.0231978560231856,8
"bourse","bourse",8,1,7.19690625714803,0.0414074558863331,7
"doigts","doigts",8,1,7.19690625714803,0.0414074558863331,7
"manger","manger",7,0,Inf,0.0165380904318171,7
"marier","marier",8,1,7.19690625714803,0.0414074558863331,7
"nouveau","nouveau",7,0,Inf,0.0165380904318171,7
"savais","savais",8,1,7.19690625714803,0.0414074558863331,7
"seigneur","seigneur",7,0,Inf,0.0165380904318171,7
"tard","tard",8,1,7.19690625714803,0.0414074558863331,7
"vit","vit",7,0,Inf,0.0165380904318171,7
"retourner","retourner",6,0,Inf,0.0325522086745508,6
"sacrifice","sacrifice",6,0,Inf,0.0325522086745508,6
"tombé","tombé",6,0,Inf,0.0325522086745508,6
"accent","accent",0,5,0,0.0237653919421028,-5
"caractère","caractère",0,5,0,0.0237653919421028,-5
"cheval","cheval",0,5,0,0.0237653919421028,-5
"faite","faite",0,5,0,0.0237653919421028,-5
"jusque","jusque",0,5,0,0.0237653919421028,-5
