"","word","half2","half1","fish.odds","fish.p","diff"
"dit","dit",85,48,1.88670264772082,0.000453233886711239,37
"soir","soir",55,24,2.43955830021813,0.000169745133166826,31
"encore","encore",87,61,1.51780665561518,0.0131244520939024,26
"femmes","femmes",29,6,5.13949364555503,0.0000513016630509783,23
"aujourdhui","aujourdhui",27,5,5.7414376232885,0.0000476389998870107,22
"vis","vis",33,13,2.6986812241474,0.00171940988015903,20
"homme","homme",63,44,1.52236722618433,0.0329790908275164,19
"donc","donc",32,14,2.42949015828641,0.00469369814067347,18
"elles","elles",31,13,2.53457515112362,0.00384317299820592,18
"nétait","nétait",25,7,3.79621829355111,0.00107164397813176,18
"lendemain","lendemain",32,15,2.2672721324716,0.00813888494414082,17
"mavait","mavait",35,18,2.06655134440109,0.0126875186095805,17
"contre","contre",34,18,2.00728238481988,0.0176001149822637,16
"devant","devant",25,11,2.41455200647879,0.0123750750216322,14
"jalousie","jalousie",16,3,5.66472024261337,0.00203639933138403,13
"moimême","moimême",22,9,2.59662391508589,0.0179277784190618,13
"tant","tant",22,9,2.59662391508589,0.0179277784190618,13
"peine","peine",19,7,2.88287391016973,0.0168643203366979,12
"point","point",28,16,1.85882921141555,0.0497355165136247,12
"tranquille","tranquille",16,4,4.24791958093485,0.00597774619350546,12
"vérité","vérité",23,11,2.22087385617309,0.0377293605365712,12
"furieux","furieux",10,0,Inf,0.000722356744885422,10
"my","my",12,2,6.3706723030653,0.00603221485922057,10
"revenir","revenir",11,1,11.6767129862739,0.0026798217945391,10
"croyait","croyait",12,3,4.24645675139075,0.0182861923881702,9
"lettres","lettres",12,3,4.24645675139075,0.0182861923881702,9
"maladie","maladie",11,2,5.83908768857931,0.0108214522629278,9
"silence","silence",11,2,5.83908768857931,0.0108214522629278,9
"vers","vers",12,3,4.24645675139075,0.0182861923881702,9
"violente","violente",9,0,Inf,0.00148932652890047,9
"voyait","voyait",9,0,Inf,0.00148932652890047,9
"laissé","laissé",9,1,9.55390148190826,0.00969444159298914,8
"sortis","sortis",10,2,5.30761398426956,0.019228306162123,8
"surprise","surprise",12,4,3.18492872934837,0.0438405042784597,8
"venu","venu",9,1,9.55390148190826,0.00969444159298914,8
"dames","dames",9,2,4.77624987224696,0.0337908995545254,7
"écrit","écrit",9,2,4.77624987224696,0.0337908995545254,7
"résolution","résolution",7,0,Inf,0.00632981044762132,7
"entrer","entrer",6,0,Inf,0.0130482809553997,6
"mavez","mavez",6,0,Inf,0.0130482809553997,6
"occupé","occupé",6,0,Inf,0.0130482809553997,6
"pensais","pensais",7,1,7.42910701385025,0.0340653584610041,6
"plaindre","plaindre",7,1,7.42910701385025,0.0340653584610041,6
"scène","scène",7,1,7.42910701385025,0.0340653584610041,6
