"","word","half2","half1","fish.odds","fish.p","diff"
"wilden","wilden",56,16,3.82781742709685,0.000000312580464312237,40
"beide","beide",42,9,5.09846246688382,0.00000065189435861826,33
"sachen","sachen",37,5,8.08379109627765,0.0000000648919901095894,32
"leben","leben",76,46,1.80525799849044,0.00141960012414804,30
"vielleicht","vielleicht",40,15,2.91117352860694,0.000216656172441905,25
"kaum","kaum",42,19,2.41278020500673,0.00117647286346904,23
"beiden","beiden",41,19,2.35506788947268,0.00170663097988067,22
"eben","eben",90,68,1.44516453373693,0.0248890076811687,22
"laufen","laufen",22,1,24.0038205897335,0.0000014379616601319,21
"zwei","zwei",59,38,1.6946203179268,0.0108442309914029,21
"nebst","nebst",22,2,11.9968794192088,0.0000110586524701041,20
"nahmen","nahmen",22,3,7.99895083651255,0.000056537508268883,19
"ganzen","ganzen",40,22,1.98345777128981,0.0104039430013228,18
"furcht","furcht",23,6,4.18011848508409,0.000654949247653423,17
"herbei","herbei",22,5,4.79813850429569,0.000407855729561332,17
"hielt","hielt",31,14,2.41511475705242,0.00650809184643805,17
"waffen","waffen",17,0,Inf,0.00000362526702559627,17
"gab","gab",28,12,2.54460637179013,0.00641621746179596,16
"verstand","verstand",19,4,5.17864602682163,0.00115277629774653,15
"schien","schien",32,18,1.93842460468341,0.0235398717666686,14
"feinde","feinde",13,0,Inf,0.0000692093692117941,13
"gesicht","gesicht",18,5,3.92473637542221,0.00535032978897637,13
"sicherheit","sicherheit",13,0,Inf,0.0000692093692117941,13
"abreise","abreise",12,0,Inf,0.000144646085829631,12
"beispiel","beispiel",13,1,14.1730626459832,0.000647085704366785,12
"erstaunen","erstaunen",14,2,7.62919811039997,0.00168395802918833,12
"hierauf","hierauf",17,5,3.70617149593544,0.00875024368522528,12
"leib","leib",17,5,3.70617149593544,0.00875024368522528,12
"retten","retten",17,5,3.70617149593544,0.00875024368522528,12
"antwortete","antwortete",23,12,2.08902567296308,0.0414321589577254,11
"eigenes","eigenes",12,1,13.0822792238953,0.00125843614121935,11
"führen","führen",15,4,4.08636094542213,0.00959415814120038,11
"fahren","fahren",17,7,2.64652931718124,0.0386183503668309,10
"genommen","genommen",14,4,3.8143276669557,0.0159371263459496,10
"kamen","kamen",14,4,3.8143276669557,0.0159371263459496,10
"machten","machten",14,4,3.8143276669557,0.0159371263459496,10
"stimme","stimme",19,9,2.30064576066833,0.0378006879780063,10
"vaters","vaters",10,0,Inf,0.00063170307828583,10
"befahl","befahl",9,0,Inf,0.00132001088999095,9
"entschlossen","entschlossen",11,2,5.9922316178648,0.0101643947724655,9
"fahrt","fahrt",9,0,Inf,0.00132001088999095,9
"gefahr","gefahr",13,4,3.54134694813043,0.0261836115068822,9
"gefaßt","gefaßt",9,0,Inf,0.00132001088999095,9
"gewalt","gewalt",15,6,2.72402934745312,0.046622075861922,9
"männer","männer",10,1,10.894556782209,0.00469448233790648,9
"ruhe","ruhe",11,2,5.9922316178648,0.0101643947724655,9
"bemerkt","bemerkt",12,4,3.26844144930007,0.0424891292566218,8
"beschlossen","beschlossen",11,3,3.99413328595096,0.0295929433794579,8
"flucht","flucht",9,1,9.80446714139031,0.00899031190304505,8
"folgen","folgen",11,3,3.99413328595096,0.0295929433794579,8
"gerettet","gerettet",12,4,3.26844144930007,0.0424891292566218,8
"jahre","jahre",10,2,5.44680617886513,0.0181926906952624,8
"rettung","rettung",8,0,Inf,0.00275813986644272,8
"angekommen","angekommen",7,0,Inf,0.0057627438000778,7
"bedingung","bedingung",8,1,8.7140785774385,0.0170955494368412,7
"begeben","begeben",8,1,8.7140785774385,0.0170955494368412,7
"entfernung","entfernung",9,2,4.90149291377756,0.0322094378718691,7
"fällen","fällen",7,0,Inf,0.0057627438000778,7
"gaben","gaben",9,2,4.90149291377756,0.0322094378718691,7
"gebunden","gebunden",7,0,Inf,0.0057627438000778,7
"geführt","geführt",8,1,8.7140785774385,0.0170955494368412,7
"gehalten","gehalten",8,1,8.7140785774385,0.0170955494368412,7
"hielten","hielten",7,0,Inf,0.0057627438000778,7
"körper","körper",8,1,8.7140785774385,0.0170955494368412,7
"rund","rund",10,3,3.63133638114854,0.0495406399392519,7
"schritte","schritte",10,3,3.63133638114854,0.0495406399392519,7
