"","word","half2","half1","fish.odds","fish.p","diff"
"heart","heart",78,45,1.7891671538766,0.0019977459773472,33
"though","though",122,91,1.3837982799763,0.0193344022258396,31
"away","away",69,42,1.69494770116712,0.00749483864204214,27
"soon","soon",102,76,1.38467897981236,0.0349803876415181,26
"found","found",48,23,2.15266533058571,0.00270102720680825,25
"just","just",46,22,2.15656357148437,0.00325586753347714,24
"least","least",46,22,2.15656357148437,0.00325586753347714,24
"street","street",35,12,3.00801246254309,0.000626294058589183,23
"friend","friend",36,14,2.65176973273388,0.00157886138761164,22
"living","living",27,5,5.56812691199334,0.0000538803847545616,22
"marriage","marriage",33,11,3.09374425205384,0.000719527365121674,22
"better","better",49,28,1.80455000194439,0.0119926869371025,21
"brother","brother",45,24,1.93342346525604,0.0108090408391526,21
"therefore","therefore",57,36,1.63272621698097,0.0220826363210588,21
"brought","brought",39,19,2.11638912151127,0.00800513825745778,20
"hours","hours",30,11,2.81177811781435,0.00258337072430093,19
"done","done",44,26,1.74463214618328,0.0232454623881034,18
"entirely","entirely",30,12,2.57727658691712,0.00490203271474662,18
"short","short",37,19,2.0075364095947,0.0153047306698608,18
"afterwards","afterwards",24,8,3.09223495271498,0.004085842155847,16
"reason","reason",34,19,1.84432325101303,0.0382271454269417,15
"best","best",20,6,3.43539329721823,0.0053298704978775,14
"danger","danger",18,4,4.63702602633117,0.00228874992820862,14
"late","late",19,5,3.91561570621692,0.00363203180513905,14
"resolution","resolution",20,6,3.43539329721823,0.0053298704978775,14
"conscience","conscience",13,0,Inf,0.000100658393009475,13
"proved","proved",13,0,Inf,0.000100658393009475,13
"suffered","suffered",20,7,2.94422822709392,0.0114837764531587,13
"utmost","utmost",14,1,14.4290630638126,0.000439525835508627,13
"daughter","daughter",24,12,2.06076524770603,0.0445146645816885,12
"friendship","friendship",16,4,4.12106717054067,0.00648287502476422,12
"hopes","hopes",15,3,5.15147799025477,0.00393728466892886,12
"joy","joy",18,6,3.09122995209949,0.0134257796450153,12
"lost","lost",16,4,4.12106717054067,0.00648287502476422,12
"thinking","thinking",15,3,5.15147799025477,0.00393728466892886,12
"anxious","anxious",20,9,2.28955359721032,0.040289276847531,11
"exceedingly","exceedingly",18,8,2.31798017784329,0.0493612616470655,10
"fancied","fancied",10,0,Inf,0.00084243061703266,10
"health","health",11,1,11.3287636548857,0.00302060322422091,10
"led","led",14,4,3.60526915680458,0.0176876887133443,10
"marrying","marrying",12,2,6.1808600273203,0.00664145144035852,10
"proper","proper",17,7,2.50201385600528,0.0406997228577536,10
"close","close",9,0,Inf,0.00171025232921597,9
"connection","connection",14,5,2.88440607973727,0.0388028946244006,9
"followed","followed",13,4,3.34811750926975,0.0287380691090762,9
"instead","instead",11,2,5.66529990635519,0.0117848754650115,9
"anybody","anybody",9,1,9.26989178570956,0.010646316223489,8
"injured","injured",9,2,4.63440432653606,0.036010437000996,7
"judged","judged",9,2,4.63440432653606,0.036010437000996,7
"stopped","stopped",9,2,4.63440432653606,0.036010437000996,7
"direct","direct",1,8,0.128613591995987,0.0392062543038992,-7
"admire","admire",1,9,0.114314197162426,0.0215891953404778,-8
