"","word","half2","half1","fish.odds","fish.p","diff"
"künstler","künstler",32,0,Inf,0.000000000219052485466644,32
"einander","einander",61,30,2.04359362751544,0.00107342868405371,31
"gar","gar",107,80,1.34386535951691,0.047554110751134,27
"stadt","stadt",31,5,6.2284352194175,0.0000071513038483033,26
"hand","hand",66,41,1.6171163895688,0.0154063321047271,25
"denken","denken",45,21,2.15244550083725,0.00299240762050549,24
"geschäft","geschäft",39,16,2.44833670850183,0.00179774803270123,23
"sogar","sogar",33,12,2.76176251084077,0.00160514908098376,21
"großen","großen",61,41,1.49401079343739,0.0475149190220825,20
"see","see",20,2,10.0385024079395,0.0000643784729273487,18
"unsre","unsre",22,5,4.41685760389209,0.00089408136068917,17
"wasser","wasser",20,3,6.69241512623992,0.000271066489457289,17
"zustand","zustand",29,12,2.42623961376683,0.00779102174119142,17
"land","land",22,6,3.68032375058977,0.0022753803679367,16
"überall","überall",34,18,1.89612436836049,0.0266659565156266,16
"völlig","völlig",27,12,2.25856618538252,0.01637468017151,15
"kleinen","kleinen",27,13,2.08453477156172,0.0272223117846399,14
"nämlich","nämlich",14,0,Inf,0.0000597298934697018,14
"neuen","neuen",28,14,2.00733240957169,0.0311916309424823,14
"ufer","ufer",14,0,Inf,0.0000597298934697018,14
"gesang","gesang",21,8,2.63453517230583,0.0159359135154025,13
"dürfen","dürfen",22,10,2.2077027029502,0.0347438834928091,12
"entfernung","entfernung",15,3,5.01720773588957,0.00436505708022521,12
"fall","fall",19,7,2.72392339327414,0.0189502356486631,12
"folge","folge",18,6,3.01066078280717,0.0144675448437136,12
"sprache","sprache",20,8,2.50888639652379,0.0238696013855083,12
"unserm","unserm",21,9,2.34164166887453,0.029155571374628,12
"allgemeine","allgemeine",14,3,4.6823191079473,0.00744725126625016,11
"ans","ans",19,8,2.38326071991055,0.0353742164042092,11
"entschieden","entschieden",17,6,2.84316483461316,0.0224303985896212,11
"findet","findet",19,8,2.38326071991055,0.0353742164042092,11
"frische","frische",11,0,Inf,0.000480376343813984,11
"lage","lage",18,7,2.58035678051168,0.0286848067200178,11
"seiten","seiten",21,10,2.10718567823456,0.0496804736976477,11
"arbeiten","arbeiten",12,2,6.01975912419863,0.00730026618163951,10
"gebracht","gebracht",16,6,2.67570631973078,0.0343900171561918,10
"längst","längst",13,3,4.34748108810637,0.01259178430404,10
"besondere","besondere",12,3,4.01269407312721,0.02107705448823,9
"bewegt","bewegt",12,3,4.01269407312721,0.02107705448823,9
"erfuhr","erfuhr",12,3,4.01269407312721,0.02107705448823,9
"letzte","letzte",14,5,2.80926413171628,0.0410646807874982,9
"unternehmen","unternehmen",12,3,4.01269407312721,0.02107705448823,9
"verschiedene","verschiedene",11,2,5.51764039547487,0.0128099372680871,9
"verwirrung","verwirrung",14,5,2.80926413171628,0.0410646807874982,9
"wiederholt","wiederholt",12,3,4.01269407312721,0.02107705448823,9
"erstenmal","erstenmal",10,2,5.01559586736853,0.0222685368965921,8
"gedacht","gedacht",12,4,3.00969370608567,0.0486930073035668,8
"geschrieben","geschrieben",10,2,5.01559586736853,0.0222685368965921,8
"gewußt","gewußt",12,4,3.00969370608567,0.0486930073035668,8
"herrliche","herrliche",12,4,3.00969370608567,0.0486930073035668,8
"masse","masse",11,3,3.67795920383897,0.0348841142884245,8
"schlüssel","schlüssel",12,4,3.00969370608567,0.0486930073035668,8
"talent","talent",12,4,3.00969370608567,0.0486930073035668,8
"vorüber","vorüber",12,4,3.00969370608567,0.0486930073035668,8
"wirken","wirken",12,4,3.00969370608567,0.0486930073035668,8
"saßen","saßen",9,2,4.51362481508564,0.0382971844639436,7
"grunde","grunde",2,10,0.200403488796091,0.0385308889371933,-8
"lehre","lehre",2,10,0.200403488796091,0.0385308889371933,-8
"finde","finde",4,13,0.308245265147018,0.0489692034408439,-9
"halb","halb",4,14,0.286258094439778,0.0308272955668049,-10
"mühe","mühe",2,12,0.166974066446789,0.0129164152917285,-10
