"","work","word.count","turning.point"
"1","1771_La Roche,Sophievon_GeschichtedesFräuleinsvonSternheim_Novel_1.txt",99486,3
"2","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_1.txt",35044,17
"3","1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel_1.txt",107386,10
"4","1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel_1.txt",107386,16
"5","1776_Nicolai,Friedrich_SebaldusNothanker_Novel_1.txt",122630,3
"6","1776_Nicolai,Friedrich_SebaldusNothanker_Novel_1.txt",122630,5
"7","1776_Nicolai,Friedrich_SebaldusNothanker_Novel_1.txt",122630,11
"8","1776_Nicolai,Friedrich_SebaldusNothanker_Novel_1.txt",122630,13
"9","1779_Campe,Joachim_Robinson_Novel_1.txt",99149,2
"10","1779_Campe,Joachim_Robinson_Novel_1.txt",99149,10
"11","1779_Jacobi,Friedrich_Woldemar_Novel_1.txt",29069,5
"12","1779_Jacobi,Friedrich_Woldemar_Novel_1.txt",29069,7
"13","1780_Wezel,Johann_HermannundUlrike_Novel_1.txt",258158,5
"14","1785_Moritz,KarlPhilipp_AntonReiser_Novel_1.txt",132043,0
"15","1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_1.txt",24995,0
"16","1787_Heinse,Johann_Ardinghello_Novel_1.txt",103393,14
"17","1787_Heinse,Johann_Ardinghello_Novel_1.txt",103393,17
"18","1788_Ehrmann,Marianne_Amalie.EinewahreGeschichteinBriefen_Novel_1.txt",118329,14
"19","1788_Ehrmann,Marianne_NinasBriefeanihrenGeliebten_Novel_1.txt",44020,4
"20","1788_Ehrmann,Marianne_NinasBriefeanihrenGeliebten_Novel_1.txt",44020,6
"21","1788_Naubert,Benedikte_HermannvonUnna_Novel_1.txt",130725,9
"22","1788_Naubert,Benedikte_HermannvonUnna_Novel_1.txt",130725,14
"23","1789_Schiller,Friedrich_DerGeisterseher_Novel_1.txt",42334,7
"24","1789_Schiller,Friedrich_DerGeisterseher_Novel_1.txt",42334,12
"25","1789_Schiller,Friedrich_DerGeisterseher_Novel_1.txt",42334,16
"26","1791_Klinger,Friedrich_FaustsLeben_Novel_1.txt",64301,4
"27","1791_Klinger,Friedrich_FaustsLeben_Novel_1.txt",64301,12
"28","1791_Knigge,Adolph_BenjaminNoldmann_Novel_1.txt",93252,16
"29","1791_Naubert,Benedikte_AlfvonDülmen_Novel_1.txt",100348,6
"30","1791_Naubert,Benedikte_DieAmtmanninvonHohenweiler_Novel_1.txt",114011,0
"31","1792_Jacobi,Friedrich_EduardAllwill_Novel_1.txt",46119,0
"32","1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel_1.txt",195021,11
"33","1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel_1.txt",195021,13
"34","1795_Paul,Jean_Hesperus_Novel_1.txt",246276,0
"35","1795_Wobeser,Karoline_Elisa_Novel_1.txt",74235,0
"36","1796_Huber,Therese_FamilieSeldorf_Novel_1.txt",91887,10
"37","1796_Huber,Therese_FamilieSeldorf_Novel_1.txt",91887,12
"38","1796_Huber,Therese_Luise_Novel_1.txt",39009,2
"39","1796_Paul,Jean_QuintusFixlein_Novel_1.txt",77022,2
"40","1796_Paul,Jean_QuintusFixlein_Novel_1.txt",77022,4
"41","1796_Tieck,Ludwig_WilliamLovell_Novel_1.txt",160017,13
"42","1797_Paul,Jean_Siebenkäs_Novel_1.txt",176880,8
"43","1798_La Roche,Sophie von_ErscheinungenamSeeOneida_Novel_1.txt",102609,0
"44","1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel_1.txt",102625,10
