topic.no,no.tokens,no.docs,no.novels,heterogeneity,avg.date,sd.date,coherence.total,sim.score,tokens.per,docs.per,novels.per,het.per,avg.date.per,sd.date.per,coherence.per,sim.per
1,209273,7,7,0.8571428571,1890,32,43.4672077291,0.7542467594,16,1,39,97,91,79,2,32
2,233402,56,10,0.6071428571,1826,13,182.2435031642,0.7366104988,25,66,56,57,37,39,95,12
3,261459,10,2,0.1,1794,10,52.7408591176,0.7517240227,38,3,7,19,8,33,3,29
5,296466,86,2,0.011627907,1796,2,103.8370022514,0.8083148101,61,82,8,8,9,15,26,89
6,323992,33,19,0.7575757576,1885,31,124.5985802777,0.7612660992,77,40,91,77,89,77,43,41
8,215266,15,6,0.5333333333,1867,34,128.1712720256,0.739848314,17,8,34,52,79,85,49,15
9,368829,34,23,0.8529411765,1828,35,116.0526369784,0.7484223833,94,41,98,95,39,86,37,24
10,398560,174,5,0.7298850575,1890,4,99.6757290668,0.8332931495,99,97,30,73,91,21,22,99
11,368675,92,3,0.4673913043,1882,7,65.4133394779,0.8032058019,93,85,15,45,88,28,5,84
12,282629,55,11,0.6727272727,1849,20,134.8567852691,0.7570931721,50,64,62,64,58,54,57,36
13,262186,65,9,0.1846153846,1830,8,128.1568405144,0.756296634,40,72,51,24,41,29,49,34
14,197006,23,5,0.5652173913,1792,13,129.0435679512,0.7707865015,11,18,30,53,7,39,50,50
15,235624,23,4,0.3043478261,1815,44,137.8544470081,0.7791726098,26,18,22,29,24,97,64,58
16,252690,12,10,0.8333333333,1809,29,131.5933804595,0.7446389032,32,6,56,91,19,73,53,20
17,338467,28,7,0.3214285714,1832,22,83.78478746,0.791740837,85,28,40,30,44,57,11,73
18,301502,26,19,0.8461538462,1820,27,110.4406181794,0.7031585265,64,23,92,94,32,68,30,1
19,295918,95,1,0,1826,0,124.1648952695,0.7794906139,61,86,1,1,37,1,42,59
20,340832,84,8,0.5714285714,1785,11,126.0285104693,0.7599779446,86,81,45,55,3,35,45,39
21,351228,27,14,0.7777777778,1872,35,122.3604691324,0.7471800901,89,24,77,80,83,86,40,22
22,342675,29,19,0.7931034483,1863,26,137.4473164761,0.7715725019,87,31,92,85,73,66,63,51
23,348710,27,14,0.7777777778,1844,43,135.4713717845,0.7073431402,89,24,77,80,54,96,59,2
24,308809,31,20,0.7741935484,1818,27,161.5689488053,0.7421087235,69,36,94,79,29,68,83,18
25,375760,42,4,0.0714285714,1812,3,93.1918731873,0.7986627919,95,54,23,16,20,17,17,81
26,302049,23,10,0.6956521739,1807,22,173.7602754478,0.7310094094,65,18,56,67,18,57,92,7
27,258828,34,5,0.1176470588,1864,4,95.1906869415,0.8028281164,36,41,31,20,74,21,18,83
28,320366,96,4,0.1770833333,1799,2,89.8982406054,0.7953885296,75,86,23,23,12,15,15,78
30,301511,41,14,0.6097560976,1830,27,175.9123703316,0.7290389533,65,52,77,57,41,68,93,6
31,287885,226,4,0.6548672566,1790,6,147.2919770627,0.7479763086,54,100,23,62,6,25,76,23
32,383726,105,3,0.0476190476,1803,1,84.6150740841,0.8344872673,97,88,16,14,15,9,12,99
33,284976,29,19,0.7931034483,1857,36,145.4402281099,0.7872821396,53,32,93,85,66,90,74,69
34,140811,21,13,0.7142857143,1824,25,161.4250634236,0.7817086862,3,14,72,69,36,63,83,64
35,304995,18,1,0,1788,0,85.4128541218,0.739897836,67,11,1,1,4,1,12,15
36,263517,66,4,0.4545454545,1816,16,153.1910774293,0.7594154448,41,73,24,43,25,45,79,38
37,309009,175,7,0.4285714286,1918,12,139.9577640517,0.7323254877,69,97,40,40,100,37,66,7
38,372279,79,1,0,1798,0,72.7849157459,0.8224146442,94,78,1,1,11,1,6,95
39,142100,21,6,0.2380952381,1783,19,154.5697726229,0.7563711015,4,14,34,25,3,50,80,34
40,221359,25,17,0.84,1858,35,162.842031139,0.7499898191,20,21,85,93,69,87,86,27
41,328417,63,4,0.0476190476,1900,1,103.8086579225,0.8085282537,79,71,24,15,95,10,25,90
43,292862,16,13,0.8125,1845,37,113.986996567,0.7566960058,58,10,72,88,55,92,35,35
44,314784,47,10,0.3404255319,1861,15,125.2487699548,0.7788802149,72,58,57,32,71,43,44,57
45,258036,62,12,0.5161290323,1830,14,140.4103821781,0.7419929895,35,70,68,49,41,41,68,18
47,202501,12,11,0.8333333333,1833,34,116.5455226657,0.7587697177,13,6,62,91,45,85,37,37
48,334285,37,14,0.6756756757,1841,23,126.6195824618,0.8086348092,82,46,78,65,52,60,47,90
49,180236,25,14,0.76,1811,32,118.4785740523,0.703501596,7,21,78,77,20,80,38,1
51,307721,40,13,0.8,1824,24,162.3806617276,0.7546897349,68,50,73,85,36,61,85,32
52,378248,101,1,0,1779,0,73.5366240239,0.7762031584,97,87,2,2,2,2,7,54
53,347933,13,8,0.7692307692,1904,21,60.4758080561,0.7591630722,88,7,46,78,96,55,4,37
54,353442,21,10,0.7142857143,1867,18,99.9458452573,0.7948428285,90,14,57,70,79,48,23,77
55,43494,21,4,0.380952381,1867,30,187.253865843,0.76254558,1,15,24,35,79,75,97,42
56,208859,10,2,0.1,1855,1,43.6582054652,0.816349168,16,3,8,19,63,10,2,94
57,310766,91,4,0.3846153846,1789,2,150.2071007106,0.7389087698,70,85,25,35,5,16,78,14
58,156262,42,8,0.3095238095,1813,12,164.2204085098,0.7558610232,5,54,46,30,21,38,87,33
59,274175,205,2,0.2585365854,1875,3,162.1859024132,0.8094000551,47,99,8,26,85,18,84,90
60,297219,30,9,0.5666666667,1869,23,129.0970953972,0.7776869336,62,34,51,54,81,60,50,56
61,170589,23,9,0.347826087,1805,21,95.4327862504,0.7595772523,6,19,52,33,18,56,19,39
62,281668,23,10,0.4782608696,1837,29,126.8116080384,0.7907439872,49,19,57,46,49,73,47,73
63,261208,28,12,0.7142857143,1886,39,99.1194095709,0.7948224818,37,29,68,70,90,94,22,76
64,297436,15,7,0.4666666667,1895,35,102.3774767219,0.7417906961,62,9,40,45,93,87,24,17
65,316286,47,4,0.4042553191,1847,14,124.5488777339,0.7770957711,73,58,25,37,57,41,43,55
66,262083,25,16,0.88,1861,49,162.3994956399,0.7361279689,39,22,82,99,72,100,85,11
67,309349,56,11,0.5,1805,13,120.5624184771,0.7694967588,70,66,62,47,18,40,39,47
68,217932,101,21,0.7524752475,1819,24,190.7666099834,0.7265466822,18,87,95,76,30,61,97,6
69,197135,10,8,0.8,1865,44,78.3784621315,0.7826697318,11,4,47,86,77,98,8,64
70,356870,74,14,0.5675675676,1825,25,135.4813384491,0.7807949633,91,75,78,54,36,64,60,62
71,179376,13,10,0.6923076923,1861,35,121.0023644091,0.7427164378,7,8,58,66,72,87,40,19
72,265692,34,13,0.7647058824,1814,32,207.7040511086,0.8009500193,43,42,73,77,23,80,99,82
73,198670,67,7,0.4925373134,1815,8,140.1743919245,0.789603395,12,73,41,47,24,29,67,72
74,284934,37,18,0.7837837838,1866,29,114.154291337,0.783014539,52,47,89,83,77,73,35,65
75,314398,170,4,0.5294117647,1816,13,147.222081875,0.7686421809,72,96,25,51,26,40,76,46
76,197578,42,16,0.7142857143,1811,31,114.2103450724,0.8041634976,12,54,83,70,20,77,36,85
77,279252,69,12,0.4202898551,1835,19,140.1971220818,0.7776796503,48,74,68,39,46,50,67,56
78,318389,33,18,0.6363636364,1838,36,163.1467803012,0.7206760163,74,40,89,60,49,90,86,3
79,311421,62,7,0.4032258065,1892,6,97.3083025358,0.8160059557,70,70,41,36,92,25,20,93
80,317266,38,17,0.8157894737,1859,27,143.2194513546,0.7798121774,74,47,86,89,69,69,70,61
