words,x,y,cluster,translation
erd,-0.1904473778,-0.0676049186,1,earth
ewig,0.4944055642,0.3928939277,1,eternal
gedank,-0.2381782956,-0.2582316347,2,thought
geist,-0.1694336648,0.7013376395,2,spirit
gott,-0.0323857908,0.3753783403,2,god
himmel,-0.6484635755,0.2010590095,2,heaven
leb,0.5403897026,0.1660606226,1,life
mehr,0.4226884639,-0.1496366538,1,more
mensch,0.1095783444,0.055673893,1,man
nacht,-0.2650471248,-0.3342284443,2,night
nie,-0.3797437898,-0.3092107412,2,never
ruh,0.2460352972,-0.561106074,1,rest
seel,-0.5557175407,0.0557155886,2,soul
seh,0.1675690333,-0.531172244,1,see
sterb,0.3027156413,-0.4020887343,1,die
still,-0.0458667136,0.227877119,1,silence
tief,-0.1876501214,0.2430305301,2,deep
tod,0.4395181027,0.0264052309,1,death
welt,-0.4742832938,-0.106966636,2,world
zeit,0.4643171388,0.2748141797,1,time
