words,x,y,translation,group
asch,-0.0967111181,-0.2364997976,ash,1
blum,-0.2483541099,0.1411281044,flower,1
einsam,0.1611954557,0.3373577837,alone,1
erd,0.0806438883,-0.1210369192,earth,2
ewig,-0.6081546677,-0.4504587547,eternal,2
fuhl,0.1092129012,0.1912297116,feel,1
gedank,0.0076761624,0.1726479536,thought,2
geist,0.0726312378,-0.6939571524,spirit,2
gott,0.1000727282,-0.1438629019,god,2
gottlich,0.1063010579,-0.3629356861,divine,1
grab,0.0675862107,0.3110226972,grave,1
himmel,0.5498426275,-0.2059109163,heaven,2
kerk,0.0759117438,0.0946370126,cell,1
leb,-0.5475245946,-0.0723907006,life,2
mehr,-0.4879564179,0.1029991808,more,2
mensch,-0.2515544258,0.0406875762,man,2
nacht,0.1351458486,0.1741246383,night,2
natur,-0.0307754385,-0.3765652264,nature,1
nie,0.2939597388,0.2992704363,never,2
ruh,-0.265738713,0.6306395063,rest,2
seel,0.5023540743,0.0417476495,soul,2
seh,-0.2008681968,0.5692593758,see,2
selig,0.627815471,-0.0814971079,holy,1
sterb,-0.4608923855,0.317660509,die,2
stern,0.0681359733,-0.279071244,star,1
still,0.0897763212,-0.1088804896,silence,2
strahl,0.2849880519,0.0722189544,ray,1
tief,0.164980288,-0.1704091051,deep,2
tod,-0.5121147864,0.0070920153,death,2
traum,0.0406282408,0.2523536164,dream,1
unend,-0.1683724299,-0.3286775054,endless,1
unsterb,-0.0244766101,-0.3954445757,immortal,1
welt,0.3795182552,0.1950207521,world,2
wonn,0.4297313469,0.1549934327,joy,1
zeit,-0.4446137292,-0.0884928232,time,2
