words,x,y,translation,cluster
erd,0.0562908989,0.4544915214,earth,1
ewig,0.4352078094,-0.2212848683,eternal,1
gedank,-0.1942643067,-0.2631636615,thought,2
geist,0.3722520253,-0.1421799575,spirit,2
gott,-0.3567524058,0.2730540826,god,2
himmel,0.2927573691,0.4977688356,heaven,2
leb,0.274841147,-0.0995578172,life,1
mehr,-0.2844486263,0.0126875319,more,1
mensch,-0.2479236456,0.412186469,man,1
nacht,0.3168273294,-0.2495167134,night,2
nie,-0.4363382463,-0.2549262222,never,2
ruh,0.0498215098,-0.3483606113,rest,1
seel,0.2909359881,-0.0210857768,soul,2
seh,-0.2614376392,0.030566839,see,1
sterb,-0.5650113887,-0.1039535565,die,1
still,0.1303816688,-0.2056934192,silence,1
tief,0.3306152193,-0.2294860657,deep,2
tod,-0.4489481311,-0.2775645739,death,1
welt,0.2999815694,0.3262473882,world,2
zeit,-0.0547881446,0.3937705758,time,1
