document,probability
"1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_24000.txt",0.2432645649
"1785_Moritz,KarlPhilipp_AntonReiser_Novel_140000.txt",0.2192408423
"1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_24000.txt",0.4443110921
"1791_Naubert,Benedikte_AlfvonDülmen_Novel_62000.txt",0.2134427949
"1792_Jacobi,Friedrich_EduardAllwill_Novel_43000.txt",0.2467947983
"1795_Paul,Jean_Hesperus_Novel_213000.txt",0.2410215463
"1795_Paul,Jean_Hesperus_Novel_3000.txt",0.2634209505
"1796_Tieck,Ludwig_WilliamLovell_Novel_130000.txt",0.2429237598
"1796_Tieck,Ludwig_WilliamLovell_Novel_139000.txt",0.3975726914
"1796_Tieck,Ludwig_WilliamLovell_Novel_162000.txt",0.2065801064
"1796_Tieck,Ludwig_WilliamLovell_Novel_2000.txt",0.5853443711
1799_Hölderlin_Hyperion_Novel_16000.txt,0.2194485862
1799_Hölderlin_Hyperion_Novel_21000.txt,0.2079748563
1799_Hölderlin_Hyperion_Novel_22000.txt,0.3019247734
1799_Hölderlin_Hyperion_Novel_49000.txt,0.3117529406
1799_Hölderlin_Hyperion_Novel_60000.txt,0.2183103331
"1802_Arnim,Achimvon_HollinsLiebeleben_Novel_13000.txt",0.2187565288
"1802_Arnim,Achimvon_HollinsLiebeleben_Novel_25000.txt",0.2189630281
"1802_Brentano,Clemens_Godwi_Novel_22000.txt",0.2524405473
"1810_Arnim,Achimvon_ArmutReichtumSchuldUndBusseDerGrafinDolores_Novel_190000.txt",0.3236456642
"1810_Fouqué,CarolinedelaMotte_DieFraudesFalkensteins_Novel_32000.txt",0.2019408849
"1835_Arnim,Bettinevon_Goethe'sBriefwechselMitEinemKinde_Novel_143000.txt",0.2646747109
"1835_Arnim,Bettinevon_Goethe'sBriefwechselMitEinemKinde_Novel_145000.txt",0.2216576105
"1835_Gutzkow,Karl_Wally_Novel_35000.txt",0.2203835595
"1844_Achim,Bettinevon_ClemensBrentano'sFrühlingskranz_Novel_49000.txt",0.4534520443
"1844_Achim,Bettinevon_ClemensBrentano'sFrühlingskranz_Novel_89000.txt",0.3228628339
"1846_Hahn-Hahn,Ida_Sibylle_Novel_96000.txt",0.2008551057
"1903_Frapan,Ilse_Arbeit_Novel_40000.txt",0.2161353579
"1903_Heyking,Elisabethvon_Briefe,dieihnnichterreichten_Novel_47000.txt",0.2217955794
"1910_Rilke,RainerMaria_MalteLauridsBrigge_Novel_17000.txt",0.2418665075
