documents,probability
"1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_10000.txt",0.103419358
"1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_14000.txt",0.1066030488
"1779_Jacobi,Friedrich_Woldemar_Novel_15000.txt",0.1003104128
"1780_Wezel,Johann_HermannundUlrike_Novel_206000.txt",0.1098780986
"1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_13000.txt",0.1186581676
"1786_Moritz,KarlPhilipp_AndreasHartknopf_Novel_20000.txt",0.1153142375
"1791_Klinger,Friedrich_FaustsLeben_Novel_44000.txt",0.1032046198
"1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel_140000.txt",0.1214367749
"1795_Paul,Jean_Hesperus_Novel_202000.txt",0.1147030341
"1795_Wobeser,Karoline_Elisa_Novel_1000.txt",0.1195466835
"1796_Huber,Therese_FamilieSeldorf_Novel_35000.txt",0.1064742408
"1796_Paul,Jean_QuintusFixlein_Novel_55000.txt",0.1182575344
"1796_Tieck,Ludwig_WilliamLovell_Novel_103000.txt",0.1062276328
"1796_Tieck,Ludwig_WilliamLovell_Novel_107000.txt",0.1161805747
"1796_Tieck,Ludwig_WilliamLovell_Novel_110000.txt",0.1107105845
"1796_Tieck,Ludwig_WilliamLovell_Novel_119000.txt",0.1093523102
"1796_Tieck,Ludwig_WilliamLovell_Novel_58000.txt",0.1095531752
"1796_Tieck,Ludwig_WilliamLovell_Novel_7000.txt",0.1192274525
1799_Hölderlin_Hyperion_Novel_13000.txt,0.119576289
1799_Hölderlin_Hyperion_Novel_9000.txt,0.1175902875
"1799_Schlegel,Friedrich_Lucinde_Novel_22000.txt",0.1252972353
"1799_Schlegel,Friedrich_Lucinde_Novel_26000.txt",0.1289016882
"1799_Schlegel,Friedrich_Lucinde_Novel_29000.txt",0.1281067555
"1802_Brentano,Clemens_Godwi_Novel_38000.txt",0.123458005
"1802_Brentano,Clemens_Godwi_Novel_47000.txt",0.1248710121
"1802_Brentano,Clemens_Godwi_Novel_84000.txt",0.1035222382
"1803_Mereau,Sophie_AmandaundEduard_Novel_25000.txt",0.1023770028
"1803_Mereau,Sophie_AmandaundEduard_Novel_37000.txt",0.1122110141
"1803_Mereau,Sophie_AmandaundEduard_Novel_4000.txt",0.1080138999
"1803_Mereau,Sophie_AmandaundEduard_Novel_44000.txt",0.121935967
"1803_Paul,Jean_Titan_Novel_266000.txt",0.108210715
"1805_Klingemann,August_DieNachtwachendesBonaventura_Novel_1.txt",0.1211366021
