"","source","target","weight"
"190","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_1000.txt",20,0.248134582364482
"191","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_10000.txt",20,0.291806753989161
"192","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_11000.txt",20,0.274640685530963
"193","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_12000.txt",20,0.291111346691364
"20","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_13000.txt",20,0.282744435367842
"201","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_17000.txt",20,0.218265881764304
"202","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_19000.txt",20,0.213167927936811
"196","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_2000.txt",20,0.217721510226438
"203","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_24000.txt",20,0.225936810918553
"1501","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_24000.txt",150,0.24326456487231
"198","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_27000.txt",20,0.41303378431116
"1102","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_32000.txt",290,0.253324501888566
"1104","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_5000.txt",20,0.307540090109265
"1105","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_6000.txt",20,0.240849978741875
"1106","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_8000.txt",20,0.256139716567277
"204","1774_Goethe,Johann_DieLeidendesjungenWerthers1_Novel_9000.txt",20,0.230836370837537
"209","1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel_78000.txt",209,0.311522889402752
"2091","1774_Wieland,ChristophMartin_GeschichtederAbderiten_Novel_97000.txt",209,0.471915659458031
"1383","1779_Jacobi,Friedrich_Woldemar_Novel_1.txt",20,0.298550340128349
"1384","1779_Jacobi,Friedrich_Woldemar_Novel_1000.txt",20,0.369478502049342
"1386","1779_Jacobi,Friedrich_Woldemar_Novel_11000.txt",20,0.278352267302839
"1387","1779_Jacobi,Friedrich_Woldemar_Novel_12000.txt",20,0.344577468070297
"1388","1779_Jacobi,Friedrich_Woldemar_Novel_13000.txt",20,0.294006346513464
"1389","1779_Jacobi,Friedrich_Woldemar_Novel_14000.txt",20,0.360218639658497
"205","1779_Jacobi,Friedrich_Woldemar_Novel_15000.txt",20,0.339803898473752
"1390","1779_Jacobi,Friedrich_Woldemar_Novel_16000.txt",20,0.283831140411046
"1391","1779_Jacobi,Friedrich_Woldemar_Novel_17000.txt",20,0.616645967825274
"1392","1779_Jacobi,Friedrich_Woldemar_Novel_18000.txt",20,0.313808368751315
"206","1779_Jacobi,Friedrich_Woldemar_Novel_19000.txt",20,0.25694457169777
"1393","1779_Jacobi,Friedrich_Woldemar_Novel_2000.txt",20,0.370138600995542
"1394","1779_Jacobi,Friedrich_Woldemar_Novel_20000.txt",20,0.490948668920638
"207","1779_Jacobi,Friedrich_Woldemar_Novel_21000.txt",20,0.431990088251329
"1395","1779_Jacobi,Friedrich_Woldemar_Novel_22000.txt",20,0.4461687244599
"1396","1779_Jacobi,Friedrich_Woldemar_Novel_23000.txt",20,0.597864286299219
"1397","1779_Jacobi,Friedrich_Woldemar_Novel_24000.txt",20,0.587051381312041
"1398","1779_Jacobi,Friedrich_Woldemar_Novel_25000.txt",20,0.547753720875372
"1399","1779_Jacobi,Friedrich_Woldemar_Novel_26000.txt",20,0.398939271414911
"1400","1779_Jacobi,Friedrich_Woldemar_Novel_27000.txt",20,0.375787106160135
"1401","1779_Jacobi,Friedrich_Woldemar_Novel_28000.txt",20,0.561444898814821
"208","1779_Jacobi,Friedrich_Woldemar_Novel_29000.txt",20,0.394940438739874
"290","1779_Jacobi,Friedrich_Woldemar_Novel_29000.txt",290,0.205421396735616
"1402","1779_Jacobi,Friedrich_Woldemar_Novel_3000.txt",20,0.54039927730378
"1403","1779_Jacobi,Friedrich_Woldemar_Novel_4000.txt",20,0.447771090057916
"1404","1779_Jacobi,Friedrich_Woldemar_Novel_5000.txt",20,0.644151972616994
"1405","1779_Jacobi,Friedrich_Woldemar_Novel_6000.txt",20,0.627363947805496
"1406","1779_Jacobi,Friedrich_Woldemar_Novel_7000.txt",20,0.522324777926961
"2010","1779_Jacobi,Friedrich_Woldemar_Novel_8000.txt",20,0.476514293932831
"1407","1779_Jacobi,Friedrich_Woldemar_Novel_9000.txt",20,0.699273776049671
"266","1780_Wezel,Johann_HermannundUlrike_Novel_1.txt",266,0.384231545339721
"14910","1780_Wezel,Johann_HermannundUlrike_Novel_79000.txt",149,0.32910348528388
