words,x,y,translation,cluster
aug,-0.1973970528,0.1889619943,eye,73
erd,0.3660885638,-0.0293714272,earth,150
ewig,0.0723735944,-0.4446436288,eternal,150
gefuhl,-0.196683384,-0.0697175617,feeling,73
geist,0.2128873178,-0.2479468236,spirit,150
herz,-0.2409727102,-0.0274583911,heart,73
leb,0.2833683942,-0.332493956,life,150
lieb,-0.1366870077,-0.3239568843,love,73
lieblich,-0.2961479746,0.0920376623,charming,73
mehr,0.0714715687,0.0539756815,more,150
mensch,0.405235601,0.0903444878,man,150
schien,-0.1782856183,0.302612057,appear,73
schon,-0.2782526037,0.0096008634,beauty,73
seel,-0.0840614404,-0.1393273861,soul,150
sterb,0.4103937345,0.3216696602,die,150
suss,-0.2765092498,-0.1538929993,sweet,73
tief,-0.1909038504,-0.3461984535,deep,150
tod,0.6236430817,0.1434239954,death,150
welt,0.1162318292,-0.0751444221,world,150
