,,,
abhor,abhor,anger,neg
abhorr,abhorrence,anger,neg
abomin,abomination,anger,neg
abus,abuse,anger,neg
ach,ache,sadness,neg
acrimoni,acrimony,anger,neg
admir,admire,love,pos
ador,adore,love,pos
adul,adulation,love,pos
affect,affection,love,pos
afflict,afflict,sadness,neg
affront,affront,anger,neg
afraid,afraid,fear,neg
aggrav,aggravate,anger,neg
aggriev,aggrieve,fear,neg
agit,agitated,anger,neg
agon,agonize,sadness,neg
agoni,agonized,sadness,neg
ail,ail,sadness,neg
alarm,alarm,fear,neg
alert,alert,fear,neg
alien,alienated,anger,neg
allegi,allegiance,love,pos
amiti,amity,love,pos
amor,amorousness,love,pos
amour,amour,love,pos
amus,amuse ,joy,pos
anger,anger,anger,neg
angst,angst,fear,neg
anguish,anguish,sadness,neg
anim,animated,joy,pos
animos,animosity,anger,neg
animus,animus,anger,neg
annoy,annoy,anger,neg
antagon,antagonism,anger,neg
antipathi,antipathy,anger,neg
anxieti,anxiety,fear,neg
anxious,anxious,fear,neg
apoplexi,apoplexy,anger,neg
appreci,appreciate,love,pos
apprehens,apprehension,fear,neg
ardent,ardent,love,pos
ardor,ardor,love,pos
asper,asperity,anger,neg
avers,aversion,anger,neg
avoid,avoid,fear,neg
aw,awe,love,pos
awe,awed,love,pos
aweinspir,aweinspiring,love,pos
bad,bad,anger,neg
balk,balk,fear,neg
barbar,barbaric,anger,neg
bawl,bawl,sadness,neg
beatitud,beatitude,joy,pos
bemoan,bemoan,sadness,neg
bereav,bereave,sadness,neg
bewail,bewail,sadness,neg
bitter,bitterness,anger,neg
bleak,bleakness,sadness,neg
bless,bless,love,pos
blessed,blessed,joy,pos
bliss,bliss,joy,pos
bristl,bristle,anger,neg
brood,brood,sadness,neg
bummer,bummer,sadness,neg
buoyanc,buoyancy,joy,pos
care,care,love,pos
catastroph,catastrophe,sadness,neg
celebr,celebrate,joy,pos
chafe,chafe,sadness,neg
charm,charm,joy,pos
cheer,cheer,joy,pos
cheeri,cheeriness,joy,pos
cheerless,cheerlessness,sadness,neg
cherish,cherish,love,pos
choler,choler,anger,neg
comfort,comfort,joy,pos
commend,commend,love,pos
complain,complain,anger,neg
compliment,compliment,love,pos
connipt,conniption,anger,neg
consecr,consecrate,love,pos
constern,consternation,fear,neg
