"","x"
"00000001.txt",0.105234276065851
"00000037.txt",0.0933882882764251
"00000038.txt",0.0877596492489039
"00000039.txt",0.0969444208017704
"00000080.txt",0.0899914089347079
"00000083.txt",0.091472919637823
"00000086.txt",0.0958707237995843
"00000107.txt",0.120266061188251
"00000130.txt",0.101958909929595
"00000183.txt",0.0834107849033222
"00000221.txt",0.0905394730728126
"00000241.txt",0.0982795507220538
"00000243.txt",0.101652826359777
"00000244.txt",0.108155146693187
"00000253.txt",0.0967220282753691
"00000309.txt",0.101529051987768
"00000310.txt",0.104554370186098
"00000381.txt",0.0938169148691644
"00000401.txt",0.109081540183727
"00000449.txt",0.112351836803318
"00000450.txt",0.100520695437296
"00000475.txt",0.098503490182293
"00000515.txt",0.0977496269679345
"00000521.txt",0.0893757148423262
"00000524.txt",0.080460952772919
"00000606.txt",0.104612109310478
"00000671.txt",0.0947489379483251
"00000679.txt",0.100696196894576
"00000698.txt",0.10191849053418
"00000699.txt",0.106391380380211
"00000711.txt",0.0931599276389772
"00000714.txt",0.0935089468436795
"00000766.txt",0.0929420553462388
"00000790.txt",0.101971269791339
"00000792.txt",0.089189327248889
"00000822.txt",0.109117603876083
"00000846.txt",0.129498217713189
"00000877.txt",0.101049745292275
"00000879.txt",0.088
"00000901.txt",0.0941121276096646
"00000902.txt",0.0957339873748543
"00000930.txt",0.106834760545512
"00000980.txt",0.106882347031046
"00000986.txt",0.0803914615984682
"00001085.txt",0.0861731387814088
"00001089.txt",0.0915343349279372
"00001111.txt",0.0943849399545602
"00001130.txt",0.0733050597867703
"00001131.txt",0.0997458345100254
"00001161.txt",0.122993840548278
"00001176.txt",0.0869107281334275
"00001177.txt",0.0992013644797345
"00001185.txt",0.100920010222336
"00001186.txt",0.103187604855423
"00001192.txt",0.0993378385743092
"00001196.txt",0.0931194881803108
"00001273.txt",0.106608891241069
"00001291.txt",0.0917229669559848
"00001312.txt",0.0950760412935161
"00001315.txt",0.0907056470812304
"00001362.txt",0.10295363831747
"00001366.txt",0.0970139867176494
"00001382.txt",0.0935314685314685
"00001384.txt",0.114378851998989
"00001415.txt",0.0824172312412118
"00001437.txt",0.101848952454468
"00001443.txt",0.0924525596290808
"00001457.txt",0.097692793931732
"00001530.txt",0.0950249320036265
"00001579.txt",0.0978607494020728
"00001601.txt",0.0860372378575322
"00001629.txt",0.0875342465753425
"00001666.txt",0.0883969336565019
"00001725.txt",0.0802621086572132
"00001729.txt",0.103246950946505
"00001734.txt",0.120581850566822
"00001752.txt",0.0926001104759116
"00001757.txt",0.0854975817089257
"00001785.txt",0.0868477103301384
"00001786.txt",0.0855191469489415
"00001828.txt",0.0837894894165561
"00001850.txt",0.101845361020064
"00001884.txt",0.0861171621251451
"00002010.txt",0.107062736907248
"00002050.txt",0.115555856130029
"00002076.txt",0.0946785529558524
"00002080.txt",0.0907845822735277
"00002092.txt",0.102846619143633
"00002099.txt",0.0849150849150849
"00002152.txt",0.0923231453580141
"00002202.txt",0.0923091895574317
"00002217.txt",0.104031629569085
"00002225.txt",0.101078607615623
"00002234.txt",0.0840969174302508
"00002238.txt",0.0875972243403996
"00002256.txt",0.0957226492492732
"00002294.txt",0.0955330420447816
"00002304.txt",0.106070287539936
"00002309.txt",0.0848016087864491
"00002310.txt",0.108041126628487
"00002385.txt",0.109054275280191
"00002419.txt",0.0910244659098921
"00002437.txt",0.101708766716196
"00002444.txt",0.0893525949705725
"00002475.txt",0.0960063176895307
"00002482.txt",0.108564535585042
"00002499.txt",0.0893485440984779
"00002612.txt",0.104674409748667
"00002615.txt",0.0966206639313689
"00002617.txt",0.0975196425820367
"00002619.txt",0.117388431089592
"00002691.txt",0.0916666666666667
"00002692.txt",0.0884934326009321
"00002753.txt",0.0986932986113406
"00002761.txt",0.0989699686642578
"00002762.txt",0.0968434007450772
"00002763.txt",0.0970078711530421
"00002767.txt",0.106748944923219
"00002786.txt",0.0920479581902956
"00002837.txt",0.0969489077450803
"00002846.txt",0.112100677637948
"00002888.txt",0.0836345615671642
"00002889.txt",0.0841768885713152
"00002890.txt",0.0881253479678677
"00002936.txt",0.0859961268458
"00002943.txt",0.107421364874445
"00002948.txt",0.0959784045056568
"00002949.txt",0.096244872199432
"00002955.txt",0.095040904959095
"00002988.txt",0.0870803164214486
"00003006.txt",0.0763153563394963
"00003019.txt",0.0974153214518989
"00003054.txt",0.0885961746661855
"00003085.txt",0.0993796673120234
"00003106.txt",0.100135089496792
"00003180.txt",0.0774449220849006
"00003230.txt",0.088993745199166
"00003255.txt",0.0901193139448173
"00003269.txt",0.0865321420324351
"00003270.txt",0.0861142326672204
"00003305.txt",0.0892865626732124
"00003352.txt",0.091698692121738
"00003381.txt",0.0956241246127074
"00003382.txt",0.0949672895198187
"00003439.txt",0.0816691161637993
"00003444.txt",0.0919636325634863
"00003462.txt",0.101329909643662
"00003486.txt",0.0885813148788927
"00003487.txt",0.094735086451326
"00003504.txt",0.10314732573856
"00003516.txt",0.084726571910383
"00003517.txt",0.101228240699832
"00003586.txt",0.10312208603431
"00003629.txt",0.0956048050818887
"00003681.txt",0.0902701768535054
"00003698.txt",0.0963492127737079
"00003699.txt",0.110848238225923
"00003700.txt",0.106146032839097
"00003713.txt",0.0959629144829085
"00003747.txt",0.0868867763270351
"00003750.txt",0.0930820277637869
"00003765.txt",0.0897773784566237
"00003785.txt",0.100768424729305
"00003814.txt",0.0818591018528211
"00003858.txt",0.0937706944505761
"00003859.txt",0.091404812214573
"00003863.txt",0.0991483194372069
"00003867.txt",0.0915513833992095
"00003950.txt",0.101566556612554
"00003963.txt",0.0831092450189492
"00003964.txt",0.116452672439534
"00003980.txt",0.0912504769363616
"00003981.txt",0.0891975713100074
"00004019.txt",0.0939422265106742
"00004023.txt",0.0996055465479273
"00004054.txt",0.0964666990532839
"00004075.txt",0.0939553219448095
"00004099.txt",0.102518938580287
"00004100.txt",0.100703720258204
"00004138.txt",0.088206495355171
"00004171.txt",0.0837301440822906
"00004187.txt",0.0890882765882766
"00004205.txt",0.0887046198871159
"00004249.txt",0.0898475934218188
"00004280.txt",0.0976204533203275
"00004289.txt",0.101223230871683
"00004338.txt",0.0913509675775063
"00004372.txt",0.0954263772193286
"00004381.txt",0.0898255311798238
"00004385.txt",0.116345685031692
"00004407.txt",0.102798490288134
"00004408.txt",0.101688068713326
"00004415.txt",0.0852781163599608
"00004431.txt",0.0906157969623771
"00004455.txt",0.0987039481579263
"00004464.txt",0.0765234088213701
"00004485.txt",0.0968670781439436
"00004506.txt",0.0885943322559282
"00004527.txt",0.103072571832616
"00004529.txt",0.0899795501022495
"00004538.txt",0.103506753073708
"00004559.txt",0.107629001470726
"00004593.txt",0.0915339602671565
"00004599.txt",0.0907070478773496
"00004620.txt",0.0848412407247423
"00004621.txt",0.0860608734009704
"00004655.txt",0.0930745027658825
"00004657.txt",0.0879058726061881
"00004673.txt",0.0988811415599157
"00004690.txt",0.0738285331028879
"00004698.txt",0.103906899418121
"00004705.txt",0.0961634081823425
"00004708.txt",0.0964763228807305
"00004734.txt",0.0911909697423659
"00004743.txt",0.087996147760886
"00004744.txt",0.08782575370465
"00004756.txt",0.0895691748313181
"00004763.txt",0.0817498482655586
"00004764.txt",0.0906941836368829
"00004849.txt",0.0867466117044532
"00004856.txt",0.102755611039663
"00004877.txt",0.089602115853713
"00010008.txt",0.0964366812227074
"00010039.txt",0.0919636325634863
"00010078.txt",0.0853428731266378
"00010080.txt",0.0848016087864491
"00010090.txt",0.0965464578500728
"00010151.txt",0.0941323385286586
"00010152.txt",0.09426222561234
"00010156.txt",0.0885943322559282
"00010198.txt",0.0799328129631459
"00010216.txt",0.100036737692873
"00010223.txt",0.0999071375964648
