"","feature","a.median","b.median","ratio","diff","wilcox.p"
"35","Feel",0.01,0,Inf,0.01,6.4922950715817e-17
"81","Quote",0,0.12,Inf,-0.12,3.04263397994978e-17
"83","Parenth",0.01,0.66,66,-0.65,1.39794867042433e-24
"5","Numerals",0.03,1.94,64.6666666666667,-1.91,1.09416649646461e-16
"7","I",2.16,0.09,24,2.07,8.2459997512056e-27
"79","Exclam",0.565,0.04,14.125,0.525,5.14069422120512e-26
"84","OtherP",0.05,0.42,8.4,-0.37,1.13094557407652e-08
"9","Self",2.61,0.32,8.15625,2.29,8.00493352920497e-26
"78","QMark",0.46,0.06,7.66666666666667,0.4,1.92657162005106e-26
"67","Sexual",0.17,0.03,5.66666666666667,0.14,1.16008640879993e-24
"80","Dash",0.675,3.64,5.39259259259259,-2.965,1.22532564203975e-06
"19","Posfeel",0.43,0.08,5.375,0.35,1.31638080356301e-25
"33","See",0.2,0.04,5,0.16,5.76487265871016e-27
"32","Senses",0.285,0.07,4.07142857142857,0.215,5.42844538169287e-27
"39","Friends",0.305,0.08,3.8125,0.225,8.95428950512191e-22
"69","Sleep",0.105,0.03,3.5,0.075,4.37306249924677e-21
"65","Physcal",1.715,0.49,3.5,1.225,4.85499814386262e-25
"10","You",2.065,0.64,3.2265625,1.425,1.25487920224913e-23
"66","Body",1.32,0.41,3.21951219512195,0.91,8.06301500783636e-24
"13","Assent",0.16,0.05,3.2,0.11,7.23830170498492e-21
"34","Hear",0.03,0.01,3,0.02,6.79436112583927e-13
"41","Humans",0.745,0.27,2.75925925925926,0.475,1.68915624488739e-17
"6","Pronoun",11.135,4.05,2.74938271604938,7.085,2.48927704152721e-27
"38","Othref",9.31,4.42,2.10633484162896,4.89,4.32866282307472e-26
"8","We",0.4,0.19,2.10526315789474,0.21,3.25652753408026e-10
"11","Other",7.27,3.49,2.08309455587393,3.78,6.05125704488223e-23
"40","Family",0.72,0.35,2.05714285714286,0.37,9.15990708768824e-14
"36","Social",11.725,5.79,2.02504317789292,5.935,3.43670423713353e-26
"22","Anx",0.26,0.13,2,0.13,3.66134831309731e-21
"70","Groom",0.08,0.04,2,0.04,1.16261153833521e-15
"71","Swear",0.02,0.01,2,0.01,1.10165013770225e-09
"57","Home",0.73,0.4,1.825,0.33,9.32239910842443e-20
"37","Comm",1.53,0.86,1.77906976744186,0.67,3.67309540679639e-22
"68","Eating",0.07,0.04,1.75,0.03,1.36115364219457e-07
"12","Negate",1.55,0.94,1.64893617021277,0.61,5.45358415645372e-23
"28","Discrep",1.325,0.81,1.6358024691358,0.515,2.5555694116319e-22
"24","Sad",0.44,0.27,1.62962962962963,0.17,8.5226195662317e-18
"21","Negemo",1.705,1.15,1.48260869565217,0.555,3.99237882480465e-13
"27","Insight",1.62,1.12,1.44642857142857,0.5,1.98784829984387e-17
"48","Down",0.18,0.26,1.44444444444444,-0.08,1.49065655957117e-09
"74","Period",3.995,5.76,1.44180225281602,-1.765,6.11329429479762e-09
"61","Money",0.565,0.81,1.43362831858407,-0.245,4.48355287263446e-10
"1","WC",91098.5,129891,1.42583028260619,-38792.5,0.00769028694986908
"31","Certain",1.625,1.16,1.40086206896552,0.465,2.67547378778399e-15
"17","Affect",4.36,3.13,1.39297124600639,1.23,7.75259383385509e-16
"43","Past",5.18,3.74,1.38502673796791,1.44,3.1154203998613e-12
"54","Job",0.94,1.29,1.37234042553191,-0.35,1.29491147452602e-12
"44","Present",3.22,2.35,1.37021276595745,0.87,8.43307291647581e-13
"18","Posemo",2.695,1.99,1.35427135678392,0.705,1.83299809588037e-14
"3","Sixltr",23.705,31.5,1.32883357941363,-7.795,2.08390938643615e-23
"64","Death",0.29,0.22,1.31818181818182,0.07,3.58860656928438e-05
"16","Number",0.435,0.57,1.31034482758621,-0.135,2.73105445072125e-08
"29","Inhib",0.25,0.32,1.28,-0.07,0.000419717385894445
"25","Cogmech",6.66,5.21,1.27831094049904,1.45,1.73759535783154e-22
"51","Motion",0.945,0.74,1.27702702702703,0.205,4.77741721859391e-10
"76","Colon",0.305,0.24,1.27083333333333,0.065,0.0486392927806562
"14","Article",10.05,12.7,1.2636815920398,-2.65,3.01651603425685e-16
"2","WPS",22.795,18.63,1.223564143854,4.165,3.24226512959475e-06
"55","Achieve",1.775,2.17,1.22253521126761,-0.395,1.10202161781848e-13
"75","Comma",10.145,8.3,1.22228915662651,1.845,4.59946241789341e-12
"60","Music",0.22,0.18,1.22222222222222,0.04,0.00140398044706169
"56","Leisure",1.47,1.21,1.21487603305785,0.26,9.21923018780526e-09
"4","Dic",64.28,53.25,1.20713615023474,11.03,2.34267360103757e-23
"52","Occup",3.11,3.69,1.18649517684887,-0.58,1.64150760625495e-11
"50","Excl",2.1,1.77,1.1864406779661,0.33,1.98567235028994e-09
"47","Up",1.065,0.92,1.15760869565217,0.145,1.18595586667873e-07
"42","Time",4.06,3.56,1.14044943820225,0.5,1.08231501203354e-08
"23","Anger",0.255,0.29,1.13725490196078,-0.035,0.246939019547157
"26","Cause",1.375,1.22,1.12704918032787,0.155,3.73161157490336e-06
"85","AllPct",17.685,19.77,1.11789652247668,-2.085,0.00139109475453854
"15","Preps",9.005,10.06,1.11715713492504,-1.055,1.53733207083501e-11
"46","Space",7.765,8.65,1.11397295556986,-0.885000000000001,1.08369329090431e-10
"59","TV",0.135,0.15,1.11111111111111,-0.015,0.000658275854642289
"58","Sports",0.38,0.42,1.10526315789474,-0.04,0.0270680340644034
"62","Metaph",1.105,1,1.105,0.105,0.0665302928306382
"20","Optim",0.58,0.64,1.10344827586207,-0.0600000000000001,0.000928960972132988
"63","Relig",0.835,0.76,1.09868421052632,0.075,0.198616244384118
"45","Future",0.47,0.43,1.09302325581395,0.04,0.0750053293025756
"30","Tentat",0.62,0.57,1.08771929824561,0.05,0.0669964023320733
"77","SemiC",0.605,0.64,1.05785123966942,-0.035,0.789935979956547
"82","Apostro",0.21,0.2,1.05,0.00999999999999998,0.859855645360118
"53","School",0.74,0.77,1.04054054054054,-0.03,0.522510048689415
"49","Incl",6.11,6.01,1.01663893510815,0.0999999999999996,0.316212695913547
"72","Nonfl",0,0,NA,0,0.348169590757559
"73","Fillers",0,0,NA,0,0.011321581399344
