feature,a.median,b.median,ratio,sample_rank,hathi_rank,pos_neg,diff,wilcox.p
Exclam,0.4,0.04,10,1,2,pos,0.36,2.34582338220762e-25
you,1.335,0.16,8.34375,2,1,pos,1.175,4.73303215304603e-26
Parenth,0.03,0.16,5.3333333333,3,3,neg,-0.13,8.41180271334423e-10
QMark,0.41,0.08,5.125,4,6,pos,0.33,9.41590356085352e-24
i,2.41,0.49,4.9183673469,5,7,pos,1.92,2.07131326411007e-21
Quote,2.59,0.65,3.9846153846,6,5,pos,1.94,9.23005036276856e-14
assent,0.115,0.03,3.8333333333,7,4,pos,0.085,4.2634057063009e-19
family,0.555,0.155,3.5806451613,8,10,pos,0.4,8.54258727256909e-17
hear,1.145,0.38,3.0131578947,9,9,pos,0.765,1.74702864663257e-29
shehe,4.855,1.9,2.5552631579,10,8,pos,2.955,2.02261841462679e-26
ppron,10.73,5.005,2.1438561439,11,14,pos,5.725,1.33759917884072e-29
body,1.12,0.545,2.0550458716,12,15,pos,0.575,1.62255993542591e-18
home,0.565,0.28,2.0178571429,13,19,pos,0.285,2.15059210779966e-12
friend,0.19,0.095,2,14,11,pos,0.095,1.01492530373886e-14
sexual,0.18,0.09,2,15,12,pos,0.09,5.24889764198268e-10
see,1.145,0.59,1.9406779661,16,13,pos,0.555,6.89189665870692e-15
work,0.775,1.475,1.9032258065,17,32,neg,-0.7,3.38418110950927e-23
percept,3.03,1.61,1.8819875776,18,16,pos,1.42,1.43971338492359e-21
past,6.11,3.365,1.8157503715,20,20,pos,2.745,4.13533649391116e-21
feel,0.655,0.39,1.6794871795,21,18,pos,0.265,1.8962545840368e-13
social,13.245,8.045,1.6463642014,22,26,pos,5.2,8.92960735377858e-26
ingest,0.29,0.18,1.6111111111,23,33,pos,0.11,0.000257049
bio,2.065,1.285,1.6070038911,24,31,pos,0.78,9.69849418248358e-11
nonfl,0.16,0.1,1.6,25,25,pos,0.06,8.42748478124879e-12
sad,0.62,0.395,1.5696202532,26,24,pos,0.225,1.19234847263424e-19
WC,118487.5,75934.5,1.5603908632,27,74,pos,42553,3.13356283245234e-05
anx,0.42,0.28,1.5,28,21,pos,0.14,1.14784641462005e-12
pronoun,15.32,10.225,1.4982885086,29,28,pos,5.095,2.3058136655356e-26
