feature,a.median,b.median,ratio,diff,wilcox.p
Parenth,0.03,0.16,5.3333333333,-0.13,8.57155420049396e-15
Exclam,0.08,0.02,4,0.06,1.01013809303279e-15
hear,0.67,0.19,3.5263157895,0.48,6.01899323165199e-29
see,1.3,0.37,3.5135135135,0.93,5.05589388576345e-30
we,0.07,0.24,3.4285714286,-0.17,7.33533497599805e-12
feel,0.835,0.26,3.2115384615,0.575,1.12218937135088e-29
percept,2.945,0.92,3.2010869565,2.025,5.64017115042108e-31
shehe,6.945,2.25,3.0866666667,4.695,3.58903318884204e-30
body,1.265,0.41,3.0853658537,0.855,4.7468239826201e-27
sexual,0.185,0.06,3.0833333333,0.125,5.03699742914076e-24
assent,0.03,0.01,3,0.02,6.24709088044247e-12
QMark,0.09,0.03,3,0.06,1.33175450585917e-11
i,0.07,0.21,3,-0.14,4.50284136707553e-05
home,0.725,0.255,2.8431372549,0.47,1.02474701173031e-22
anx,0.56,0.235,2.3829787234,0.325,4.99727323969883e-27
bio,2.245,0.975,2.3025641026,1.27,2.67627777601222e-28
ingest,0.3,0.14,2.1428571429,0.16,1.45668574103984e-12
ppron,8.415,4.17,2.0179856115,4.245,1.29724021636759e-28
relig,0.405,0.8,1.975308642,-0.395,1.11951390984036e-08
Dash,0.63,1.21,1.9206349206,-0.58,1.06392576945913e-09
sad,0.69,0.36,1.9166666667,0.33,3.07029762763544e-27
friend,0.17,0.09,1.8888888889,0.08,1.54071210042798e-15
work,0.885,1.605,1.813559322,-0.72,5.64914457469139e-18
death,0.19,0.335,1.7631578947,-0.145,2.10028497727307e-12
family,0.445,0.255,1.7450980392,0.19,3.12858339724489e-08
discrep,1.265,0.735,1.7210884354,0.53,1.48150764355765e-17
social,12.035,7,1.7192857143,5.035,3.49233256884437e-26
achieve,1.2,1.92,1.6,-0.72,4.78343404943811e-21
anger,0.475,0.745,1.5684210526,-0.27,5.21262601233439e-06
insight,1.94,1.245,1.5582329317,0.695,7.14169792953272e-19
humans,1.14,0.74,1.5405405405,0.4,2.70857913005183e-09
pronoun,12.805,8.345,1.5344517675,4.46,6.59592849148364e-25
past,6.675,4.56,1.4638157895,2.115,1.32899984356029e-19
negate,1.21,0.84,1.4404761905,0.37,1.85893035120247e-12
money,0.38,0.54,1.4210526316,-0.16,7.05540610385308e-07
leisure,0.64,0.46,1.3913043478,0.18,2.05066835075351e-10
health,0.485,0.355,1.3661971831,0.13,7.90295041121219e-12
adverb,3.315,2.455,1.350305499,0.86,3.49881176879607e-20
excl,2.065,1.56,1.3237179487,0.505,1.10160910086306e-09
motion,2.115,1.615,1.3095975232,0.5,3.57512943448308e-17
affect,5.47,4.18,1.3086124402,1.29,1.15284526285724e-15
SemiC,0.915,0.7,1.3071428571,0.215,0.0015694555
they,0.95,1.24,1.3052631579,-0.29,1.22832682607174e-05
article,8.565,10.975,1.2813776999,-2.41,4.1938889486741e-16
number,0.96,1.22,1.2708333333,-0.26,8.0752955429784e-09
cause,0.93,1.18,1.2688172043,-0.25,1.09159192786086e-11
negemo,2.18,1.72,1.2674418605,0.46,4.22039654483898e-11
you,0.05,0.04,1.25,0.01,0.2461614688
posemo,3.13,2.52,1.2420634921,0.61,5.52123515970778e-12
time,4.89,4.045,1.2088998764,0.845,5.04921738968752e-17
certain,1.305,1.085,1.202764977,0.22,1.81045462071493e-06
verb,10.06,8.365,1.202630006,1.695,5.2504363800823e-13
Sixltr,18.725,22.31,1.1914552737,-3.585,2.23680563122208e-12
cogmech,14.965,12.615,1.1862861673,2.35,1.30396280299641e-17
Colon,0.135,0.16,1.1851851852,-0.025,0.3743394759
tentat,2.04,1.73,1.1791907514,0.31,1.44773666017961e-05
future,0.69,0.6,1.15,0.09,0.1198898315
present,1.76,1.995,1.1335227273,-0.235,0.0168441273
relativ,14.215,12.625,1.1259405941,1.59,1.57962577260294e-10
nonfl,0.09,0.08,1.125,0.01,0.0517254747
incl,5.46,4.855,1.1246138002,0.605,1.79194656705587e-10
WC,77225,86729,1.1230689544,-9504,0.1852723583
WPS,77225,86729,1.1230689544,-9504,0.1852723583
conj,6.8,6.085,1.1175020542,0.715,2.32927403026998e-10
Comma,7.295,8.005,1.0973269363,-0.71,0.1034176236
preps,15.575,17,1.0914927769,-1.425,5.02409891241893e-15
Dic,82.04,76.67,1.070040433,5.37,2.35650106750938e-23
Period,4.645,4.355,1.0665901263,0.29,0.6352125825
inhib,0.61,0.65,1.0655737705,-0.04,0.0992158622
space,7.045,6.73,1.0468053492,0.315,0.0173607113
AllPct,15.425,16.14,1.0463533225,-0.715,0.0027212702
quant,2.36,2.43,1.0296610169,-0.07,0.2008961177
funct,55.74,54.135,1.029648102,1.605,8.01504272015492e-08
auxverb,6.155,6.025,1.0215767635,0.13,0.1131655969
ipron,4.165,4.2,1.0084033613,-0.035,0.3584568248
