"","feature","a.median","b.median","ratio","diff","wilcox.p"
"75","Exclam",0.02,0,Inf,0.02,1.62031579345042e-17
"79","Parenth",0.015,0.14,9.33333333333333,-0.125,1.03141508066807e-28
"11","you",0.2,0.03,6.66666666666667,0.17,9.70123296786598e-28
"27","swear",0.06,0.01,6,0.05,9.25305267961689e-32
"52","body",1.835,0.41,4.47560975609756,1.425,3.22890409433542e-52
"74","QMark",0.21,0.05,4.2,0.16,1.3558660706358e-34
"80","OtherP",0.01,0.04,4,-0.03,4.58392796051783e-13
"12","shehe",6.87,2.07,3.31884057971014,4.8,5.64480783157405e-52
"50","feel",1.115,0.34,3.27941176470588,0.775,1.5521063963278e-51
"55","ingest",0.585,0.2,2.925,0.385,3.57255710732443e-39
"49","hear",0.7,0.24,2.91666666666667,0.46,3.16723813976634e-51
"47","percept",3.635,1.28,2.83984375,2.355,2.21648214571326e-52
"51","bio",3.095,1.12,2.76339285714286,1.975,3.17527062295783e-48
"48","see",1.44,0.56,2.57142857142857,0.88,8.29333148383904e-46
"63","home",0.935,0.365,2.56164383561644,0.57,8.51742623849401e-37
"67","assent",0.05,0.02,2.5,0.03,3.80218548221657e-25
"8","ppron",9.045,3.84,2.35546875,5.205,9.73635615748057e-53
"69","filler",0.21,0.09,2.33333333333333,0.12,8.17970864866132e-39
"60","work",1.04,2.355,2.26442307692308,-1.315,1.10536861319379e-44
"10","we",0.04,0.09,2.25,-0.05,0.00011108831008425
"54","sexual",0.18,0.08,2.25,0.1,6.49960940521178e-26
"61","achieve",0.95,2.045,2.15263157894737,-1.095,4.68544799038228e-52
"66","death",0.2,0.415,2.075,-0.215,3.68649121267881e-26
"9","i",0.175,0.09,1.94444444444444,0.085,5.95673545195622e-05
"36","anger",0.46,0.86,1.8695652173913,-0.4,1.13520061664593e-26
"29","family",0.47,0.26,1.80769230769231,0.21,3.22918750621733e-12
"78","Apostro",1.895,1.065,1.77934272300469,0.83,4.34271826361712e-24
"7","pronoun",13.125,7.595,1.72811059907834,5.53,6.92855020683499e-52
"72","Colon",0.14,0.24,1.71428571428571,-0.1,3.91949843527834e-07
"28","social",12.325,7.25,1.7,5.075,3.28644882508062e-49
"65","relig",0.22,0.37,1.68181818181818,-0.15,6.16208678615028e-08
"64","money",0.39,0.595,1.52564102564103,-0.205,5.13542827031823e-16
"3","Sixltr",15.955,24.25,1.51989971795675,-8.295,1.60424060615953e-52
"76","Dash",0.495,0.745,1.5050505050505,-0.25,4.50303445647559e-12
"40","cause",0.9,1.34,1.48888888888889,-0.44,2.92898949284889e-37
"19","present",2.13,1.465,1.45392491467577,0.665,3.84265787559496e-11
"70","Period",6.64,4.655,1.42642320085929,1.985,2.30065496143754e-37
"26","number",1.06,1.46,1.37735849056604,-0.4,1.58491139738183e-21
"62","leisure",0.995,0.73,1.36301369863014,0.265,8.38089523861983e-13
"46","excl",1.995,1.47,1.35714285714286,0.525,1.3275452677583e-21
"41","discrep",1.36,1.035,1.31400966183575,0.325,5.11241743009342e-12
"1","WC",76746.5,100360,1.3076817835341,-23613.5,5.78347227052258e-07
"2","WPS",76746.5,100360,1.3076817835341,-23613.5,5.78347227052258e-07
"35","anx",0.39,0.3,1.3,0.09,2.51071464541596e-11
"24","negate",0.945,0.73,1.29452054794521,0.215,2.65786453161937e-11
"18","past",6.725,5.22,1.28831417624521,1.505,2.6712057918116e-10
"21","adverb",3.685,2.88,1.27951388888889,0.805,1.62898427628328e-30
"16","verb",10.495,8.445,1.24274718768502,2.05,5.7603726081246e-26
"31","humans",0.85,0.69,1.23188405797101,0.16,1.82948126583574e-08
"57","motion",2.35,1.91,1.2303664921466,0.44,8.60807412202586e-21
"53","health",0.47,0.39,1.20512820512821,0.08,2.25357021367327e-07
"37","sad",0.42,0.35,1.2,0.07,1.74600214216436e-09
"25","quant",1.945,2.32,1.19280205655527,-0.375,2.65421271471711e-14
"81","AllPct",16.43,13.9,1.18201438848921,2.53,1.69461291383866e-29
"42","tentat",1.965,1.67,1.17664670658683,0.295,1.81906296241667e-10
