"","feature.list","a.median","b.median","ratio","diff","wilcox.p"
"27","swear",0.11,0.0199,5.555,0.0900999999999999,9.69973615800215e-43
"55","ingest",0.560000000000001,0.2164,2.59209486166008,0.3436,1.80821301903865e-50
"69","filler",0.260000000000001,0.1016,2.56428282828283,0.1584,1.50097898787878e-49
"74","QMark",0.76,0.4149,1.83523569178228,0.3451,1.00776705842895e-23
"78","Apostro",2.79,1.5744,1.77702813564226,1.2156,1.60045118838899e-14
"62","leisure",0.969999999999999,0.569,1.70555491665304,0.401,9.20157705314745e-44
"70","Period",7.38999999999999,4.337,1.70536318483886,3.053,6.32841236406354e-46
"52","body",1.55,0.936800000000001,1.65559695499449,0.613200000000001,7.50352443051238e-31
"63","home",0.849999999999999,0.5251,1.61992131383641,0.3249,8.84434320971049e-30
"10","we",0.630000000000001,0.4027,1.56672437927019,0.2273,1.89640802645272e-08
"51","bio",2.81999999999999,1.8226,1.54773007086341,0.9974,5.6657921937779e-41
"77","Quote",3.52,2.3907,1.47754580486345,1.1293,0.000484037796881826
"50","feel",0.920000000000001,0.6243,1.47420675293183,0.2957,3.51181660143074e-32
"9","i",3.36000000000001,2.3619,1.42379378327042,0.9981,0.00199278634754506
"47","percept",3.98,2.8073,1.41820155485079,1.1727,2.54238008322377e-35
"49","hear",1.4,1.0079,1.38988369500677,0.3921,2.48497613379683e-19
"48","see",1.35,1.0258,1.31668594968967,0.3242,4.6201020243233e-19
"18","past",6.84,5.4574,1.25373641737019,1.3826,2.07759753903626e-11
"58","space",7.26999999999999,5.8465,1.24358804980773,1.4235,3.40525960699751e-40
"57","motion",2.24,1.8195,1.23130093929651,0.4205,4.71730636315061e-27
"13","they",0.930000000000002,0.7585,1.22690727918103,0.1715,2.90193758972269e-06
"56","relativ",14.88,12.3435,1.20555848556892,2.5365,9.34772202367507e-42
"26","number",1.04,0.871,1.19429595944292,0.169,3.96311104879074e-12
"60","work",1.09,0.914,1.19335809947746,0.176,9.50120598670279e-07
"21","adverb",4.19,3.5542,1.17913732533633,0.635800000000001,6.51785818028525e-17
"67","assent",0.17,0.145,1.17672619047619,0.025,0.0961646781774126
"19","present",5.04000000000001,4.3127,1.16927906084661,0.7273,3.22970232568056e-08
"16","verb",14.13,12.1586,1.16237666425884,1.9714,3.06694878407931e-16
"8","ppron",11.68,10.1965,1.14565824151752,1.4835,3.84039912313689e-13
"24","negate",1.87,1.6487,1.1345795235525,0.2213,1.01859596226226e-05
"59","time",5.12,4.5369,1.12863671013821,0.5831,7.46121717511116e-19
"7","pronoun",16.42,14.7249,1.11521390943142,1.6951,6.11913520680508e-13
"36","anger",0.539999999999999,0.4899,1.10298058600228,0.0501000000000001,0.0122950317817254
"54","sexual",0.22,0.2002,1.10121971595656,0.0198,0.159404621603103
"53","health",0.49,0.4509,1.08726548638288,0.0391,0.00135064846506226
"17","auxverb",8.29999999999999,7.6414,1.08636336079693,0.658600000000001,0.000185520437719114
"72","Colon",0.12,0.1144,1.08386363636364,0.0056,0.567098429065894
"81","AllPct",21.95,20.6868,1.06119800998698,1.2632,0.00174685708868717
"44","inhib",0.600000000000001,0.5716,1.0499147968215,0.0284,0.0442660056062208
"66","death",0.22,0.2121,1.0442987012987,0.0079,0.303720699415465
"28","social",13.15,12.6776,1.03738671306134,0.472400000000001,0.00954573965546009
"29","family",0.539999999999999,0.5274,1.0345656122891,0.0126,0.370725299875887
"15","article",7.72000000000002,7.4952,1.03017876162759,0.2248,0.146081086890197
"4","Dic",85.0299999999999,83.1859,1.02217543950445,1.8441,1.77205981300185e-10
"12","shehe",5.05000000000001,4.9819,1.0209858476337,0.0680999999999998,0.437033100494409
"14","ipron",4.49000000000001,4.4606,1.0116119916626,0.0294000000000002,0.303396860329316
"6","funct",56.8000000000001,56.8816,-1.00263550287771,-0.0816000000000027,0.667976817029433
"45","incl",4.97000000000001,4.9948,-1.00801813857635,-0.0248000000000003,0.704695578237431
"41","discrep",1.53,1.5303,-1.01289204753515,-3e-04,0.614993781781473
"40","cause",1.01,1.0355,-1.02524752475248,-0.0255,0.359571406755753
"38","cogmech",14.88,15.3276,-1.03008064516129,-0.447599999999999,0.0116067173561609
"42","tentat",2.19,2.2561,-1.03055005725217,-0.0661,0.258176936036889
"39","insight",2.01,2.0868,-1.03820895522388,-0.0768000000000002,0.279319012282532
"46","excl",2.21,2.3086,-1.04461538461539,-0.0986,0.0373711372943435
"11","you",1.22,1.3025,-1.06811816375378,-0.0825,0.256227376053294
"22","preps",13.32,14.2786,-1.07196696696697,-0.9586,6.00705589641807e-15
"64","money",0.420000000000001,0.454,-1.08192857142857,-0.034,0.140968043756898
"23","conj",5.92,6.7076,-1.13304054054054,-0.7876,2.13674450238343e-13
