"","feature.list","a.median","b.median","ratio","diff","wilcox.p"
"1","WPS",19.17,20.72,1.08085550339071,-1.55,0.032056855078631
"2","Sixltr",16.695,16.82,1.00748727163821,-0.125,0.456489107922011
"3","Dic",84.6850000000001,83.7399999999998,1.01128492954382,0.945000000000007,0.00632137538551669
"4","Numerals",0.01,0.12,12,-0.11,6.89557665599678e-28
"5","funct",58.22,57.1999999999999,1.01783216783217,1.02,3.03670202611843e-05
"6","pronoun",15.32,14.9,1.02818791946309,0.420000000000001,0.0573477062542412
"7","ppron",10.73,10.31,1.04073714839961,0.420000000000001,0.129794490380561
"8","i",2.41,2.38,1.01260504201681,0.0300000000000002,0.9354375792487
"9","we",0.420000000000001,0.44,1.04761904761905,-0.02,0.40957463171398
"10","you",1.335,1.33,1.00375939849624,0.00499999999999989,0.916396456000502
"11","shehe",4.85500000000001,4.88,1.00514933058702,-0.0249999999999995,0.541160627031887
"12","they",1.03,0.810000000000001,1.27160493827161,0.22,6.9103835313586e-06
"13","ipron",4.65499999999999,4.55000000000001,1.02307692307692,0.105,0.0363758026915874
"14","article",7.93499999999998,7.78999999999999,1.0186136071887,0.145,0.247878068593742
"15","verb",12.445,12.46,1.00120530333467,-0.0150000000000006,0.830829958603715
"16","auxverb",7.335,7.66999999999999,1.04567143830947,-0.335000000000001,0.046520767977999
"17","past",6.11000000000001,5.75,1.06260869565217,0.359999999999999,0.00478711154467215
"18","present",4.08999999999999,4.44,1.08557457212714,-0.350000000000001,0.00540482146756697
"19","future",1.22,1.24,1.01639344262295,-0.02,0.408005272072109
"20","adverb",3.725,3.6,1.03472222222222,0.125,0.146850660370672
"21","preps",14.46,14.18,1.0197461212976,0.280000000000001,0.0438215105184021
"22","conj",7.13999999999999,6.73000000000001,1.06092124814265,0.409999999999999,1.2568882687952e-06
"23","negate",1.52,1.64,1.07894736842105,-0.12,0.0248526156029497
"24","quant",2.375,2.36000000000001,1.00635593220339,0.0150000000000001,0.189255750516409
"25","number",0.950000000000002,0.920000000000001,1.03260869565217,0.0299999999999998,0.1787334010906
"26","swear",0.02,0.02,1,0,0.0243591175343701
"27","social",13.245,12.72,1.04127358490566,0.524999999999999,0.162750073364849
"28","family",0.555,0.49,1.13265306122449,0.0650000000000001,0.104661696759781
"29","friend",0.19,0.21,1.10526315789474,-0.02,0.172624473924168
"30","humans",1.015,1.15,1.13300492610837,-0.135,0.00546721105970068
"31","affect",5.19,5.57,1.07321772639692,-0.38,0.00066510999151125
"32","posemo",3.215,3.44999999999999,1.07309486780716,-0.235,0.00013339872864776
"33","negemo",2.04,2.05,1.00490196078431,-0.00999999999999979,0.339457875621836
"34","anx",0.420000000000001,0.45,1.07142857142857,-0.0300000000000001,0.114901259952463
"35","anger",0.51,0.5,1.02,0.01,0.112614506750463
"36","sad",0.619999999999999,0.630000000000001,1.01612903225806,-0.01,0.138742127789083
"37","cogmech",15.335,15.29,1.0029431000654,0.0450000000000017,0.984480920183601
"38","insight",1.88,2.02,1.07446808510639,-0.14,0.00024111893830949
"39","cause",1.035,1.03,1.00485436893204,0.00500000000000012,0.944519275838051
"40","discrep",1.38,1.52,1.10144927536232,-0.14,0.0079381587511517
"41","tentat",2.125,2.2,1.03529411764706,-0.0750000000000002,0.0056342340967535
"42","certain",1.425,1.47,1.03157894736842,-0.045,0.47965553279166
"43","inhib",0.539999999999999,0.590000000000002,1.09259259259259,-0.0499999999999999,1.66831379047679e-05
"44","incl",5.64999999999999,5.08999999999999,1.11001964636542,0.560000000000002,6.1785016180347e-08
"45","excl",2.165,2.28,1.05311778290993,-0.115,0.0371738297631303
"46","percept",3.03,2.97,1.02020202020202,0.0599999999999996,0.23282414680365
"47","see",1.145,1.09,1.05045871559633,0.0549999999999998,0.825265147695818
"48","hear",1.145,1.07,1.07009345794393,0.0750000000000001,0.00786058870391625
