"","feature.list","a.median","b.median","ratio","diff","wilcox.p"
"79","OtherP",0,0.0767,Inf,-0.0767,5.85166771852523e-22
"4","Numerals",0.01,0.1348,13.48,-0.1248,1.94715821259119e-21
"75","Dash",1.17,0.1058,11.1246363636364,1.0642,1.14486697635003e-18
"73","QMark",0.539999999999999,0.3283,1.65055907271437,0.2117,3.61401823493845e-09
"66","assent",0.17,0.1089,1.56867316017316,0.0611,0.000277110016718572
"78","Parenth",0.03,0.0445,1.48333333333333,-0.0145,0.0251086462910016
"1","WPS",17.38,24.529,1.41133486766398,-7.149,7.55250327127319e-13
"77","Apostro",1.41,1.0311,1.37208400899742,0.3789,0.0126381951745815
"69","Period",4.92,3.8235,1.28781554051461,1.0965,2.3170260550464e-07
"68","filler",0.12,0.0942999999999999,1.27706060606061,0.0257,0.00208696280539926
"29","friend",0.18,0.2285,1.26944444444444,-0.0485,0.00114911143993
"18","present",4.44999999999999,3.5212,1.26529109324559,0.928800000000001,5.45608690322562e-05
"64","relig",0.420000000000001,0.5314,1.2652380952381,-0.1114,0.0673300872551074
"76","Quote",2.88999999999999,2.3038,1.25728175682777,0.5862,0.0664202096662139
"65","death",0.21,0.2633,1.25380952380952,-0.0533,0.00366325716381087
"40","discrep",1.61,1.3095,1.2304987234008,0.3005,1.96537441764509e-06
"74","Exclam",0.49,0.4011,1.22691759297309,0.0889,0.128792034179995
"72","SemiC",0.849999999999999,1.0266,1.20776470588235,-0.1766,0.0402191945271481
"71","Colon",0.12,0.1442,1.20340909090909,-0.0242,0.166315794843119
"9","we",0.37,0.4433,1.19810810810811,-0.0733,0.00542629650259938
"11","shehe",5.82,4.9167,1.18455933483164,0.9033,0.00177264014235538
"23","negate",1.68,1.4267,1.17847092634952,0.2533,2.08332769609858e-05
"10","you",1.35,1.1512,1.17564136409648,0.1988,0.0627247879137298
"47","see",1.16,1.0029,1.15815407802481,0.1571,0.00421483804304756
"30","humans",1.17,1.0137,1.15667562755861,0.1563,0.0618144404488729
"15","verb",12.91,11.1701,1.15612518097418,1.7399,1.34774400202096e-06
"54","ingest",0.28,0.2445,1.15032278816192,0.0355,0.300561736858466
"46","percept",3.13999999999999,2.7399,1.14660262410613,0.4001,0.000323036864875531
"28","family",0.49,0.5607,1.14428571428571,-0.0707,0.152505453541384
"70","Comma",7.66,8.7619,1.14385117493473,-1.1019,0.000293129331400903
"48","hear",1.12,0.9817,1.14175232343171,0.1383,0.00364544624229582
"38","insight",2.15,1.8989,1.13280563761806,0.2511,0.000172133827248525
"41","tentat",2.27,2.0065,1.13180745942491,0.2635,0.00017041419224808
"16","auxverb",7.77999999999998,6.9292,1.12303474494465,0.8508,3.94676298786517e-06
"17","past",6.2,5.5429,1.11902848841517,0.6571,0.00184108042476068
"63","money",0.420000000000001,0.4685,1.11547619047619,-0.0485,0.383425520067684
"49","feel",0.68,0.6126,1.11103294622403,0.0674000000000001,0.0138660126649988
"19","future",1.2,1.0898,1.10167495234012,0.1102,0.00363348379821108
"14","article",7.57000000000001,8.3332,1.10081902245707,-0.7632,0.00252303193918123
"20","adverb",3.74000000000001,3.4141,1.09596359647898,0.3259,0.00579035661244729
"60","achieve",1.17,1.2776,1.09196581196581,-0.1076,0.0174918240277311
"35","anger",0.49,0.5325,1.08714710884354,-0.0425,0.411004581495145
"62","home",0.590000000000002,0.5443,1.08503936790926,0.0456999999999999,0.16442652785185
"45","excl",2.26,2.093,1.08035457438244,0.167,0.008721095548348
"34","anx",0.49,0.4571,1.07572541286575,0.0329,0.0890026972825021
"27","social",13.29,12.3718,1.07451222928786,0.918199999999999,0.0080598247810813
"8","i",2.2,2.3423,1.0728175709217,-0.1423,0.201269986730493
"42","certain",1.51,1.4139,1.0684157160431,0.0961,0.0232317741114514
"52","health",0.460000000000001,0.4319,1.06794644494572,0.0281,0.50430148324394
"12","they",0.87,0.9138,1.05640095578719,-0.0438,0.520607922993332
"50","bio",2.02,1.9156,1.05517242678678,0.1044,0.41901607842671
"53","sexual",0.2,0.1917,1.05380736154111,0.00830000000000001,0.635920523636146
"44","incl",4.97000000000001,5.2272,1.05175050301811,-0.2572,0.0654964072907002
"51","body",1.07,1.0265,1.04911753244306,0.0435,0.617707588352578
"39","cause",1.05,1.0059,1.0447184025967,0.0441,0.304629357646197
"67","nonfl",0.15,0.1447,1.04276923076923,0.0053,0.452236538387242
"37","cogmech",15.44,14.8186,1.0420222393952,0.6214,0.00160858593804461
"7","ppron",10.44,10.038,1.04054153120337,0.402,0.0696457547440554
"6","pronoun",15.11,14.5502,1.03865854351465,0.559799999999999,0.0367082780422674
"33","negemo",2.16,2.0851,1.03738723623155,0.0749000000000002,0.121069284182287
"22","conj",6.55999999999999,6.7944,1.03573170731707,-0.2344,0.105075995773796
"59","work",0.88,0.8576,1.03374479238829,0.0224,0.559038297243078
"61","leisure",0.579999999999999,0.598,1.03314073585217,-0.018,0.66409160624153
"25","number",0.930000000000002,0.9119,1.03288648623243,0.0181,0.527725980996414
"58","time",4.81999999999999,4.6717,1.03190453397812,0.1483,0.151607584618675
"31","affect",5.63999999999999,5.491,1.02865563102098,0.149,0.336186015596453
"43","inhib",0.579999999999999,0.5659,1.02551035460473,0.0141,0.167915494267541
"26","swear",0.02,0.0205,1.025,-5e-04,0.550663812782492
"36","sad",0.659999999999998,0.651,1.02395458977608,0.00900000000000001,0.18819215743913
"3","Dic",84.6000000000002,82.6544,1.0235599614208,1.94559999999999,9.41370848917275e-05
"2","Sixltr",18.08,17.6956,1.02250224484666,0.384399999999998,0.298136729912342
"32","posemo",3.31999999999999,3.376,1.0222722548847,-0.0560000000000001,0.633327848970681
"57","space",6.24000000000001,6.1191,1.02155372243688,0.1209,0.519449028798418
