filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1777_Kaempfer,Engelbert_GeschichteundBeschreibungvonJapanbd1.txt",DE_HIST,144025,16.33,26.68,52.57,1.38,4.95,0.53,0.41,0.94,0.64,3.76,0.71,0.03,10.14,9.49,1.19,2.52,1.78,0.07,0.54,0.74,0.08,0.15,0.16,5.22,1.14,0.84,0.62,0.15,1.13,1.54,0.07,0.03,0.01,0,5.89,0.61,4.98,0.05,0.48,0.31,4.11,2.58,2.8,0.61,8.7,0.82,0.29,6.82,2.02,0.86,2.96,0.67,0.74,1.84,1.5,0.58,0.52,0.17,0.24,0.8,1.17,0.99,0.23,0.68,0.52,0.05,0.09,0.02,0.07,0.02,0,0,6.11,8.55,0.2,0.61,0.03,0.01,4.52,0,0.05,0.93,1.01,20.83
"1786_Pütter,Johann_HistorischeEntwickelungderheutigenStaatsverfassungdesTeutschenReichs.txt",DE_HIST,109809,13.99,29.96,51.05,1.65,3.33,0.06,0.07,0.13,0.59,3.01,0.94,0.01,10.55,10.69,0.59,2.87,2.09,0.05,0.47,0.78,0.08,0.2,0.18,5.72,1.66,0.77,0.99,0.11,0.86,1.47,0.04,0.02,0.01,0,4.6,0.56,3.96,0.06,0.31,0.22,4.44,3.97,1.42,0.48,9.09,0.81,0.36,5.96,2.56,0.64,3.37,0.66,1.03,2.16,1.15,0.48,0.38,0.11,0.21,1.14,1.42,1.23,0.2,0.5,0.42,0.01,0.03,0.02,0.03,0.01,0,0,7.16,7.96,0.12,0.62,0.09,0.02,8.42,0.16,0.01,1.26,0.42,23.6
"1788_Schiller,Friedrich_GeschichtedesAbfallsderNiederlandevonderspanischenRegierung.txt",DE_HIST,24423,26.32,32.44,61.55,0.06,7.44,0.32,0.26,0.58,1.78,6.48,1.12,0.01,14.17,9.68,0.66,4.74,2.74,0.22,0.89,2,0.34,0.54,0.42,5.38,1.2,0.82,0.81,0.56,0.49,1.81,0.12,0.08,0.04,0,9.37,0.86,7.86,0.12,0.45,0.73,3.69,4.67,2.08,0.43,8.21,0.71,0.32,6.46,1.62,0.88,4.07,0.69,1.86,2.22,1.56,0.52,0.55,0.28,0.23,1.2,1.46,1.23,0.26,0.84,0.7,0.06,0.03,0.05,0.04,0.02,0,0,3.69,9.29,0.03,0.68,0.07,0.07,0.16,0,0,0.27,0,14.54
"1790_Hugo,Gustav_LehrbuchderRechtsgeschichtebisaufunsreZeiten.txt",DE_HIST,46489,16.2,28.5,51.21,1.76,3.51,0.02,0.19,0.21,0.34,3.1,1.78,0.04,11.57,8.49,0.45,2.37,1.36,0.05,0.62,1.02,0.06,0.29,0.32,6.24,1.41,0.83,1.23,0.19,1.14,1.6,0.01,0,0,0,5.13,0.59,4.01,0.04,0.58,0.46,4.67,3.83,2.45,0.48,6.9,0.75,0.28,4.82,2.55,0.56,4.56,1.05,1.23,3.06,0.66,0.22,0.25,0.1,0.1,0.85,0.64,0.46,0.21,0.18,0.13,0.02,0.01,0.01,0.01,0,0,0,6.19,9.93,0.21,0.32,0.05,0.01,9.75,0.03,0.09,0.93,0.64,24.56
"1792_Schiller,Friedrich_GeschichtedesdreyßigjährigenKriegs.txt",DE_HIST,131017,28.46,32.2,59.01,0.08,6.1,0.11,0.05,0.16,0.83,5.69,0.99,0.01,13.63,11.81,0.44,5.25,2.66,0.1,0.94,2.57,0.41,0.82,0.46,4.74,0.85,0.81,0.97,0.31,0.37,1.53,0.12,0.09,0.02,0,7.23,0.69,6.57,0.11,0.24,0.25,3.34,4.78,1.38,0.3,9.71,0.89,0.28,6.31,1.69,0.91,3.42,0.54,1.1,2.25,1.31,0.49,0.57,0.13,0.15,1.19,1.25,1.03,0.26,1.15,1.06,0.03,0.04,0.09,0.02,0,0,0,3.41,9.83,0.03,0.57,0.07,0.04,0.23,0.1,0.01,0.41,0.37,15.44
"1806_Hegewisch,Dietrich_UebersichtderirländischenGeschichte.txt",DE_HIST,60013,23.46,32.8,53.49,0.34,4.83,0.09,0.16,0.25,1.09,4.21,0.94,0.03,11.42,10.39,0.98,3.73,2.08,0.1,0.87,1.62,0.22,0.47,0.29,5.49,1.26,0.94,1.19,0.34,0.64,1.3,0.06,0.05,0,0,6.3,0.92,5.27,0.08,0.3,0.25,3.09,4.75,1.74,0.52,8.64,0.59,0.31,4.98,1.88,0.63,4.58,1.11,1.76,2.49,1.11,0.39,0.35,0.15,0.23,0.88,1.46,1.31,0.2,0.45,0.39,0.03,0.02,0.01,0.02,0,0,0,4.75,10.93,0.24,0.94,0.19,0.11,0.45,0.15,0.67,0.31,1.05,20.01
"1809_Heeren,Arnold_GeschichtedesEuropäischenStaatensystemsundseinerKolonien.txt",DE_HIST,143949,8.12,30.35,47.67,4.82,2.86,0.01,0.01,0.02,0.61,2.68,0.96,0.03,11.77,10.2,0.42,3.15,1.99,0.02,0.6,1.14,0.14,0.27,0.27,4.59,1.45,0.66,1.08,0.16,0.36,0.99,0.02,0.02,0,0,3.88,0.63,3.2,0.09,0.22,0.08,3.61,3.28,1.01,0.37,8.69,0.81,0.35,5.81,2.18,0.8,3.25,0.43,1.28,2.05,1.21,0.27,0.62,0.28,0.08,1.17,0.68,0.47,0.23,0.3,0.27,0,0.01,0.01,0.02,0,0,0,11.97,5.75,0.24,1.69,0.25,0.17,8.49,0.01,0.36,0.89,0.47,27.29
"1815_Meister,Leonard_HelvetischeGeschichte.txt",DE_HIST,113381,27.86,35.32,49.32,0.61,3.42,0.08,0.2,0.28,1.12,2.96,0.72,0.03,12.56,10.36,0.3,2.93,1.95,0.12,0.7,0.97,0.17,0.22,0.18,4.3,1.19,0.75,0.66,0.31,0.34,1.2,0.07,0.05,0.02,0,4.94,0.9,3.92,0.13,0.29,0.28,3.51,3.21,1.25,0.56,8.75,0.79,0.24,6.33,1.37,0.72,3.69,0.74,1.54,2.05,1.13,0.3,0.45,0.13,0.27,0.76,0.69,0.57,0.13,0.42,0.34,0.01,0.01,0.01,0.05,0.01,0,0,3.8,9.08,0.2,0.56,0.19,0.1,8.81,0.05,0.22,0.14,0.62,19.87
"1824_Müller,Karl_DieDorierbd1.txt",DE_HIST,130672,7.39,24.55,44.28,8.66,2.77,0.1,0.38,0.48,0.29,2.09,0.58,0.04,10.95,9.48,0.45,1.97,1.25,0.13,0.4,0.72,0.11,0.23,0.18,4.46,1.27,0.95,0.72,0.12,0.72,0.88,0.03,0.02,0,0,4.24,0.91,2.86,0.06,0.39,0.22,2.85,2.4,2.37,0.37,8.55,0.9,0.18,5.47,1.78,0.46,2.5,0.52,0.78,1.51,0.91,0.26,0.37,0.08,0.19,0.41,0.92,0.8,0.17,0.32,0.22,0.02,0.06,0.01,0.04,0.01,0,0,13.55,8.91,0.38,0.6,0.04,0,3.28,0.12,0.09,0.89,0.37,29.01
"1828_Archenholz,Johannvon_GeschichtedesiebenjährigenKriegesinDeutschland.txt",DE_HIST,119475,23.58,31.5,57.36,0.42,4.67,0.07,0.02,0.09,0.93,4.29,1.03,0.05,12.61,11.2,0.66,4.41,2.39,0.07,0.84,2.01,0.24,0.73,0.47,5.28,1.28,0.7,0.81,0.31,0.35,1.93,0.12,0.08,0.01,0.01,5.83,0.64,5.5,0.07,0.41,0.46,3.82,6.01,0.9,0.25,9.65,0.92,0.25,6.85,1.82,0.99,3.62,0.57,1.35,2.31,1.36,0.5,0.53,0.22,0.11,1.24,0.56,0.3,0.31,0.95,0.89,0.02,0.05,0.14,0.01,0,0,0,4.29,10.03,0.15,0.86,0.06,0.07,0.86,0.13,0.28,0.08,0.38,16.96
