filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GNN_1769_Herder,JohannGottfried_KritischesWäldchenOderBetrachtungen,DieWissenschaftUndKunstDesSchönenViertesWäldchen_Critical.txt",DE_NON,67887,25.38,23.54,53.53,10.61,6.09,0.67,0.59,1.25,1.01,4.22,1.69,0.05,10.98,8.32,0.55,3.68,2.57,0.07,0.39,1.08,0.15,0.11,0.37,7.68,1.62,2.56,1.08,0.22,0.6,1.92,0.47,0.26,0.1,0,6.59,0.69,6.15,0.07,0.17,0.37,2.82,1.66,4.19,0.57,7.28,0.71,0.12,6.85,2.13,0.58,3.22,0.8,0.83,2.01,1.05,0.2,0.27,0.11,0.47,0.34,0.94,0.69,0.26,1.06,0.82,0.08,0.12,0.04,0.04,0.01,0,0,2.6,9.47,1.16,0.93,0.94,0.5,0.07,0,0.02,0.31,0,16.3
"GNN_1772_Herder,JohannGottfried_AbhandlungÜberDenUrsprungDerSprache_Critical.txt",DE_NON,38761,28.42,23.36,54.34,10.71,5.77,0.57,0.46,1.03,0.78,4.41,1.67,0.1,10.66,7.32,0.62,3.28,2.2,0.08,0.4,1.08,0.13,0.1,0.4,8.2,1.96,2.57,1.03,0.26,0.66,2.19,0.14,0.09,0.03,0.01,7.66,0.75,6.06,0.11,0.33,1.26,2.76,1.95,3.94,0.65,6.26,0.63,0.15,5.87,2.44,0.56,3.22,0.74,0.84,1.88,2.27,0.4,0.15,0.13,1.6,0.31,1.1,0.85,0.26,0.72,0.64,0.04,0.02,0.04,0.02,0.03,0,0,2.14,8.41,1.3,0.76,0.89,0.95,0.2,0,0.01,0.47,0,15.59
GNN_1773_Lavater_Johann_Male_Autobiography.txt,DE_NON,60338,18.42,23.78,65.71,0.52,12.42,5.99,0.92,6.91,1.71,4.16,1.92,0.08,8.71,8.64,0.3,6.04,4.17,0.86,0.82,1.86,0.22,0.3,0.48,7.89,1.31,1.93,1.67,0.13,0.87,2.42,0.3,0.2,0.03,0.01,9.6,1.83,7.27,0.36,0.82,0.99,3.58,3.12,4.89,0.72,7.05,0.89,0.13,6.04,2.24,0.51,3.32,0.83,0.85,2.01,1.16,0.47,0.31,0.14,0.23,0.44,2.99,2.56,0.5,1.58,1.17,0.23,0.07,0.14,0.05,0,0,0,6.15,9.76,0.37,1.32,0.36,0.99,2.75,0,0.05,0.09,0.09,22.02
"GNN_1782_Moritz,KarlPhilipp_Erfahrungsseelenkunde_Critical.txt",DE_NON,37636,29.92,22.4,55.85,10.73,8.35,2.73,1.39,4.12,0.45,3.93,1.15,0.04,9.8,8.88,0.5,3.09,2.09,0.29,0.56,1,0.1,0.08,0.25,7.69,1.5,2.06,1.34,0.24,1.25,1.47,0.09,0.07,0.01,0,7.86,1.5,6.1,0.08,0.17,0.68,3.62,2.28,4.36,0.72,7.53,0.89,0.2,5.37,2.5,0.77,3.37,0.59,1.17,2.05,1.02,0.28,0.28,0.19,0.27,0.3,0.99,0.79,0.21,0.87,0.64,0.1,0.05,0.07,0.04,0.01,0,0,3.04,9.96,0.36,0.49,0.21,0.11,0.4,0,0.06,0.38,0.03,15.41
GNN_1782_Schulze-Kummerfeld_Karoline_Female_Autobiography.txt,DE_NON,159260,15.24,19.13,68.48,0.47,13.91,6,1.06,7.06,1.46,6.06,2.33,0.19,8.44,8.79,0.65,4.5,3,0.43,0.47,1.49,0.18,0.22,0.55,7.59,1.63,1.73,1.85,0.21,0.51,1.77,0.19,0.1,0.02,0.01,11.98,2.09,8.49,0.39,1.34,1.04,4.52,6.48,3.89,0.55,7.9,0.83,0.12,6.15,2.36,1.18,3.2,0.59,1.11,1.89,1.86,0.71,0.61,0.41,0.15,0.73,1.25,0.91,0.38,1.24,0.88,0.18,0.15,0.09,0.04,0.02,0,0,6.24,10.25,0.58,0.33,0.52,0.77,0.41,0,0.37,0.08,0,19.61
GNN_1787_Trenck_Friedrich_Male_Autobiography.txt,DE_NON,84257,20.61,26.05,65.4,0.84,11.8,7.28,0.54,7.82,0.51,3.54,1.14,0.04,8.64,10.43,0.62,4.26,2.64,0.23,0.89,1.62,0.19,0.39,0.51,7.72,1.51,2.01,1.39,0.39,0.61,2.03,0.22,0.12,0.04,0.02,7.1,2.21,5.41,0.33,0.63,0.59,4.62,6.66,3.1,0.44,9.17,0.94,0.19,7.24,2.2,1.15,4.18,0.78,1.59,2.5,1.56,0.72,0.56,0.14,0.16,0.81,0.97,0.69,0.32,1.22,0.97,0.1,0.12,0.12,0.05,0.03,0,0,4.58,8.39,0.31,0.79,0.14,0.42,0.4,0,0.09,0.01,0.08,15.17
GNN_1789_Prosch_Peter_Male_Autobiography.txt,DE_NON,74101,24.24,20.42,65.7,0.2,13.57,7.93,0.76,8.69,1.25,3.76,1.2,0.07,8.2,9.76,0.67,2.78,1.96,0.28,0.42,0.82,0.15,0.12,0.31,6.43,1.48,1.61,1.38,0.19,0.39,1.51,0.37,0.09,0.04,0.03,8.41,2.15,6.31,0.18,0.58,0.66,4.06,7.37,2.61,0.34,8.92,1.16,0.28,7.76,1.71,1.83,2.65,0.67,0.98,1.49,1.65,1.07,0.3,0.16,0.13,0.73,1.04,0.88,0.19,1.3,0.85,0.09,0.32,0.14,0.05,0.02,0,0,4.25,8.61,0.65,1.71,0.31,0.36,0.92,0,0.02,0.03,0,16.7
"GNN_1790_Kant,Immanuel_KritikderUrteilskraft_Philosophy.txt",DE_NON,118822,40.12,28.53,51.56,11.07,4.67,0.2,0.92,1.12,0.66,3.25,1.59,0.04,12.49,8.64,0.34,3.48,2.82,0.03,0.66,0.65,0.11,0.07,0.13,8.73,2.68,2.88,1.32,0.43,0.88,1.35,0.31,0.03,0,0,6.07,1.15,5.03,0.04,0.17,0.28,2.6,1.86,3.85,0.92,6.72,0.77,0.2,4.56,3.26,0.38,4.15,0.45,1.59,2.71,0.66,0.23,0.22,0.05,0.16,0.37,0.55,0.5,0.07,0.54,0.13,0.01,0.29,0.01,0.11,0,0,0,2.53,7.82,1.2,0.66,0.04,0,0.19,0,0,1.86,0.04,16.16
GNN_1791_Seume_Johann_Male_Autobiography.txt,DE_NON,28413,24.52,24.5,66.22,0.03,10.31,5.09,0.8,5.89,0.37,3.92,1.78,0.06,10.58,9.41,0.69,4.4,2.83,0.18,0.7,1.57,0.21,0.24,0.41,7.27,1.46,1.86,1.15,0.21,1.15,1.71,0.21,0.09,0.03,0.01,7.73,1.75,5.48,0.29,0.72,0.59,4.4,6.74,2.85,0.39,8.14,0.94,0.22,6.97,2.69,1,4.02,1.04,1.38,2.19,1.46,0.65,0.48,0.16,0.18,0.78,1.11,0.84,0.29,1.1,0.79,0.06,0.22,0.11,0.07,0.05,0.01,0,4.19,8.6,0.25,1.17,0.14,0.13,0.13,0,0.02,0.01,0,14.62
GNN_1793_Michaelis_Johann_Male_Autobiography.txt,DE_NON,23133,27.8,27.17,61.85,0.8,10.57,6.12,0.16,6.27,0.26,4,1.72,0.09,9.2,8.97,0.57,3.45,2.24,0.15,0.62,1.2,0.13,0.16,0.33,7.77,1.49,1.73,1.41,0.29,1.03,2.01,0.03,0.01,0,0,6.88,1.9,4.96,0.35,0.57,0.25,3.94,6.04,2.99,0.45,7.81,0.87,0.22,6.21,2.46,0.84,4.74,1.95,1.46,2.12,0.99,0.36,0.36,0.14,0.14,0.6,1.15,0.89,0.27,0.32,0.26,0.03,0.02,0.02,0.02,0,0,0,3.79,11.43,0.32,1.26,0.04,0.02,0.13,0,0.07,0.26,0.04,17.6
