filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"GN_1796_Tieck,Ludwig_WilliamLovell_Novel.txt",DE_NOV,160504,23.9,21.27,67.39,0.17,14.87,7.25,0.7,7.95,1.91,5.43,1.78,0.13,8.21,9.09,0.3,5.55,3.23,0.6,0.58,2.32,0.33,0.3,0.68,8.57,1.51,2.19,1.69,0.21,0.87,2.35,0.24,0.18,0.01,0.02,10.3,1.6,8.51,0.41,0.48,0.79,4.58,3.23,5.77,0.72,7.54,0.91,0.19,6.58,2.01,0.8,2.77,0.53,0.71,1.77,1.33,0.73,0.3,0.14,0.17,0.44,1.23,0.89,0.4,1.56,1.22,0.24,0.04,0.13,0.04,0.02,0,0,3.33,10.14,0.27,0.9,0.48,0.44,1.42,0,0.03,0.02,0.26,17.32
"GN_1797_Paul,Jean_Siebenkäs_Novel.txt",DE_NOV,178140,33.4,25.7,62.8,0.31,9.03,1.79,0.42,2.21,1.36,5.97,1.42,0.14,11.84,9.72,0.85,4,2.4,0.37,0.4,1.6,0.16,0.23,0.48,6.28,1.5,1.13,1.41,0.21,0.76,1.4,0.25,0.16,0.03,0.03,9.47,1.24,7.69,0.3,0.48,0.61,4.39,3.88,2.93,0.44,7.87,1.27,0.36,7.06,2.73,0.87,3.04,0.71,1.04,1.69,1.3,0.65,0.3,0.17,0.2,0.73,1.32,0.96,0.49,2.18,1.84,0.2,0.13,0.13,0.11,0.04,0,0,3.17,8.44,0.7,0.77,0.23,0.3,2.87,0,0.56,0.2,0.32,17.48
"GN_1798_La Roche,Sophie von_ErscheinungenamSeeOneida_Novel.txt",DE_NOV,103037,31.66,23.74,63.84,0.12,11.44,4.52,1.13,5.65,1.77,5.03,1.01,0.11,9.82,9.5,0.37,4.93,3.52,0.75,0.54,1.41,0.24,0.17,0.54,7.11,1.49,2.15,1.21,0.15,0.48,1.81,0.24,0.13,0,0.04,10.29,2.1,7.61,0.4,0.88,0.94,3.58,4.33,3.07,0.55,8.05,0.97,0.14,7.6,1.96,0.83,3.27,0.87,1.08,1.9,1.66,0.88,0.49,0.14,0.17,0.64,1.47,1.17,0.38,1.38,0.93,0.25,0.12,0.08,0.07,0,0,0,2.51,11.35,0.82,0.62,0.25,0.45,0.83,0,0.05,0.01,0,16.79
"GN_1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel.txt",DE_NOV,102722,29.3,22.64,65.42,0,12.81,3.6,0.59,4.19,2.1,7.55,1.55,0.1,9.33,8.68,0.31,5.46,3.78,0.68,0.59,1.66,0.27,0.2,0.54,7.37,1.39,2,1.36,0.16,0.7,1.98,0.31,0.23,0.02,0.02,12.07,1.71,9.97,0.47,0.4,0.61,4.41,4.72,4.35,0.5,7.42,1.07,0.22,6.64,1.91,1.05,3.28,0.68,0.99,2.1,1.58,0.6,0.43,0.17,0.38,0.37,1.2,0.96,0.27,1.65,1.27,0.24,0.06,0.11,0.06,0,0,0,3.36,11.55,0.45,0.53,0.5,0.36,0.21,0,0.05,0.01,0.27,17.28
"GN_1798_Unger,Friederike_JulchenGrünthal_Novel.txt",DE_NOV,97852,19.23,23.73,66.59,0.02,14.11,6.57,0.49,7.05,1.94,6.16,1.73,0.13,8.88,8.78,0.38,5.35,3.41,0.71,0.61,1.92,0.31,0.25,0.54,7.38,1.29,2.15,1.54,0.27,0.62,1.72,0.3,0.18,0.02,0.07,11.31,2.22,8.04,0.35,1.36,0.99,3.88,5.41,3.74,0.62,7.46,0.86,0.16,5.51,2.1,0.92,3.49,0.93,0.98,2,1.47,0.76,0.34,0.14,0.25,0.59,1.24,0.99,0.27,2.01,1.65,0.31,0.05,0.07,0.08,0.01,0,0,4.17,10.54,0.4,1.46,0.55,0.89,1.28,0,0.47,0.07,0.04,19.91
"GN_1798_Wolzogen,Caroline_AgnesvonLilien_Novel.txt",DE_NOV,80317,19.08,24.34,68.65,0,14.44,6.93,0.96,7.89,1.79,5.65,0.99,0.04,10.32,10.3,0.36,6.46,4.08,0.95,0.67,2.36,0.52,0.3,0.59,7.25,0.93,2.71,1.06,0.28,0.55,2,0.36,0.26,0.05,0.02,11.63,2.68,8.2,0.62,1.19,0.62,3.95,5.23,3.44,0.55,8.78,0.92,0.16,6.25,1.55,1,3.17,0.6,1.04,1.94,2.47,1.33,0.65,0.22,0.3,0.46,1.22,0.95,0.29,2.24,1.74,0.3,0.04,0.14,0.18,0,0,0,4.63,9.43,0.27,0.52,0.25,0.53,0.29,0,0.05,0,1.08,17.06
GN_1799_Hölderlin_Hyperion_Novel.txt,DE_NOV,86420,18.84,17.06,60.54,10.63,13.11,5.56,1,6.56,2.57,4.69,1.66,0.14,9.01,7.15,0.28,4.56,3.06,0.7,0.54,1.5,0.18,0.19,0.55,6.58,1.98,1.48,1.39,0.25,0.4,1.27,0.25,0.19,0.01,0.03,9.64,1.48,8.02,0.21,0.23,0.56,3.48,3.82,4.27,0.42,6.65,0.73,0.3,6.19,1.85,0.74,2.15,0.41,0.6,1.36,1.44,0.81,0.4,0.09,0.16,0.46,1.81,1.42,0.52,1.56,1.18,0.24,0.03,0.12,0.08,0,0,0,3.22,10.57,0.09,0.61,0.58,1.52,0.06,0,1.31,0.35,0,18.67
"GN_1799_Schlegel,Friedrich_Lucinde_Novel.txt",DE_NOV,29996,21.66,22.23,67.01,0,11.01,2.6,0.39,3,2.42,6.23,1.63,0.1,10.27,8.57,0.45,6.41,4.49,1.08,0.73,1.91,0.24,0.28,0.61,8.62,1.82,2.1,1.53,0.26,0.9,2.39,0.28,0.18,0.01,0.06,10.76,1.14,9.3,0.44,0.34,0.66,3.97,3.36,4.38,0.56,7.14,0.62,0.15,8.51,2.45,0.45,3.2,0.54,0.95,2.1,1.53,0.73,0.45,0.14,0.24,0.39,1.78,1.41,0.42,1.74,1.13,0.41,0.05,0.08,0.17,0.02,0,0,4.05,7.42,0.3,0.59,0.4,0.34,0.53,0,0.16,0,0.25,14.06
GN_1800_Novalis_HeinrichvonOfterdingen_Novel.txt,DE_NOV,45948,18.66,25.1,65.2,0.02,10.44,2.04,0.46,2.51,2.22,7.12,1.08,0.07,11.82,9.38,0.36,4.89,3.45,0.55,0.54,1.43,0.22,0.17,0.45,5.32,1.14,1.7,0.78,0.1,0.43,1.44,0.27,0.16,0.02,0.05,11.19,1.26,8.95,0.39,0.79,0.61,3.92,4.77,3.3,0.72,8.07,1.01,0.28,8.04,1.37,1.09,3.05,0.82,0.92,1.71,1.93,0.81,0.5,0.17,0.47,0.6,1.25,1.04,0.27,1.83,1.43,0.23,0.06,0.15,0.1,0,0,0,4.97,8.7,0.22,0.55,0.27,0.12,0.28,0,0.1,0.04,0.46,15.74
"GN_1801_Fischer,CarolineAuguste_GustavsVerirrungen_Novel.txt",DE_NOV,19941,11.49,21.61,67.27,0.31,17.23,8.29,0.55,8.85,2.33,7.31,1.8,0.2,7.44,8.41,0.42,4.77,2.75,0.53,0.46,2.02,0.34,0.33,0.72,8.09,1.2,2.54,2.06,0.23,0.58,1.7,0.5,0.4,0,0.09,11.55,2.36,9.51,0.24,0.52,0.52,4.52,5.97,3.57,0.62,6.97,1.03,0.08,5.18,2.63,1.03,2.74,0.67,0.69,1.74,1.41,0.7,0.43,0.12,0.17,0.46,1.12,0.87,0.29,2.22,1.81,0.3,0.05,0.2,0.07,0.03,0.01,0,5.91,6.65,0.49,1.04,1.06,3.22,4.66,0,0.05,0.01,0,23.1
