filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,Pronoun,I,We,Self,You,Other,Negate,Assent,Article,Preps,Number,Affect,Posemo,Posfeel,Optim,Negemo,Anx,Anger,Sad,Cogmech,Cause,Insight,Discrep,Inhib,Tentat,Certain,Senses,See,Hear,Feel,Social,Comm,Othref,Friends,Family,Humans,Time,Past,Present,Future,Space,Up,Down,Incl,Excl,Motion,Occup,School,Job,Achieve,Leisure,Home,Sports,TV,Music,Money,Metaph,Relig,Death,Physcal,Body,Sexual,Eating,Sleep,Groom,Swear,Nonfl,Fillers,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1795_Goethe,Johann_WilhelmMeistersLehrjahre_Novel.txt",DE_NOV_3P,222832,26.22,21.39,58.91,11.89,10.9,2.69,0.63,3.31,1.41,6.84,1.37,0.11,8.59,8.61,0.34,4.57,3.06,0.41,0.6,1.49,0.24,0.19,0.41,6.25,1.11,1.73,1.19,0.21,0.6,1.66,0.24,0.18,0.02,0.01,11.18,1.57,8.7,0.53,0.5,0.66,3.46,4.85,3.04,0.55,7.71,1.01,0.16,5.77,1.67,0.9,3.07,0.68,1.01,1.77,1.64,0.73,0.42,0.29,0.21,0.52,0.84,0.63,0.23,1.14,0.89,0.14,0.05,0.05,0.08,0,0,0,3.13,9.72,0.28,0.82,0.28,0.4,0.44,0.02,0.28,0.49,0,16.34
"1795_Wobeser,Karoline_Elisa_Novel.txt",DE_NOV_3P,74602,14.05,22.42,67.11,0.01,16.89,5.24,0.63,5.87,3.92,9.5,1.88,0.16,6.62,8.28,0.34,6.01,4.3,1.15,0.66,1.68,0.24,0.21,0.71,7.33,1.05,2.16,1.56,0.31,0.38,2.05,0.36,0.23,0.01,0.1,15.23,1.92,12.55,0.36,1.3,0.84,4.11,4.19,4.6,1.1,6.91,0.73,0.12,5.85,1.71,0.86,3.52,0.74,1.14,2.04,1.38,0.73,0.33,0.19,0.15,0.71,1.65,1.28,0.42,1.78,1.35,0.38,0.04,0.07,0.03,0.01,0,0,4.91,11.28,0.26,1.58,0.57,1.93,0.69,0,0.21,0.41,0.49,22.73
"1796_Huber,Therese_FamilieSeldorf_Novel.txt",DE_NOV_3P,92191,33.39,24.76,65.87,0.02,12.29,1.19,0.14,1.33,3.2,10.31,1.08,0.08,10.15,10.69,0.45,5.66,2.96,0.57,0.62,2.69,0.47,0.53,0.73,5.77,1.15,1.42,1.06,0.28,0.52,1.58,0.41,0.34,0.03,0.02,14.62,1.37,11.71,0.35,1.06,0.93,4.09,5.81,1.8,0.38,8.95,1.13,0.25,6.19,1.8,0.82,3.07,0.73,0.85,1.77,1.79,0.84,0.56,0.14,0.26,0.6,1.41,0.87,0.64,2.46,2.17,0.16,0.03,0.14,0.09,0.02,0,0,2.4,11.03,0.41,1.2,0.21,0.47,1.06,0,0.34,0.01,1.71,18.84
"1796_Huber,Therese_Luise_Novel.txt",DE_NOV_3P,39293,28.51,24.83,65.8,0,13.6,0.39,0.04,0.43,4.67,12.76,1.5,0.04,8.61,10.84,0.35,5.77,3.14,0.52,0.75,2.62,0.42,0.42,0.89,6.24,1.22,1.35,1.18,0.41,0.37,1.9,0.35,0.23,0.03,0.02,17.46,1.4,13.92,0.38,1.95,1.14,4.29,6.05,1.84,0.36,8.95,1.07,0.19,4.84,1.82,1.14,3.36,0.66,1.07,2,1.64,1.07,0.39,0.09,0.13,0.8,0.99,0.64,0.37,1.62,1.26,0.21,0.09,0.07,0.07,0.01,0,0,3.35,11,0.58,1.03,0.15,0.25,0.23,0,0.02,0.02,0.13,16.75
"1796_Tieck,Ludwig_WilliamLovell_Novel.txt",DE_NOV_3P,160504,23.9,21.27,67.39,0.17,14.87,7.25,0.7,7.95,1.91,5.43,1.78,0.13,8.21,9.09,0.3,5.55,3.23,0.6,0.58,2.32,0.33,0.3,0.68,8.57,1.51,2.19,1.69,0.21,0.87,2.35,0.24,0.18,0.01,0.02,10.3,1.6,8.51,0.41,0.48,0.79,4.58,3.23,5.77,0.72,7.54,0.91,0.19,6.58,2.01,0.8,2.77,0.53,0.71,1.77,1.33,0.73,0.3,0.14,0.17,0.44,1.23,0.89,0.4,1.56,1.22,0.24,0.04,0.13,0.04,0.02,0,0,3.33,10.14,0.27,0.9,0.48,0.44,1.42,0,0.03,0.02,0.26,17.32
"1798_Tieck,Ludwig_FranzSternbaldsWanderungen_Novel.txt",DE_NOV_3P,102722,29.3,22.64,65.42,0,12.81,3.6,0.59,4.19,2.1,7.55,1.55,0.1,9.33,8.68,0.31,5.46,3.78,0.68,0.59,1.66,0.27,0.2,0.54,7.37,1.39,2,1.36,0.16,0.7,1.98,0.31,0.23,0.02,0.02,12.07,1.71,9.97,0.47,0.4,0.61,4.41,4.72,4.35,0.5,7.42,1.07,0.22,6.64,1.91,1.05,3.28,0.68,0.99,2.1,1.58,0.6,0.43,0.17,0.38,0.37,1.2,0.96,0.27,1.65,1.27,0.24,0.06,0.11,0.06,0,0,0,3.36,11.55,0.45,0.53,0.5,0.36,0.21,0,0.05,0.01,0.27,17.28
"1798_Unger,Friederike_JulchenGrünthal_Novel.txt",DE_NOV_3P,97852,19.23,23.73,66.59,0.02,14.11,6.57,0.49,7.05,1.94,6.16,1.73,0.13,8.88,8.78,0.38,5.35,3.41,0.71,0.61,1.92,0.31,0.25,0.54,7.38,1.29,2.15,1.54,0.27,0.62,1.72,0.3,0.18,0.02,0.07,11.31,2.22,8.04,0.35,1.36,0.99,3.88,5.41,3.74,0.62,7.46,0.86,0.16,5.51,2.1,0.92,3.49,0.93,0.98,2,1.47,0.76,0.34,0.14,0.25,0.59,1.24,0.99,0.27,2.01,1.65,0.31,0.05,0.07,0.08,0.01,0,0,4.17,10.54,0.4,1.46,0.55,0.89,1.28,0,0.47,0.07,0.04,19.91
"1801_Schlegel,Dorothea_Florentin_Novel.txt",DE_NOV_3P,56900,24.72,23.48,66.62,0,14.46,4.54,0.46,5,2.23,8.31,1.7,0.07,8.49,9.5,0.31,5.5,3.57,0.65,0.71,1.91,0.37,0.25,0.5,7.28,1.16,1.98,1.36,0.34,0.77,1.92,0.23,0.18,0.02,0.02,12.95,1.91,10.51,0.44,0.72,0.57,4.46,5.36,3.39,0.58,8.04,0.99,0.18,5.83,2.18,1.07,3.18,0.68,1.04,1.87,1.78,0.92,0.45,0.13,0.29,0.52,1.01,0.82,0.22,1.35,1.02,0.23,0.03,0.22,0.07,0.01,0,0,4.06,10.56,0.25,1.08,0.51,0.7,1.05,0,0.09,0.01,0.25,18.56
"1802_Brentano,Clemens_Godwi_Novel.txt",DE_NOV_3P,137096,28.21,20.05,67.44,0.01,13.93,5.15,0.54,5.69,2.38,6.83,1.7,0.07,10.26,8.87,0.37,5.39,3.51,0.77,0.5,1.87,0.23,0.19,0.68,7.18,1.56,1.89,1.19,0.19,0.56,1.97,0.3,0.17,0.03,0.05,11.4,1.5,9.47,0.39,0.61,0.55,3.7,4.31,4.9,0.64,7.82,0.88,0.23,7.15,1.97,0.97,2.82,0.56,0.75,1.82,1.74,0.89,0.38,0.11,0.37,0.47,1.39,0.9,0.56,1.88,1.36,0.33,0.08,0.2,0.12,0.02,0,0,3.33,11.57,0.46,0.74,0.31,0.32,0.99,0,0.05,0.02,0.3,18.08
"1802_Fischer,CarolineAuguste_DieHonigmonathe_Novel.txt",DE_NOV_3P,34164,9.94,21.69,66.73,0.36,16.19,6.42,0.6,7.02,2.94,7.14,2.47,0.29,6.9,7.91,0.59,5.69,3.31,0.56,0.82,2.37,0.4,0.38,0.74,8.42,1.4,2.28,2.2,0.26,0.66,2,0.28,0.2,0.02,0.04,12.26,1.84,10.43,0.24,0.61,0.71,4.21,2.99,6.52,0.91,6.76,0.78,0.12,4.77,2.15,0.82,2.5,0.53,0.69,1.55,1.77,1.19,0.34,0.1,0.15,0.38,1.37,0.97,0.43,2.08,1.13,0.25,0.04,0.11,0.64,0.04,0,0,7.28,6.94,0.23,0.88,1.31,2.48,2.49,0,0.05,0.01,0.04,21.71
