filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
AF_1001Nights_Tales.txt,EN_FIC,229281,229281,15.8,82.52,0,60.4,16.17,11.24,3.28,0.48,1.49,4.89,1.11,4.93,9.26,8.83,5.59,3.93,3.22,0.88,2.57,15.61,9.41,1,1.95,1.18,0.03,12.18,0.87,0.13,0.92,3.25,2,1.24,0.19,0.46,0.36,14.85,1.18,0.96,0.75,1.83,0.69,0.48,7.57,1.96,1.9,0.8,0.51,0.41,2.18,1.13,0.33,0.24,0.53,12.19,2.3,5.32,4.47,0.84,1.33,0.71,0.59,0.64,0.87,0.43,0.05,0.06,0.09,2.83,9.8,0.65,1.7,0.28,0.27,0.97,0,0.33,0.35,0.12,17.65
AF_Aesop_Tales.txt,EN_FIC,27436,27436,12.39,83.77,0,60.88,12.37,8.84,0,0.01,0.1,6.89,1.83,3.54,13.11,9.68,4.89,6.81,1.62,0.42,3.62,16.06,9.43,0.84,2.25,1.2,0.51,12.03,0.22,0.28,0.77,4.63,2.31,2.31,0.39,0.86,0.55,14.54,1.05,0.92,0.83,1.07,0.89,0.48,7.95,1.68,2.09,0.97,0.45,0.63,2.58,1.33,0.54,0.57,0.71,15.47,3.11,7.35,4.71,0.68,1.47,0.77,0.36,0.55,0.24,0.36,0,0.14,0.06,3.48,7.68,0.4,0.52,0,0.01,0.4,0,0.4,0.01,0,12.92
AF_American_Fairy.txt,EN_FIC,21718,21718,15.11,83.18,0,55.55,11.25,7.53,0.05,0.06,0.07,6.05,1.31,3.72,11.69,9.24,4.82,6.78,1.39,0.46,3.43,14.41,8.49,0.86,2.01,1.11,0.03,11.63,0.54,0.15,1.65,4.64,2.57,2.02,0.56,0.49,0.59,13.71,1.5,0.67,0.83,1.25,0.87,0.61,6.7,1.69,3.22,1.53,0.59,0.82,2.45,1.56,0.41,0.11,0.55,16.47,2.69,8.12,5.46,0.95,1.58,0.65,0.85,0.96,0.14,0.17,0,0.1,0.06,5.33,5.8,0.35,0.67,0,0.03,0.66,0.01,0.59,0.01,0.17,13.65
AF_Anderson_Fairy.txt,EN_FIC,36419,36419,12.88,85.83,0,59.55,11.75,6.98,0.04,0.27,0.06,4.95,1.65,4.77,11.25,11.09,6.52,8.11,1.58,0.55,4.87,13.72,9.22,1.16,2.74,1.15,0.01,10.31,0.41,0.13,1.35,3.48,2.33,1.13,0.3,0.21,0.35,16.06,1.47,0.6,1.24,1.79,1.48,0.42,7.45,2.31,3.57,1.93,0.54,1.04,2.33,1.61,0.29,0.15,0.33,17.2,2.84,9,5.41,0.7,0.83,0.83,1.19,0.34,0.44,0.21,0.12,0.12,0.22,4.16,7.5,0.31,2.28,0.07,0.26,1.27,0.01,0.4,0.02,0.06,16.37
AF_Bracebridge_Tales.txt,EN_FIC,44300,44300,19.6,81.65,0,56.54,10.78,6.99,1.19,0.21,0.02,4.5,1.07,3.79,10.62,9.36,6.41,3.7,4.3,0.64,3.29,16.64,6.88,0.81,2.7,0.82,0.02,9.72,0.47,0.35,0.95,5.32,3.73,1.55,0.38,0.4,0.41,14.09,1.46,0.88,0.67,2.27,1.57,0.46,5.86,1.52,2.23,0.99,0.58,0.52,1.85,0.94,0.4,0.3,0.29,13.87,1.73,7.22,4.86,1.16,1.4,1.31,0.94,0.54,0.39,0.17,0.02,0.09,0.13,2.92,8.36,0.12,1.36,0.01,0.05,1.02,0,0.5,0.24,0.04,14.86
AF_CentNouvelles_Tales.txt,EN_FIC,94390,94390,13.8,88.59,0,62.54,16.82,10.84,0.24,0.1,0.22,9.08,1.19,5.98,8.59,12.83,7.76,8.23,2.37,1.1,3.76,13.91,9.58,1.61,2.49,1.16,0.04,17.29,1.36,0.52,1.25,5.34,3.72,1.6,0.26,0.51,0.43,17.13,1.8,1.17,1.81,1.69,1.11,0.49,7.02,2.46,1.89,0.72,0.73,0.4,1.92,0.77,0.38,0.48,0.34,12.68,2.4,5.31,4.82,0.66,1.24,0.45,0.77,0.54,0.91,0.23,0.01,0.22,0.04,3.29,9.89,0.02,0.62,0.04,0.01,0.88,0.01,0.29,0.14,0.29,15.62
AF_Cervantes_Novella.txt,EN_FIC,106283,106283,18.18,83.62,0,59.62,15.19,9.83,1.1,0.18,0.28,6.18,2.09,5.36,8.68,10.41,6.46,6.03,2.32,1.02,3.01,16.13,7.16,1.42,2.73,1.3,0.06,13.16,0.63,0.25,0.9,4.86,3.27,1.55,0.31,0.41,0.48,15.3,1.7,1.18,1.49,1.83,1.33,0.56,5.6,2.31,2.2,0.94,0.71,0.44,1.9,1.17,0.4,0.22,0.21,12.58,2.42,5.97,4.07,0.88,1.42,0.62,0.71,0.72,0.54,0.19,0.01,0.15,0.07,2.76,8.92,0.13,1.14,0.05,0.05,0.4,0.03,0.5,0.07,0.21,14.33
AF_ChildrensTales_Fairy.txt,EN_FIC,119228,119228,11.1,83.92,0,57.45,12.43,8.76,0.4,0.08,0.31,6.45,1.52,3.67,10.9,10.4,5.41,7.24,1.78,0.59,4.2,13.92,9.12,1.03,2.07,1.33,0.09,11.95,0.73,0.11,0.92,4.26,2.77,1.47,0.3,0.45,0.46,14.34,1.1,0.75,1.06,1.14,1.25,0.42,7.23,1.74,3.41,1.73,0.73,0.8,2.54,1.46,0.3,0.21,0.72,17.61,3.34,8.49,5.6,0.35,1.22,0.72,1.05,0.47,0.28,0.21,0.07,0.15,0.12,4.09,8.14,0.4,0.96,0.12,0.3,0.92,0.03,0.84,0.01,1.26,17.07
AF_Chretien_Tales.txt,EN_FIC,111169,111169,13.13,84.81,0,61.15,16.58,11.85,0.42,0.04,0.09,8.77,2.53,4.72,7.53,11.28,6.89,4.74,4.55,1.16,4,14,9.38,1.85,2.76,1.2,0.01,15.83,0.32,0.15,0.54,5.34,3.16,2.14,0.41,0.68,0.67,16.33,1.29,1.25,1.55,1.67,1.47,0.72,6.7,2.57,2.51,0.95,0.9,0.57,2.15,1.24,0.44,0.3,0.22,13.5,2.51,6.2,4.61,0.52,1.86,0.34,0.45,0.26,0.58,0.34,0.02,0.21,0.05,4.18,7.05,0.85,0.75,0.04,0.02,0.57,0,0.35,0.31,0,14.45
AF_ChristmasCarol_Tales.txt,EN_FIC,20386,20386,16.9,83.05,0,56.67,12.05,6.88,0.22,0.02,0.2,4.96,1.48,5.17,9.42,9.97,6.31,6.87,1.62,0.63,3.69,15.08,7.79,1.19,2.3,1.26,0.03,10.15,0.54,0.13,1.32,4.31,2.7,1.57,0.58,0.26,0.49,14.73,1.38,0.77,1.18,2,1.32,0.46,6.45,1.98,3.81,1.47,0.75,1.46,2.69,1.85,0.32,0.18,0.49,15.47,1.96,8.52,5.01,0.64,0.89,0.74,1.2,0.41,0.79,0.69,0.08,0.06,0.21,4.88,9.43,0.3,1.52,0.05,0.38,1.07,0,0.91,0.07,0,18.68
AF_Decameron1_Tales.txt,EN_FIC,91840,91840,17.15,82.57,0,59.04,14.7,9.71,0.51,0.17,0.16,7.21,1.66,4.99,7.93,9.89,6.11,5.78,2.04,0.9,3.63,15.58,8.62,1.53,3.12,0.91,0.03,14.05,0.52,0.2,1.39,4.85,3.19,1.62,0.33,0.39,0.59,15.85,1.67,1.3,1.13,1.91,1.25,0.57,6.42,2.06,1.71,0.62,0.57,0.36,1.82,0.79,0.44,0.38,0.26,11.88,2.23,5.27,4.21,0.64,1.42,0.49,0.6,0.49,0.78,0.41,0.02,0.18,0.06,2.18,10.38,0.6,0.96,0.02,0.05,0.42,0,0.74,0.08,0,15.5
AF_Decameron2_Tales.txt,EN_FIC,106735,106735,16.24,81.3,0,58.86,15.18,10.17,0.63,0.14,0.3,7.51,1.58,5.01,7.49,10.39,6.56,5.53,2.31,1.07,3.71,14.89,8.85,1.62,2.82,0.83,0.03,14.42,0.62,0.27,1.26,4.55,3.13,1.38,0.25,0.39,0.44,15.67,1.42,1.31,1.05,1.76,1.22,0.49,6.64,2.1,1.8,0.64,0.64,0.39,1.85,0.86,0.31,0.43,0.32,11.56,2.14,5.09,4.2,0.66,1.27,0.49,0.64,0.42,0.52,0.23,0.02,0.18,0.11,2.07,11.22,1.01,0.91,0.05,0.04,0.42,0,0.86,0.07,0,16.72
AF_DrollStories_Tales.txt,EN_FIC,121788,121788,17.85,83.72,0,57.45,13.5,7.88,0.19,0.2,0.22,6.26,1,5.63,10.44,9.45,5.94,5.36,2.47,0.77,2.77,16.41,6.49,1.11,2.03,0.98,0.04,12.82,0.59,0.31,1.35,6.45,4.63,1.79,0.3,0.63,0.47,13.62,1.62,1.32,1.19,1.21,1.48,0.57,5.12,1.55,2.33,0.93,0.57,0.57,2.47,1.2,0.41,0.57,0.36,12.15,1.83,6.26,3.98,0.79,1.54,0.61,0.64,0.6,1.3,0.26,0.03,0.19,0.18,2.74,9.68,0.06,0.55,0.05,0.08,0.64,0.02,0.43,0.02,0.05,14.34
