filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1771_Benezet,Anthony_SomeHistoricalAccountofGuinea.txt",EN_HIST,41618,31.01,22.77,79.33,0.61,56.92,10.95,5.51,0.32,0.71,0.12,1.35,3.01,5.44,8.89,9.37,6.77,2.4,4.43,1.15,3.27,17.01,6.71,1.3,3.64,1.12,0.04,9.13,0.17,0.12,1.26,5.21,2.84,2.34,0.38,1.03,0.47,14.49,1.33,1.51,0.98,2.72,1.55,0.62,4.71,2.35,1.18,0.35,0.47,0.22,1.17,0.4,0.41,0.12,0.27,10.57,1.3,6.06,3.02,1.65,1.7,0.29,0.14,1.27,0.76,0.29,0.02,0.16,0.06,3.3,10.21,0.4,1.36,0.18,0.07,0.98,1.13,0.35,0.7,1.86,20.93
"1776_Gibbon,Edward_HistoryoftheDeclineandFalloftheRomanEmpirev1.txt",EN_HIST,258605,15.3,27.22,71.16,2.24,51.08,7.67,4.22,0.21,0.29,0.04,2.2,1.47,3.45,12.16,6.23,4.77,3.54,1.7,0.58,1.94,16.28,5.7,0.63,2.41,1.1,0.02,7.06,0.31,0.09,0.47,5.44,3.27,2.15,0.37,0.94,0.42,12.41,1.47,0.87,0.69,2.1,0.98,0.71,4.74,1.57,0.86,0.39,0.18,0.2,1.1,0.41,0.47,0.12,0.11,8.74,0.84,4.41,3.33,1.37,2.15,0.49,0.17,0.48,0.93,0.37,0.01,0.1,0.02,6.7,8.96,0.84,0.87,0.02,0.01,0.93,0.18,0.2,1.59,0.11,21.72
"1809_Davies,Edward_TheMythologyandRitesoftheBritishDruids.txt",EN_HIST,145244,20.03,21.07,67.65,0.93,50.69,9.49,4.38,0.94,0.54,0.12,1.84,0.94,5.11,11.77,7.95,6.14,3.15,3.16,0.9,1.8,14.56,5.14,0.84,1.9,0.76,0.03,6.47,0.4,0.06,0.49,3.1,2.03,1.06,0.17,0.48,0.22,11.51,1.61,1.01,0.53,2.26,0.88,0.4,3.89,1.74,1.11,0.48,0.34,0.22,0.86,0.39,0.21,0.05,0.23,8.53,0.94,4.76,2.74,0.84,1.26,0.49,0.13,0.2,1.25,0.22,0.02,0.05,0.06,5.17,11.06,0.51,0.85,0.13,0.18,1.97,1.54,1.01,0.19,2.25,24.78
"1810_Southey,Robert_HistoryofBrazilv1.txt",EN_HIST,246954,20.13,19.4,73.26,1.13,53.31,11.51,6.33,0.28,0.11,0.1,2.59,3.26,5.18,8.72,10.02,6.67,6.35,2.02,0.66,2.67,14.7,6.09,1.03,2.3,1.62,0.01,9.55,0.25,0.12,0.67,3.87,2.06,1.81,0.23,0.9,0.38,12.41,1.32,1.28,1.1,1.58,0.86,0.6,4.79,1.54,1.29,0.39,0.42,0.34,1.36,0.61,0.34,0.06,0.38,11.65,1.91,5.82,3.75,1.05,1.54,0.42,0.16,0.38,0.49,0.32,0.03,0.1,0.07,5.97,8.17,0.27,1.21,0.06,0.06,2.37,0.3,0.66,0.18,1.22,20.19
"1815_Smith,William_HistoryofCanada.txt",EN_HIST,149934,28.12,21.21,71.9,1.23,52.38,8.89,4.99,0.42,0.4,0.22,1.78,2.16,3.9,10.2,8.26,5.79,4.56,1.7,0.97,1.86,16.57,5.62,0.79,2.28,2.17,0,7.68,0.2,0.03,0.76,3.83,2.24,1.57,0.18,0.77,0.36,11.57,1.01,1.09,0.93,1.32,0.88,0.63,4.78,1.26,0.67,0.2,0.18,0.24,0.76,0.31,0.33,0.04,0.1,11.7,1.75,6.38,3.29,1.68,1.66,0.38,0.17,0.71,0.62,0.3,0.02,0.1,0.01,3.93,9.76,0.3,0.6,0.05,0.05,2.92,0.35,0.87,0.13,1.33,20.18
"1818_Hallam,Henry_ViewoftheStateofEuropeDuringtheMiddleAgesv3.txt",EN_HIST,211412,17.42,25.83,72.95,1.63,52.92,8.43,3.39,0.5,0.48,0.05,1.12,1.23,5.04,9.41,8.52,6.48,3.64,3.01,0.89,2.71,17.04,5.8,1.39,2.89,1.05,0,5.74,0.12,0.04,0.53,3.66,2.38,1.24,0.19,0.46,0.25,14.1,1.83,1.22,0.97,2.91,1.55,0.68,3.65,2.38,0.68,0.18,0.32,0.12,0.64,0.18,0.33,0.07,0.07,10.42,0.88,5.58,3.81,1.8,2.02,0.39,0.29,0.76,0.86,0.13,0.02,0.1,0.03,6.19,8.07,0.19,0.93,0.02,0.01,0.76,0.38,0.54,1.19,0.33,19.55
"1820_Gillies,John_TheHistoryofAncientGreecev1.txt",EN_HIST,135451,20.11,26.81,69.05,0.88,48.7,8.01,4.31,0.24,0.2,0.05,1.59,2.23,3.7,10.95,5.72,4.16,3.28,1.29,0.54,1.8,16.08,5.25,0.67,2.36,0.83,0.01,7.19,0.28,0.15,0.5,5.87,3.62,2.23,0.32,1.11,0.44,11.51,1.39,0.98,0.7,1.54,0.92,0.67,4.4,1.45,0.8,0.24,0.28,0.19,0.9,0.34,0.36,0.12,0.1,9.57,1.07,4.8,3.55,1.19,2.52,0.64,0.14,0.36,0.63,0.31,0.03,0.12,0.03,5.37,9.05,0.17,0.94,0.09,0.06,3.22,0.38,0.64,0.14,5.15,24.9
"1825_Fisher,Peter_HistoryofNewBrunswick.txt",EN_HIST,45526,25.96,23.49,73.9,2.76,52.66,7.29,2.83,0.5,0.32,0.22,0.54,1.26,4.45,10.56,8.25,6.37,2.19,3.95,1.04,2.61,16.62,5.94,0.63,2.95,1.45,0.01,5.06,0.2,0.02,0.7,3.84,2.74,1.1,0.11,0.35,0.28,12.21,0.98,1.15,0.7,1.86,0.88,0.64,5.21,1.27,0.92,0.34,0.22,0.25,0.94,0.38,0.27,0.02,0.29,13.77,1.55,8.34,3.62,2.02,1.77,0.42,0.31,0.83,0.68,0.13,0.01,0.17,0.02,4.87,8.62,0.21,0.66,0,0.01,4.8,0.26,0.19,0.1,3.04,22.1
"1827_Hallam,Henry_ConstitutionalHistoryofEngland.txt",EN_HIST,187516,24.26,25.48,77.05,1.58,55.13,9.76,4.41,0.43,0.31,0.06,2.13,1.47,5.35,9.2,9,6.71,4.12,2.67,1.06,2.82,17.57,5.96,1.51,3.18,0.81,0.01,7.44,0.16,0.04,0.64,4.49,2.68,1.78,0.31,0.75,0.31,14.94,1.85,1.27,1.22,2.97,1.67,0.85,3.64,2.56,0.82,0.21,0.4,0.15,0.72,0.22,0.38,0.04,0.09,9.96,1.1,5.33,3.33,1.61,2.15,0.44,0.29,0.56,1.56,0.2,0.03,0.11,0.03,4.58,8.54,0.08,0.98,0.04,0.01,0.78,0.57,0.97,0.88,1.06,19.11
"1829_Irving,Washington_ChronicleoftheConquestofGranada.txt",EN_HIST,152402,25.06,23.37,75.13,0.19,53.21,9.12,5.92,0.18,0.2,0.15,3.32,2.07,3.2,11.44,7.26,4.88,5,1.06,0.53,1.93,17.4,6.45,0.6,2.08,0.85,0.02,8.92,0.33,0.12,0.43,5.21,2.63,2.56,0.45,1.23,0.59,12.36,0.93,1.02,0.63,1.21,0.91,0.82,6.05,1.18,1.56,0.52,0.5,0.45,1.26,0.77,0.33,0.08,0.12,12.23,2.03,6.75,3.36,0.7,2.05,0.43,0.4,0.39,1.09,0.36,0.01,0.05,0.07,3.84,6.73,0.2,0.53,0.06,0.11,0.98,0.82,0.07,0.06,0.23,13.3
