filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1771_Benezet,Anthony_SomeHistoricalAccountofGuinea.txt",EN_HIST,25266,25266,23.76,78.21,0,56.32,9.99,4.5,0.3,0.73,0.13,1.09,2.24,5.49,9.76,8.79,6.6,1.98,4.38,1.16,3.25,17.56,6.37,1.18,3.55,0.96,0.03,7.94,0.1,0.1,1.21,5.16,2.81,2.3,0.44,0.97,0.42,14.11,1.43,1.76,0.91,2.52,1.48,0.66,4.33,2.09,1.16,0.34,0.52,0.18,1,0.3,0.4,0.13,0.21,10.06,1.13,5.78,2.94,1.65,1.67,0.25,0.1,1.2,0.82,0.28,0.04,0.12,0.03,3.4,9.69,0.55,1.14,0.15,0.09,0.4,0.02,0.36,0.43,1.52,18.2
"1776_Gibbon,Edward_HistoryoftheDeclineandFalloftheRomanEmpirev1.txt",EN_HIST,241428,241428,27.31,72.84,0,52.54,7.74,4.19,0.2,0.28,0,2.22,1.49,3.55,12.57,6.26,4.87,3.56,1.72,0.58,2,16.81,5.88,0.64,2.49,1.17,0.02,6.96,0.32,0.09,0.48,5.5,3.31,2.16,0.37,0.94,0.43,12.63,1.42,0.88,0.7,2.16,0.98,0.72,4.88,1.61,0.85,0.4,0.15,0.2,1.12,0.42,0.48,0.12,0.11,8.95,0.87,4.54,3.4,1.41,2.22,0.51,0.18,0.49,0.95,0.38,0.01,0.11,0.02,6.58,9.09,0.88,0.86,0.02,0,0.2,0,0.2,0.9,0.11,19.75
"1809_Davies,Edward_TheMythologyandRitesoftheBritishDruids.txt",EN_HIST,70119,70119,20.34,68.26,0,51.32,9.52,4.53,0.98,0.57,0.1,1.91,0.97,4.99,12.06,7.73,6.22,3.02,3.09,0.89,1.78,14.8,5.28,0.79,1.91,0.73,0.03,6.38,0.47,0.06,0.5,3.15,2.06,1.08,0.18,0.5,0.22,11.56,1.61,1.02,0.52,2.2,0.92,0.4,3.99,1.71,1.13,0.47,0.32,0.26,0.88,0.39,0.22,0.05,0.24,8.53,0.92,4.72,2.79,0.81,1.27,0.52,0.14,0.22,1.32,0.24,0.03,0.06,0.06,4.78,10.64,0.49,0.81,0.1,0.2,1.51,0.07,0.63,0.14,1.62,21.13
"1810_Southey,Robert_HistoryofBrazilv1.txt",EN_HIST,132484,132484,18.68,74.31,0,54.58,11.68,6.37,0.32,0.11,0.1,2.54,3.3,5.31,9,9.81,6.8,6.12,2.02,0.69,2.68,15.08,6.27,1.09,2.38,1.65,0.01,9.15,0.24,0.12,0.7,3.79,1.99,1.79,0.23,0.92,0.36,12.69,1.23,1.31,1.13,1.63,0.88,0.6,4.93,1.63,1.18,0.4,0.3,0.34,1.39,0.6,0.35,0.07,0.41,11.89,1.94,6.01,3.77,1.07,1.57,0.43,0.16,0.4,0.46,0.32,0.03,0.1,0.08,5.31,7.95,0.28,1.2,0.06,0.05,1.74,0.17,0.37,0.12,0.7,18.07
"1815_Smith,William_HistoryofCanada.txt",EN_HIST,74982,74982,20.4,72.83,0,53.51,8.98,5.01,0.49,0.37,0.18,1.74,2.22,3.97,10.32,8.22,5.91,4.42,1.76,0.98,1.87,17,5.77,0.84,2.41,2.25,0,7.39,0.21,0.03,0.73,3.77,2.24,1.51,0.17,0.74,0.32,11.73,0.94,1.06,0.93,1.42,0.96,0.6,4.85,1.33,0.59,0.2,0.11,0.24,0.75,0.28,0.32,0.03,0.11,11.92,1.78,6.51,3.33,1.67,1.62,0.41,0.19,0.78,0.67,0.29,0.02,0.11,0.01,3.72,9.69,0.32,0.57,0.04,0.04,2.48,0.24,0.68,0.09,0.84,18.8
"1818_Hallam,Henry_ViewoftheStateofEuropeDuringtheMiddleAgesv3.txt",EN_HIST,190450,190450,25.71,73.72,0,53.73,8.49,3.36,0.55,0.49,0,1.09,1.23,5.13,9.6,8.39,6.54,3.51,3.07,0.86,2.8,17.37,5.7,1.38,2.98,1.14,0,5.4,0.12,0.05,0.52,3.73,2.42,1.27,0.19,0.47,0.26,14.12,1.82,1.22,0.96,2.95,1.58,0.68,3.57,2.4,0.58,0.19,0.21,0.12,0.66,0.18,0.35,0.07,0.07,10.66,0.88,5.73,3.89,1.87,1.99,0.41,0.3,0.78,0.83,0.13,0.02,0.1,0.03,6.41,7.84,0.07,0.91,0.02,0.01,0.31,0,0.51,0.48,0.22,17.26
"1820_Gillies,John_TheHistoryofAncientGreecev1.txt",EN_HIST,71452,71452,25.93,68.79,0,48.87,8.07,4.38,0.33,0.18,0.06,1.54,2.27,3.69,11.17,5.52,4.1,3.17,1.24,0.53,1.76,16.13,5.27,0.65,2.31,0.77,0.01,6.98,0.31,0.14,0.52,5.86,3.61,2.22,0.33,1.11,0.44,11.28,1.23,0.93,0.66,1.53,0.9,0.67,4.43,1.45,0.75,0.24,0.23,0.19,0.9,0.32,0.35,0.13,0.1,9.5,1.09,4.8,3.47,1.14,2.47,0.61,0.16,0.34,0.58,0.28,0.03,0.11,0.03,4.98,8.73,0.16,0.88,0.05,0.05,2.7,0.21,0.17,0.1,3.16,21.28
"1825_Fisher,Peter_HistoryofNewBrunswick.txt",EN_HIST,42074,42074,23.72,75.8,0,54.38,7.15,2.52,0.42,0.22,0.1,0.56,1.22,4.63,11.09,8.15,6.52,2.01,4,1.02,2.71,17.25,6.1,0.64,3.12,1.62,0.01,4.42,0.13,0.02,0.68,3.86,2.78,1.07,0.12,0.3,0.27,12.49,0.96,1.2,0.72,1.95,0.86,0.64,5.34,1.29,0.82,0.34,0.1,0.26,0.94,0.36,0.28,0.02,0.31,14.28,1.59,8.74,3.68,2.14,1.87,0.45,0.34,0.88,0.71,0.12,0,0.18,0.03,4.1,8.57,0.21,0.67,0,0.01,0.87,0.01,0.19,0.07,2.76,17.54
"1827_Hallam,Henry_ConstitutionalHistoryofEngland.txt",EN_HIST,161668,161668,25.18,77.85,0,55.9,9.73,4.22,0.4,0.28,0,2.13,1.4,5.51,9.63,8.83,6.74,4.12,2.63,0.98,2.89,18.08,5.72,1.49,3.17,0.86,0.01,7.06,0.17,0.04,0.6,4.49,2.64,1.81,0.32,0.77,0.31,14.71,1.8,1.25,1.24,2.95,1.64,0.87,3.5,2.5,0.71,0.22,0.29,0.15,0.73,0.21,0.41,0.04,0.08,10.26,1.13,5.56,3.36,1.67,2.26,0.48,0.29,0.57,1.59,0.2,0.02,0.11,0.02,4.68,8.02,0.07,0.9,0.03,0.01,0.29,0,0.94,0.36,0.83,16.49
"1829_Irving,Washington_ChronicleoftheConquestofGranada.txt",EN_HIST,137117,137117,23.37,74.96,0,53.37,8.56,5.46,0.01,0.03,0.01,3.34,2.08,3.1,11.85,6.79,4.62,5.04,0.71,0.42,1.95,17.83,6.54,0.53,2.15,0.9,0.02,8.36,0.32,0.13,0.41,5.06,2.56,2.49,0.46,1.19,0.54,12.38,0.88,1.02,0.6,1.2,0.9,0.83,6.15,1.13,1.48,0.54,0.39,0.45,1.26,0.76,0.34,0.08,0.12,12.51,2.08,6.94,3.39,0.69,2.06,0.44,0.41,0.38,0.98,0.34,0.01,0.05,0.07,3.88,6.71,0.19,0.49,0.01,0.01,0.44,0,0.06,0.05,0.15,12.05
