filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"ENN_1802_BeforeandAfterWaterloo_Stanley,Edward.txt",EN_NON,70445,24.11,19.61,79.77,0.67,56.33,11.5,7.65,2.18,1.5,0.54,2.21,1.23,3.85,8.83,10.97,7.25,5.24,3.78,1.03,3.29,15.77,6.52,1.34,3.02,1.04,0.03,9.07,0.18,0.11,0.8,4.59,2.97,1.6,0.28,0.48,0.47,15.17,1.48,0.75,1.27,2.47,1.69,0.43,5.94,2.24,2.29,1.11,0.69,0.4,1.36,0.69,0.29,0.06,0.36,13.71,1.99,7.35,4.26,0.95,1.25,0.88,0.69,0.54,0.4,0.22,0.07,0.14,0.11,4.59,7.41,0.09,0.78,0.1,0.18,1.95,0.89,0.59,0.35,0.82,17.47
"ENN_1811_TheLifeofFrancisMarion_Simms,William.txt",EN_NON,106377,20.78,24.38,79.42,0.18,56.17,10.79,6.3,0.26,0.48,0.16,3.53,1.87,4.49,10.33,8.8,6.39,5.7,1.76,0.67,2.57,17.49,5.61,1.11,2.51,1.23,0.02,9.54,0.13,0.15,0.74,5.99,3.15,2.81,0.56,1.31,0.54,13.66,1.45,1.38,0.88,1.68,1.21,1.1,4.82,1.72,1.3,0.54,0.29,0.41,1.14,0.56,0.38,0.07,0.14,12.81,1.86,6.94,3.83,1.43,2.23,0.48,0.27,0.27,0.24,0.32,0.01,0.11,0.04,4.85,9.04,0.08,0.45,0.02,0.05,2.1,0.66,0.64,0.05,0.23,17.63
"ENN_1811_ThePresentPictureofNewSouthWales_Mann,David.txt",EN_NON,41069,34.57,25.2,78.12,0.35,56.39,7.66,2.66,0.44,0.01,0,0.82,1.38,5,10.24,9.82,7.65,3.43,3.42,1.27,2.73,18.43,6.39,1.1,3.19,1.11,0,5.09,0.09,0.05,0.98,4.12,2.34,1.77,0.23,0.62,0.44,14.3,1.46,1.72,1.3,2.39,1.44,0.7,4.66,1.8,0.84,0.33,0.09,0.28,1.05,0.3,0.45,0.05,0.28,11.07,1.55,5.81,3.46,2.52,2.04,0.37,0.34,1.19,0.29,0.22,0.02,0.1,0.01,3.15,8.89,0.23,1.7,0.01,0.01,2.24,0.06,0.19,0.07,0.63,16.51
"ENN_1818_MemoirsoftheCourtofQueenElizabeth_Aikin,Lucy.txt",EN_NON,265324,41.17,24.78,79.35,0.21,56.42,12.13,7.48,0.71,0.17,0.33,5.51,0.75,4.65,9.07,7.92,5.53,4.36,1.82,0.86,2.5,18.29,6.17,1.01,2.77,0.78,0.01,10.83,0.47,0.14,0.78,5.74,3.64,2.05,0.39,0.77,0.49,14,1.76,1.19,0.98,2.06,1.29,0.74,4.97,1.7,1.04,0.36,0.34,0.25,1.06,0.47,0.41,0.1,0.1,10.94,1.5,5.39,3.9,1.56,2.43,0.52,0.3,0.43,1.09,0.25,0.01,0.12,0.04,2.76,6.93,0.28,1.23,0.05,0.04,1.94,0.76,0.55,0.17,0.3,14.54
"ENN_1818_NarrativeofaVoyagetoSenegalin1816_Savigny,J.B.Henry.txt",EN_NON,74749,29.65,19.66,82.01,0.25,59.43,14.2,7.56,0.69,2.41,0.18,2.28,2.01,6.64,10.14,10.67,7.26,5.82,3.13,0.81,2.71,16.28,5.15,1.02,2.98,1.5,0.01,10.57,0.12,0.18,1.03,4.71,2.49,2.2,0.39,0.59,0.65,14.32,1.63,1.19,1.21,2.09,1.36,0.64,5.08,1.88,1.41,0.55,0.32,0.41,1.71,0.71,0.51,0.06,0.5,12.78,1.99,6.6,4.01,1.25,1.48,0.41,0.13,0.42,0.26,0.22,0.03,0.11,0.04,3.5,9.21,0.53,1.43,0.09,0.07,0.94,0.27,0.17,0.34,0.66,17.18
"ENN_1820_ATreatiseonAdulterationsofFoodandCulinaryPoisons_Accum,Fredrick.txt",EN_NON,44612,22.51,24.05,73.07,2.09,49.96,6.28,1.74,0.19,0.14,0.13,0.62,0.65,4.54,9.51,8.29,6.09,2.43,3.6,0.92,2.12,17.26,5.7,0.74,2.79,1.14,0.02,3.06,0.04,0.04,0.42,2.75,1.66,1.09,0.13,0.39,0.27,14.41,1.52,2.27,0.7,2.73,1.29,0.7,4.73,1.91,3.06,1.16,0.07,0.61,4.49,0.24,0.85,0.03,3.49,9.39,1.44,5.01,2.79,1.8,2.03,1.88,0.34,1.11,0.34,0.08,0.03,0.1,0.04,4.76,10.44,0.24,1.1,0.03,0,2.01,0.51,0.18,0.74,1.88,21.89
"ENN_1820_MemoirsofthePrivateLifeReturnandReignofNapoleonin1815_Chaboulon,Pierre.txt",EN_NON,96291,26.32,23.68,80.5,0.17,58.29,13.79,8.73,2.15,0.62,0.7,3.29,1.97,5.07,9.95,10.51,7.48,5,3.14,1.39,2.17,16.06,5.95,1.43,2.24,0.83,0.01,10.34,0.16,0.1,0.64,5.49,3.41,2.04,0.41,0.85,0.42,15.36,1.96,1.3,1.48,1.75,1.57,0.9,5.04,1.99,1.11,0.33,0.48,0.25,0.97,0.52,0.3,0.1,0.06,9.9,1.52,4.76,3.35,1.59,1.98,0.37,0.18,0.42,0.45,0.23,0.03,0.09,0.03,4.11,8.86,0.81,1.08,0.2,0.14,1.51,1.61,0.26,0.29,0.56,19.22
"ENN_1829_ThePrinciplesofGothicEcclesiasticalArchitecture_Bloxam,Matthew.txt",EN_NON,41710,23.11,25.45,72.56,0.58,52.29,5.27,1.3,0.02,0.55,0.01,0.17,0.55,3.98,11.68,7.13,5.56,2.92,3.04,0.41,2.73,17.34,6.85,0.63,3.03,1.12,0,2.48,0.02,0.01,0.12,1.72,1.11,0.61,0.05,0.19,0.21,13.39,1.06,0.87,0.21,3.38,0.58,0.36,5.74,2.18,1,0.61,0.16,0.27,1.11,0.89,0.1,0.05,0.09,14.23,0.95,8.77,4.19,0.91,0.95,0.53,0.74,0.31,3.16,0.11,0.01,0.04,0.05,4.24,9.51,0.51,1.31,0.34,0,2.76,0.39,0.34,0.76,0.7,20.58
"ENN_1832_JournalofaResidenceatBagdad_Groves,Anthony.txt",EN_NON,83821,29.27,17.44,87.22,0.31,60.83,14.13,8.51,2.44,1.79,0.34,2.44,1.51,5.63,8.2,12.24,8.27,3.05,6.48,1.56,4.17,15.91,7.07,1.46,3.28,1.13,0,10.28,0.37,0.12,0.88,5.63,3.77,1.81,0.43,0.47,0.47,16.44,1.88,1.24,1.35,2.67,1.9,0.54,5.33,2.65,1.68,0.46,0.52,0.55,1.52,0.58,0.46,0.27,0.23,12.54,1.95,5.94,4.37,1.03,1.48,0.39,0.35,0.56,2.99,0.5,0.15,0.07,0.05,3.49,8.54,0.17,0.99,0.09,0.09,1.67,0.27,0.48,0.15,0.76,16.35
"ENN_1832_TwentyFourShortSermonsontheDoctrineofUniversalSalvation_Dods,John.txt",EN_NON,61741,23.97,18.96,85.81,0.15,59.32,13.16,7.36,0.52,1.95,0.76,2.47,1.65,5.8,8.58,11.4,8.49,2.18,5.59,1.91,2.94,15.68,7.64,1.62,2.48,0.92,0.02,10.78,0.32,0.11,0.98,6.6,4.43,2.13,0.36,0.74,0.64,16.96,2.16,1.5,1.46,1.73,2.26,0.57,5.96,2.3,1.52,0.51,0.59,0.26,1.97,0.71,0.88,0.25,0.16,12.17,1.6,5.99,4.48,0.82,1.79,0.26,0.2,0.39,3.64,0.89,0.05,0.06,0.06,3.88,7.76,0.12,0.44,0.36,0.15,1.65,1.55,0.13,0.1,2.56,18.36
