filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1802_BeforeandAfterWaterloo_Stanley,Edward.txt",EN_NON,67307,67307,19.05,81.25,0,57.85,11.51,7.56,2.16,1.51,0.51,2.14,1.24,3.96,9.2,10.75,7.39,4.97,3.81,1.04,3.39,16.34,6.75,1.34,3.12,1.08,0.02,8.65,0.18,0.11,0.82,4.61,2.97,1.61,0.29,0.49,0.47,15.5,1.45,0.75,1.29,2.53,1.73,0.44,6.1,2.3,2.16,1.16,0.5,0.41,1.38,0.71,0.3,0.06,0.36,14.15,2.05,7.66,4.32,0.97,1.28,0.9,0.72,0.55,0.38,0.22,0.03,0.14,0.12,3.8,7.08,0.04,0.76,0.05,0.1,0.77,0,0.49,0.18,0.64,14.07
"1811_TheLifeofFrancisMarion_Simms,William.txt",EN_NON,95367,95367,23.69,79.36,0,56.52,10.59,5.94,0.02,0.42,0.01,3.62,1.87,4.65,10.65,8.52,6.33,5.79,1.53,0.58,2.59,17.79,5.59,1.08,2.5,1.26,0.02,9.15,0.13,0.14,0.69,5.91,3.05,2.82,0.58,1.29,0.55,13.52,1.41,1.41,0.85,1.67,1.18,1.12,4.76,1.7,1.22,0.53,0.23,0.41,1.1,0.56,0.36,0.07,0.13,12.92,1.87,7.06,3.82,1.39,2.3,0.46,0.26,0.27,0.23,0.32,0.01,0.11,0.04,4.76,8.92,0.07,0.41,0.01,0.01,0.67,0,0.57,0.03,0.12,15.61
"1811_ThePresentPictureofNewSouthWales_Mann,David.txt",EN_NON,40923,40923,24.73,78.68,0,56.84,7.7,2.67,0.44,0.01,0,0.82,1.39,5.03,10.32,9.77,7.68,3.36,3.44,1.28,2.75,18.58,6.42,1.16,3.23,1.13,0,5.01,0.1,0.05,1,4.15,2.35,1.79,0.23,0.62,0.44,14.41,1.42,1.73,1.31,2.39,1.45,0.74,4.68,1.85,0.83,0.33,0.09,0.28,1.06,0.31,0.46,0.05,0.28,11.18,1.59,5.86,3.48,2.54,2.05,0.38,0.36,1.21,0.29,0.23,0.02,0.1,0.01,3,8.67,0.22,1.59,0.01,0.01,0.52,0.03,0.18,0.07,0.44,14.81
"1818_MemoirsoftheCourtofQueenElizabeth_Aikin,Lucy.txt",EN_NON,211343,211343,25.55,78.93,0,56.34,11.28,6.55,0.06,0.11,0.02,5.65,0.71,4.73,9.98,7.1,5.2,4.23,1.43,0.67,2.28,19.19,5.74,0.83,2.64,0.81,0,10.33,0.54,0.14,0.74,5.61,3.47,2.08,0.4,0.8,0.5,13.38,1.69,1.16,0.84,1.92,1.25,0.77,4.86,1.47,0.79,0.31,0.16,0.23,0.97,0.41,0.42,0.08,0.08,11.1,1.49,5.58,3.86,1.66,2.66,0.52,0.3,0.43,1.04,0.27,0.01,0.08,0.02,2.55,6.48,0.27,1.15,0.01,0.02,0.43,0.02,0.37,0.07,0.23,11.67
"1818_NarrativeofaVoyagetoSenegalin1816_Savigny,J.B.Henry.txt",EN_NON,64792,64792,18.99,82.14,0,59.79,14.2,7.51,0.44,2.47,0.09,2.37,2.13,6.7,10.29,10.25,7.15,5.56,3,0.76,2.67,16.6,5.15,1,3.02,1.52,0.01,10.5,0.12,0.17,1.06,4.67,2.48,2.17,0.4,0.58,0.64,14.25,1.58,1.19,1.19,2.09,1.31,0.66,5.1,1.84,1.34,0.56,0.21,0.43,1.78,0.75,0.52,0.06,0.51,12.85,2.01,6.7,3.94,1.25,1.49,0.41,0.13,0.45,0.27,0.21,0.03,0.11,0.04,3.43,9.04,0.52,1.36,0.08,0.05,0.4,0,0.14,0.14,0.42,15.74
"1820_ATreatiseonAdulterationsofFoodandCulinaryPoisons_Accum,Fredrick.txt",EN_NON,34894,34894,24.61,73.59,0,50.04,5.93,1.28,0.13,0.17,0,0.36,0.62,4.65,9.88,7.97,6.02,1.93,3.97,0.82,2.08,17.87,5.47,0.77,2.68,1.03,0.01,2.25,0.02,0.02,0.36,2.58,1.6,0.98,0.08,0.38,0.25,14.37,1.54,2.45,0.68,2.42,1.3,0.74,4.82,1.63,3.41,1.32,0.02,0.67,4.73,0.17,0.82,0.02,3.85,9.25,1.5,4.99,2.6,1.94,2.17,1.98,0.35,1.03,0.37,0.07,0.04,0.09,0.04,4.6,10.58,0.25,0.96,0.01,0,0.81,0.05,0.14,0.37,1.24,19.38
"1820_MemoirsofthePrivateLifeReturnandReignofNapoleonin1815_Chaboulon,Pierre.txt",EN_NON,63086,63086,24.7,80.17,0,57.88,12.82,7.77,1.46,0.52,0.06,3.77,1.96,5.05,10.71,9.22,6.54,5.79,1.71,0.86,2.1,16.69,6.3,1.33,2.19,0.87,0.01,9.81,0.15,0.1,0.61,5.58,3.43,2.12,0.43,0.87,0.44,15.44,1.87,1.37,1.31,1.71,1.43,0.91,5.43,1.86,1.01,0.33,0.32,0.29,1.07,0.56,0.35,0.11,0.05,10.17,1.57,4.87,3.42,1.74,2.07,0.39,0.19,0.44,0.5,0.23,0.02,0.07,0.02,3.71,8.86,0.74,0.94,0.06,0.06,0.38,0.05,0.22,0.19,0.25,15.65
"1829_ThePrinciplesofGothicEcclesiasticalArchitecture_Bloxam,Matthew.txt",EN_NON,38994,38994,24.54,73.3,0,53.09,5.21,1.21,0.02,0.52,0,0.14,0.53,4.01,11.9,7.02,5.71,2.75,3.15,0.4,2.79,17.62,6.92,0.62,3.1,1.17,0,2.07,0.02,0.01,0.1,1.66,1.05,0.6,0.04,0.19,0.2,13.49,1.05,0.84,0.19,3.5,0.55,0.36,5.79,2.21,0.98,0.63,0.1,0.29,1.13,0.93,0.09,0.05,0.09,14.64,1.05,9.01,4.26,0.92,0.97,0.55,0.77,0.31,3.08,0.11,0.01,0.03,0.05,4.02,9.11,0.25,1.27,0.35,0,1.32,0,0.29,0.41,0.22,17.65
"1832_JournalofaResidenceatBagdad_Groves,Anthony.txt",EN_NON,79879,79879,16.88,87.6,0,61.27,14.03,8.32,2.41,1.8,0.26,2.37,1.48,5.72,8.38,12.05,8.28,2.78,6.55,1.56,4.26,16.06,7.15,1.47,3.34,1.17,0,9.86,0.37,0.12,0.88,5.62,3.76,1.81,0.44,0.46,0.46,16.57,1.89,1.27,1.36,2.7,1.91,0.54,5.35,2.68,1.6,0.47,0.41,0.57,1.53,0.58,0.47,0.27,0.23,12.66,1.97,6,4.4,1.04,1.49,0.37,0.37,0.58,3.01,0.5,0.15,0.07,0.05,3.31,8.42,0.16,0.98,0.08,0.09,0.43,0.01,0.46,0.06,0.41,14.47
"1832_TwentyFourShortSermonsontheDoctrineofUniversalSalvation_Dods,John.txt",EN_NON,53945,53945,19.18,85.96,0,59.81,13.27,7.2,0.42,2.02,0.57,2.47,1.71,6.07,8.56,11.11,8.45,1.97,5.72,1.77,3,15.82,7.91,1.64,2.5,0.88,0.01,10.53,0.3,0.13,0.96,6.69,4.49,2.16,0.39,0.69,0.69,17.38,2.26,1.57,1.55,1.82,2.3,0.58,6.07,2.34,1.42,0.5,0.54,0.25,1.89,0.65,0.92,0.23,0.13,12.18,1.57,6.09,4.41,0.87,1.72,0.29,0.19,0.43,3.44,0.85,0.06,0.07,0.05,3.63,7.52,0.13,0.34,0.33,0.14,0.62,0,0.13,0.08,1.65,14.63
