filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"EN_1795_Lewis,Matthew_TheMonk_Novel.txt",EN_NOV,136628,17.38,22.24,83.33,0,57.23,17.76,13.4,3.99,0.26,1.56,6.87,0.71,4.36,7.49,10.17,6.5,5.08,2.88,1.19,2.78,14.49,5.68,1.57,2.16,0.65,0.01,13.33,0.52,0.21,0.51,7.07,3.85,3.16,0.94,0.79,0.93,14.66,2.47,1.21,1.34,1.7,1.35,0.83,4.62,1.89,2.5,0.87,0.92,0.63,2.1,1.16,0.45,0.36,0.16,11.78,1.81,5.29,4.53,0.75,1.61,0.43,0.53,0.29,1.08,0.4,0.16,0.1,0.02,4.43,6.47,0.93,1.06,0.46,1.17,0.42,0.03,2.58,0.02,0,17.4
"EN_1799_Brown,CharlesBrockden_ArthurMervyn_Novel.txt",EN_NOV,149081,15.71,22,84.26,0.01,60.06,17.51,12.06,6.18,0.25,1.17,3.85,0.6,5.46,6.68,12.09,8.71,6.11,3.03,1.56,2.53,14.94,6.7,1.79,2.35,0.68,0.01,9.83,0.56,0.29,0.69,5.24,2.9,2.26,0.74,0.51,0.57,17.2,2.71,1.57,1.69,2.6,1.22,0.76,5.19,2.71,1.64,0.62,0.57,0.32,1.54,0.67,0.55,0.16,0.17,11.11,1.78,5.1,4.1,1.16,1.48,0.4,0.71,0.61,0.24,0.32,0.03,0.09,0.05,5.6,7.44,0.07,0.9,0.55,0.24,0.41,1.6,0.42,0.02,0,17.09
"EN_1800_Edgeworth,Maria_CastleRackrent_Novel.txt",EN_NOV,35821,31.04,14.59,87.06,0.18,60.82,15.8,10.92,3.49,0.43,1.09,4.83,1.08,4.88,7.84,12.33,7.67,5.81,4.41,0.97,3.62,15.75,7.84,1.88,3.05,0.88,0.01,13.5,0.5,0.22,1.83,4.78,3.38,1.37,0.21,0.34,0.4,15.93,1.57,1.04,1.35,2.16,2.16,0.41,5.62,2.53,2.69,0.82,1.47,0.37,1.57,0.72,0.34,0.08,0.43,13.46,1.94,6.24,5.02,0.92,1.43,0.82,1.12,1.2,0.42,0.42,0.1,0.2,0.09,2.71,9.44,0.21,1.37,0.39,0.25,1.14,0.06,4.3,0.21,0,19.8
"EN_1801_Edgeworth,Maria_Belinda_Novel.txt",EN_NOV,178360,18.7,19.38,85.57,0,58.13,17.69,12.67,4,0.34,2.09,5.73,0.52,5.02,5.83,14.21,8.69,5.67,5.67,1.58,3.23,13.98,6.08,2.07,2.61,0.7,0.02,15.78,0.4,0.28,2.62,6.96,4.53,2.37,0.51,0.59,0.79,16.02,2.5,1.18,1.9,2.43,1.82,0.49,4.14,2.73,2.91,0.9,1.48,0.42,1.69,0.65,0.46,0.43,0.16,10.7,1.6,4.78,4.23,0.78,1.35,0.58,0.47,0.43,0.58,0.13,0.18,0.14,0.06,4.39,8.97,0.46,1.23,0.58,0.62,0.76,3.96,1.41,0.03,0.01,22.12
"EN_1804_Opie,Amelia_AdelineMowbray_Novel.txt",EN_NOV,106401,28.04,21.93,85.41,0,57.63,16.49,12.15,2.6,0.23,1.64,7.12,0.55,4.35,6.22,11.96,7.38,5.46,3.94,1.3,3.57,14.83,7.68,1.62,1.96,0.59,0.01,15.85,0.74,0.28,1.82,7.61,4.48,3.01,0.72,0.66,1.11,16.13,2.57,1.22,1.73,1.87,1.48,0.58,5.12,2.35,2.54,0.88,0.96,0.62,2.1,0.84,0.78,0.33,0.16,11.19,1.66,4.8,4.62,0.9,1.42,0.38,0.52,0.46,0.45,0.27,0.11,0.14,0.07,2.57,9.37,0.68,1.53,0.46,0.76,0.64,0.03,4.85,0.06,0,20.74
"EN_1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",EN_NOV,33166,16.18,21.97,81.88,0,56.95,15.67,11.09,3.29,0.74,1.96,4.16,0.95,4.58,7.47,11.51,7.51,4.06,4.82,1.55,3.21,13.67,6.18,1.58,2.51,1.17,0.02,12.2,0.28,0.32,0.71,6.93,4.21,2.66,0.76,0.78,0.64,14.47,1.96,1.08,1.41,1.86,1.57,0.63,4.9,2.03,2.51,0.92,1.01,0.51,2.15,1.28,0.45,0.29,0.16,11.78,1.84,5.2,4.7,0.93,1.72,0.55,0.35,0.44,0.69,0.42,0.21,0.15,0.09,5.51,8.35,0.16,1.34,0.93,0.9,0.62,2.55,0.91,0.19,0,21.41
"EN_1806_Edgeworth,Maria_Leonora_Novel.txt",EN_NOV,65937,18.72,19.74,85.6,0.01,59.4,18.09,13.09,6.08,0.4,2.29,3.62,0.71,5,5.47,13.03,9.1,3,6.63,1.92,3.29,14.2,6.13,2.17,2.74,0.53,0,12.79,0.62,0.4,1.35,8.61,5.82,2.76,0.58,0.92,0.6,17.4,2.74,1.39,2.11,2.65,2.28,0.66,3.85,3.1,1.98,0.69,0.65,0.49,2.17,0.68,0.62,0.74,0.13,9.25,1.2,4.12,3.86,0.74,1.57,0.44,0.21,0.27,0.59,0.18,0.08,0.14,0.06,4.55,7.34,0.38,1.08,0.4,0.66,0.45,0.59,0.46,0.02,0.3,16.05
"EN_1809_More,Hannah_CoelebsinSearchofaWife_Novel.txt",EN_NOV,136925,22.05,21.78,85.62,0,58.64,15.42,9.9,3.02,0.84,0.73,3.95,1.35,5.52,7.57,11.45,7.83,4.16,4.76,1.4,3.34,14.85,6.46,2.01,3.07,0.7,0,12.37,0.53,0.26,1.77,7.17,4.95,2.18,0.41,0.53,0.65,16.42,2.25,1.46,1.66,2.42,1.9,0.74,4.37,2.96,2.06,0.61,0.86,0.43,1.44,0.43,0.58,0.16,0.28,10.19,1.32,5.09,3.61,1.65,1.79,0.74,0.43,0.6,1.39,0.12,0.04,0.11,0.05,4.17,8.73,0.1,0.78,0.2,0.17,0.52,2.3,0.67,0.05,0.01,17.52
"EN_1811_Austen,Jane_SenseandSensibility_Novel.txt",EN_NOV,118852,21.64,19.87,87.88,0.04,61.73,16.36,11.51,2.58,0.32,1.3,6.04,1.27,4.85,5.46,14.17,9.34,5.97,4.74,1.65,4.47,15.52,6.82,2.21,3.6,0.97,0,14.6,0.9,0.24,1.34,6.76,4.58,2.12,0.54,0.35,0.78,17.78,2.69,1.26,2.26,2.8,2.33,0.5,4.43,2.72,2.28,0.74,1,0.49,1.07,0.43,0.36,0.13,0.15,12.18,1.64,5.59,4.84,0.64,1.35,0.41,0.55,0.48,0.28,0.07,0.11,0.2,0.05,4.14,8.33,0.06,1.32,0.38,0.47,0.55,2.59,0.77,0.03,0.01,18.43
"EN_1813_Austen,Jane_PrideandPrejudice_Novel.txt",EN_NOV,122016,17.49,19.57,88,0,61.58,16.75,11.99,2.69,0.37,1.47,6.23,1.23,4.75,5.43,14.8,9.82,6.25,5.13,1.68,4.4,14.81,6.91,2.25,3.26,0.86,0,15.96,1.14,0.3,1.76,6.64,4.6,2.01,0.49,0.4,0.7,17.8,2.71,1.25,2.25,2.8,2.17,0.48,4.48,2.97,2.1,0.72,0.97,0.37,0.87,0.29,0.3,0.11,0.17,11.74,1.79,5.15,4.69,0.75,1.4,0.61,0.56,0.4,0.21,0.07,0.14,0.18,0.04,5.19,7.92,0.04,1.24,0.36,0.4,0.41,2.89,0.6,0.01,0.01,18.92
