filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1782_Burney,Fanny_Cecilia_Novel.txt",EN_NOV_3P,329849,25.95,20.5,86.63,0.01,59.39,17.23,12.77,3.02,0.25,1.74,7.06,0.7,4.46,5.43,13.17,7.99,5.51,4.86,1.59,4.28,14.23,7.19,2.32,3.16,0.63,0,15.51,0.43,0.19,1.8,7.06,3.84,3.16,0.82,0.61,1.22,17.61,2.52,1.65,1.97,2.5,1.86,0.76,4.77,2.78,2.13,0.69,1.02,0.35,1.18,0.44,0.5,0.1,0.15,11.7,1.87,4.63,5.05,0.89,1.6,0.4,0.48,0.6,0.35,0.15,0.12,0.14,0.03,2.42,11.03,0.35,1.25,0.67,0.93,0.48,4.08,0.68,0.01,0,21.7
"1786_Beckford,William_Vathek_Novel.txt",EN_NOV_3P,36140,23.87,22.63,78.04,0.03,55.97,13.43,8.87,1.09,0.4,1,4.41,1.96,4.57,9.8,8.47,5.43,4.57,1.96,0.83,2.56,16.24,5.64,1.3,2.62,0.9,0.04,10.99,0.3,0.08,0.45,5.2,3.1,2.05,0.53,0.46,0.69,12.71,1.54,0.78,0.77,1.29,1.19,0.57,5.33,1.6,2.72,0.92,0.89,0.57,2.12,1.23,0.37,0.17,0.44,12.18,2.08,6.22,3.88,0.58,1.26,0.67,0.27,0.2,0.63,0.26,0.04,0.09,0.11,3.48,8.72,0.37,1.11,0.27,0.44,0.33,1.68,0.12,0.09,0,16.57
"1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",EN_NOV_3P,67509,23.8,24.11,81.68,0,55.74,13.81,9.45,1.29,0.17,0.47,6.26,1.25,4.37,10.36,8.42,5.44,5.67,1.41,0.65,3.03,15.74,5.9,0.89,1.88,0.41,0,11.77,0.43,0.13,0.51,6.96,3.44,3.39,1.25,0.65,1.05,14.09,2.57,1.09,0.97,1.75,0.91,0.79,5.25,1.33,2.47,0.77,1.09,0.42,1.52,0.77,0.47,0.21,0.09,13.04,2.06,5.91,4.96,0.68,1.73,0.5,0.66,0.11,0.66,0.31,0.03,0.07,0.02,4.04,8.38,0.05,0.99,0.05,0.21,0.21,0.01,1.18,0,0.01,15.05
"1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel.txt",EN_NOV_3P,291041,27.33,21.18,82.82,0,57.8,15.26,10.05,1.66,0.22,0.91,6.28,0.97,5.22,8.42,11.19,6.78,6.31,2.76,1.11,3.77,15.06,6.97,1.31,2.18,0.44,0,12.89,0.38,0.17,0.53,5.77,3.02,2.63,0.84,0.46,0.96,14.98,2.35,1.1,1.4,2.24,1.06,0.62,5.06,2.04,3.26,1.1,1.55,0.44,1.24,0.58,0.37,0.16,0.14,13.45,2.17,5.82,5.33,0.58,1.19,0.67,0.64,0.2,0.5,0.26,0.07,0.11,0.04,3.03,12.81,0.11,1.15,0.23,0.49,0.57,0.04,2.86,0.01,0.01,21.09
"1794_Rowson,Susanna_CharlotteTemple_Novel.txt",EN_NOV_3P,36621,24.76,20.3,85.21,0,56.67,16.51,12.75,3.44,0.41,1.62,6.58,0.7,3.76,7.08,11.98,7.31,4.83,4.21,1.82,3.06,13.81,6.5,1.64,2.18,0.66,0,15.32,0.76,0.41,1.53,8.11,4.97,3.09,0.8,0.58,1.25,15.23,2.01,1.01,1.77,1.87,1.38,0.74,4.95,2.24,2.57,0.84,1.04,0.61,2.32,1.18,0.67,0.36,0.12,11.51,2.06,4.81,4.57,0.8,1.26,0.4,0.53,0.62,0.88,0.3,0.2,0.12,0.04,3.44,8.62,0.82,1.29,0.34,0.29,0.43,3.31,0.54,0.04,0,18.96
"1795_Lewis,Matthew_TheMonk_Novel.txt",EN_NOV_3P,136628,17.38,22.24,83.33,0,57.23,17.76,13.4,3.99,0.26,1.56,6.87,0.71,4.36,7.49,10.17,6.5,5.08,2.88,1.19,2.78,14.49,5.68,1.57,2.16,0.65,0.01,13.33,0.52,0.21,0.51,7.07,3.85,3.16,0.94,0.79,0.93,14.66,2.47,1.21,1.34,1.7,1.35,0.83,4.62,1.89,2.5,0.87,0.92,0.63,2.1,1.16,0.45,0.36,0.16,11.78,1.81,5.29,4.53,0.75,1.61,0.43,0.53,0.29,1.08,0.4,0.16,0.1,0.02,4.43,6.47,0.93,1.06,0.46,1.17,0.42,0.03,2.58,0.02,0,17.4
"1796_Bonhote,Elizabeth_BungayCastle_Novel.txt",EN_NOV_3P,86565,36.95,21.43,84.51,0,57.72,14.32,10.14,1.72,0.43,0.71,5.86,1.41,4.19,7.72,11.3,7.27,5.79,2.76,1.34,2.96,15.59,7.25,1.46,3.07,0.71,0.01,13.33,0.78,0.38,0.9,7.79,4.94,2.81,0.94,0.58,0.81,16.78,2.48,1.32,1.87,2.51,1.47,0.78,5.32,2.18,2.12,0.8,0.7,0.52,1.82,0.76,0.63,0.3,0.15,11.14,1.8,4.88,4.35,0.85,1.71,0.53,0.5,0.38,0.69,0.28,0.04,0.1,0.06,2.66,9.13,0.21,0.8,0.14,0.21,0.49,0.93,0.35,0.37,0.03,15.48
"1798_Wollstonecraft,Mary_Maria_Novel.txt",EN_NOV_3P,44649,29.22,22.25,84.42,0.04,57.66,15.02,11.25,5.1,0.17,0.37,4.88,0.73,3.77,7.96,10.59,6.84,5.59,2.83,1,3.04,16.49,5.89,1.53,2.37,0.66,0.02,11.13,0.88,0.22,1.29,6.76,3.86,2.77,0.76,0.76,0.77,16.11,2.72,1.51,1.68,2.45,1.35,0.77,4.38,2.39,1.88,0.57,0.47,0.63,2.13,0.86,0.7,0.36,0.25,11.07,1.76,4.86,4.41,1.09,1.53,0.53,0.6,0.69,0.43,0.26,0.04,0.08,0.09,3.18,9.87,0.09,1.48,0.24,0.28,0.64,1.15,0.98,0.18,0.06,18.06
"1801_Edgeworth,Maria_Belinda_Novel.txt",EN_NOV_3P,178360,18.7,19.38,85.57,0,58.13,17.69,12.67,4,0.34,2.09,5.73,0.52,5.02,5.83,14.21,8.69,5.67,5.67,1.58,3.23,13.98,6.08,2.07,2.61,0.7,0.02,15.78,0.4,0.28,2.62,6.96,4.53,2.37,0.51,0.59,0.79,16.02,2.5,1.18,1.9,2.43,1.82,0.49,4.14,2.73,2.91,0.9,1.48,0.42,1.69,0.65,0.46,0.43,0.16,10.7,1.6,4.78,4.23,0.78,1.35,0.58,0.47,0.43,0.58,0.13,0.18,0.14,0.06,4.39,8.97,0.46,1.23,0.58,0.62,0.76,3.96,1.41,0.03,0.01,22.12
"1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",EN_NOV_3P,33166,16.18,21.97,81.88,0,56.95,15.67,11.09,3.29,0.74,1.96,4.16,0.95,4.58,7.47,11.51,7.51,4.06,4.82,1.55,3.21,13.67,6.18,1.58,2.51,1.17,0.02,12.2,0.28,0.32,0.71,6.93,4.21,2.66,0.76,0.78,0.64,14.47,1.96,1.08,1.41,1.86,1.57,0.63,4.9,2.03,2.51,0.92,1.01,0.51,2.15,1.28,0.45,0.29,0.16,11.78,1.84,5.2,4.7,0.93,1.72,0.55,0.35,0.44,0.69,0.42,0.21,0.15,0.09,5.51,8.35,0.16,1.34,0.93,0.9,0.62,2.55,0.91,0.19,0,21.41
"1811_Austen,Jane_SenseandSensibility_Novel.txt",EN_NOV_3P,118852,21.64,19.87,87.88,0.04,61.73,16.36,11.51,2.58,0.32,1.3,6.04,1.27,4.85,5.46,14.17,9.34,5.97,4.74,1.65,4.47,15.52,6.82,2.21,3.6,0.97,0,14.6,0.9,0.24,1.34,6.76,4.58,2.12,0.54,0.35,0.78,17.78,2.69,1.26,2.26,2.8,2.33,0.5,4.43,2.72,2.28,0.74,1,0.49,1.07,0.43,0.36,0.13,0.15,12.18,1.64,5.59,4.84,0.64,1.35,0.41,0.55,0.48,0.28,0.07,0.11,0.2,0.05,4.14,8.33,0.06,1.32,0.38,0.47,0.55,2.59,0.77,0.03,0.01,18.43
"1813_Austen,Jane_PrideandPrejudice_Novel.txt",EN_NOV_3P,122016,17.49,19.57,88,0,61.58,16.75,11.99,2.69,0.37,1.47,6.23,1.23,4.75,5.43,14.8,9.82,6.25,5.13,1.68,4.4,14.81,6.91,2.25,3.26,0.86,0,15.96,1.14,0.3,1.76,6.64,4.6,2.01,0.49,0.4,0.7,17.8,2.71,1.25,2.25,2.8,2.17,0.48,4.48,2.97,2.1,0.72,0.97,0.37,0.87,0.29,0.3,0.11,0.17,11.74,1.79,5.15,4.69,0.75,1.4,0.61,0.56,0.4,0.21,0.07,0.14,0.18,0.04,5.19,7.92,0.04,1.24,0.36,0.4,0.41,2.89,0.6,0.01,0.01,18.92
"1818_Shelley,Mary_Frankenstein_Novel.txt",EN_NOV_3P,75694,22.27,20.49,84.68,0,59.15,17.16,12.5,7.46,0.49,1.15,2.69,0.71,4.66,7.73,10.72,7.14,5.52,3.03,1.22,3.14,14.32,7.49,1.24,2.37,0.71,0.02,8.69,0.49,0.33,0.64,7.07,3.96,3.08,0.83,0.89,1.11,16.13,2.59,1.14,1.49,2.19,1.24,0.55,5.55,2.26,2.44,0.88,0.66,0.72,1.8,0.88,0.54,0.21,0.21,12.16,1.83,5.27,5.07,1,1.66,0.46,0.34,0.36,0.48,0.48,0.06,0.06,0.06,3.9,7.92,0.28,1.79,0.29,0.32,0.37,1.03,0.27,0.03,0,16.08
"1820_Scott,Walter_Ivanhoe_Novel.txt",EN_NOV_3P,176456,28.45,19.77,78.43,0.04,55.29,13.59,9.14,2.12,0.63,1.77,3.53,1.09,4.45,9.15,9.47,6.11,4.24,3.03,1.27,2.68,15.21,6.54,1.25,2.17,0.78,0.03,11.64,0.37,0.24,0.64,5.69,3.49,2.16,0.45,0.8,0.49,13.22,1.5,1,1.15,1.84,0.9,0.8,4.97,2.11,2.68,0.7,1.41,0.5,1.68,0.97,0.37,0.15,0.23,10.36,1.65,5.38,3.22,0.8,1.65,0.58,0.33,0.53,1.17,0.28,0.02,0.18,0.08,2.9,10.13,0.03,0.91,0.42,0.57,1.6,4.48,0.64,0.03,0,20.98
"1821_Peacock,ThomasLove_MaidMarian_Novel.txt",EN_NOV_3P,35959,23.92,17.36,79.12,0.02,55.41,12.87,9.07,2.04,0.54,1.59,3.85,1.06,3.79,9.72,10.49,6.32,4.68,3.54,1.41,2.44,14.49,7.05,1.38,2.13,0.81,0.03,12.15,0.5,0.2,0.98,5.11,3.42,1.67,0.28,0.66,0.34,14.32,1.32,1.01,1.1,1.64,1.31,0.63,6.05,2.18,3.34,0.81,1.85,0.52,2.04,0.98,0.43,0.32,0.4,11.45,1.84,6.03,3.45,0.71,1.28,0.83,0.3,0.56,1.13,0.28,0.06,0.12,0.08,3.34,9.32,0.95,0.82,0.64,0.24,1.3,4.56,0.7,0.04,0,21.35
"1822_Hogg,James_ThreePerilsofMan_Novel.txt",EN_NOV_3P,212251,22.9,15.47,80.75,0.13,57.82,15.17,10.5,2.54,0.57,1.52,4.29,1.57,4.67,8.77,10.71,6.54,5.27,3.24,1.13,3.05,14.34,7.47,1.37,2.61,1.06,0.06,11.91,0.31,0.18,0.82,4.89,2.93,1.94,0.39,0.67,0.5,14.55,1.35,0.81,1.14,1.87,1.45,0.61,5.89,2.3,2.98,1.05,1.22,0.59,2.2,1.45,0.35,0.21,0.29,12.23,1.97,6.23,3.99,0.54,1.49,0.49,0.42,0.28,0.74,0.25,0.09,0.12,0.15,3.39,8.7,0.23,1.24,0.48,0.59,0.76,2.52,1.61,0.56,0.02,20.3
"1823_Cooper,JamesFenimore_ThePioneers_Novel.txt",EN_NOV_3P,170828,24.29,18.25,82,0.01,57.22,12.51,7.87,1.82,0.39,1.24,3.52,0.89,4.64,11.01,10.79,6.91,4.94,3.88,1.1,3.34,15.35,6.46,1.24,2.32,0.95,0.02,10.2,0.35,0.18,1.05,4.87,2.96,1.89,0.39,0.54,0.6,13.38,1.6,1.02,1.1,1.93,1.19,0.64,4.86,2.07,3.12,1.09,1.04,0.81,1.94,1.22,0.36,0.09,0.3,13.04,1.87,6.54,4.53,1.02,1.21,0.58,0.42,0.67,0.6,0.21,0.1,0.15,0.11,3.26,9.41,0.17,1.24,0.4,0.49,1.25,3.27,1.15,0.02,0.02,20.18
"1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel.txt",EN_NOV_3P,147219,24.85,19.81,81.02,0.03,56.36,11.85,7.67,0.85,0.55,0.7,3.98,1.59,4.18,11.44,9.55,6.15,4.74,3.03,1.02,3.33,15.5,6.48,1.15,2.34,0.68,0.03,10.93,0.29,0.27,0.79,5.58,2.84,2.69,0.6,0.97,0.68,13.29,1.79,0.99,0.99,1.9,0.98,0.8,4.94,1.77,3.34,1.17,1.3,0.64,2.09,1.5,0.33,0.11,0.2,12.94,2.11,6.29,4.59,0.79,1.4,0.56,0.15,0.23,0.42,0.32,0.04,0.11,0.15,3.27,8.69,0.12,1.05,0.3,0.48,0.49,2.82,0.4,0.01,0.04,17.46
"1826_Disraeli,Benjamin_VivianGrey_Novel.txt",EN_NOV_3P,192967,16.78,20.19,82.62,0.01,56.9,13.83,9.28,2.59,0.65,1.62,3.77,0.66,4.54,8.95,11.25,7.74,4.55,4.56,1.11,3.46,13.78,5.99,1.65,2.55,0.98,0.02,11.85,0.31,0.36,1.54,5.89,4.06,1.79,0.38,0.49,0.55,14.92,1.99,0.96,1.33,2.31,1.69,0.54,4.73,2.28,2.87,1.19,1.05,0.5,1.56,0.81,0.32,0.13,0.33,11.52,1.53,5.35,4.59,1.22,1.55,0.87,0.5,0.39,0.62,0.16,0.16,0.15,0.08,4.38,8.45,0.2,1.51,0.55,1.04,1,3.21,0.74,0.02,0.02,20.71
"1836_Child,Lydia_Philothea_Novel.txt",EN_NOV_3P,73213,20.55,22.46,80.16,0.08,53.63,12.83,8.89,2.07,0.34,1.13,4.44,0.92,3.94,8.92,10.25,6.24,5.03,3.46,0.95,2.6,15.07,6.26,1.14,2.05,0.64,0.01,11.98,0.57,0.31,0.75,6.51,4.59,1.85,0.49,0.45,0.52,13.85,2.01,1.07,1.19,1.65,1.41,0.65,4.93,1.83,3.47,1.21,1.51,0.54,1.88,1.07,0.37,0.24,0.21,11.52,2.01,5.27,4.36,0.66,1.35,0.82,0.69,0.4,1.09,0.33,0.06,0.08,0.16,4.33,8.06,0.26,1.59,0.26,0.28,0.54,2.86,0.46,0.01,0,18.42
"1837_Disraeli,Benjamin_Venetia_Novel.txt",EN_NOV_3P,160908,17.85,20.94,84,0,57.64,16.06,11.48,2.52,0.56,1.48,5.94,0.97,4.58,7.38,12.16,8.02,5.92,3.88,1.34,3.89,12.99,6.53,1.84,2.33,0.67,0.01,14.84,0.88,0.3,1.37,6.42,4.21,2.11,0.51,0.49,0.7,16.08,2.09,1.04,1.63,2.2,2.02,0.58,5.25,2.34,2.96,0.88,1.37,0.54,1.89,0.78,0.66,0.3,0.16,11.59,1.59,4.95,5.11,0.96,1.18,0.6,0.52,0.23,0.86,0.18,0.17,0.14,0.1,4.39,9.14,0.11,1.56,0.51,0.71,0.55,0.03,4.23,0.01,0,21.01
"1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel.txt",EN_NOV_3P,169506,21.85,19.88,85.82,0.01,58.57,16.16,10.72,2.98,0.4,1.82,4.83,0.7,5.44,6.63,12.71,8.04,4.69,5,1.72,3.79,14.55,6.88,1.71,2.79,0.81,0.01,13.67,0.73,0.23,1.73,6.5,4.28,2.16,0.51,0.42,0.78,16.64,2.45,1.28,1.79,2.73,1.88,0.65,4.55,2.57,2.68,0.92,1.04,0.64,1.6,0.9,0.37,0.2,0.16,11.38,1.87,5.21,4.21,0.92,1.26,0.44,0.64,0.49,0.98,0.12,0.12,0.14,0.08,3.73,8.43,0.25,0.98,0.53,0.69,0.88,3.14,0.65,0.03,0,18.97
