filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"1782_Burney,Fanny_Cecilia_Novel.txt",EN_NOV_3P,174818,174818,24.07,84.41,0,57.32,15.04,10.93,0.34,0.03,0.14,9.66,0.77,4.11,6.27,9.73,5.88,6.2,1.76,0.79,4.03,15.81,7.4,1.64,3.2,0.56,0,16.06,0.4,0.19,2,6.75,3.65,3.01,1.03,0.57,0.93,17.03,2.34,1.51,1.59,2.2,1.33,0.83,5.64,2.31,1.87,0.76,0.62,0.43,1.25,0.51,0.51,0.09,0.16,13.14,2.23,5.22,5.55,1,1.8,0.45,0.66,0.49,0.24,0.13,0.02,0.08,0.01,2.41,12.08,0.38,1.26,0.06,0.12,0.23,0.02,0.22,0.01,0,16.81
"1786_Beckford,William_Vathek_Novel.txt",EN_NOV_3P,26663,26663,23.31,77.25,0,55.64,11.63,7.23,0,0.02,0,4.93,2.29,4.4,10.99,6.93,4.51,4.99,0.71,0.32,2.4,17.25,5.78,1.18,2.81,1.03,0.03,10.05,0.29,0.08,0.47,4.93,2.82,2.06,0.57,0.4,0.7,12.75,1.44,0.67,0.69,1.26,1.19,0.58,5.63,1.45,2.74,1.04,0.73,0.62,2.13,1.28,0.35,0.15,0.41,13.05,2.19,6.97,3.87,0.54,1.24,0.67,0.32,0.2,0.47,0.2,0.01,0.07,0.11,3.55,9.24,0.41,1.01,0,0.05,0.19,0,0.11,0.06,0,14.67
"1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",EN_NOV_3P,43646,43646,24.15,80.82,0,55.31,12.75,8.55,0.08,0.06,0.04,7.03,1.34,4.2,10.94,7.65,5.01,5.65,0.88,0.47,2.9,16.22,6.03,0.84,1.89,0.38,0,11.59,0.31,0.12,0.51,6.95,3.41,3.4,1.34,0.56,1.06,14.07,2.46,1.09,0.94,1.73,0.84,0.72,5.46,1.28,2.33,0.8,0.89,0.42,1.6,0.79,0.48,0.23,0.11,13.13,2.05,6.03,4.95,0.7,1.77,0.55,0.74,0.1,0.59,0.24,0.01,0.07,0.03,4.09,8.44,0.05,0.97,0.01,0.08,0.13,0,0.27,0,0.01,14.06
"1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel.txt",EN_NOV_3P,202910,202910,22.08,80.7,0,56.52,13.47,8.47,0.08,0.02,0.05,7.35,0.97,5,9.45,8.93,5.52,6.28,1.1,0.65,3.52,16.19,7.08,0.94,2.15,0.43,0,11.84,0.39,0.16,0.4,5.53,2.67,2.72,0.96,0.39,1.02,14.45,2.23,0.96,1.18,2.13,0.8,0.66,5.42,1.72,2.88,1.15,1.05,0.5,1.32,0.65,0.41,0.13,0.15,14.24,2.33,6.39,5.4,0.6,1.24,0.69,0.72,0.16,0.46,0.24,0.02,0.09,0.03,2.96,13.15,0.1,1.13,0.02,0.08,0.34,0,0.68,0.01,0,18.48
"1794_Rowson,Susanna_CharlotteTemple_Novel.txt",EN_NOV_3P,21007,21007,22.27,82.52,0,54.53,13.74,10.15,0.59,0.18,0.41,8.2,0.78,3.58,8.39,9.52,5.92,5.12,2.33,1.17,2.84,14.95,6.6,1.1,2.19,0.68,0,14.81,0.64,0.37,1.7,7.25,4.31,2.88,0.76,0.55,1.08,14.57,2.01,0.96,1.49,1.72,1.07,0.65,5.31,1.75,2.28,0.95,0.52,0.72,2.54,1.47,0.66,0.32,0.12,12.35,2.19,5.46,4.65,0.82,1.32,0.45,0.68,0.47,0.86,0.23,0.06,0.1,0.04,3.61,8.73,0.94,1.32,0.09,0.12,0.27,0.06,0.52,0.05,0,15.76
"1795_Lewis,Matthew_TheMonk_Novel.txt",EN_NOV_3P,75943,75943,22.74,81.37,0,55.79,15.74,11.71,2.23,0.14,0.18,8.29,0.87,4.02,8.69,8.57,5.33,5.9,1.25,0.58,2.47,15.52,5.78,1.19,2.21,0.61,0.01,12.58,0.39,0.18,0.43,6.43,3.26,3.12,1.06,0.71,0.84,14.07,2.36,1.11,1.12,1.6,1.04,0.8,5.07,1.53,2.68,1.02,0.83,0.76,2.26,1.37,0.45,0.3,0.17,12.78,2,6.22,4.44,0.77,1.67,0.5,0.62,0.25,1.01,0.33,0.03,0.09,0.01,4.67,6.21,1,1.12,0.03,0.2,0.24,0,1.03,0.01,0.01,14.54
"1796_Bonhote,Elizabeth_BungayCastle_Novel.txt",EN_NOV_3P,59642,59642,21.57,84.09,0,57.68,13.36,9.09,0.23,0.15,0.07,7,1.64,4.27,8.39,10.09,6.69,6.04,1.73,1,2.91,16.26,7.4,1.35,3.27,0.69,0.01,13.31,0.77,0.44,0.84,7.78,4.94,2.81,1.02,0.52,0.77,16.65,2.39,1.27,1.8,2.39,1.29,0.84,5.54,2.02,1.92,0.82,0.45,0.57,1.89,0.79,0.6,0.34,0.17,11.56,1.86,5.15,4.42,0.88,1.8,0.6,0.58,0.34,0.56,0.24,0.03,0.08,0.05,2.6,8.82,0.18,0.73,0.03,0.07,0.3,0.03,0.3,0.03,0.03,13.15
"1798_Wollstonecraft,Mary_Maria_Novel.txt",EN_NOV_3P,12544,12544,22.79,81.54,0,55.53,11.98,8.2,0.4,0.11,0.04,6.74,0.92,3.78,9.01,9.41,6.11,5.47,2.16,0.72,3.3,16.99,6.03,1.24,2.29,0.69,0.01,11.42,0.33,0.15,0.97,7.13,3.87,3.06,0.98,0.52,1.04,15.97,2.95,1.31,1.53,2.52,1.27,0.73,4.52,2.08,2.3,0.73,0.45,0.85,2.34,1.05,0.73,0.45,0.14,10.91,1.61,4.78,4.5,1.09,1.55,0.64,0.48,0.26,0.45,0.24,0.01,0.07,0.1,2.97,9.9,0.07,1.31,0.17,0.13,0.32,0.21,0.45,0.2,0.14,16.05
"1801_Edgeworth,Maria_Belinda_Novel.txt",EN_NOV_3P,70962,70962,22.87,81.58,0,54.23,14.8,9.98,0.33,0.07,0.06,8.99,0.54,4.81,6.75,10.35,6.34,6.88,1.75,0.67,2.67,15.56,5.93,1.3,2.51,0.59,0.01,16.24,0.39,0.23,3.32,6.02,3.72,2.23,0.62,0.49,0.73,14.9,2.39,1.03,1.39,2,1.32,0.59,4.75,1.97,2.46,1,0.76,0.63,2,0.84,0.52,0.45,0.2,12.15,1.95,5.77,4.33,0.88,1.52,0.68,0.75,0.32,0.5,0.1,0.03,0.07,0.03,4.98,8.6,0.52,1.41,0.03,0.04,0.35,0.06,1.05,0.02,0.01,17.08
"1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",EN_NOV_3P,23837,23837,22.32,80.38,0,56.46,14.49,10.16,2.15,0.81,1.29,4.84,1.08,4.32,8.01,10.23,6.83,4.28,3.76,1.19,3.15,14.15,6.54,1.39,2.77,1.14,0.02,11.76,0.27,0.29,0.64,6.39,3.96,2.39,0.76,0.64,0.58,14.72,1.82,1.02,1.33,1.95,1.55,0.6,5.4,2,2.44,1.03,0.8,0.56,2.29,1.46,0.47,0.27,0.1,12.29,1.9,5.67,4.76,0.93,1.67,0.57,0.42,0.39,0.56,0.36,0.21,0.18,0.1,5.79,7.52,0.16,1.25,0.6,0.39,0.34,0.01,0.74,0.23,0,17.27
