Filename,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,date
00000001.txt,71474,16.87,18.97,86.21,0,58.49,15.63,10.72,1.75,0.36,1.15,6.6,0.86,4.91,6.66,13.7,8.47,6.84,4.29,1.33,3.7,14.51,6.62,1.91,2.65,0.94,0.01,14.76,0.31,0.18,1.74,6.09,3.68,2.36,0.5,0.73,0.6,17.02,2.45,1.3,2.04,2.49,1.75,0.67,4.96,2.58,2.52,0.89,0.93,0.59,1.54,0.74,0.4,0.16,0.26,12.26,1.75,5.91,4.52,1.74,1.66,0.61,0.48,0.44,0.44,0.17,0.09,0.12,0.14,5.04,6.71,0.17,0.95,0.55,0.35,1.47,2.21,0.92,0.01,0,17.83,1880
00000037.txt,76623,14.66,17.48,86.64,0,59.37,18.99,13.24,3.37,0.41,2.12,6.68,0.65,5.75,6.49,15.52,8.83,7.47,6.01,1.25,3.91,13.51,5.45,1.77,2.05,0.85,0.02,15.42,0.36,0.34,1.15,6.35,4.48,1.83,0.4,0.37,0.57,15.29,2.9,1.09,1.78,2.51,1.57,0.48,3.98,2.31,3.47,1.36,1.41,0.57,1.16,0.6,0.27,0.16,0.14,12.36,1.94,5.73,4.62,0.53,0.92,0.52,0.39,0.39,0.21,0.06,0.24,0.18,0.09,5.69,6.46,0.01,1.09,0.62,0.52,3.56,4.67,1.88,0.01,0,23.63,1880
00000038.txt,14052,23.23,16.19,87.85,0.02,62.12,18.38,12.46,6.2,0.52,1.24,3.27,1.24,5.92,6.48,14.89,9.09,3.1,9.7,1.34,4.94,14.12,7.12,1.9,3.1,1.15,0.01,11.93,0.8,0.06,1.05,5.33,3.82,1.49,0.33,0.32,0.46,17.82,3.15,0.95,2.26,3.34,1.99,0.48,4.64,2.95,2.36,0.88,0.93,0.45,0.88,0.4,0.32,0.04,0.14,10.92,1.59,5.36,3.99,1,1.18,0.87,0.63,0.52,0.12,0.04,0.03,0.17,0.18,4.09,7.28,0.03,1.65,0.11,0.21,3.15,0.52,1.3,0.32,0,18.03,1880
00000039.txt,11899,12.46,15.93,88.98,0.01,61.74,21.51,16.2,7.55,0.39,2.45,5.49,0.33,5.3,7.02,16.6,9.88,7.82,6.91,1.21,4.1,11.96,5.34,1.92,2.21,0.99,0,14.66,0.78,0.35,0.82,5.95,4.09,1.82,0.45,0.5,0.39,15.4,2.91,1.24,1.72,2.21,1.83,0.46,3.74,2.28,3.62,1.55,1.63,0.41,0.97,0.59,0.24,0.11,0.03,12.47,1.5,5.41,5.57,0.33,0.71,0.32,0.45,0.35,0.29,0.24,0.39,0.15,0.24,6.86,6.87,0.04,1.22,1.13,0.5,4.42,7.34,1.74,0.03,0.79,29.73,1880
00000080.txt,154906,15.87,15.91,87.53,0.01,60.04,18.99,13.64,2.86,0.37,1.88,7.51,1.02,5.35,6.66,15.2,8.37,6.87,5.96,1.3,3.85,14.47,6.79,2.17,2.15,0.74,0.02,15.96,0.5,0.19,1.17,5.46,3.35,2.03,0.45,0.45,0.7,16.68,2.3,1.16,1.98,2.61,1.46,0.61,5.55,2.52,3.07,0.97,1.22,0.81,1.83,1.03,0.35,0.13,0.35,13.81,2.26,6.57,4.9,1.06,1.14,0.58,0.7,0.55,0.37,0.12,0.33,0.32,0.12,5.07,7.74,0.16,1.04,0.61,0.68,2.47,4.89,2.7,0,0.63,25.2,1881
00000083.txt,60823,20.25,17.46,85.04,0.03,59.1,15.27,10.06,1.89,0.35,1.04,5.52,1.26,5.2,8.18,12.9,7.72,6.12,4.74,1,3.86,15.01,7.58,1.96,2.38,0.82,0.07,12.94,0.36,0.15,1.58,5.48,3.5,1.92,0.42,0.42,0.66,16.36,2.21,1,1.69,2.65,1.34,0.49,5.83,2.58,2.96,1.24,0.93,0.62,1.62,0.9,0.35,0.23,0.22,13.61,1.83,7.01,4.72,0.7,0.92,0.77,0.64,0.36,0.5,0.14,0.19,0.22,0.15,4.26,8.01,0.09,1.17,0.43,0.32,2.34,2.93,1.92,0.02,0.48,21.15,1881
00000086.txt,117801,15.87,17.88,87.44,0,60.04,18.44,12.67,3.27,0.3,2.14,6.19,0.77,5.76,6.83,15.8,9.7,6.42,6.66,1.64,4.2,13.98,5.73,2.36,2.57,0.92,0.01,15.12,0.65,0.28,1.41,6.32,4.52,1.73,0.36,0.31,0.6,16,2.92,1.14,2.1,2.91,1.75,0.47,3.64,2.61,3.1,1.1,1.16,0.71,1.09,0.45,0.37,0.11,0.16,11.48,1.66,5.48,4.35,0.74,1.24,0.59,0.46,0.43,0.4,0.09,0.27,0.24,0.1,5.49,5.92,0.12,1.25,0.58,0.27,2.65,5.07,3.08,0.06,0,23.78,1881
00000107.txt,69598,20.64,17.47,82.04,0.08,55.04,13.62,9.31,1.75,0.22,1.3,5.14,0.9,4.31,8.68,10.26,6.07,5.52,2.83,1.04,3.18,13.45,7.72,1.39,2,0.96,0.02,11.5,0.37,0.12,0.99,5.65,3.23,2.38,0.52,0.63,0.77,14.95,1.5,0.86,0.93,1.58,1.11,0.7,6.68,2.1,3.05,0.9,1.27,0.68,2.44,1.55,0.46,0.14,0.34,13.66,2.1,6.3,5.06,0.8,1.71,0.61,0.43,0.64,0.73,0.29,0.18,0.09,0.07,3.77,7.93,0.13,1.35,0.48,0.85,5.11,2.59,1.26,0.06,0.03,22.4,1881
00000130.txt,132564,14.7,19.05,85.25,0,58.09,17.37,12.26,2.91,0.32,1.7,6.7,0.63,5.11,7.07,14.14,8.33,6.65,5.34,1.29,3.29,13.51,5.95,1.69,2.11,0.94,0.03,14.19,0.27,0.29,1.15,6.51,4.21,2.23,0.47,0.42,0.87,15.43,2.59,1.08,1.74,2.59,1.52,0.47,4.5,2.45,3.61,1.42,1.23,0.66,1.6,0.94,0.35,0.18,0.17,12.03,1.66,5.82,4.46,0.74,1.07,0.61,0.37,0.49,0.48,0.15,0.17,0.12,0.11,5.44,7.68,0.07,0.91,0.64,0.78,1.82,4.48,1.61,0.02,0,22.9,1882
00000183.txt,111544,18.17,7.67,51.42,0.08,28.5,10.31,9.2,2.69,0.16,1.25,5.04,0.07,1.11,2.92,9.04,4.66,2.64,5.51,0.36,1.59,6.14,1.96,1.51,1.35,0.68,0.08,11.32,1.41,0.25,1.33,3.34,1.8,1.53,0.13,0.39,0.68,6.41,0.74,0.74,0.28,0.76,0.65,0.36,2.23,0.65,2.72,1.1,0.84,0.47,1.52,0.89,0.21,0.07,0.4,12.22,2.38,6.37,3.11,0.21,0.46,0.45,0.92,0.2,0.22,0.12,0.08,1.58,0.11,4.52,9.05,0.67,0.73,0.39,0.98,4.68,3.65,16.18,0.18,0.46,40.13,1883
00000221.txt,43248,19.71,17.29,87.6,0,60.77,16.3,10.6,2.17,0.42,1.43,5.68,0.9,5.7,7.62,14.43,9,6.72,5.02,1.49,3.77,14.87,6.77,1.93,2.5,0.87,0.02,13.42,0.31,0.22,1.39,5.71,3.25,2.41,0.4,0.28,1.34,16.58,2.72,1,2,2.86,1.63,0.51,4.39,2.81,2.67,1.15,0.84,0.48,2.26,1,0.77,0.45,0.06,13.01,1.82,5.6,5.43,0.68,0.97,0.36,0.73,0.31,0.63,0.45,0.12,0.09,0.14,4.48,7.81,0.05,0.39,0.42,0.19,1.38,2.27,0.69,0,0.03,17.24,1884
00000241.txt,45405,17.65,16.8,77.79,0.02,51.51,13.55,9.73,2.71,0.23,1.13,4.75,0.91,3.82,8.83,11.38,6.62,5.81,3.96,0.79,2.77,12.88,6.17,1.56,1.87,0.69,0.13,12.48,1.1,0.2,1.29,5.03,2.76,2.21,0.47,0.54,0.73,12.63,1.52,1.04,1.05,1.74,0.98,0.46,4.75,1.74,3.2,1.21,1.19,0.62,1.91,1.17,0.38,0.12,0.3,13.21,2.2,6.76,4.16,0.7,0.89,0.4,0.49,0.43,0.43,0.27,0.18,0.61,0.15,4.92,7.99,0.05,0.7,0.38,0.52,3.19,3.44,6,0.03,0.34,26.43,1884
00000243.txt,37830,15.29,17.92,83.37,0,56.76,16.51,12.05,2.07,0.24,1.88,7.21,0.65,4.46,8.07,12.09,6.93,6.28,4.1,0.9,3.57,13.81,6.51,1.96,1.79,0.96,0.03,14.04,0.25,0.21,0.88,5.34,2.52,2.79,0.63,0.59,1.05,14.69,2.15,0.8,1.27,2.24,1,0.86,5.01,2.71,3.8,1.32,1.42,0.89,2.5,1.68,0.36,0.16,0.32,14.27,2.3,6.78,5.22,0.68,0.96,0.61,0.31,0.34,0.35,0.21,0.2,0.12,0.17,5.15,7.7,0.06,0.73,0.84,0.64,3.28,5.03,2.08,0.02,0.01,24.55,1884
00000244.txt,44541,16.54,19.32,82.02,0.01,55.59,14.67,9.98,1.55,0.27,1.49,5.86,0.81,4.7,9.32,11.05,6.44,5.92,3.58,0.9,3.36,14.06,6.2,1.59,1.89,0.92,0.02,13.14,0.59,0.25,1.28,4.82,2.61,2.16,0.57,0.39,0.71,14.52,2.31,0.88,1.22,2.34,0.95,0.76,4.97,2.4,3.63,1.32,1.33,0.85,1.96,1.28,0.45,0.12,0.15,13.35,2.12,6.2,5.06,0.78,1.07,0.49,0.48,0.57,0.49,0.2,0.14,0.15,0.19,4.95,7.69,0.07,0.6,0.64,0.55,2.19,4.02,1.86,0.01,0,21.93,1884
00000253.txt,145035,23.62,15.43,87.54,0.01,58.28,14.03,9.41,2.19,0.45,0.85,4.82,1.11,4.62,8.01,14.51,8.52,7.44,4.74,1.05,4.02,14.12,7.49,1.51,2.98,1.06,0.01,12.4,0.63,0.36,1.27,5.76,3.95,1.77,0.35,0.28,0.74,16.61,2.21,1.02,1.8,2.79,1.55,0.65,5.81,2.22,2.92,1.22,0.92,0.67,1.71,0.62,0.74,0.09,0.27,14.95,2.24,6.43,6.22,1.33,1.27,0.48,0.92,0.53,0.29,0.19,0.06,0.16,0.14,3.96,6.11,0.03,0.74,0.16,0.15,1.67,1.91,3.36,0.01,0.11,17.59,1884
