"","BOOK_ID","FILENAME","LIBRARIES","TITLE","AUTH_LAST","AUTH_FIRST","AUTH_ID","WRITTEN_AS","PUBL_CITY","PUBLISHER","PUBL_DATE","SOURCE","NATIONALITY","GENRE","CLEAN."
"1",1,"00000001.txt",152,"Democracy","Adams","Henry","A_00017",NA,"New York","Henry Holt & Co.",1880,"g","American","","c"
"7",37,"00000037.txt",198,"Confidence","James","Henry","A_01780",NA,"Boston/Cambridge","""Houghton, Osgood & Co.  The Riverside Press""",1880,"g","American","","c"
"8",38,"00000038.txt",92,"A bundle of letters","James","Henry","A_01780",NA,"Boston","Loring",1880,"g","American","","c"
"9",39,"00000039.txt",70,"The diary of a man of fifty","James","Henry","A_01780",NA,"New York","Harper & Bros.",1880,"g","American","","c"
"16",80,"00000080.txt",67,"A modern instance","Howells","William Dean","A_01716",NA,"Boston","Houghton Mifflin Co.",1881,"g","American","","c"
"17",83,"00000083.txt",34,"A chance acquaintance","Howells","William Dean","A_01716",NA,"Boston","Houghton Mifflin Co.",1881,"g","American","","c"
"18",86,"00000086.txt",56,"The portrait of a lady","James","Henry","A_01780",NA,"Boston","Houghton Mifflin Co.",1881,"g","American","","c"
"21",107,"00000107.txt",128,"The prince and the pauper","Twain","Mark","A_03428",NA,"New York","Harper & Bros.",1881,"g","American","","c"
"24",130,"00000130.txt",39,"Roderick Hudson","James","Henry","A_01780",NA,"Boston","Houghton Mifflin Co.",1882,"g","American","","c"
"32",183,"00000183.txt",56,"Nights with Uncle Remus","Harris","Joel Chandler","A_01559",NA,"Boston/Cambridge","Houghton Mifflin Co.",1883,"g","American","","c"
"42",221,"00000221.txt",55,"Miss Ludington's sister","Bellamy","Edward","A_00239",NA,"Boston","J.R. Osgood",1884,"g","American","","c"
"45",241,"00000241.txt",152,"Mingo","Harris","Joel Chandler","A_01559",NA,"Boston","James R. Osgood & Co.",1884,"g","American","","c"
"46",243,"00000243.txt",127,"In the Carquinez woods","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1884,"g","American","","c"
"47",244,"00000244.txt",57,"On the frontier","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1884,"g","American","","c"
"51",253,"00000253.txt",283,"A country doctor","Jewett","Sarah Orne","A_01810",NA,"Boston","Houghton Mifflin Co.",1884,"g","American","","c"
"56",309,"00000309.txt",141,"By shore and sedge","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1885,"g","American","","c"
"57",310,"00000310.txt",128,"Maruja","Harte","Bret","A_01577",NA,"Boston/New York/Cambridge","Houghton Mifflin Co.",1885,"g","American","","c"
"1179",4763,"00004763.txt",180,"Rise of Silas Lapham","Howells","William Dean","A_01716",NA,"Boston","Ticknor & Co",1885,"k","American","REALISM","c"
"67",381,"00000381.txt",141,"The Bostonians","James","Henry","A_01780",NA,"New York/London","Macmillan Co.",1886,"g","American","","c"
"69",401,"00000401.txt",55,"Dyke Darrel: the railroad detective: or: The crime of the midnight express","Pinkerton","Frank","A_02755",NA,"Chicago","F.C. Laird",1886,"g","American","DET","c"
"81",449,"00000449.txt",56,"The crusade of the Excelsior","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1887,"g","American","","c"
"82",450,"00000450.txt",27,"Sally Dows","Harte","Bret","A_01577",NA,"New York","P.F. Collier & Son",1887,"g","American","","c"
"86",475,"00000475.txt",59,"Jim Cummings: or: The great Adams Express robbery","Pinkerton","Frank","A_02755",NA,"Chicago","Laird & Lee",1887,"g","American","DET","c"
"92",515,"00000515.txt",58,"The Argonauts of North Liberty","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1888,"g","American","","c"
"93",521,"00000521.txt",51,"Annie Kilburn","Howells","William Dean","A_01716",NA,"New York","Harper & Bros.",1888,"g","American","","c"
"94",524,"00000524.txt",135,"The Aspern papers","James","Henry","A_01780",NA,"New York/London","Macmillan Co.",1888,"g","American","","c"
"103",606,"00000606.txt",57,"Cressy","Harte","Bret","A_01577",NA,"Boston","Houghton Mifflin Co.",1889,"g","American","","c"
"115",671,"00000671.txt",47,"At fault","Chopin","Kate","A_00646",NA,"St. Louis","Nixon-Jones Print. Co.",1890,"g","American","","c"
"116",679,"00000679.txt",107,"The witch of Prague","Crawford","F. Marion","A_00778",NA,"New York","P.F. Collier & Son",1890,"g","American","FANT","c"
"120",698,"00000698.txt",139,"A ward of the Golden Gate","Harte","Bret","A_01577",NA,"Boston/New York","Houghton Mifflin Co.",1890,"g","American","","c"
"121",699,"00000699.txt",70,"A waif of the plains","Harte","Bret","A_01577",NA,"London","Chatto & Windus",1890,"g","American","","c"
"124",711,"00000711.txt",218,"The tragic muse","James","Henry","A_01780",NA,"Boston/New York","Houghton Mifflin Co.",1890,"g","American","","c"
"126",714,"00000714.txt",142,"Strangers and wayfarers","Jewett","Sarah Orne","A_01810",NA,"Boston/New York","Houghton Mifflin Co.",1890,"g","American","","c"
"1180",4764,"00004764.txt",3,"A Hazard of New Fortunes","Howells","William Dean","A_01716",NA,"New York","Harper & Bros",1890,"k","American","REALISM","c"
"130",766,"00000766.txt",168,"Khaled: a tale of Arabia","Crawford","F. Marion","A_00778",NA,"New York/London","Macmillan Co.",1891,"g","American","FANT","c"
"132",790,"00000790.txt",30,"A first family of Tasajara","Harte","Bret","A_01577",NA,"New York/London","Macmillan Co.",1891,"g","American","","c"
"133",792,"00000792.txt",150,"The quality of mercy","Howells","William Dean","A_01716",NA,"New York","Harper & Bros.",1891,"g","American","","c"
"134",822,"00000822.txt",225,"Men of iron","Pyle","Howard","A_02827",NA,"New York","Harper & Bros.",1891,"g","American","FANT","c"
"139",846,"00000846.txt",57,"The goddess of Atvatabar","Bradshaw","William Richard","A_00371",NA,"New York","J.F. Douthitt",1892,"g","American","FANT","c"
"142",877,"00000877.txt",66,"A spoil of office","Garland","Hamlin","A_01306",NA,"Boston/Mass.","s. : Arena Pub. Co.",1892,"g","American","","c"
"143",879,"00000879.txt",56,"A little Norsk: or: Ol' pap's Flaxen","Garland","Hamlin","A_01306",NA,"New York","D. Appleton & Co.",1892,"g","American","","c"
"146",901,"00000901.txt",153,"Daisy Miller","James","Henry","A_01780",NA,"New York","Harper & Bros.",1892,"g","American","","c"
"147",902,"00000902.txt",94,"The lesson of the master","James","Henry","A_01780",NA,"New York/London","Macmillan Co.",1892,"g","American","","c"
"149",930,"00000930.txt",327,"The American claimant","Twain","Mark","A_03428",NA,"New York","""Charles L. Webster & Co., Press of Jenkins & McCowan""",1892,"g","American","","c"
"158",980,"00000980.txt",124,"Susy: a story of the plains","Harte","Bret","A_01577",NA,"Boston/New York","Houghton Mifflin Co.",1893,"g","American","","c"
"160",986,"00000986.txt",240,"The coast of Bohemia","Howells","William Dean","A_01716",NA,"New York","Harper & Bros.",1893,"g","American","","c"
