filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt",CONT_HIST,115601,26.02,25.02,76.14,0.3,51.31,8.03,5.09,0.11,0.14,0.09,2.87,1.89,2.94,11.04,6.42,3.73,4.21,1.13,0.48,2.5,16.88,6.59,0.81,2.68,1.21,0.02,9.32,0.79,0.07,0.86,4.35,2.09,2.22,0.38,1.16,0.38,13.71,1.56,1.45,0.97,1.68,0.97,0.72,5.33,1.6,1.02,0.37,0.2,0.36,1.32,0.47,0.5,0.08,0.34,14.1,1.93,7.41,4.46,1.67,2.37,0.8,0.4,0.47,0.81,0.5,0,0.1,0.08,3.86,6.51,0.08,0.19,0.04,0.01,0.49,0.56,0.55,0.02,0.01,12.13
"2006_Grandin,Greg_EmpiresWorkshop_HIST.txt",CONT_HIST,72416,32.56,33.54,72.33,0.63,44.35,5.33,1.86,0.05,0.21,0.06,0.74,0.81,3.47,9.37,5.95,3.55,3.34,1.71,0.43,2.12,16.47,5.64,0.66,2.05,1.15,0.03,5.25,0.05,0.07,0.46,5.28,2.79,2.45,0.34,1.47,0.28,13.13,1.39,1.85,0.8,1.1,0.83,1.18,4.88,1.41,0.98,0.28,0.23,0.36,0.87,0.29,0.41,0.1,0.1,13.31,1.7,7.67,3.56,4.81,2.9,0.53,0.32,1.8,0.69,0.56,0.01,0.06,0.12,4.21,7.01,0.11,0.07,0.02,0,1.76,2.8,1.34,0.12,0.06,16.86
"2009_Edsel,RobertM_TheMonumentsMen_HIST.txt",CONT_HIST,129562,18.06,23.02,77.87,0.74,52.18,8.98,5.7,0.77,0.27,0.3,3.26,1.09,3.28,10.12,10.7,7.06,7.15,2.14,0.63,3.11,14.76,5.17,1.31,2.34,1.57,0.03,8.77,0.23,0.12,0.78,4.27,2.26,1.94,0.26,0.88,0.46,13.11,1.84,0.93,1.14,1.81,1.19,0.8,4.24,1.73,1.63,0.65,0.37,0.46,1.06,0.45,0.33,0.07,0.24,15.02,1.94,7.74,5.16,2.09,1.84,1.15,0.48,0.39,0.39,0.44,0.03,0.06,0.11,5.71,7.16,0.21,0.26,0.21,0.03,1.08,1.79,1.15,0.15,0.02,17.48
"2009_Jones,Michael_TheRetreat_HIST.txt",CONT_HIST,106853,17.18,25.31,76.18,0.71,49.87,9.05,6.11,0.76,2.31,0.08,1.68,1.28,2.94,9.1,10.4,6.88,6.16,2.92,0.59,3.07,14.28,5,0.8,2.22,1.06,0.03,9.14,0.05,0.16,0.51,5.49,1.71,3.73,0.53,1.97,0.68,13.73,1.53,1.16,0.92,1.41,1,0.9,5.62,1.29,2.18,0.78,0.48,0.8,1.28,0.55,0.44,0.02,0.3,16.21,2.51,8.14,5.47,1.04,2,0.5,0.22,0.19,0.29,0.5,0.01,0.06,0.06,5.96,5.37,0.68,0.07,0.08,0.1,2.22,0.17,3.98,0.02,0,18.17
"2009_Korda,Michael_WithWingsLikeEagles_HIST.txt",CONT_HIST,89555,37.49,25,77.34,0.91,52.43,7.29,3.34,0.17,0.1,0.07,1.91,1.08,3.94,9.76,9.35,6.6,5.91,1.65,0.86,2.98,16.55,6.24,1.21,2.8,1.36,0.02,6.71,0.05,0.15,0.35,6.26,2.18,4.03,0.37,2.47,0.56,14.17,1.42,1.47,1.48,2.11,1.24,0.8,4.78,1.75,1.18,0.46,0.2,0.42,0.86,0.34,0.38,0.02,0.13,14.78,1.81,8.16,4.66,1.68,2.2,0.65,0.26,0.32,0.54,0.43,0.02,0.11,0.1,2.76,7.17,0.06,0.39,0.03,0.03,1.66,1.19,0.9,0.4,0.09,14.38
"2009_Senor,Dan_StartUpNation_HIST.txt",CONT_HIST,68845,21.31,27.36,76.65,0.96,49.71,7.37,3.28,0.21,0.53,0.41,1.18,0.95,4.08,9.16,9.93,6.68,4.35,4.24,0.62,3.17,14.87,5.53,1.07,2.73,1.98,0.01,6.72,0.14,0.09,0.53,3.59,1.85,1.71,0.28,0.76,0.32,13.65,1.83,1.83,1.22,1.76,1.04,0.5,4.24,1.97,1.12,0.29,0.39,0.26,0.71,0.21,0.36,0.01,0.14,14.66,1.83,7.73,4.85,5.09,2.7,0.64,0.27,1.76,0.41,0.24,0.01,0.06,0.13,5.07,6.27,0.26,0.19,0.16,0.01,2.28,1.95,1.83,0.17,0.17,17.57
"2010_Alexander,Michelle_TheNewJimCrow_HIST.txt",CONT_HIST,105097,27.66,28.02,76.79,0.6,48.48,6.96,2.85,0.25,0.59,0.25,0.57,1.18,4.12,8.41,8.99,6.62,2.88,4.41,0.8,2.83,15.21,5.82,1.24,2.97,1.05,0.01,6.91,0.24,0.09,1.16,4.71,2.06,2.6,0.44,1.24,0.4,15.2,2.17,1.94,1.21,2.54,1.6,1.11,3.94,2.14,2.04,1.6,0.21,0.17,1.46,0.18,1.12,0.06,0.12,11.96,1.31,6.03,3.95,3.41,2.2,0.54,0.43,1.01,0.15,0.42,0.02,0.1,0.11,4.29,5.67,0.15,0.15,0.14,0.01,1.25,1.43,0.71,0.2,0.06,13.76
"2010_Asbridge,Thomas_TheCrusades_HIST.txt",CONT_HIST,219119,28.31,28.41,74,0.83,48.16,6.01,3,0.07,0.09,0.04,2.01,0.81,3.01,10.16,7.07,4.72,4.67,1.2,0.58,2.6,17.13,5.59,0.51,2.01,1.25,0.02,5.54,0.21,0.05,0.34,5.2,2.45,2.7,0.46,1.42,0.45,12.61,1.41,1.49,0.88,1.68,1.06,0.88,4.56,1.3,0.76,0.28,0.14,0.26,1.39,0.47,0.45,0.04,0.47,14.54,1.89,7.51,4.99,1.44,2.82,0.31,0.12,0.66,2.24,0.47,0.01,0.05,0.07,3.9,6.2,0.15,0.18,0.03,0,2.62,0.01,2.33,0.3,0.01,14.88
"2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt",CONT_HIST,88168,18.88,26.27,78.68,0.62,48.58,8.16,4.31,0.18,0.07,0.09,2.93,1.04,3.85,10.11,9.72,6.22,6.5,1.56,0.62,2.88,14.01,4.86,0.91,2.49,1.56,0.04,7.79,0.43,0.16,0.74,4.71,1.94,2.73,0.37,1.43,0.39,13.22,2.15,1.49,1.25,1.74,1.12,0.8,3.9,1.4,2.01,0.83,0.33,0.51,4.61,1.28,2.44,0.06,1.29,13.3,1.62,6.71,4.75,3.21,1.67,1.14,0.65,0.82,0.15,1.41,0.05,0.1,0.11,5.35,6.69,0.25,0.28,0.1,0.01,1.47,1.22,1.49,0.17,0.11,16.73
"2010_Gamble,Bruce_FortressRabaul_HIST.txt",CONT_HIST,132461,18.7,26.77,70.97,0.89,47.11,5.29,3.01,0.24,0.25,0.04,1.54,0.95,2.28,10.58,7.34,4.73,5.35,1.1,0.4,2.49,15.26,4.71,0.78,2.46,2.69,0.03,5.42,0.06,0.03,0.28,4.85,1.69,3.11,0.27,1.73,0.68,11.41,1.21,1.46,0.75,1.4,0.88,0.61,4.01,1.38,1.15,0.43,0.18,0.45,0.99,0.43,0.38,0.03,0.18,16.2,2.52,8.06,5.53,1.51,2.09,0.56,0.1,0.26,0.14,0.4,0.02,0.08,0.05,5.39,6.14,0.16,0.09,0.02,0.02,2.29,1.34,0.88,0.19,0.04,15.76
