Filename,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt",HIST,109327,109327,24.71,75.65,0,51.19,7.67,4.78,0.05,0.09,0.01,2.82,1.81,2.89,11.21,5.98,3.55,4.03,0.92,0.45,2.54,17.1,6.59,0.78,2.68,1.26,0.02,8.9,0.82,0.06,0.84,4.24,2.01,2.2,0.37,1.16,0.38,13.6,1.49,1.46,0.97,1.68,0.95,0.73,5.28,1.6,0.92,0.35,0.14,0.35,1.25,0.41,0.51,0.07,0.33,14.2,1.95,7.52,4.41,1.7,2.41,0.82,0.41,0.48,0.78,0.5,0,0.1,0.06,3.74,6.47,0.08,0.16,0.02,0,0.25,0,0.55,0.01,0,11.31
"2006_Grandin,Greg_EmpiresWorkshop_HIST.txt",HIST,65041,65041,31.41,70.9,0,44.09,5.03,1.52,0,0.04,0.01,0.7,0.77,3.51,9.55,5.24,3.23,3.15,1.32,0.35,2.12,16.67,5.68,0.55,2.01,1.25,0.02,4.41,0.04,0.06,0.37,4.72,2.52,2.17,0.29,1.31,0.27,12.66,1.27,1.81,0.69,0.99,0.74,1.19,4.81,1.36,0.83,0.27,0.12,0.34,0.84,0.28,0.39,0.1,0.1,13.45,1.74,7.76,3.55,4.85,2.82,0.54,0.31,1.81,0.66,0.54,0.01,0.05,0.12,3.5,6.77,0.11,0.07,0.01,0,0.87,0,1.32,0.08,0.06,12.84
"2009_Edsel,RobertM_TheMonumentsMen_HIST.txt",HIST,113482,113482,22.2,76.65,0,51.48,8.19,5.11,0.43,0.14,0.1,3.35,1.09,3.07,10.47,9.47,6.37,6.94,1.34,0.54,3.03,14.98,5.26,0.85,2.3,1.67,0.02,8.15,0.24,0.12,0.78,3.99,2.07,1.85,0.25,0.85,0.44,12.77,1.71,0.91,1.02,1.73,1.12,0.79,4.3,1.68,1.44,0.65,0.18,0.47,1.07,0.46,0.33,0.06,0.24,15.48,2.01,8.01,5.29,2.1,1.85,1.18,0.5,0.39,0.41,0.43,0.02,0.06,0.11,5.42,7.05,0.23,0.27,0.14,0.01,0.56,0,1,0.11,0.01,14.91
"2009_Jones,Michael_TheRetreat_HIST.txt",HIST,104963,104963,24.28,76.15,0,50.26,8.81,5.82,0.72,2.28,0.07,1.48,1.27,2.98,9.26,10.04,6.93,5.8,2.93,0.59,3.11,14.5,5.08,0.78,2.26,1.1,0.03,8.6,0.05,0.16,0.52,5.49,1.71,3.74,0.52,1.98,0.69,13.61,1.31,1.14,0.93,1.41,1.01,0.91,5.65,1.3,2.02,0.8,0.28,0.81,1.3,0.56,0.45,0.02,0.31,16.31,2.55,8.35,5.32,1.04,1.98,0.5,0.23,0.19,0.28,0.51,0.01,0.05,0.06,5.94,5.34,0.69,0.07,0.07,0.08,1.68,0,2.55,0.02,0,16.46
"2009_Korda,Michael_WithWingsLikeEagles_HIST.txt",HIST,87078,87078,23.52,77.29,0,52.86,7.25,3.23,0.13,0.06,0.05,1.92,1.07,4.02,9.91,9.07,6.52,5.8,1.53,0.83,3.02,16.63,6.38,1.19,2.82,1.46,0.01,6.46,0.05,0.15,0.32,6.17,2.13,3.99,0.36,2.45,0.55,14.26,1.37,1.48,1.47,2.11,1.25,0.8,4.83,1.81,1.1,0.43,0.16,0.41,0.84,0.33,0.38,0.02,0.12,14.73,1.81,8.2,4.57,1.69,2.22,0.65,0.26,0.31,0.54,0.43,0.01,0.11,0.1,2.54,6.8,0.06,0.38,0.02,0.01,0.86,0,0.81,0.35,0.03,12.22
"2009_Senor,Dan_StartUpNation_HIST.txt",HIST,57955,57955,25.65,74.67,0,48.41,6.34,2.45,0.03,0.26,0.11,1.13,0.93,3.88,9.2,8.47,5.95,3.86,3.41,0.56,2.97,15.12,5.55,0.81,2.68,2.15,0,5.36,0.13,0.09,0.45,3.37,1.7,1.64,0.25,0.78,0.28,13.02,1.66,1.86,1.12,1.68,0.91,0.49,4.1,1.89,0.96,0.26,0.24,0.26,0.67,0.18,0.36,0.01,0.13,14.86,1.83,7.85,4.92,5.26,2.69,0.64,0.3,1.84,0.41,0.26,0.01,0.06,0.12,4.59,5.97,0.27,0.17,0.09,0,1.23,0,1.49,0.12,0.17,14.22
"2010_Alexander,Michelle_TheNewJimCrow_HIST.txt",HIST,98163,98163,26.48,76.38,0,48.47,6.65,2.54,0.18,0.53,0.17,0.51,1.15,4.1,8.46,8.52,6.46,2.68,4.18,0.78,2.84,15.32,5.9,1.15,3.01,1.15,0.01,6.32,0.24,0.09,1.12,4.61,2.04,2.52,0.42,1.22,0.4,15.08,2.03,1.94,1.19,2.56,1.61,1.08,3.94,2.17,1.95,1.59,0.15,0.16,1.47,0.16,1.14,0.06,0.13,12.09,1.3,6.1,4,3.5,2.18,0.56,0.43,1,0.14,0.44,0.02,0.11,0.1,3.89,5.53,0.15,0.15,0.11,0,0.69,0,0.53,0.15,0.06,11.4
"2010_Asbridge,Thomas_TheCrusades_HIST.txt",HIST,203406,203406,27.41,73.53,0,48.18,5.78,2.79,0.05,0.04,0.01,1.96,0.73,2.99,10.28,6.77,4.7,4.43,1.15,0.57,2.63,17.27,5.54,0.47,1.99,1.32,0.02,5.05,0.21,0.05,0.31,5.01,2.37,2.6,0.45,1.37,0.42,12.53,1.34,1.52,0.87,1.7,1.05,0.9,4.49,1.31,0.66,0.27,0.07,0.25,1.33,0.41,0.44,0.03,0.46,14.7,1.9,7.65,4.97,1.48,2.89,0.3,0.12,0.68,2.15,0.43,0.01,0.05,0.05,3.96,6.15,0.15,0.17,0.03,0,1.46,0,1.21,0.19,0,13.51
"2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt",HIST,81707,81707,24.65,77.06,0,47.75,7.63,3.91,0.01,0,0.03,2.87,1,3.71,10.28,8.43,5.42,6.04,1.16,0.55,2.86,13.97,4.9,0.56,2.45,1.71,0.04,7.02,0.45,0.17,0.7,4.51,1.85,2.63,0.35,1.39,0.38,12.74,1.95,1.45,1.17,1.61,1.06,0.77,3.94,1.33,1.94,0.87,0.2,0.52,4.61,1.32,2.39,0.06,1.29,13.49,1.64,6.84,4.78,3.24,1.65,1.13,0.68,0.81,0.13,1.41,0.04,0.11,0.1,5.18,6.54,0.27,0.29,0.08,0,0.77,0,1.5,0.15,0.09,15.01
"2010_Gamble,Bruce_FortressRabaul_HIST.txt",HIST,121436,121436,25.91,70.67,0,47.19,4.83,2.62,0.1,0.11,0.01,1.48,0.92,2.22,10.87,6.75,4.52,5.12,0.85,0.36,2.45,15.44,4.74,0.68,2.49,2.93,0.02,4.96,0.06,0.03,0.27,4.74,1.62,3.08,0.25,1.72,0.69,11.12,1.07,1.49,0.7,1.34,0.86,0.61,3.92,1.37,1.08,0.42,0.11,0.45,0.96,0.42,0.38,0.02,0.17,16.35,2.53,8.15,5.58,1.51,2.1,0.55,0.09,0.26,0.12,0.4,0.03,0.08,0.04,5.28,6,0.17,0.09,0.01,0.01,1.2,0,0.8,0.14,0.03,13.86
"2010_Gwynne,SC_EmpireoftheSummerMoon_HIST.txt",HIST,126834,126834,21.58,78.08,0,53.13,9.26,5.2,0.09,0.12,0.05,2.67,2.27,4.06,9.47,9.66,6.61,7.14,1.31,0.6,3.44,14.58,5.76,1.09,2.68,2.15,0.03,9.02,0.41,0.07,1.07,4.46,1.72,2.72,0.28,1.58,0.41,13.63,1.47,1.2,1.04,2.05,1.32,0.54,4.98,1.55,1.68,0.86,0.21,0.51,2.16,0.63,1.18,0.12,0.29,14.85,1.99,7.76,4.99,1.28,1.45,0.72,0.31,0.51,0.18,0.73,0.03,0.06,0.12,5.27,6.5,0.26,0.19,0.02,0,0.76,0,0.61,0.15,0.03,13.93
