filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2005_Cate,Curtis_FriedrichNietzshe_NF.txt",CONT_NON,264261,34.24,26.32,77.65,0.48,52.09,9.79,5.18,0.62,0.18,0.2,3.66,0.51,4.6,8.45,9.43,6.66,5.4,2.44,0.63,2.98,16.2,5.33,1,2.41,1.41,0.03,8.85,0.45,0.23,0.72,5.49,3.46,1.96,0.36,0.67,0.47,13.01,2.05,1.28,1.14,1.67,1.44,0.49,3.97,1.51,1.49,0.48,0.48,0.4,1.39,0.41,0.64,0.16,0.22,13,1.44,5.92,5.56,1.76,1.66,0.99,0.34,0.52,1.06,0.2,0.05,0.09,0.14,3.4,6.49,0.33,0.21,0.11,0.21,3.23,0.1,4.68,0.65,0,19
"2005_Coffey,Wayne_TheBoysofWinter_NF.txt",CONT_NON,76089,17.32,18.95,78.58,0.71,51.77,9.76,6.43,0.56,0.25,0.62,4.14,0.87,3.33,9.65,11.58,6.83,7.15,2.89,0.63,3.14,14.49,5.68,1.48,2.09,1.65,0.03,10.81,0.41,0.14,0.69,3.9,2.52,1.35,0.22,0.55,0.32,13.02,1.24,0.98,1.43,1.59,1.09,0.63,5.21,1.58,2.32,0.79,0.8,0.68,1.47,0.71,0.42,0.11,0.26,16.33,2.12,8.33,5.72,2.64,2.82,3.17,0.59,0.45,0.22,0.13,0.03,0.05,0.13,5.86,6.64,0.09,0.09,0.15,0.01,2.14,1.77,2.01,0.06,0.06,18.03
"2005_Dicker,John_UnitedStatesofWal-Mart_NF.txt",CONT_NON,58641,22.64,26.71,75.87,0.86,47.68,7.46,2.72,0.28,0.39,0.35,0.9,0.79,4.73,8.83,8.86,6.09,3.01,4.56,0.65,3.05,14.48,5.36,1.26,2.93,1.49,0.07,6.29,0.25,0.13,0.6,3.8,2.11,1.65,0.24,0.6,0.44,13.46,1.78,1.58,1.06,2.23,1.13,0.67,3.89,1.96,1.22,0.46,0.35,0.29,1.25,0.42,0.39,0.13,0.36,13.25,1.56,7.48,4.1,4.81,2.22,1.08,0.51,2.97,0.25,0.12,0.04,0.09,0.23,4.72,6.17,0.35,0.19,0.29,0.05,6.1,1.67,2.24,0.2,0.27,19.65
"2005_Fraser,Steve_EveryManaSpeculator_NF.txt",CONT_NON,229337,24.89,29.95,75.99,0.43,46.96,6.54,2.43,0.09,0.09,0.05,1.23,0.97,4.11,10.27,6.41,4.28,4,1.44,0.42,2.7,15.47,5.75,0.8,2.47,0.96,0.03,5.8,0.18,0.1,0.75,5.3,3.1,2.16,0.47,0.88,0.43,12.48,1.52,1.16,0.75,1.79,1.3,0.67,4.51,1.44,1.1,0.43,0.2,0.35,1.15,0.37,0.48,0.14,0.21,13.92,1.29,8.35,4.21,4.15,2.07,0.97,0.31,2.92,0.59,0.31,0.01,0.12,0.3,4.3,6.46,0.17,0.23,0.05,0.02,1.85,2.71,1.32,0.12,0.08,16.65
"2005_Gladwell,Malcom_Blink_NF.txt",CONT_NON,84663,16.37,20.45,84.32,0.39,56.26,12.98,7.38,1.19,1.15,1.05,2.42,1.58,5.6,8.78,12.98,8.2,5.16,6.3,0.66,3.81,13.79,6.56,1.28,2.81,1.86,0.03,10.8,0.16,0.11,0.96,4.28,2.26,1.95,0.36,0.75,0.26,17.28,2.97,1.93,1.42,2.76,1.42,0.44,5.28,2.3,2.89,1.23,0.88,0.58,2.01,1.01,0.57,0.11,0.34,13.17,1.84,6.71,4.5,2.45,1.89,1.31,0.32,0.52,0.18,0.13,0.06,0.11,0.21,8.28,5.61,0.24,0.07,0.59,0.06,1.25,1.63,2.2,0.12,0.05,19.71
"2005_Kramer,PeterD_AgainstDepression_NF.txt",CONT_NON,95712,16.21,29.51,81.91,0.13,50.68,9.42,4.8,1.52,0.81,0.31,1.44,0.72,4.62,8.48,10.05,7.12,3.07,5.11,1.14,2.79,14.74,5.67,1.02,2.68,1.07,0,7.32,0.32,0.12,0.9,8.31,2.7,5.35,1.02,0.54,3,16.07,2.81,2.12,1.37,3.22,0.97,0.69,4.17,2.31,1.45,0.52,0.36,0.39,3.67,0.86,2.52,0.19,0.17,11.46,1.35,5.91,4.09,2.37,2.18,0.64,0.21,0.42,0.29,0.32,0.03,0.11,0.19,5.85,6.85,0.21,0.21,0.32,0.02,1.07,0.7,0.78,0.27,0.01,16.12
"2005_Martin,Judith_MissMannersGuide_NF.txt",CONT_NON,289859,19.55,20.68,86.83,0.07,57.19,13.63,7.6,2.02,0.52,2.11,1.42,1.52,6.02,7.26,14.64,9.74,2.17,9.47,1.53,4.04,13.65,6.68,2.07,2.68,1.02,0.01,13.11,0.83,0.54,1.59,6.91,4.17,2.69,0.36,0.53,1.18,17.44,2.55,1.66,2.31,3.29,1.38,0.72,4.14,3.41,1.72,0.5,0.61,0.45,1.88,0.52,0.37,0.15,0.9,11,1.71,4.97,4.12,1.66,1.52,1.22,0.64,0.67,0.24,0.13,0.1,0.11,0.09,4.41,5.47,0.74,0.11,0.73,0.07,0.92,1.47,1.39,0.26,0.03,15.47
"2005_Perl,Jed_NewArtCity_NF.txt",CONT_NON,206539,29.17,25.37,76.36,0.82,51.26,8.21,3.34,0.25,0.2,0.2,2,0.69,4.87,10.11,9.35,6.37,5.74,2.34,0.46,3.18,15.78,5.91,0.8,2.46,0.96,0.02,6.69,0.11,0.12,0.51,3.6,2.48,1.04,0.24,0.35,0.21,13.84,2.41,0.98,0.87,2.26,1.16,0.35,4.76,1.58,2.29,1.17,0.41,0.45,0.83,0.28,0.3,0.08,0.18,13.94,1.32,7.46,5.05,1.67,1.5,2.67,0.33,0.34,0.27,0.11,0.04,0.06,0.13,3.73,7.43,0.11,0.26,0.09,0.04,2.36,2.31,1.66,0.14,0.04,17.29
"2005_Savan,Leslie_SlamDunks_NF.txt",CONT_NON,96182,19.65,22.69,78.19,0.41,49.52,9.54,4.59,1.08,0.97,0.86,0.97,0.71,4.96,8.48,10.56,6.64,2.71,6.59,0.58,3.83,13.34,6.65,1.43,2.83,0.92,0.21,9.73,0.2,0.13,1.18,4.96,2.89,2.03,0.3,0.97,0.26,15.81,2,1.73,0.96,2.92,1.24,0.48,4.24,2.84,2.87,0.94,1.22,0.58,1.59,0.76,0.39,0.32,0.23,11.77,1.52,5.92,4.38,2.11,1.67,1.67,0.21,0.75,0.29,0.15,0.32,0.09,0.36,4.91,8.43,0.52,0.24,0.43,0.53,3.23,3.89,3.05,0.91,0.17,25.81
"2005_Tripp,CA_IntimateWorldofAbraham_NF.txt",CONT_NON,116988,24.6,23.27,81.66,0.5,55.12,11.64,6.82,1.25,0.25,0.69,3.99,0.63,4.82,6.97,10.63,6.81,5.12,3.62,0.92,4.13,15.64,6.51,1.5,3.5,1.21,0.01,10.8,0.41,0.32,1,5.15,3.18,1.89,0.39,0.5,0.48,16.51,2.32,1.37,1.32,3,1.95,0.64,4.59,2.33,1.83,0.69,0.59,0.47,1.6,0.45,0.47,0.57,0.17,13.83,1.56,6.36,5.74,1.7,1.5,0.55,0.44,0.57,0.38,0.26,0.03,0.18,0.08,4.34,6.28,0.32,0.46,0.2,0.03,0.98,1.83,1.14,0.49,0.11,16.25
"2005_Walls,Jeannette_GlassCastle_NF.txt",CONT_NON,100010,14.64,14.25,86.09,0.02,55.69,15.64,11.65,4.03,1.93,0.89,3.88,0.92,3.99,7.81,14.43,7.59,9.23,3.01,0.63,3.77,13.4,6.93,1.4,2.11,1.16,0.17,14.17,2.27,0.14,0.8,3.51,1.9,1.59,0.28,0.62,0.33,15.56,1.5,1.07,1.63,1.93,1.22,0.63,6.71,1.86,3.92,1.29,1.42,0.97,2.73,1.38,0.41,0.21,0.83,16.16,2.75,8.14,5.25,1.35,1.01,1.21,1.32,0.86,0.27,0.14,0.06,0.04,0.3,6.35,6.18,0.05,0.05,0.33,0.16,1.12,3.15,2.36,0,0.01,19.29
"2005_Warren,LouisS_BuffaloBillsAmerica_NF.txt",CONT_NON,244956,25.38,26.03,73.97,0.84,48.23,7.9,4.53,0.31,0.18,0.09,2.85,1.1,3.38,9.59,7.04,4.51,4.58,1.47,0.45,2.56,15.58,6.14,0.73,2.4,1.01,0.02,8.47,0.41,0.15,0.88,4.33,2.44,1.85,0.29,0.96,0.3,12.91,1.47,1.12,0.84,1.84,1.07,0.57,4.85,1.57,1.53,0.85,0.21,0.39,1.04,0.44,0.37,0.08,0.19,13.6,1.65,7.49,4.27,2.15,1.97,1.96,0.52,1.02,0.23,0.38,0.01,0.07,0.13,4.64,7.38,0.09,0.06,0.06,0.02,1.25,2.21,1.45,0.19,0.06,17.11
"2006_Bogle,JohnC_BattlefortheSoulofCapitalism_NF.txt",CONT_NON,91898,25.51,29.8,81.25,1.64,47.73,7.07,2.76,0.3,0.77,0.08,0.31,1.3,4.31,9.27,7.62,5.44,2.28,3.73,0.91,2.94,15.27,5.14,0.86,3.44,1.3,0,5.78,0.06,0.02,0.38,4.96,3.35,1.54,0.22,0.34,0.45,13.81,1.89,1.82,1.29,1.83,1.49,1.07,3.78,1.64,0.67,0.19,0.23,0.18,0.43,0.15,0.22,0.02,0.05,12.6,1.61,5.99,4.72,7.6,3.1,0.48,0.15,6.57,0.14,0.04,0.03,0.11,0.07,4.79,6.08,0.27,0.18,0.13,0.04,1.91,1.36,1,0.45,0.63,16.53
"2006_Dawkins,Richard_TheGodDelusion_NF.txt",CONT_NON,128333,22.82,25.37,81.49,0.34,54.51,10.75,5.12,1.24,1.01,0.59,1.21,1.07,5.63,8.7,11.21,8.04,2.52,6.45,1.13,3.52,14.87,5.89,1.71,2.98,1.01,0.07,8.14,0.25,0.11,1.05,5.18,2.97,2.16,0.33,0.91,0.34,17.04,2.83,1.85,1.6,3.23,1.7,0.47,4.08,2.78,1.46,0.56,0.48,0.3,1.43,0.5,0.62,0.27,0.13,10.28,1.26,5.67,3.21,1.88,1.6,0.65,0.15,0.41,2.82,0.35,0.07,0.12,0.14,4.6,6,0.43,0.14,0.42,0.07,1.2,0.04,2.85,0.38,0.09,16.08
"2006_Dennett,DanielC_BreakingtheSpell_NF.txt",CONT_NON,112184,25.77,25.67,82.52,0.5,55.13,11.62,5.21,0.77,1.4,0.79,0.45,1.79,6.41,7.45,11.72,8.42,1.63,7.63,1.2,3.83,14.36,6.85,1.67,3.32,0.71,0.01,8.81,0.16,0.09,1.1,5.28,3.47,1.78,0.39,0.63,0.24,19.98,3.61,2.14,1.71,4,1.75,0.68,4.85,3.36,1.28,0.48,0.4,0.23,1.29,0.36,0.52,0.24,0.25,9.56,1.11,5.14,3.13,2.01,2.08,0.68,0.15,0.63,2.51,0.16,0.05,0.15,0.13,3.48,6.19,0.41,0.16,0.53,0.16,1.18,1.13,1.01,0.76,0.08,15.36
"2006_Ehrenreich,Barbara_DancingInTheStreets_NF.txt",CONT_NON,80312,35.76,29.9,78.69,0.27,50.06,6.61,2.95,0.17,0.43,0.12,0.78,1.44,3.66,9.8,7.33,5.13,3.28,2.65,0.6,2.91,16.46,6.55,0.88,2.89,1.1,0.02,7.46,0.12,0.08,1.34,5.44,3.19,2.2,0.48,0.78,0.54,14.44,1.75,1.32,0.89,2.94,0.99,0.81,4.82,2.16,1.75,0.61,0.65,0.34,1.53,0.56,0.5,0.23,0.27,12.97,2.09,6.62,4.13,1.62,2.04,2.44,0.16,0.47,2.49,0.24,0.02,0.12,0.16,3.43,7.82,0.38,0.31,0.09,0.04,1.5,2.76,0.72,0.2,0.02,16.85
"2006_Golden,Daniel_PriceofAdmission_NF.txt",CONT_NON,101342,19.94,28.8,77.1,1.37,46.7,8.96,5.44,1.12,0.32,0.23,2.56,1.21,3.53,7.35,9.67,5.74,4.58,3.84,0.63,2.68,14.32,5.33,1.16,2.63,1.45,0.01,10.76,1.16,0.14,1.15,3.92,2.82,1.05,0.19,0.24,0.38,12.62,1.99,1.08,1.52,1.97,0.91,0.49,3.98,1.79,1.67,0.65,0.71,0.27,0.72,0.21,0.25,0.11,0.17,11.71,1.45,6.77,3.37,7.8,2.38,1.64,0.43,1.47,0.19,0.04,0.02,0.12,0.09,5.13,6.92,0.16,0.19,0.08,0,2.05,2.9,2.1,0.17,0.21,19.22
"2006_Kean,ThomasH_Hamilton,LeeH_WithoutPrecedent-TheInsideStory_NF.txt",CONT_NON,141489,22.24,26.89,78.8,0.73,51.34,9.03,5.09,0.32,2.97,0.18,0.89,0.73,3.95,9.76,9.83,6.54,6.02,2.21,0.7,2.72,15.7,5.37,1.04,2.33,1.1,0.01,9.82,0.24,0.04,0.52,4.13,2.15,1.93,0.43,0.82,0.31,16.49,2.5,1.65,1.42,1.94,1.09,0.89,5.86,1.73,1.58,0.59,0.63,0.31,0.42,0.15,0.16,0.05,0.07,13.43,1.85,6.94,4.41,4.7,2.73,0.74,0.63,0.61,0.15,0.14,0.03,0.07,0.05,4.47,5.37,0.35,0.4,0.16,0.01,1.09,1.12,0.82,0.11,0.69,14.21
"2006_Kuczynski,Alex_BeautyJunkies_NF.txt",CONT_NON,92738,18.32,24.12,80.73,0.59,50.91,10.39,6.39,2.04,0.48,0.53,2.29,1.04,4,8.68,10.56,6.85,3.67,5.55,0.65,2.94,14.11,5.64,1.2,2.53,1.37,0.06,8.83,0.23,0.14,1.09,4.17,2.44,1.67,0.31,0.47,0.36,13.54,1.74,1.39,1.13,2.18,1.11,0.49,4.52,1.93,3.09,1.45,0.63,0.77,5.97,2.54,3.08,0.47,0.46,12.51,1.51,6.49,4.47,2.59,1.69,1.05,0.35,0.88,0.18,0.22,0.06,0.1,0.21,5.42,6.72,0.28,0.12,0.26,0.07,1.77,1.92,1.33,0.19,0.17,17.71
"2006_Lemov,Rebecca_WorldasLaboratory_NF.txt",CONT_NON,82345,28.7,29.36,78.02,0.44,49.95,7.73,3.56,0.21,0.13,0.12,1.97,1.12,4.17,9.26,8.56,5.46,4.85,2.15,0.54,2.7,16.31,6.17,0.86,2.61,1.13,0.01,7.79,0.17,0.09,1.31,4.01,2.22,1.7,0.41,0.63,0.27,16.03,2.56,2.41,1.21,2.36,1.31,0.67,4.85,1.83,1.18,0.47,0.23,0.34,1.33,0.38,0.69,0.11,0.17,13.18,2.02,7.11,3.68,4.2,2.36,0.6,0.26,0.53,0.26,0.19,0.01,0.1,0.1,3.82,6.8,0.33,0.17,0.12,0.01,2.2,2.67,0.98,0.48,0.03,17.22
"2006_Mansfield,HarveyC_Manliness_NF.txt",CONT_NON,106232,23.57,23.59,82.91,0.16,55.81,10.84,5.11,0.23,1.02,0.49,1.87,1.47,5.73,7.74,12,8.37,1.74,7.76,1.06,3.13,15.87,7.05,2.07,2.94,0.68,0.01,11.79,0.19,0.07,3.73,5.93,3.7,2.18,0.43,0.86,0.36,18.56,2.81,2.33,1.8,2.76,1.58,1.05,4.37,3.71,1.29,0.48,0.61,0.16,1.13,0.19,0.33,0.56,0.07,8.76,1.08,4.9,2.66,2.11,2.48,0.59,0.19,0.29,0.4,0.16,0.02,0.1,0.14,4.43,5.5,0.11,0.56,0.27,0.05,1.22,1.43,1,0.32,0.01,14.79
"2006_Michaels,WalterBenn_TheTroublewithDiversity_NF.txt",CONT_NON,56751,28.85,23.46,84.72,0.4,56.59,11.86,5.32,0.35,1.49,1.04,1.06,1.39,6.53,8.41,12.58,8.91,2.12,8.47,0.92,3.99,14.51,7.05,2.39,3.37,0.92,0.01,10.77,0.31,0.05,1.55,4.96,2.99,1.94,0.25,0.75,0.23,17.89,2.64,1.97,1.86,2.83,1.69,0.61,4.24,3.58,2.12,1.13,0.59,0.35,0.94,0.23,0.42,0.23,0.11,9.31,1.11,5.07,3.19,3.06,1.92,0.74,0.23,1.75,0.82,0.22,0.04,0.07,0.29,3.65,5.42,0.14,0.41,0.24,0.03,1.03,2.16,2.47,0.8,0.14,16.85
"2006_Obama,Barack_AudacityofHope_NF.txt",CONT_NON,117642,25.43,25.54,82.35,0.23,52.49,10.96,6.37,2.37,1.44,0.32,1.09,1.14,4.59,8.56,9.79,6.2,3.63,4.32,1.03,3,14.9,6.33,1.26,3.1,1.16,0.03,8.91,0.46,0.15,0.99,5.1,3.03,1.98,0.38,0.73,0.4,16.54,2.18,1.64,1.47,2.7,1.31,0.95,5.23,2.25,1.79,0.78,0.45,0.47,1.26,0.39,0.58,0.17,0.2,13.37,1.77,6.97,4.38,4.03,2.51,0.79,0.46,1.59,0.62,0.2,0.03,0.1,0.15,3.99,6.27,0.15,0.4,0.11,0.01,1.4,0.79,1.51,0.1,0.06,14.34
"2006_Perle,Liz_MoneyMemoir_NF.txt",CONT_NON,65382,17.22,19.62,89.64,0.26,58.17,17.33,11.66,5.39,1.7,0.43,3.02,1.13,5.67,6.1,13.98,8.27,5.52,6.27,0.77,4.21,14.15,6.5,2.05,3.33,1.26,0.02,12.45,1.1,0.19,1.64,5.45,3.4,1.93,0.74,0.45,0.41,17.78,2.55,1.84,1.91,2.49,1.66,0.86,5.18,2.53,1.82,0.56,0.45,0.67,1.44,0.38,0.55,0.28,0.27,12.38,1.86,5.78,4.67,3.16,2.07,0.85,0.72,3.47,0.13,0.1,0.06,0.09,0.21,5.68,5.29,0.13,0.13,0.23,0.03,1.41,1.8,2.99,0.26,0.13,17.77
"2006_Rhoden,WilliamC_FortyMillionDollarSlaves_NF.txt",CONT_NON,86208,18.74,24.23,78.03,0.88,49.47,8.61,4.8,0.93,0.42,0.37,2.16,0.93,3.8,9.58,10.18,6.52,5.66,3.09,0.58,2.73,14.67,5.38,1.1,2.41,1.27,0.04,8.51,0.29,0.07,0.81,4.54,2.83,1.69,0.28,0.81,0.29,12.77,1.79,1.49,1.15,1.62,1,0.56,4.1,1.68,3.25,2.29,0.49,0.41,0.95,0.4,0.39,0.07,0.12,13.45,1.86,6.64,4.74,3.03,2.89,2.72,0.24,0.9,0.25,0.16,0.05,0.08,0.16,5.24,6.44,0.56,0.2,0.14,0.03,1.53,1.91,1.7,0.14,0.09,17.48
