filenames,corpus,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
"2002_Baker,Jo_Offcomer_CT.txt",CONT_NOV_3P,70100,9.91,16.12,84.1,0.02,55.1,15.95,12.26,1.08,0.13,1.2,9.03,0.82,3.69,8.3,13.29,7.53,7.74,3.3,0.95,3.79,13.91,5.09,1.74,1.45,0.73,0.18,14.14,0.32,0.06,0.44,3.54,1.83,1.68,0.35,0.51,0.46,13.57,1.98,0.71,1.72,1.74,1.04,0.61,4.94,1.77,5.8,2.21,1.14,2.28,4.5,2.97,0.47,0.22,0.94,17.7,2.71,9.97,5.05,0.81,0.7,0.94,1.3,0.24,0.13,0.1,0.21,0.1,0.25,9.52,8.19,0.11,0.15,0.58,0.02,1.26,3.67,2.42,0,0,25.38
"2005_Barfoot,Joan_Luck_PW.txt",CONT_NOV_3P,88644,13.92,17.87,85.63,0,56.81,14.3,8.69,1.07,0.3,0.84,5.37,1.1,5.62,5.46,14.01,9.35,3.61,7.73,1.24,5.34,12.89,7.87,2.33,3.08,0.98,0.08,11.71,0.44,0.11,0.83,5.73,3.5,2.17,0.41,0.54,0.59,18.07,2.19,1.32,1.92,3.65,1.49,0.59,5.34,3.47,3.68,1.28,1.09,1.11,2.7,1.58,0.48,0.22,0.51,13.67,1.75,6.97,4.97,0.95,1.25,0.73,1.01,0.36,0.26,0.5,0.23,0.19,0.21,6.17,9.5,0.19,0.27,0.97,0.07,1.22,2.86,3.16,0.02,0,23.93
"2005_Barnes,Julian_ArthurGeorge_PW.txt",CONT_NOV_3P,156977,13.89,19.25,83.49,0.12,57.08,13.85,9.08,1.48,0.32,1.23,5.09,0.96,4.77,8.18,13.17,8.82,5.18,5.72,1.21,3.91,13.25,6.51,1.9,2.33,1.23,0.04,13.02,0.7,0.17,1.43,4.27,2.5,1.73,0.42,0.54,0.36,16.28,2.69,1.21,1.76,2.76,1.67,0.54,4.22,2.81,2.17,0.85,0.62,0.61,1.53,0.8,0.44,0.12,0.2,12.62,1.77,5.82,4.91,1.6,1.32,0.69,0.54,0.38,0.52,0.19,0.17,0.13,0.13,6.41,6.24,0.27,0.53,0.82,0.05,1.41,0.06,4.72,0.01,0.03,20.21
"2005_Barry,Sebastian_LongLongWay_PW.txt",CONT_NOV_3P,93349,15.46,14.48,84.52,0.04,57.9,13.65,8.84,1.12,0.34,1.03,4.43,1.93,4.82,8.73,13.82,8.4,8.28,3.47,0.96,4.48,13.6,7.02,1.75,2.5,1.01,0.42,12.75,0.55,0.12,1.17,4.95,2.36,2.58,0.41,1.15,0.51,15.44,1.8,0.84,1.57,2.35,1.46,0.46,5.6,2.2,3.8,1.23,1.68,0.75,2.49,1.43,0.4,0.43,0.31,14.02,2.06,7.58,4.75,0.68,0.86,0.62,0.43,0.22,0.61,0.58,0.18,0.17,0.54,5.86,7.27,0.02,0.1,0.58,0.1,0.95,0.05,4.79,0.01,0,19.33
"2005_Bergen,David_TheTimeinBetween_PW.txt",CONT_NOV_3P,78623,11.75,13.1,87.01,0.04,57.75,17.11,12.8,1.39,0.28,0.93,9.31,0.89,4.31,8.44,15.29,7.37,10.58,3.32,0.73,3.61,12.19,8.32,1.43,1.37,0.84,0.08,17.76,0.65,0.12,1.15,3.2,1.84,1.33,0.27,0.4,0.43,15.03,1.83,0.6,1.4,1.9,0.66,0.54,7.1,1.91,5.08,1.63,2.16,1.06,3.73,2.14,0.38,0.26,1.03,15.66,2.91,7.71,5.03,0.74,0.65,1.36,0.88,0.4,0.12,0.33,0.13,0.08,0.14,7.99,5.63,0.03,0.12,0.53,0,0.38,3.4,1.53,0.01,0,19.5
"2005_Doctorow,EL_TheMarch_PW.txt",CONT_NOV_3P,107304,14.94,16.52,83.28,0.01,57.59,14.2,9.9,1.08,0.42,0.98,5.67,1.75,4.3,9,13.04,7.95,7.66,3.41,0.94,3.62,14.75,6.69,1.62,1.82,0.91,0.14,12.94,0.3,0.05,1.16,3.76,1.84,1.89,0.33,0.74,0.45,14.56,1.82,0.87,1.38,1.79,0.93,0.64,5.87,2.04,3.77,1.44,1.19,0.97,2.65,1.54,0.65,0.11,0.4,14.29,2.43,7.66,4.15,1.09,0.91,0.59,0.57,0.31,0.39,0.47,0.11,0.11,0.21,6.13,6.23,0.06,0,0.51,0.09,0.53,0.01,1.51,0,0,14.87
"2005_Fried,Golda_Nellcott_PW.txt",CONT_NOV_3P,38592,10.26,14.4,85.72,0.02,55.73,16.9,12.78,1.76,0.23,1.39,8.41,0.99,4.11,7.19,16.26,8.6,9.92,4.65,0.72,4.16,13.17,5.01,1.81,1.83,0.97,0.1,16.52,0.64,0.18,0.86,3.43,2.09,1.32,0.31,0.41,0.3,13.45,1.69,0.87,1.54,1.73,1.11,0.44,5.06,1.66,4.9,1.82,1.77,1.04,3.69,1.81,0.32,0.46,1.19,15.76,2.71,8.47,4.96,1.47,0.72,1.95,1.36,0.51,0.24,0.13,0.23,0.07,0.61,8.78,3.59,0.07,0.1,0.94,0.04,1.2,0.04,8.02,0.01,0,22.28
"﻿2005_Gardner,Lisa_Alone_BS.txt",CONT_NOV_3P,103596,8.98,16.79,85,0.07,53.94,15.9,12.07,2.12,0.35,1.68,7.32,0.6,3.83,7.47,14.73,8.64,7.35,5.09,0.86,4.25,11.84,4.82,2.09,2.08,1.4,0.28,15.36,0.82,0.16,1.35,5,2.45,2.48,0.45,1.02,0.5,13.78,2.19,1.05,1.7,2.11,1.19,0.64,3.88,1.81,3.79,1.39,1.13,1.09,3.32,1.88,0.78,0.22,0.48,15.28,2.44,6.91,5.88,1.36,1.15,0.89,1.07,0.51,0.21,0.34,0.27,0.11,0.18,10,6.87,0.07,0.09,1.22,0.13,1.17,5.89,3.59,0.01,0.01,28.6
"2005_Larsson,Stieg_TheGirlWithTheDragonTattoo_BS.txt",CONT_NOV_3P,166082,12.62,18.8,84.82,0.28,57.59,15.1,10.41,2.03,0.37,1.37,6.09,0.56,4.68,8.46,14.77,9.05,8.11,4.83,0.82,3.67,14.07,5.81,1.64,2.21,1.34,0.1,12.91,0.46,0.17,0.59,3.68,1.89,1.74,0.32,0.69,0.26,15.09,2.22,1.1,1.59,2.37,1.22,0.58,4.71,2.29,2.45,1,0.76,0.62,1.95,0.92,0.42,0.21,0.47,15.11,2.25,7.27,5.46,2.23,1.07,1.04,0.92,0.84,0.25,0.32,0.11,0.08,0.12,7.75,3.9,0.23,0.1,0.6,0.01,0.89,3.73,2.24,0.05,0.1,19.29
"2005_Moore,Lisa_Alligator_PW.txt",CONT_NOV_3P,84738,15.52,15.56,83.84,0.03,57.01,14.58,11.04,0.67,0.08,0.43,8.67,1.19,3.53,9.88,14.2,8.38,8.73,3.39,0.74,3.13,13.49,6.96,1.11,1.69,0.85,0.1,14.46,0.43,0.07,0.96,2.89,1.45,1.41,0.31,0.42,0.44,14.72,1.53,0.93,1.52,1.65,1.02,0.55,6.71,1.53,4.88,1.79,1.32,1.34,3.98,2.42,0.52,0.31,0.88,14.78,2.4,8.05,4.24,0.85,0.75,1.13,1.05,0.55,0.25,0.21,0.06,0.03,0.21,6.25,4.13,0.07,0.21,0.21,0.01,0.99,0.02,1.84,0.01,0.02,13.32
"2005_Pate,Kathy_Alphabet_PW.txt",CONT_NOV_3P,95455,13.51,14.13,87.77,0.07,59.58,17.45,11.69,2.12,0.31,1.68,6.69,0.89,5.76,7.27,14.67,9.07,2.65,9.91,0.98,5.28,14.24,6.24,1.93,2.6,1.04,0.29,14.4,0.15,0.09,0.59,4.14,2.34,1.77,0.3,0.68,0.33,15.87,2.01,1.15,1.6,2.91,1.26,0.68,4.53,2.88,4.14,1.33,1.42,1.23,2.97,1.83,0.53,0.3,0.41,15.39,2.22,7.95,5.19,1.29,0.95,0.89,0.65,0.27,0.1,0.14,0.18,0.2,0.24,6.97,8.97,0.43,0.19,1.16,0.35,0.96,3.93,3.73,0.04,0.01,26.38
"2005_Steinke,Rene_HolySkirts_PW.txt",CONT_NOV_3P,126694,13.96,15.95,83.89,0.05,55.6,16.21,12.49,1.19,0.24,1.09,8.98,0.99,3.71,8.58,13.31,7.23,7.52,3.69,0.91,3.82,13.54,6.08,1.5,1.6,0.89,0.07,15.74,0.29,0.11,1.02,4.13,2.36,1.73,0.39,0.56,0.4,13.94,1.97,1.01,1.84,2.03,0.89,0.58,4.69,2.13,4.94,1.88,1.33,1.39,3.91,2.61,0.39,0.37,0.7,14.2,2.2,7.48,4.55,0.97,0.83,1.25,0.88,0.47,0.18,0.13,0.11,0.05,0.3,6.39,7.06,0.09,0.07,0.67,0.12,0.53,4.02,2.37,0.01,0.04,21.15
"2006_Behrens,Peter_LawofDreams_PW.txt",CONT_NOV_3P,111504,9.87,15.19,80.08,0.01,52.39,13.95,11.15,1.53,0.54,1.92,5.61,1.55,2.8,9.21,12.84,7.3,6.08,4.8,1.01,2.99,12.97,5.15,1.77,1.51,0.84,0.11,13.2,0.19,0.16,1.22,3.82,1.85,1.94,0.4,0.64,0.45,12.24,1.26,0.6,1.29,1.49,0.9,0.76,5.37,1.42,5.2,1.79,1.07,1.74,3.95,2.28,0.56,0.19,1.02,15.53,2.69,8.44,4.42,0.72,1.02,0.8,0.65,0.75,0.18,0.39,0.12,0.09,0.23,8.99,7.27,0.02,0.12,0.9,0.35,0.37,5.55,2.61,0,0.05,26.07
"2006_Cole,Trevor_TheFearsomeParticles_PW.txt",CONT_NOV_3P,89935,13.76,15.89,84.86,0.07,56.53,15.58,10.62,2.48,0.4,1.24,5.85,0.64,4.97,8.12,14.06,7.85,7.16,4.83,0.66,3.94,14.53,6.19,1.6,1.84,1.24,0.25,11.83,0.4,0.05,0.65,4.18,2.22,1.9,0.43,0.72,0.32,15.35,2.13,1.26,1.73,2.47,1.07,0.74,5.15,2.02,4.28,1.59,1.16,1.36,2.81,1.8,0.4,0.19,0.46,14.9,2.28,7.92,4.67,1.33,1.25,0.69,1.04,0.52,0.27,0.09,0.27,0.16,0.29,6.24,6.65,0.07,0.14,0.86,0.23,1.69,5.42,3,0.09,0.05,23.99
"2006_Grenville,Kate_SecretRiver_PW.txt",CONT_NOV_3P,112156,16.64,13.53,84.52,0.02,58.46,13.33,9.11,0.32,0.2,0.36,6.71,1.52,4.23,10.35,12.65,6.98,8.41,2.35,0.77,3.81,16.03,5.86,1.58,2.18,0.97,0.17,12.58,0.23,0.07,1.23,3.09,1.8,1.26,0.27,0.38,0.36,13.82,1.47,0.76,1.54,1.67,0.89,0.63,5.29,2.28,5.17,2.01,1.4,1.49,3.48,2.44,0.39,0.21,0.61,16.21,2.31,9.38,4.42,0.5,0.82,0.59,0.44,0.38,0.17,0.17,0.04,0.06,0.23,5.72,6.49,0.26,0,0.17,0.13,0.72,0,0.84,0,0,14.01
"2006_Jacobs,Kate_FridayNightKnitting_BS.txt",CONT_NOV_3P,117410,12.1,16.52,85.85,0.04,55.65,14.84,10.55,2.06,0.38,1.5,5.91,0.7,4.28,7.26,14.73,8.45,7.09,5.4,0.71,5.08,13.87,6.09,1.74,2.47,0.98,0.1,13.73,0.72,0.23,0.81,4.81,3.26,1.5,0.42,0.4,0.34,15.69,2.19,1.21,1.55,2.09,1.61,0.58,4.99,2.36,3.46,1.23,1.1,0.98,2.61,1.34,0.5,0.3,0.57,15.96,2.4,7.36,6.02,1.49,1.16,1.3,0.89,0.85,0.17,0.04,0.38,0.2,0.16,7.33,6.57,0.17,0.25,0.83,0.31,1.62,4.82,3.41,0.11,0.07,24.92
"2006_Kalfus,Ken_DisorderPeculiar_PW.txt",CONT_NOV_3P,72601,12.93,21.11,84.12,0.12,54.41,14.56,10.17,0.83,0.34,0.73,6.88,1.39,4.39,8.24,13.31,8.08,8.14,3.57,0.63,3.68,13.06,5.33,1.63,2.19,0.96,0.12,14.22,0.52,0.24,1.04,5.2,2.87,2.28,0.48,0.72,0.63,14.4,2.17,1.03,1.63,2.32,1.23,0.72,4.48,2,3.34,1.24,1.03,0.89,2.82,1.62,0.48,0.29,0.53,14.64,2.29,7.24,5.09,1.65,1.28,1.03,0.87,0.66,0.3,0.2,0.15,0.1,0.18,6.94,6.37,0.3,0.23,0.61,0.24,1.37,2.84,2.33,0.04,0.05,20.76
"2006_Larsson,Stieg_TheGirlWhoPlayedWithFire_BS.txt",CONT_NOV_3P,185229,11.67,18.92,84.79,0.25,57.64,15.03,10.62,1.43,0.43,1,7.25,0.51,4.41,8.47,15,9.13,8.82,4.34,0.79,3.5,14.03,5.9,1.74,2.12,1.34,0.18,13.36,0.16,0.16,0.55,3.82,1.68,2.08,0.35,0.93,0.28,15.61,2.47,1.17,1.59,2.22,1.08,0.68,4.99,2.26,2.72,1.04,0.89,0.69,2.29,1.12,0.53,0.28,0.41,14.67,2.2,7.41,4.98,2.17,1.13,1,0.86,0.65,0.17,0.35,0.11,0.08,0.14,8.27,3.33,0.16,0.04,0.66,0.01,0.68,3.71,2.16,0.04,0.09,18.94
