Filename,Seg,WC,WPS,Sixltr,Dic,Numerals,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct
1001Nights_Tales.txt,1,251019,34.17,17.63,81.71,0.41,58.7,16.08,11.36,3.29,0.48,1.4,5.05,1.14,4.72,9.02,9.55,5.48,4.72,3.18,0.87,2.42,15.05,8.83,0.98,1.89,1.16,0.03,13.27,0.83,0.13,0.89,3.35,2.05,1.29,0.19,0.45,0.42,14.47,1.41,0.93,0.74,1.8,0.67,0.48,7.12,1.9,2.56,0.78,1.2,0.4,2.08,1.09,0.29,0.23,0.52,11.73,2.19,5.1,4.36,0.81,1.31,0.69,0.55,0.6,0.93,0.41,0.03,0.06,0.09,3.01,10.17,0.68,1.76,0.28,0.31,4.18,0.86,0.47,0.83,0.46,22.28
Aesop_Tales.txt,1,38141,24.22,12.02,85.9,0,61.43,15.29,11.47,1.9,0.31,1.8,5.84,1.62,3.82,10.87,12.71,6.68,6.79,3.88,1,3.83,14.73,8.69,1.46,2.31,1.05,0.39,13.87,0.23,0.34,0.71,5.19,2.73,2.44,0.39,0.91,0.62,14.81,1.15,1.09,1.25,1.38,1.14,0.5,7,2.04,2.88,0.95,1.23,0.61,2.44,1.21,0.53,0.45,0.7,14.17,2.85,6.43,4.68,0.64,1.43,0.7,0.32,0.54,0.27,0.4,0.12,0.2,0.12,3.57,7.62,0.56,0.53,0.28,0.29,0.71,3,1,0.01,0.03,17.3
American_Fairy.txt,1,31957,16.3,15.01,84.79,0.06,56.85,13.88,9.96,1.73,0.43,1.52,5.13,1.15,3.92,9.76,12.59,7.04,6.48,4.01,1.2,3.76,13.06,7.98,1.36,2.06,1.09,0.03,13.21,0.49,0.13,1.53,5.2,2.97,2.17,0.49,0.58,0.67,14.49,1.76,0.97,1.3,1.63,1.26,0.58,5.86,2.07,3.34,1.25,1.16,0.69,2.12,1.26,0.39,0.09,0.5,14.65,2.38,6.85,5.24,1,1.45,0.63,0.64,1.04,0.14,0.2,0.12,0.18,0.07,5.07,6.19,0.25,0.68,0.44,0.66,1.71,5.08,1.3,0.01,0.15,20.87
Anderson_Fairy.txt,1,55901,17.88,13.19,86.65,0.01,59.81,13.98,9.05,1.85,0.43,0.96,4.33,1.48,4.93,9.64,13.91,8.08,7.6,4.23,1.15,5.1,12.53,8.3,1.48,2.57,1.08,0.02,11.79,0.39,0.14,1.21,4.19,2.9,1.25,0.28,0.23,0.47,15.61,1.64,0.7,1.36,1.82,1.67,0.37,6.4,2.52,4.27,1.73,1.52,0.91,2.03,1.33,0.27,0.17,0.32,15.6,2.62,7.87,5.12,0.63,0.83,0.89,0.96,0.37,0.46,0.23,0.31,0.17,0.19,3.74,7.4,0.28,2.04,0.39,1.48,2.84,3.67,0.68,0.03,0.08,21.63
Bracebridge_Tales.txt,1,46757,31.51,20.5,81.89,0.02,56.31,10.95,7.18,1.25,0.22,0.12,4.51,1.08,3.77,10.45,9.65,6.42,3.88,4.37,0.67,3.26,16.44,6.85,0.85,2.68,0.81,0.03,10.16,0.46,0.34,0.99,5.45,3.84,1.57,0.38,0.42,0.41,14.11,1.48,0.9,0.68,2.23,1.58,0.46,5.88,1.52,2.29,0.98,0.65,0.52,1.9,0.95,0.4,0.34,0.3,13.8,1.73,7.1,4.92,1.15,1.41,1.32,0.89,0.55,0.41,0.18,0.04,0.09,0.13,3.05,8.77,0.36,1.45,0.03,0.13,2.01,0.79,0.59,0.25,0.05,16.86
CentNouvelles_Tales.txt,1,141220,24.18,13.33,89.59,0.06,63.14,19.27,13.28,2.62,0.38,1.88,7.38,1.03,5.98,6.9,15.25,9.05,7.5,4.72,1.81,3.9,12.84,8.8,1.98,2.38,0.95,0.03,18,1.14,0.45,1.08,5.69,3.99,1.68,0.24,0.51,0.47,17.15,1.89,1.19,2.06,1.96,1.32,0.53,6.35,2.76,2.53,0.66,1.48,0.35,1.71,0.69,0.37,0.4,0.3,11.39,2.15,4.66,4.47,0.63,1.14,0.38,0.63,0.51,1.07,0.28,0.11,0.28,0.06,3.45,9.37,0.06,0.63,0.36,0.39,2.1,3.02,0.29,0.18,0.69,20.12
Cervantes_Novella.txt,1,184391,31.25,17.04,85.5,0.05,61.29,17.21,11.49,2.97,0.54,1.5,4.86,1.62,5.72,7.59,12.4,7.77,5.17,4.46,1.57,3.14,15.43,7.12,1.72,2.75,1.21,0.05,13.65,0.63,0.23,0.84,5.19,3.52,1.64,0.31,0.44,0.51,15.73,1.88,1.24,1.65,2.1,1.5,0.57,5.21,2.62,2.37,0.88,0.99,0.39,1.71,0.99,0.4,0.2,0.18,11.4,2.11,5.35,3.83,0.83,1.38,0.55,0.57,0.73,0.72,0.22,0.03,0.18,0.07,2.86,8.9,0.11,1.14,0.21,0.16,0.94,1.87,0.5,0.12,0.27,16.85
ChildrensTales_Fairy.txt,1,167541,18.29,11.43,85.61,0,58.21,14.64,10.75,1.96,0.35,1.56,5.55,1.32,3.9,9.4,13.33,7.11,7.08,4.01,1.28,4.3,12.95,8.42,1.37,2.02,1.28,0.08,13.49,0.72,0.12,0.85,4.71,3.08,1.6,0.28,0.46,0.57,14.31,1.18,0.85,1.3,1.39,1.33,0.43,6.64,1.91,3.95,1.59,1.47,0.72,2.43,1.33,0.3,0.2,0.73,16.18,3.11,7.52,5.37,0.38,1.19,0.71,0.94,0.5,0.31,0.27,0.21,0.17,0.12,4.19,8.58,0.32,0.96,0.57,0.78,2.09,4.09,1.22,0.02,0.98,23.02
Chretien_Tales.txt,1,185839,19.56,12.48,86.04,0.23,62.44,18.59,13.47,3.02,0.27,1.77,6.69,1.71,5.12,6.04,13.31,8.56,4.02,6.19,1.97,4.26,13.21,8.79,2.3,2.6,1.06,0.01,15.25,0.33,0.18,0.61,5.93,3.63,2.26,0.42,0.75,0.66,16.92,1.44,1.27,2.09,2.13,1.72,0.71,5.9,3.11,2.36,0.86,0.93,0.47,1.91,1.03,0.44,0.31,0.18,12.09,2.2,5.37,4.35,0.56,1.73,0.3,0.33,0.3,0.73,0.41,0.07,0.22,0.06,4.7,7.03,0.59,0.77,0.27,0.22,0.92,2,0.38,0.35,0,17.18
ChristmasCarol_Tales.txt,1,28666,14.49,16.32,85.89,0,57.84,14.72,9.08,1.95,0.3,1.08,4.47,1.28,5.64,8.16,13.12,7.83,6.98,4.08,1.02,3.77,13.85,7.2,1.82,2.37,1.2,0.05,11.93,0.56,0.16,1.34,5.08,3.32,1.74,0.49,0.27,0.68,14.95,1.65,0.99,1.46,2.21,1.46,0.44,5.69,2.18,4.02,1.28,1.49,1.13,2.39,1.51,0.36,0.2,0.45,14.49,1.88,7.3,5.29,0.68,0.96,0.67,0.98,0.59,1.05,0.66,0.22,0.09,0.16,4.95,9.6,0.25,1.29,0.55,1.43,2.19,4.77,1.56,0.06,0,25.91
coo.31924022002269.fic.txt,1,69763,21.58,15.25,81.63,0.25,57.14,13.86,9.2,3.41,0.98,0.74,3.34,0.72,4.66,9.79,10.55,6.52,5.31,3.36,1.11,2.99,14.75,7.41,1.37,2.17,1.1,0.07,9.43,0.15,0.2,1.07,4.85,2.98,1.82,0.42,0.43,0.61,14.84,1.42,0.85,1.23,1.89,1.45,0.55,6.52,1.92,3.38,1.39,0.98,0.81,2.38,1.5,0.42,0.16,0.34,13.78,2.15,7.12,4.53,0.7,0.89,0.5,0.3,0.53,0.39,0.37,0.11,0.16,0.16,4.54,9.08,0.13,0.7,0.34,0.41,0.41,2.35,1.51,0.02,0.36,19.83
coo.31924088474899.fic.txt,1,104620,19.02,18.1,83.43,0.3,55.97,13.62,9.2,2.16,0.43,0.76,5.06,0.79,4.43,7.84,11.61,7.18,6,3.57,1.07,3.59,14.69,6.76,1.49,2.37,0.99,0.02,12.49,0.84,0.2,1.45,5.48,3.52,1.92,0.43,0.42,0.65,14.85,1.78,0.93,1.29,2.08,1.53,0.51,5.5,2.1,2.98,1.22,1.02,0.64,2.02,1.02,0.57,0.16,0.31,14.18,1.89,6.97,5.21,1.14,1.15,0.77,0.89,0.64,0.37,0.18,0.07,0.16,0.12,4.58,8.51,0.26,1.23,0.37,0.42,0.2,2.55,1.27,0.11,0.03,19.58
Decameron1_Tales.txt,1,133666,40.22,16.43,83.79,0.05,60.16,16.71,11.36,2.12,0.42,1.49,5.9,1.43,5.35,6.86,11.33,6.95,5.39,3.37,1.33,3.82,14.85,8.61,1.73,2.99,0.83,0.04,14.53,0.58,0.18,1.24,5.06,3.39,1.63,0.32,0.39,0.56,16.18,1.83,1.3,1.33,2.15,1.36,0.54,6.04,2.42,1.9,0.59,0.85,0.32,1.76,0.72,0.43,0.42,0.23,11.15,2.01,4.77,4.22,0.63,1.35,0.43,0.49,0.47,1.03,0.4,0.03,0.18,0.07,2.22,10.15,0.52,1.1,0.19,0.09,1.65,1.18,0.75,0.1,0,17.62
Decameron2_Tales.txt,1,160313,39.52,15.51,82.55,0.05,60.2,17.43,11.99,2.37,0.4,2.02,5.92,1.28,5.45,6.52,11.63,7.24,4.96,3.73,1.51,3.87,14.27,8.67,1.86,2.71,0.79,0.02,14.74,0.58,0.26,1.1,4.71,3.25,1.43,0.27,0.4,0.43,15.83,1.52,1.33,1.29,1.91,1.32,0.51,6.07,2.52,1.94,0.63,0.83,0.35,1.73,0.77,0.32,0.42,0.29,10.74,1.94,4.56,4.12,0.63,1.21,0.49,0.54,0.44,0.63,0.25,0.03,0.19,0.1,2.15,10.87,0.86,1.03,0.25,0.15,2.08,1.74,0.97,0.11,0,19.75
DrollStories_Tales.txt,1,170308,27.3,17.44,84.69,0.01,57.55,14.73,9.2,1.41,0.29,1.05,5.55,0.9,5.52,9.6,10.99,6.64,5.42,3.52,1.1,2.81,15.55,6.25,1.27,1.95,0.95,0.05,13.65,0.61,0.29,1.28,6.54,4.63,1.89,0.3,0.65,0.51,13.5,1.65,1.3,1.3,1.26,1.46,0.57,4.87,1.69,2.87,0.9,1.15,0.55,2.49,1.21,0.41,0.57,0.36,11.67,1.77,5.89,3.92,0.77,1.46,0.58,0.6,0.61,1.45,0.31,0.23,0.21,0.17,3.02,9.7,0.06,0.56,0.29,0.41,1.44,2.18,0.53,0.02,0.07,17.83
dul1.ark+=13960=t7kp8tw9v.fic.txt,1,51403,28.88,18.58,78.84,0.31,53.95,13.75,9.46,1.48,0.42,1.28,5.29,0.99,4.3,9.57,9.42,5.69,5.64,2.27,0.92,2.6,14.25,6.09,1.1,1.89,0.73,0.04,13.01,0.53,0.34,1.04,5.65,2.93,2.69,0.59,0.91,0.76,12.13,1.42,0.76,0.8,1.39,0.75,0.64,5.09,1.78,2.91,0.93,1.15,0.72,2.07,1.4,0.33,0.23,0.17,13.04,2.17,6.39,4.44,0.72,1.53,0.57,0.68,0.42,0.51,0.34,0.15,0.12,0.06,3.25,9.61,0.13,1.07,0.36,0.52,0.09,2.93,0.97,0.05,0.27,19.26
Edda_Saga.txt,1,51167,19.08,14.34,77.04,0.65,55.19,12.58,7.26,0.55,0.35,0.48,4.39,1.49,5.32,9.23,12.34,7.07,6.35,4.27,0.99,3.26,12.96,8.31,0.94,2.2,1.09,0.02,11.77,0.72,0.1,0.7,3.46,2.01,1.44,0.22,0.58,0.33,13.99,1.46,1.03,1.02,1.35,1.14,0.39,6.21,1.87,2.28,0.71,0.92,0.55,1.54,0.95,0.25,0.03,0.33,13.01,2.31,6.3,4.24,0.46,1.19,0.52,0.35,0.31,0.56,0.29,0.02,0.07,0.05,5.26,7.54,0.93,0.83,0.21,0.07,2.34,0.24,0.92,0.92,0.64,19.85
