Filename	Seg	WC	WPS	Sixltr	Dic	Numerals	funct	pronoun	ppron	i	we	you	shehe	they	ipron	article	verb	auxverb	past	present	future	adverb	preps	conj	negate	quant	number	swear	social	family	friend	humans	affect	posemo	negemo	anx	anger	sad	cogmech	insight	cause	discrep	tentat	certain	inhib	incl	excl	percept	see	hear	feel	bio	body	health	sexual	ingest	relativ	motion	space	time	work	achieve	leisure	home	money	relig	death	assent	nonfl	filler	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP	AllPct
100_2002_Baker,Jo_Offcomer_CT.txt	1	100	25.00	16.00	77.00	0.00	53.00	11.00	9.00	0.00	0.00	0.00	9.00	0.00	2.00	12.00	6.00	5.00	5.00	0.00	0.00	4.00	16.00	5.00	0.00	1.00	1.00	0.00	9.00	0.00	0.00	0.00	2.00	0.00	2.00	0.00	0.00	2.00	8.00	0.00	0.00	0.00	0.00	1.00	1.00	5.00	1.00	5.00	0.00	0.00	5.00	6.00	6.00	0.00	0.00	0.00	21.00	1.00	18.00	1.00	0.00	0.00	3.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.00
100_2004_Weatherford,Jack_GenghisKhanandtheMakingoftheModernWorld_HIST.txt	1	100	33.33	38.00	69.00	1.00	46.00	3.00	1.00	0.00	0.00	0.00	0.00	1.00	2.00	17.00	1.00	1.00	1.00	0.00	0.00	1.00	15.00	4.00	0.00	3.00	3.00	0.00	3.00	0.00	0.00	0.00	3.00	1.00	2.00	0.00	1.00	1.00	8.00	0.00	0.00	0.00	2.00	0.00	1.00	5.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	1.00	5.00	3.00	2.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	3.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	14.00
100_2006_Grandin,Greg_EmpiresWorkshop_HIST.txt	1	100	33.33	24.00	71.00	0.00	46.00	8.00	1.00	0.00	0.00	0.00	1.00	0.00	7.00	13.00	8.00	4.00	3.00	4.00	0.00	5.00	13.00	4.00	2.00	1.00	1.00	0.00	9.00	0.00	1.00	0.00	2.00	2.00	0.00	0.00	0.00	0.00	12.00	5.00	1.00	2.00	1.00	2.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	1.00	8.00	3.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	3.00	5.00	1.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	12.00
100_2009_Edsel,RobertM_TheMonumentsMen_HIST.txt	1	101	25.25	22.77	82.18	0.00	49.50	6.93	1.98	0.00	0.99	0.00	0.99	0.00	4.95	7.92	12.87	12.87	0.00	8.91	1.98	0.99	14.85	6.93	0.99	1.98	0.00	0.99	5.94	0.00	0.00	1.98	8.91	4.95	3.96	0.99	0.99	0.99	20.79	4.95	0.99	1.98	0.00	3.96	0.99	6.93	1.98	1.98	0.00	1.98	0.00	0.99	0.99	0.00	0.00	0.00	14.85	5.94	4.95	3.96	1.98	4.95	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.95	6.93	0.00	0.00	0.00	0.00	2.97	0.00	0.00	0.00	0.00	13.86
100_2009_Jones,Michael_TheRetreat_HIST.txt	1	98	19.60	24.49	62.24	3.06	44.90	12.24	9.18	0.00	0.00	0.00	9.18	0.00	3.06	7.14	6.12	4.08	4.08	0.00	1.02	3.06	16.33	3.06	0.00	1.02	1.02	0.00	10.20	0.00	0.00	0.00	4.08	0.00	4.08	1.02	3.06	0.00	5.10	1.02	0.00	1.02	0.00	1.02	0.00	2.04	0.00	3.06	1.02	0.00	1.02	1.02	0.00	1.02	0.00	0.00	16.33	1.02	9.18	6.12	0.00	1.02	2.04	0.00	0.00	1.02	0.00	0.00	0.00	0.00	5.10	5.10	0.00	0.00	0.00	0.00	2.04	0.00	1.02	0.00	0.00	13.27
100_2009_Korda,Michael_WithWingsLikeEagles_HIST.txt	1	100	50.00	22.00	78.00	2.00	49.00	4.00	1.00	0.00	0.00	0.00	1.00	0.00	3.00	10.00	6.00	4.00	3.00	2.00	0.00	3.00	20.00	9.00	1.00	4.00	0.00	0.00	4.00	0.00	0.00	1.00	8.00	2.00	6.00	0.00	3.00	3.00	11.00	3.00	0.00	0.00	2.00	1.00	0.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21.00	2.00	9.00	11.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	11.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	16.00
100_2009_Senor,Dan_StartUpNation_HIST.txt	1	101	33.67	14.85	91.09	0.00	55.45	4.95	3.96	0.00	0.00	0.00	1.98	1.98	0.99	14.85	9.90	6.93	4.95	1.98	0.99	2.97	15.84	2.97	1.98	1.98	3.96	0.00	9.90	0.00	0.00	4.95	10.89	4.95	5.94	2.97	0.99	1.98	14.85	0.99	0.99	0.99	0.99	0.99	1.98	2.97	3.96	0.99	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.82	1.98	8.91	6.93	0.00	1.98	0.00	0.99	0.99	0.00	0.00	0.00	0.00	0.00	2.97	5.94	0.99	0.99	0.00	0.00	1.98	0.00	0.00	0.00	0.00	11.88
100_2010_Alexander,Michelle_TheNewJimCrow_HIST.txt	1	106	21.20	18.87	77.36	0.00	44.34	10.38	4.72	0.00	0.94	0.00	3.77	0.00	5.66	6.60	9.43	8.49	4.72	2.83	0.94	0.00	13.21	3.77	1.89	1.89	0.00	0.00	18.87	7.55	0.00	0.94	9.43	8.49	0.94	0.00	0.94	0.00	10.38	0.00	0.94	0.94	0.94	0.00	2.83	1.89	1.89	0.94	0.94	0.00	0.00	0.94	0.00	0.94	0.00	0.00	4.72	0.00	2.83	2.83	1.89	1.89	0.94	0.94	0.00	0.00	0.94	0.00	0.00	0.94	4.72	3.77	0.00	0.00	0.00	0.00	11.32	0.00	2.83	0.00	0.00	16.98
100_2010_Asbridge,Thomas_TheCrusades_HIST.txt	1	101	33.67	27.72	85.15	0.00	49.50	2.97	0.99	0.00	0.00	0.00	0.00	0.99	1.98	13.86	0.99	0.99	0.99	0.00	0.00	0.00	20.79	4.95	0.00	1.98	4.95	0.99	0.99	0.00	0.00	0.00	7.92	2.97	4.95	0.99	2.97	0.99	6.93	0.99	0.99	0.00	0.99	0.00	0.00	3.96	0.99	0.00	0.00	0.00	0.00	1.98	1.98	0.00	0.00	0.00	17.82	1.98	10.89	4.95	0.99	1.98	0.99	0.00	0.99	8.91	0.00	0.00	0.00	0.00	2.97	6.93	0.00	0.00	0.00	0.00	2.97	0.00	0.00	0.00	0.00	11.88
100_2010_Blum,Deborah_ThePoisonersHandbook_HIST.txt	1	100	20.00	32.00	79.00	0.00	42.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	14.00	3.00	1.00	3.00	0.00	0.00	5.00	12.00	6.00	1.00	2.00	1.00	0.00	2.00	1.00	0.00	0.00	12.00	4.00	8.00	0.00	7.00	0.00	11.00	4.00	3.00	0.00	3.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	8.00	0.00	6.00	0.00	2.00	13.00	2.00	2.00	8.00	3.00	1.00	0.00	0.00	4.00	0.00	5.00	0.00	0.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	11.00
100_2010_Gamble,Bruce_FortressRabaul_HIST.txt	1	101	20.20	23.76	80.20	0.00	51.49	12.87	10.89	5.94	0.00	0.00	3.96	0.99	1.98	8.91	7.92	6.93	6.93	0.99	0.00	4.95	15.84	4.95	0.99	0.00	0.00	0.00	7.92	1.98	0.00	0.00	5.94	2.97	2.97	0.00	0.99	0.99	14.85	2.97	0.00	0.00	0.99	1.98	0.99	4.95	1.98	0.99	0.00	0.00	0.00	1.98	0.00	1.98	0.00	0.00	16.83	2.97	6.93	6.93	2.97	0.99	0.99	0.00	0.00	0.00	0.99	0.00	0.99	0.00	4.95	6.93	0.00	0.00	0.00	0.00	1.98	0.00	1.98	0.00	0.00	14.85
