,word,freq.a,freq.b,med.a,med.b,wilcox.p,MI.results,G1,G2,fisher.OR,fisher.p,med.ratio,dictionary
33,want,84.1138045804,47.434926763,85,31,8.24386231148262e-14,1.97737733547402e-05,2086.7298218664,2086.7298218574,1.7738955365,0,2.7419354839,discrep
35,would,348.1441229162,278.1135998405,366.5,194,4.8291263366276e-13,1.45374477405734e-05,1534.1394477199,1534.1394477284,1.2526850179,0,1.8891752577,discrep
8,if.,315.8479350161,256.2599354465,339.5,175.5,1.45942154364106e-10,1.14990797333967e-05,1213.4999310915,1213.4999311016,1.233275977,6.9829606208531e-266,1.9344729345,discrep
36,wouldnt,13.1500176691,4.3513493693,7.5,0,4.62462701385646e-10,9.27557532569785e-06,978.8531151508,978.8531151733,3.022129572,8.408376538237e-215,Inf,discrep
2,could,246.6726143816,205.2887607379,274.5,151,4.41869725461491e-12,6.99770236249015e-06,738.4687758891,738.4687759046,1.2021149404,1.28056194048303e-162,1.8178807947,discrep
3,couldnt,10.7307976608,3.9413135921,5.5,0,6.16737120807378e-09,6.47678018304713e-06,683.495765562,683.4957655838,2.7228299309,1.16290819021076e-150,Inf,discrep
28,shouldnt,5.0859509746,1.0462124983,1.5,0,8.22675049192139e-12,6.04651245916926e-06,638.0895360952,638.0895360954,4.8620569568,8.6932986486707e-141,Inf,discrep
24,rather,51.3705001111,36.853518645,56.5,24,2.48279710863056e-10,4.4771462123991e-06,472.4740367302,472.4740367265,1.3941122383,9.84808468631652e-105,2.3541666667,discrep
14,must,131.8195456689,108.5352277019,142.5,78,7.6335241598639e-10,4.16589549785252e-06,439.6276934226,439.6276934178,1.2148361699,1.33703789013438e-97,1.8269230769,discrep
15,mustnt,2.5789044973,0.4224611038,1,0,1.58224487459948e-19,3.65784550849965e-06,386.0130876071,386.0130876085,6.1046256879,6.80564909038534e-86,Inf,discrep
6,hope,68.9118412276,53.8488803451,64.5,38,1.87128139877219e-05,3.43091268895163e-06,362.0648267557,362.0648267675,1.2799192241,1.01717595273289e-80,1.6973684211,discrep
19,ought,23.9526733499,16.2672375624,24,9.5,1.01953780916922e-09,2.77018484232711e-06,292.3380994884,292.3380995037,1.4725611359,1.49034170573292e-65,2.5263157895,discrep
17,neednt,2.4990622528,0.6063559372,0,0,2.47149101461265e-08,2.54832069189388e-06,268.9247362065,268.9247362166,4.1211845723,1.84506657125423e-60,NA,discrep
27,should,148.4746378715,132.4838021579,146,93,2.14495720287844e-05,1.66743408201632e-06,175.9646154917,175.9646154784,1.1208985721,3.70238076185256e-40,1.5698924731,discrep
7,ideal,3.3613584934,1.5059495819,1,0,2.99519684620244e-07,1.41317655800169e-06,149.132773699,149.1327737113,2.2321231372,2.53383789754384e-34,Inf,discrep
34,wish,65.7740410188,56.3165502045,54.5,39,3.73767546780931e-06,1.34672504117794e-06,142.1201332863,142.1201333126,1.1680059848,9.04792327597122e-33,1.3974358974,discrep
18,normal,0.8543120161,0.1267383311,0,0,6.21367924228334e-19,1.29494125588233e-06,136.6553812221,136.6553812328,6.7408173251,1.67989066879641e-31,NA,discrep
23,problem,1.988071888,0.78528064,1,0,7.40796552491143e-11,1.06286838242526e-06,112.1646895871,112.1646895879,2.5317036522,2.9087306637186e-26,Inf,discrep
20,oughtnt,0.7185802005,0.1217682005,0,0,1.07409005311867e-06,9.95005591376984e-07,105.003117156,105.003117169,5.9012662869,1.34063387813109e-24,NA,discrep
16,need,28.7751449177,23.6130906382,33,15,7.06164118421065e-11,9.38856900161419e-07,99.0777357854,99.0777357906,1.2186910152,2.37773718712773e-23,2.2,discrep
9,imposs,16.7908240183,13.5063299957,16,8,5.10520405696208e-07,6.58578460037071e-07,69.4999021213,69.4999021147,1.2432254521,7.88337421242748e-17,2,discrep
5,expect,33.501805792,28.9758615914,35.5,20,7.72319060567643e-07,6.01904536266003e-07,63.5190928455,63.5190928512,1.1562167304,1.53239769739294e-15,1.775,discrep
13,mistak,7.8405084099,6.2201184874,8.5,4,1.57003198782443e-07,3.45881576270946e-07,36.5009442872,36.5009443108,1.2605281446,1.55531377962488e-09,2.125,discrep
