filenames.i.,word.count,no.persons,no.persons.per10Kword
"1786_Beckford,William_Vathek_Novel.txt",36089,21,5.8189476018
"1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",67460,31,4.5953157427
"1794_Rowson,Susanna_CharlotteTemple_Novel.txt",36551,43,11.7643840114
"1795_Lewis,Matthew_TheMonk_Novel.txt",136410,144,10.5564108203
"1796_Bonhote,Elizabeth_BungayCastle_Novel.txt",86431,59,6.8262544689
"1798_Wollstonecraft,Mary_Maria_Novel.txt",44541,26,5.8373184257
"1801_Edgeworth,Maria_Belinda_Novel.txt",177748,142,7.9888381304
"1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",33104,34,10.2706621556
"1811_Austen,Jane_SenseandSensibility_Novel.txt",118564,100,8.4342633514
"1813_Austen,Jane_PrideandPrejudice_Novel.txt",121793,94,7.7180133505
"1814_Austen,Jane_MansfieldPark_Novel.txt",159533,134,8.3995160876
"1818_Shelley,Mary_Frankenstein_Novel.txt",75584,45,5.9536409822
"1820_Scott,Walter_Ivanhoe_Novel.txt",175138,292,16.6725667759
"1821_Peacock,ThomasLove_MaidMarian_Novel.txt",35746,69,19.3028590612
"1822_Hogg,James_ThreePerilsofMan_Novel.txt",211542,264,12.4797912471
"1823_Cooper,JamesFenimore_ThePioneers_Novel.txt",169965,175,10.2962374607
"1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel.txt",146917,54,3.6755446953
"1826_Disraeli,Benjamin_VivianGrey_Novel.txt",192121,329,17.1246245855
"1836_Child,Lydia_Philothea_Novel.txt",73040,53,7.2562979189
"1837_Disraeli,Benjamin_Venetia_Novel.txt",160517,77,4.7969996947
"1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel.txt",168875,162,9.5928941525
"1838_Martineau,Harriet_Deerbrook_Novel.txt",220828,142,6.4303439781
"1844_Yonge,Charlotte_Abbeychurch_Novel.txt",72563,158,21.7741824346
"1847_Aguilar,Grace_HomeInfluence_Novel.txt",170373,117,6.8672853093
"1848_Gaskell,Elizabeth_MaryBarton_Novel.txt",160460,154,9.5974074536
"1849_Kingsley,Charles_AltonLocke_Novel.txt",167976,202,12.0255274563
"1850_Aguilar,Grace_ValeofCedars_Novel.txt",92608,123,13.2817899102
"1850_Hawthorne,Nathaniel_TheScarletLetter_Novel.txt",82909,55,6.6337792037
"1850_Yonge,Charlotte_Henrietta'sWish_Novel.txt",87639,125,14.2630564018
