filenames.i.,word.count,no.persons,no.persons.per10Kword
"1771_Benezet,Anthony_SomeHistoricalAccountofGuinea.txt",41492,102,24.5830521546
"1809_Davies,Edward_TheMythologyandRitesoftheBritishDruids.txt",149581,290,19.3874890528
"1815_Smith,William_HistoryofCanada.txt",151584,425,28.0372598691
"1818_Hallam,Henry_ViewoftheStateofEuropeDuringtheMiddleAgesv3.txt",210946,503,23.8449650621
"1820_Gillies,John_TheHistoryofAncientGreecev1.txt",137985,134,9.7112004928
"1825_Fisher,Peter_HistoryofNewBrunswick.txt",46319,97,20.9417301755
"1827_Hallam,Henry_ConstitutionalHistoryofEngland.txt",186988,429,22.9426487261
"1829_Irving,Washington_ChronicleoftheConquestofGranada.txt",151998,255,16.7765365334
"1830_Bayley,John_TheHistoryandAntiquitiesoftheTowerofLondon.txt",248993,1360,54.6200093979
"1831_Barrow,John_TheeventfulHistoryoftheMuntinyandPiraticalSeizureofH.M.S.Bounty.txt",104031,249,23.9351731695
"1831_Russell,Michael_PalestineortheHolyLand.txt",119152,217,18.2120316906
"1831_Tatcher,Benjamin_TalesoftheIndians.txt",57235,84,14.6763344108
"1834_Gell,William_TheTopographyofRomeandItsVicinityv1.txt",86654,152,17.5410252268
"1837_Prescott,William_HistoryoftheReignofFerdinandandIsabella.txt",148418,317,21.3585953186
"1839_Clarkson,Thomas_TheHistoryoftheRise,Progress,andAccomplishmentoftheAbolitionoftheSlavetrade,bytheBritishParliament.txt",222191,725,32.6295844566
"1839_Lathbury,Thomas_GuyFawkesoraCompleteHistoryoftheGunpowerTreason.txt",41727,127,30.4359287751
"1840_Burns,James_SketchoftheHistoryoftheKnightsTemplars.txt",32079,248,77.3091430531
"1843_Conclin,George_TheGreatIndianChiefoftheWest.txt",71744,81,11.2901427297
"1845_Southey,Robert_LifeofOliverCromwell.txt",38120,118,30.9548793284
"1846_Cooper,JamesFenimore_TheHistoryoftheNavyoftheUnitedStatesofAmerica.txt",189192,431,22.7810901095
"1846_Planché,James_BritishCostume.txt",94861,338,35.6310812663
"1847_Keightley,Thomas_AhistoryofIndia.txt",232348,796,34.258956393
"1848_Macaulay,Thomas_TheHistoryofEngland.txt",225844,573,25.3714953685
"1850_Cooper,William_TheHistoryofWinchelsea.txt",94647,1398,147.7067418936
"1850_Gilly,William_NarrativesofShipwrecksoftheRoyalNavy.txt",107855,319,29.5767465579
"1850_Hawthorne,NathanielTrueStoriesfromHistoryandBiography.txt",75502,217,28.7409605044
"1850_Hay,Edward_HistoryoftheIrishInsurrectionof1798.txt",119814,366,30.54734839
"1851_Kitto,John_TheHistoryofPalestine.txt",138138,232,16.7947994035
"1853_Finlay,George_HistoryoftheByzantineEmpire.txt",190715,452,23.7002857667
"1869_Wilmot,Alexander_HistoryoftheCapeColony.txt",202795,731,36.0462536059
"1873_Pater,Walter_TheRenaissance.txt",59353,111,18.7016663016
"1875_Gairdner,James_ThehousesofLancasterandYork.txt",80200,385,48.0049875312
"1877_Freeman,Edward_HistoryofEurope.txt",47089,173,36.738941154
"1879_Smiles,Samuel_LivesoftheEngineers.txt",123802,272,21.9705659036
"1880_Dawson,Aeneas_PiusIXandhisTime.txt",154453,274,17.7400244735
"1881_Rawlinson,George_AncientEgypt.txt",94032,114,12.1235324145
"1883_Proctor,Richard_TheGreatPyramind.txt",76528,97,12.6750993101
"1884_Conway,William_ThewoodcuttersoftheNetherlands.txt",130448,338,25.910707715
"1887_Bancroft,Hubert_ApopularhistoryofMexico.txt",174138,312,17.9168245874
"1887_Johonnot,James_TenGreatEventsinHistory.txt",69859,245,35.0706422938
"1887_Morris,Edward_TheAgeofAnne.txt",74641,188,25.1872295387
"1888_Clode,Charles_TheEarlyHistoryoftheGuildofMerchantTaylorsv1.txt",179185,1364,76.1224432849
"1890_Cox,George_TheCrusades.txt",74368,187,25.1452237522
"1890_Mahan,A.T._TheInfluenceofSeaPowerUponHistory1660-1783.txt",198128,220,11.1039328111
"1891_Montgomery,David_TheLeadingFactsofEnglishHistory.txt",173573,732,42.1724576979
"1893_Joy,James_RomeandtheMakingofmodernEurope.txt",94571,233,24.6375738863
"1895_Brebner,Alexander_AlittlehistoryofChina_incl.story_.txt",38422,59,15.3557857477
"1895_Freeman,Edward_Old-EnglishHistory.txt",149052,351,23.5488285967
"1896_Cloud,William_ChurchandStateorMexicanPolitics.txt",86025,181,21.0403952339
"1896_DuBois,W.E.B._TheSuppressionoftheAfricanSlave-TradetotheUnitedStatesofAmerica1638-1870.txt",113711,302,26.5585563402
"1897_Colden,Cadwallader_TheHistoryoftheFiveIndianNationsofCanada.txt",63599,73,11.4781678957
"1898_Stanwood,Edward_AHistoryofthePresidency.txt",234915,650,27.669582615
"1899_Grattan,Thomas_Holland-TheHistoryoftheNetherlands.txt",126530,280,22.1291393345
"1900_Sewell,Robert_AForgottenEmpireVijayanagar.txt",137042,274,19.9938704923
"1901_Melville,William_AHistoryofPoliceinEngland.txt",106224,216,20.334387709
"1906_Backhouse,Edward_EarlyChurchHistory.txt",130026,162,12.4590466522
"1906_King&Hall_HistoryofEgypt,Chaldea,Syria,Babylonia,andAssyria.txt",113606,165,14.5238807809
"1910_Haring,Clarence_TheBuccaneersintheWestIndies.txt",97576,328,33.6148233172
"1910_Ludlow,James_AgeoftheCrusades.txt",97707,268,27.4289457255
"1912_Brady,Cyrus_SouthAmericanFightsandFighters.txt",89350,250,27.9798545048
"1914_Howard,Clare_EnglishTravellersoftheRenaissance.txt",54196,544,100.3764115433
"1915_Howorth,Henry_TheGoldenDaysoftheEarlyEnglishChurch.txt",152750,443,29.0016366612
"1917_Melius,Louis_TheAmericanPostalService.txt",38086,144,37.8091687234
"1918_Tappan,Eva_TheLittleBookoftheWar.txt",34498,46,13.334106325
"1920_Wiener,Leo_AfricaandthediscoveryofAmerica.txt",94214,237,25.1554970599
"1921_Brawley,Benjamin_ASocialHistoryoftheAmericanNegro.txt",152677,881,57.7035178842
"1922_Coffey,Diarmid_The cooperativemovementinJugoslavia,RumaniaandNorthItalyduringandaftertheWorldWar.txt",34140,24,7.0298769772
"1922_Cubberly,Ellwood_ABriefHistoryofEducation.txt",175746,317,18.0373948767
"1922_Wells,H.G._AShortHistoryoftheWorld.txt",108218,205,18.9432441923
"1922_West,Willis_AShortHistoryofEarlyPeoples.txt",110683,261,23.5808570422
"1923_Eckenrode,Hamilton_JeffersonDavis.txt",109577,240,21.9024065269
"1924_Power,Eileen_MedievalPeople.txt",79607,331,41.5792581054
"1929_Shaw,Albert_AbrahamLincoln.txt",134696,508,37.7145572252
