Feature,Category,Fiction (%),Non-Fiction (%),ratio,sample_rank,hathi_rank,p-value
Exclam,linguistic,0.40,0.04,10.00,1,2,***
you,linguistic,1.34,0.16,8.34,2,1,***
QMark,linguistic,0.41,0.08,5.13,3,6,***
i,linguistic,2.41,0.49,4.92,4,7,***
Quote,linguistic,2.59,0.65,3.98,5,5,***
assent,social,0.12,0.03,3.83,6,4,***
family,social,0.56,0.16,3.58,7,10,***
hear,perception,1.15,0.38,3.01,8,9,***
shehe,linguistic,4.86,1.90,2.56,9,8,***
ppron,linguistic,10.73,5.01,2.14,10,14,***
body,biological,1.12,0.55,2.06,11,15,***
home,social,0.57,0.28,2.02,12,19,***
friend,social,0.19,0.10,2.00,13,11,***
sexual,social,0.18,0.09,2.00,14,12,***
see,perception,1.15,0.59,1.94,15,13,***
percept,perception,3.03,1.61,1.88,16,16,***
past,linguistic,6.11,3.37,1.82,17,20,***
feel,perception,0.66,0.39,1.68,18,18,***
social,social,13.25,8.05,1.65,19,26,***
ingest,biological,0.29,0.18,1.61,20,33,***
